<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STP,20180713,6.8,6.8,6.8,6.8,600
STP,20180712,,,,7.4,0
STP,20180711,7.4,7.4,7.4,7.4,96
STP,20180710,7.1,7.4,7.1,7.4,3100
STP,20180709,6.8,6.8,6.8,6.8,163
STP,20180706,,,,6.7,0
STP,20180705,6.7,6.7,6.7,6.7,3200
STP,20180704,6.6,7.2,6.6,6.7,6763
STP,20180703,6.6,6.6,6.6,6.6,178600
STP,20180702,6.2,6.2,6.0,6.0,1200
STP,20180629,6.6,6.6,5.7,5.7,9499
STP,20180628,6.8,6.8,6.3,6.3,1100
STP,20180627,6.7,6.7,6.2,6.3,7400
STP,20180626,6.7,6.8,6.2,6.2,6300
STP,20180625,7.1,7.2,6.0,6.2,3593
STP,20180622,7.7,7.7,6.6,6.6,2700
STP,20180621,7.1,7.1,7.0,7.1,5929
STP,20180620,6.8,7.4,6.5,6.5,1000
STP,20180619,6.9,6.9,6.9,6.9,700
STP,20180618,7.6,7.6,7.6,7.6,100
STP,20180615,6.9,7.0,6.9,7.0,5286
STP,20180614,7.5,7.5,6.4,6.4,500
STP,20180613,6.9,6.9,6.9,6.9,300
STP,20180612,,,,6.3,0
STP,20180611,6.3,6.3,6.3,6.3,500
STP,20180608,6.5,6.5,6.5,6.5,500
STP,20180607,7.0,7.0,7.0,7.0,1000
STP,20180606,6.5,7.7,6.5,7.7,722
STP,20180605,6.5,7.2,6.5,7.2,444
STP,20180604,,,,7.2,0
STP,20180601,6.4,7.2,6.4,7.2,637
STP,20180531,6.9,6.9,6.9,6.9,2500
STP,20180530,6.3,6.3,6.3,6.3,600
STP,20180529,5.8,6.9,5.8,6.2,3117
STP,20180528,6.3,6.38,6.21,6.3,1522
STP,20180525,6.65,6.91,6.65,6.9,3000
STP,20180524,6.65,6.65,6.65,6.65,84
STP,20180523,6.64,6.64,6.64,6.65,1200
STP,20180522,6.04,6.04,6.04,6.04,2466
STP,20180521,6.9,6.9,5.78,5.78,5800
STP,20180518,6.3,6.3,6.3,6.3,1244
STP,20180517,,,,6.13,0
STP,20180516,6.13,6.13,6.13,6.13,900
STP,20180515,6.73,6.81,5.61,5.61,7900
STP,20180514,6.04,6.21,6.04,6.21,4500
STP,20180511,5.61,6.81,5.61,5.95,6300
STP,20180510,6.21,6.21,6.21,6.21,100
STP,20180509,6.13,6.73,5.53,6.73,9529
STP,20180508,6.13,6.13,6.13,6.13,7000
STP,20180507,6.21,6.81,5.61,5.61,14200
STP,20180504,,,,6.21,0
STP,20180503,6.05,6.22,6.05,6.21,10900
STP,20180502,5.7,5.7,5.7,5.7,1400
STP,20180427,,,,5.7,0
STP,20180426,5.69,5.69,5.69,5.7,2100
STP,20180424,5.52,5.52,5.44,5.52,1300
STP,20180423,5.26,5.26,5.0,5.09,602
STP,20180420,4.83,4.83,4.83,4.83,2500
STP,20180419,4.41,4.41,4.41,4.4,100
STP,20180418,4.05,4.05,4.05,4.06,834
STP,20180417,4.15,4.15,4.15,4.14,3129
STP,20180416,3.88,4.58,3.88,4.32,300
STP,20180413,,,,4.23,0
STP,20180412,,,,4.23,0
STP,20180411,,,,4.23,0
STP,20180410,4.23,4.23,4.23,4.23,100
STP,20180409,,,,4.4,0
STP,20180406,4.4,4.4,4.4,4.4,100
STP,20180405,4.75,4.75,4.75,4.75,7300
STP,20180404,4.32,4.32,4.32,4.32,100
STP,20180403,4.58,4.67,3.97,3.97,1064
STP,20180402,,,,4.32,0
STP,20180330,4.32,5.18,4.32,4.32,10698
STP,20180329,4.74,4.74,4.74,4.75,9257
STP,20180328,,,,4.57,0
STP,20180327,4.57,4.57,4.57,4.57,1020
STP,20180326,4.57,4.57,4.57,4.57,6600
STP,20180323,4.32,4.58,4.32,4.57,700
STP,20180322,4.23,4.23,4.23,4.23,100
STP,20180321,4.14,4.14,4.14,4.14,160
STP,20180320,,,,4.14,0
STP,20180319,4.14,4.83,3.97,4.14,1400
STP,20180316,4.4,4.4,4.4,4.4,200
STP,20180315,4.75,4.75,4.75,4.75,97
STP,20180314,4.74,4.74,4.74,4.75,700
STP,20180313,,,,4.83,0
STP,20180312,,,,4.83,0
STP,20180309,4.83,4.83,4.83,4.83,396
STP,20180308,5.09,5.09,5.09,5.09,100
STP,20180307,,,,5.61,0
STP,20180306,,,,5.61,0
STP,20180305,,,,5.61,0
STP,20180302,,,,5.61,0
STP,20180301,,,,5.61,0
STP,20180228,,,,5.61,0
STP,20180227,,,,5.61,0
STP,20180226,,,,5.61,0
STP,20180223,5.61,5.61,5.61,5.61,93
STP,20180222,,,,5.61,0
STP,20180221,,,,5.61,0
STP,20180213,5.78,5.78,5.61,5.61,2700
STP,20180212,,,,5.61,0
STP,20180209,,,,5.61,0
STP,20180208,5.61,5.61,5.61,5.61,100
STP,20180207,,,,5.18,0
STP,20180206,,,,5.18,0
STP,20180205,5.18,5.18,5.18,5.18,3013
STP,20180202,5.18,5.18,5.18,5.18,284
STP,20180201,5.6,5.78,4.74,4.75,22344
STP,20180131,5.26,5.26,5.26,5.26,239
STP,20180130,5.61,5.61,5.61,5.61,3900
STP,20180129,5.61,5.61,5.61,5.61,30083
STP,20180126,4.58,5.36,4.58,5.35,2744
STP,20180125,5.0,5.0,5.0,5.01,100
STP,20180122,4.4,4.4,4.4,4.4,3000
STP,20180119,3.97,4.41,3.97,4.4,1100
STP,20180118,,,,4.32,0
STP,20180117,4.32,5.01,4.32,4.32,12534
STP,20180116,4.75,4.75,4.75,4.75,800
STP,20180115,4.66,4.66,4.66,4.66,75
STP,20180112,4.48,4.66,4.48,4.66,400
STP,20180111,4.58,4.58,4.58,4.57,2200
STP,20180110,4.23,4.23,4.23,4.23,300
STP,20180109,,,,4.49,0
STP,20180108,4.49,4.49,4.49,4.49,1
STP,20180105,4.49,4.49,4.49,4.49,160
STP,20180104,4.66,4.66,4.66,4.66,110
STP,20180103,4.66,4.66,4.66,4.66,67
STP,20180102,4.66,4.66,4.66,4.66,600
STP,20171229,4.49,5.09,4.49,5.09,11260
STP,20171228,,,,4.83,0
STP,20171227,4.84,4.84,4.84,4.83,2300
STP,20171226,,,,4.49,0
STP,20171225,4.49,4.49,4.49,4.49,4572
STP,20171222,,,,4.49,0
STP,20171221,4.49,4.49,4.49,4.49,2200
STP,20171220,,,,4.49,0
STP,20171219,,,,4.49,0
STP,20171218,4.49,4.49,4.49,4.49,4039
STP,20171215,,,,4.49,0
STP,20171214,,,,4.49,0
STP,20171213,,,,4.49,0
STP,20171212,,,,4.49,0
STP,20171211,4.48,4.48,4.48,4.49,100
STP,20171208,,,,4.57,0
STP,20171207,,,,4.57,0
STP,20171206,,,,4.57,0
STP,20171205,4.57,4.57,4.57,4.57,3250
STP,20171204,4.4,4.4,4.4,4.4,1190
STP,20171201,,,,4.57,0
STP,20171130,4.32,4.58,4.32,4.57,7700
STP,20171129,,,,4.32,0
STP,20171128,,,,4.32,0
STP,20171127,4.31,4.31,4.31,4.32,3000
STP,20171124,4.58,4.58,4.58,4.57,1400
STP,20171123,,,,4.23,0
STP,20171122,4.23,4.23,4.23,4.23,73
STP,20171121,,,,4.23,0
STP,20171120,4.23,4.23,4.23,4.23,119
STP,20171117,4.32,4.32,4.32,4.32,65
STP,20171116,,,,4.32,0
STP,20171115,,,,4.32,0
STP,20171114,,,,4.32,0
STP,20171113,4.49,4.49,4.32,4.32,2880
STP,20171110,4.31,4.31,4.31,4.32,100
STP,20171109,,,,4.66,0
STP,20171108,4.66,4.66,4.66,4.66,100
STP,20171107,,,,4.92,0
STP,20171106,,,,4.92,0
STP,20171103,4.57,4.91,4.48,4.92,12467
STP,20171102,,,,4.57,0
