<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SVN,20180713,1.9,1.9,1.9,1.9,10000
SVN,20180712,,,,1.9,0
SVN,20180711,,,,1.9,0
SVN,20180710,1.9,1.9,1.9,1.9,15700
SVN,20180709,1.8,2.0,1.8,1.9,15400
SVN,20180706,1.9,1.9,1.9,1.9,411
SVN,20180705,1.9,1.9,1.9,1.9,10000
SVN,20180704,2.0,2.0,1.8,2.0,20300
SVN,20180703,1.8,2.0,1.8,2.0,23000
SVN,20180702,2.0,2.0,1.9,1.9,107400
SVN,20180629,2.1,2.1,2.0,2.0,600
SVN,20180628,2.1,2.3,2.1,2.2,1800
SVN,20180627,2.1,2.1,2.1,2.1,2900
SVN,20180626,2.1,2.3,2.1,2.3,5300
SVN,20180625,,,,2.3,0
SVN,20180622,2.3,2.3,2.2,2.3,800
SVN,20180621,2.3,2.3,2.3,2.3,2300
SVN,20180620,2.4,2.4,2.4,2.4,100
SVN,20180619,2.2,2.4,2.2,2.4,200
SVN,20180618,2.3,2.3,2.3,2.3,100
SVN,20180615,2.4,2.4,2.3,2.4,4100
SVN,20180614,2.3,2.4,2.3,2.4,19300
SVN,20180613,2.2,2.3,2.2,2.3,29001
SVN,20180612,,,,2.1,0
SVN,20180611,2.1,2.2,2.0,2.1,4400
SVN,20180608,2.2,2.2,2.1,2.2,41200
SVN,20180607,2.0,2.0,2.0,2.0,49900
SVN,20180606,2.0,2.0,1.9,1.9,1100
SVN,20180605,1.9,1.9,1.9,1.9,600
SVN,20180604,1.9,2.0,1.8,1.8,16200
SVN,20180601,,,,2.0,0
SVN,20180531,1.8,2.0,1.8,2.0,5100
SVN,20180530,2.0,2.0,2.0,2.0,700
SVN,20180529,2.0,2.0,2.0,2.0,200
SVN,20180528,,,,2.0,0
SVN,20180525,2.0,2.0,2.0,2.0,100
SVN,20180524,1.9,1.9,1.9,1.9,100
SVN,20180523,1.8,1.9,1.8,1.8,2200
SVN,20180522,1.9,2.0,1.9,1.9,14400
SVN,20180521,1.9,1.9,1.9,1.9,10100
SVN,20180518,1.9,1.9,1.9,1.9,1055
SVN,20180517,,,,2.1,0
SVN,20180516,2.0,2.1,2.0,2.1,2900
SVN,20180515,1.9,2.0,1.9,2.0,3000
SVN,20180514,,,,2.0,0
SVN,20180511,1.9,2.0,1.9,2.0,1200
SVN,20180510,1.9,1.9,1.9,1.9,3900
SVN,20180509,2.0,2.0,2.0,2.0,200
SVN,20180508,,,,1.9,0
SVN,20180507,1.9,1.9,1.9,1.9,100
SVN,20180504,,,,1.9,0
SVN,20180503,1.9,1.9,1.9,1.9,1
SVN,20180502,2.0,2.0,1.9,1.9,25100
SVN,20180427,2.0,2.0,2.0,2.0,100
SVN,20180426,2.0,2.0,1.9,1.9,2930
SVN,20180424,,,,2.1,0
SVN,20180423,2.1,2.1,2.1,2.1,300
SVN,20180420,2.0,2.1,2.0,2.1,54100
SVN,20180419,2.2,2.2,2.2,2.2,30
SVN,20180418,2.2,2.2,2.2,2.2,100
SVN,20180417,2.2,2.2,2.1,2.1,12700
