<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SVT,20180713,,,,6.5,0
SVT,20180712,,,,6.5,0
SVT,20180711,7.15,7.15,6.5,6.5,60
SVT,20180710,,,,6.69,0
SVT,20180709,6.69,6.69,6.69,6.69,50
SVT,20180706,,,,6.69,0
SVT,20180705,,,,6.69,0
SVT,20180704,6.69,6.69,6.69,6.69,100
SVT,20180703,,,,6.64,0
SVT,20180702,6.6,6.64,6.6,6.64,40
SVT,20180629,,,,6.44,0
SVT,20180628,6.44,6.44,6.44,6.44,60
SVT,20180627,6.48,6.48,6.03,6.03,90
SVT,20180626,6.48,6.48,6.48,6.48,40
SVT,20180625,5.8,6.07,5.8,6.07,60
SVT,20180622,5.7,5.7,5.7,5.7,50
SVT,20180621,5.33,5.33,5.33,5.33,10
SVT,20180620,4.99,4.99,4.99,4.99,50
SVT,20180619,,,,4.67,0
SVT,20180618,,,,4.67,0
SVT,20180615,4.68,4.68,4.67,4.67,30
SVT,20180614,,,,5.0,0
SVT,20180613,5.0,5.0,5.0,5.0,60
SVT,20180612,4.76,4.76,4.76,4.76,10
SVT,20180611,5.1,5.1,5.1,5.1,10
SVT,20180608,5.07,5.43,5.07,5.43,1120
SVT,20180607,6.21,6.21,5.43,5.43,130
SVT,20180606,,,,5.83,0
SVT,20180605,5.83,5.83,5.83,5.83,140
SVT,20180604,5.44,6.23,5.44,5.45,90
SVT,20180601,6.65,6.65,5.79,5.83,600
SVT,20180531,6.5,7.14,6.22,6.22,180
SVT,20180530,5.83,6.68,5.83,6.68,30
SVT,20180529,7.13,7.14,6.24,6.25,190
SVT,20180528,6.06,6.7,6.06,6.7,70
SVT,20180525,7.4,7.4,6.51,6.51,30
SVT,20180524,7.0,7.29,6.36,7.0,380
SVT,20180523,7.8,7.8,6.83,6.83,60
SVT,20180522,,,,7.34,0
SVT,20180521,,,,7.34,0
SVT,20180518,,,,7.34,0
SVT,20180517,,,,7.34,0
SVT,20180516,,,,7.34,0
SVT,20180515,,,,7.34,0
SVT,20180514,,,,7.34,0
SVT,20180511,,,,7.34,0
SVT,20180510,,,,7.34,0
SVT,20180509,,,,7.34,0
SVT,20180508,,,,7.34,0
SVT,20180507,7.34,7.34,7.34,7.34,10
SVT,20180504,,,,7.89,0
SVT,20180503,,,,7.89,0
SVT,20180502,,,,7.89,0
SVT,20180427,,,,7.89,0
SVT,20180426,,,,7.89,0
SVT,20180424,7.89,7.89,7.89,7.89,10
SVT,20180423,,,,7.38,0
SVT,20180420,,,,7.38,0
SVT,20180419,7.0,7.39,7.0,7.38,40
SVT,20180418,6.15,7.0,6.15,7.0,150
SVT,20180417,6.6,6.6,6.6,6.6,1010
SVT,20180416,6.77,7.09,6.77,7.09,1010
SVT,20180413,,,,7.27,0
SVT,20180412,6.33,7.27,6.33,7.27,100
SVT,20180411,,,,6.8,0
SVT,20180410,,,,6.8,0
SVT,20180409,,,,6.8,0
SVT,20180406,,,,6.8,0
SVT,20180405,,,,6.8,0
SVT,20180404,6.8,6.8,6.8,6.8,10
SVT,20180403,,,,6.53,0
SVT,20180402,,,,6.53,0
SVT,20180330,,,,6.53,0
SVT,20180329,6.53,6.53,6.53,6.53,10
SVT,20180328,,,,6.12,0
SVT,20180327,,,,6.12,0
SVT,20180326,6.12,6.12,6.12,6.12,10
SVT,20180323,5.75,6.16,5.75,5.75,130
SVT,20180322,5.76,5.76,5.76,5.76,20
SVT,20180321,6.19,6.19,6.19,6.19,10
SVT,20180320,5.81,5.82,5.81,5.81,1010
SVT,20180319,6.62,6.62,6.0,6.24,70
SVT,20180316,6.19,6.19,6.19,6.19,10
SVT,20180315,6.44,6.44,6.2,6.2,40
SVT,20180314,5.58,6.41,5.58,6.38,960
SVT,20180313,6.42,6.42,5.98,6.0,60
SVT,20180312,6.8,6.8,6.42,6.42,500
SVT,20180309,,,,6.9,0
SVT,20180308,,,,6.9,0
SVT,20180307,6.9,6.9,6.9,6.9,10
SVT,20180306,6.5,6.5,6.5,6.5,10
SVT,20180305,6.09,6.09,6.09,6.09,430
SVT,20180302,5.33,5.7,5.33,5.7,1020
SVT,20180301,,,,5.33,0
SVT,20180228,,,,5.33,0
SVT,20180227,5.33,5.33,5.33,5.33,10
SVT,20180226,4.99,4.99,4.99,4.99,10
SVT,20180223,5.35,5.35,5.35,5.35,10
SVT,20180222,,,,5.75,0
SVT,20180221,5.75,5.75,5.75,5.75,10
SVT,20180213,6.17,6.17,5.38,5.38,220
SVT,20180212,5.77,5.77,5.77,5.77,210
SVT,20180209,6.2,6.2,6.2,6.2,10
SVT,20180208,5.8,5.8,5.8,5.8,30
SVT,20180207,4.73,5.43,4.73,5.43,30
SVT,20180206,,,,5.08,0
SVT,20180205,5.08,5.08,5.08,5.08,10
SVT,20180202,4.77,5.46,4.77,5.46,20
SVT,20180201,5.12,5.12,5.12,5.12,1000
SVT,20180131,5.12,5.12,5.12,5.12,10
SVT,20180130,6.25,6.25,5.5,5.5,120
SVT,20180129,,,,5.85,0
SVT,20180126,6.66,6.66,5.85,5.85,1500
SVT,20180125,6.23,6.23,6.23,6.23,10
SVT,20180122,7.17,7.17,6.67,6.68,2110
SVT,20180119,7.7,8.21,7.17,7.17,120
SVT,20180118,,,,7.7,0
SVT,20180117,7.7,7.7,7.7,7.7,30
SVT,20180116,8.27,8.27,8.27,8.27,20
SVT,20180115,7.81,7.81,6.85,7.74,450
