<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TA9,20180713,11.6,11.6,11.6,11.6,100
TA9,20180712,10.8,10.8,10.8,10.8,1200
TA9,20180711,11.0,11.1,10.8,10.8,3900
TA9,20180710,,,,11.8,0
TA9,20180709,12.0,12.0,11.5,11.8,1400
TA9,20180706,12.0,12.3,12.0,12.3,300
TA9,20180705,13.2,13.2,13.2,13.2,300
TA9,20180704,,,,14.6,0
TA9,20180703,,,,14.6,0
TA9,20180702,,,,14.6,0
TA9,20180629,,,,14.6,0
TA9,20180628,,,,14.6,0
TA9,20180627,,,,14.6,0
TA9,20180626,,,,14.6,0
TA9,20180625,14.6,14.6,14.6,14.6,500
TA9,20180622,,,,13.3,0
TA9,20180621,,,,13.3,0
TA9,20180620,,,,13.3,0
TA9,20180619,13.3,13.3,13.3,13.3,500
TA9,20180618,12.2,12.2,12.2,12.2,31
TA9,20180615,11.5,12.2,11.5,12.2,600
TA9,20180614,11.04,12.0,11.04,12.0,2000
TA9,20180613,,,,10.94,0
TA9,20180612,11.04,11.04,10.94,10.94,600
TA9,20180611,10.95,10.95,10.95,10.94,631
TA9,20180608,11.14,11.14,11.14,11.14,300
TA9,20180607,,,,11.14,0
TA9,20180606,,,,11.14,0
TA9,20180605,11.91,11.91,11.14,11.14,900
TA9,20180604,,,,11.81,0
TA9,20180601,11.23,11.81,11.14,11.81,2700
TA9,20180531,12.0,12.0,12.0,12.0,100
TA9,20180530,11.52,11.52,11.52,11.52,300
TA9,20180529,10.94,10.94,9.6,10.56,2600
TA9,20180528,11.04,11.04,9.98,9.98,10000
TA9,20180525,11.52,11.52,11.04,11.04,2000
TA9,20180524,11.81,11.81,11.81,11.81,10900
TA9,20180523,,,,11.81,0
TA9,20180522,11.81,11.81,11.81,11.81,2000
TA9,20180521,11.81,11.81,11.81,11.81,1000
TA9,20180518,,,,11.81,0
TA9,20180517,12.0,12.0,11.81,11.81,1000
TA9,20180516,11.52,12.19,11.52,12.19,2000
TA9,20180515,,,,11.9,0
TA9,20180514,11.9,11.9,11.9,11.9,3500
TA9,20180511,12.48,12.48,12.48,12.48,800
TA9,20180510,,,,12.48,0
TA9,20180509,12.0,12.48,11.71,12.48,2100
TA9,20180508,12.48,12.48,12.48,12.48,500
TA9,20180507,13.15,13.15,12.48,12.48,1200
TA9,20180504,,,,12.48,0
TA9,20180503,12.09,12.48,11.9,12.48,4686
TA9,20180502,12.0,13.15,12.0,13.15,300
TA9,20180427,,,,12.96,0
TA9,20180426,13.05,13.15,12.86,12.96,4100
TA9,20180424,,,,13.34,0
TA9,20180423,13.35,13.35,13.35,13.34,1080
TA9,20180420,12.96,13.25,12.96,13.25,565
TA9,20180419,12.67,13.05,12.67,13.06,200
TA9,20180418,13.34,13.34,13.34,13.34,2300
TA9,20180417,12.96,12.96,12.86,12.86,2380
TA9,20180416,,,,12.96,0
TA9,20180413,12.39,12.96,12.39,12.96,3000
TA9,20180412,12.58,12.96,11.81,12.77,22200
TA9,20180411,12.96,13.44,12.96,12.96,2300
TA9,20180410,13.44,13.44,13.44,13.44,2000
TA9,20180409,13.44,13.44,13.44,13.44,600
TA9,20180406,12.96,12.96,12.96,12.96,3400
TA9,20180405,13.44,13.82,12.96,13.82,3200
TA9,20180404,,,,13.82,0
TA9,20180403,12.76,13.82,12.76,13.82,1100
TA9,20180402,14.02,14.02,12.77,13.34,3470
TA9,20180330,12.96,12.96,12.96,12.96,5100
TA9,20180329,12.86,12.96,12.86,12.96,20600
TA9,20180328,,,,12.96,0
TA9,20180327,12.96,12.96,12.48,12.96,20510
TA9,20180326,13.05,13.05,12.96,12.96,7100
TA9,20180323,13.44,13.63,13.44,13.63,1210
TA9,20180322,,,,14.4,0
TA9,20180321,14.88,14.88,13.92,14.4,6500
TA9,20180320,13.92,14.88,13.92,14.4,5620
TA9,20180319,13.06,13.54,12.96,13.54,4500
TA9,20180316,12.77,12.96,12.77,12.96,2600
TA9,20180315,12.48,12.77,12.48,12.77,710
TA9,20180314,12.87,12.87,12.48,12.67,2020
TA9,20180313,12.86,12.86,12.48,12.77,2500
TA9,20180312,12.48,12.96,12.48,12.48,5200
TA9,20180309,12.96,12.96,12.96,12.96,300
TA9,20180308,12.96,12.96,12.96,12.96,1200
TA9,20180307,12.96,12.96,12.96,12.96,2400
TA9,20180306,13.34,13.44,12.0,12.96,78900
TA9,20180305,12.96,12.96,12.86,12.96,31010
TA9,20180302,,,,12.96,0
TA9,20180301,12.58,12.96,12.48,12.96,1500
TA9,20180228,13.06,13.06,12.96,12.96,1800
TA9,20180227,13.25,13.25,12.86,13.06,6700
TA9,20180226,13.92,14.02,13.92,13.92,5000
TA9,20180223,12.67,14.01,12.67,14.02,6600
TA9,20180222,13.25,13.82,13.25,13.82,600
TA9,20180221,14.02,14.11,14.02,14.11,2500
TA9,20180213,14.11,14.11,13.15,13.92,4700
TA9,20180212,12.96,14.11,12.96,14.11,15116
TA9,20180209,14.3,14.3,14.3,14.3,10
TA9,20180208,14.11,14.3,14.11,14.3,2600
TA9,20180207,14.3,14.3,14.3,14.3,100
TA9,20180206,12.96,14.2,12.96,14.11,2400
TA9,20180205,13.44,14.31,13.06,14.3,1100
TA9,20180202,,,,14.5,0
TA9,20180201,13.44,14.5,13.44,14.5,12100
TA9,20180131,13.44,13.44,12.1,13.44,2300
TA9,20180130,13.44,13.73,13.35,13.44,4500
TA9,20180129,14.3,14.3,13.73,13.73,1600
TA9,20180126,15.93,15.93,14.4,15.07,16200
TA9,20180125,14.45,14.78,14.11,14.78,21220
TA9,20180122,14.44,14.44,13.84,14.36,20220
TA9,20180119,13.16,13.76,13.16,13.76,11400
TA9,20180118,13.17,13.17,12.49,12.57,8900
TA9,20180117,13.16,13.76,13.16,13.76,2916
TA9,20180116,12.23,12.99,12.23,12.74,11250
TA9,20180115,11.89,12.23,11.89,12.23,4120
TA9,20180112,11.64,11.9,11.47,11.89,5300
TA9,20180111,12.15,12.15,11.64,12.15,1320
TA9,20180110,11.64,11.97,11.64,11.98,1300
TA9,20180109,11.64,11.9,11.64,11.89,2065
TA9,20180108,11.47,12.15,11.47,12.15,1001
TA9,20180105,11.47,12.32,11.22,12.32,5100
TA9,20180104,12.32,12.32,12.32,12.32,300
TA9,20180103,11.64,12.57,11.05,12.57,3200
