<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TAC,20180713,43.5,43.7,43.5,43.6,5260
TAC,20180712,42.7,43.0,42.65,42.7,260
TAC,20180711,,,,44.0,0
TAC,20180710,44.0,44.0,44.0,44.0,10
TAC,20180709,,,,44.0,0
TAC,20180706,44.9,44.9,42.8,44.0,10680
TAC,20180705,48.0,48.0,46.0,46.0,230
TAC,20180704,44.9,44.9,44.9,44.9,10
TAC,20180703,44.2,44.2,43.95,44.2,480
TAC,20180702,45.6,45.7,45.6,45.7,400
TAC,20180629,,,,45.9,0
TAC,20180628,43.0,46.4,43.0,45.9,5330
TAC,20180627,44.5,45.0,43.35,45.0,720
TAC,20180626,,,,46.45,0
TAC,20180625,46.45,46.45,46.45,46.45,10
TAC,20180622,45.0,46.4,44.5,46.4,290
TAC,20180621,46.0,46.0,43.2,44.75,7410
TAC,20180620,46.4,46.4,46.4,46.4,20
TAC,20180619,46.8,46.8,44.0,46.0,1540
TAC,20180618,46.9,46.9,44.5,46.8,11930
TAC,20180615,,,,47.8,0
TAC,20180614,47.9,47.9,47.8,47.8,110
TAC,20180613,,,,47.0,0
TAC,20180612,47.0,47.0,47.0,47.0,100
TAC,20180611,45.0,46.8,45.0,45.0,160
TAC,20180608,46.5,46.5,46.5,46.5,10
TAC,20180607,45.1,49.0,45.1,49.0,650
TAC,20180606,45.1,48.8,45.05,47.6,90
TAC,20180605,46.5,47.45,46.05,47.45,5140
TAC,20180604,,,,49.5,0
TAC,20180601,47.0,49.5,47.0,49.5,40
TAC,20180531,47.0,47.0,45.2,47.0,4830
TAC,20180530,50.8,50.8,45.0,45.0,870
TAC,20180529,44.5,47.9,44.5,47.9,16790
TAC,20180528,46.5,47.7,46.5,47.7,3880
TAC,20180525,49.95,49.95,49.95,49.95,10
TAC,20180524,47.95,47.95,44.8,47.85,230
TAC,20180523,46.7,48.85,46.5,46.5,45150
TAC,20180522,49.45,49.8,47.6,49.65,140
TAC,20180521,50.0,51.0,47.5,47.5,110
TAC,20180518,48.6,52.0,48.6,50.5,880
TAC,20180517,50.8,51.7,50.8,51.5,7920
TAC,20180516,48.3,53.3,48.3,51.0,180
TAC,20180515,50.15,51.3,50.15,51.3,2010
TAC,20180514,51.01,51.58,49.67,51.49,4250
TAC,20180511,48.15,51.59,48.15,51.01,4690
TAC,20180510,48.72,51.69,48.06,50.44,15490
TAC,20180509,52.34,52.34,51.49,51.59,730
TAC,20180508,48.72,50.63,48.72,50.53,1070
TAC,20180507,48.72,53.11,48.62,48.62,41510
TAC,20180504,47.96,52.25,47.96,52.25,160
TAC,20180503,51.49,51.49,51.49,51.49,20
TAC,20180502,49.67,51.58,49.67,51.49,2310
TAC,20180427,56.08,56.08,51.39,51.39,6590
TAC,20180426,55.89,55.89,51.88,55.12,950
TAC,20180424,52.54,56.37,52.45,55.41,70
TAC,20180423,57.32,57.32,53.6,56.27,1420
TAC,20180420,57.22,57.22,54.45,57.13,910
TAC,20180419,57.03,57.32,55.41,56.36,7260
TAC,20180418,54.93,57.8,54.93,56.27,13220
TAC,20180417,55.22,57.61,54.45,54.93,17760
TAC,20180416,51.11,54.64,50.92,53.88,19440
TAC,20180413,,,,51.11,0
TAC,20180412,50.63,51.11,50.63,51.11,20
TAC,20180411,,,,51.59,0
TAC,20180410,49.77,51.58,49.77,51.59,430
TAC,20180409,54.06,54.06,50.63,52.54,360
TAC,20180406,49.58,51.59,49.2,51.39,5470
TAC,20180405,50.15,50.15,49.68,49.68,30
TAC,20180404,49.01,49.58,48.91,49.58,990
TAC,20180403,49.2,50.44,48.91,48.91,2540
TAC,20180402,51.49,51.49,51.49,51.49,10
TAC,20180330,51.29,51.29,49.77,51.3,2780
TAC,20180329,51.39,51.39,51.39,51.39,30
TAC,20180328,51.21,51.21,51.21,51.2,10
TAC,20180327,51.59,51.59,51.59,51.59,100
TAC,20180326,49.3,51.88,49.3,51.59,2890
TAC,20180323,51.87,51.87,49.0,49.01,440
TAC,20180322,51.87,51.97,49.77,51.87,1690
TAC,20180321,51.59,52.06,50.25,51.49,5590
TAC,20180320,47.77,51.49,46.86,51.49,36010
TAC,20180319,47.95,49.19,47.95,49.01,3900
TAC,20180316,47.76,49.48,47.76,49.48,6440
TAC,20180315,48.72,49.39,48.62,48.72,1180
TAC,20180314,49.2,49.2,48.44,48.43,7940
TAC,20180313,49.2,49.2,48.53,49.2,110
TAC,20180312,48.72,49.68,48.44,48.72,9360
TAC,20180309,48.72,48.82,48.34,48.34,470
TAC,20180308,48.25,49.2,48.15,48.82,8940
TAC,20180307,49.58,50.44,48.82,48.82,260
TAC,20180306,48.24,49.58,48.24,49.58,1210
TAC,20180305,49.58,49.58,48.43,48.43,2280
TAC,20180302,48.82,49.97,48.82,49.58,460
TAC,20180301,48.24,49.68,48.24,48.82,1250
TAC,20180228,49.68,49.68,48.72,48.72,190
TAC,20180227,50.63,50.63,48.72,50.44,16800
TAC,20180226,50.92,50.92,48.25,50.82,15870
TAC,20180223,50.53,50.53,48.81,48.82,370
TAC,20180222,50.25,50.53,48.43,50.53,2210
TAC,20180221,51.39,51.39,48.72,50.63,8270
TAC,20180213,52.07,52.35,49.3,51.39,280
TAC,20180212,50.34,52.54,48.81,51.59,3890
TAC,20180209,50.25,50.25,46.43,50.15,7310
TAC,20180208,48.24,52.44,48.24,48.53,3690
TAC,20180207,48.72,51.58,48.34,51.39,30630
TAC,20180206,44.9,48.24,44.9,48.24,9360
TAC,20180205,44.8,45.85,44.04,45.09,5940
TAC,20180202,43.94,43.94,43.94,43.94,10070
TAC,20180201,43.94,44.42,43.94,43.94,17260
TAC,20180131,43.27,43.94,42.98,43.94,11740
TAC,20180130,43.66,43.95,43.47,43.94,1690
