<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TBC,20180713,23.7,23.9,23.7,23.9,1200
TBC,20180712,,,,24.0,0
TBC,20180711,24.0,24.0,23.6,24.0,6400
TBC,20180710,24.1,24.1,24.1,24.1,100
TBC,20180709,24.0,24.0,24.0,24.0,1000
TBC,20180706,25.3,25.3,24.0,24.0,280
TBC,20180705,24.0,24.0,24.0,24.0,7780
TBC,20180704,24.0,24.0,24.0,24.0,1080
TBC,20180703,24.0,24.0,24.0,24.0,5210
TBC,20180702,24.0,24.0,24.0,24.0,1530
TBC,20180629,24.0,24.3,24.0,24.0,740
TBC,20180628,23.2,24.0,23.2,24.0,1160
TBC,20180627,,,,24.0,0
TBC,20180626,,,,24.0,0
TBC,20180625,24.0,24.0,24.0,24.0,170
TBC,20180622,,,,23.8,0
TBC,20180621,,,,23.8,0
TBC,20180620,,,,23.8,0
TBC,20180619,24.0,24.0,23.8,23.8,5300
TBC,20180618,24.0,24.0,24.0,24.0,4020
TBC,20180615,24.0,25.0,23.6,25.0,15110
TBC,20180614,,,,24.5,0
TBC,20180613,,,,24.5,0
TBC,20180612,25.0,25.0,24.5,24.5,2010
TBC,20180611,25.0,25.0,24.7,25.0,6100
TBC,20180608,24.6,24.6,24.6,24.6,200
TBC,20180607,25.0,25.0,25.0,25.0,10
TBC,20180606,24.2,24.2,23.35,24.2,570
TBC,20180605,23.07,23.73,23.07,23.73,2930
TBC,20180604,23.73,23.73,23.73,23.73,300
TBC,20180601,24.2,24.2,24.2,24.2,10
TBC,20180531,22.97,22.97,22.97,22.97,500
TBC,20180530,22.87,22.97,22.87,22.97,2000
TBC,20180529,23.06,23.06,23.06,23.06,3190
TBC,20180528,23.26,23.26,22.78,22.97,9680
TBC,20180525,23.54,23.54,23.54,23.54,1700
TBC,20180524,23.58,23.58,23.53,23.54,540
TBC,20180523,23.59,23.59,23.59,23.58,4380
TBC,20180522,23.34,23.72,23.34,23.73,370
TBC,20180521,,,,23.96,0
TBC,20180518,,,,23.96,0
TBC,20180517,23.96,23.96,23.96,23.96,10
TBC,20180516,,,,24.01,0
TBC,20180515,24.01,24.01,24.01,24.01,20
TBC,20180514,,,,23.16,0
TBC,20180511,23.16,23.16,23.16,23.16,190
TBC,20180510,23.16,23.16,23.16,23.16,370
TBC,20180509,22.97,22.97,22.97,22.97,50
TBC,20180508,23.16,23.16,23.16,23.16,700
TBC,20180507,,,,23.16,0
TBC,20180504,22.78,23.16,22.78,23.16,3200
TBC,20180503,22.78,22.83,22.78,22.78,320
TBC,20180502,,,,21.83,0
TBC,20180427,22.78,22.78,21.83,21.83,5300
TBC,20180426,22.78,22.78,22.78,22.78,5600
TBC,20180424,22.88,22.88,22.78,22.78,430
TBC,20180423,23.35,23.35,23.35,23.35,5000
TBC,20180420,23.35,23.35,23.35,23.35,10
TBC,20180419,,,,23.35,0
TBC,20180418,23.35,23.35,23.35,23.35,10
TBC,20180417,23.35,23.35,22.78,22.78,910
TBC,20180416,22.97,22.97,22.78,22.78,4020
TBC,20180413,22.97,22.97,22.97,22.97,400
TBC,20180412,22.78,23.25,22.78,22.97,5660
TBC,20180411,23.25,23.25,22.3,22.78,4420
TBC,20180410,22.78,23.25,22.78,23.25,2760
TBC,20180409,25.62,25.62,23.25,23.25,20
TBC,20180406,22.78,24.3,22.78,24.2,320
TBC,20180405,23.26,23.26,22.78,22.78,5680
TBC,20180404,23.73,23.73,22.78,23.73,11080
TBC,20180403,23.73,23.73,23.68,23.73,210
TBC,20180402,22.78,22.78,22.78,22.78,5000
TBC,20180330,22.78,22.78,22.78,22.78,1200
TBC,20180329,22.92,22.92,22.88,22.87,5000
TBC,20180328,23.35,23.35,23.35,23.35,40
TBC,20180327,23.35,23.35,23.35,23.35,2000
TBC,20180326,25.62,25.62,23.82,23.82,2000
TBC,20180323,25.53,25.53,25.53,25.53,300
TBC,20180322,24.2,25.62,24.2,25.62,2500
TBC,20180321,24.2,24.2,24.2,24.2,4500
TBC,20180320,23.68,23.73,23.68,23.73,3830
TBC,20180319,23.73,23.73,22.78,22.78,1600
TBC,20180316,,,,23.73,0
TBC,20180315,,,,23.73,0
TBC,20180314,23.26,23.73,23.26,23.73,4100
TBC,20180313,,,,23.73,0
TBC,20180312,23.73,23.73,23.73,23.73,10
TBC,20180309,22.78,22.78,22.78,22.78,10
TBC,20180308,,,,22.78,0
TBC,20180307,,,,22.78,0
TBC,20180306,22.78,22.78,22.78,22.78,3490
TBC,20180305,22.78,22.78,22.78,22.78,420
TBC,20180302,,,,22.78,0
TBC,20180301,22.78,22.78,22.78,22.78,1650
TBC,20180228,24.01,24.01,24.01,24.01,10
TBC,20180227,22.78,22.78,22.78,22.78,2000
TBC,20180226,22.83,22.87,22.78,22.87,2100
TBC,20180223,,,,22.78,0
TBC,20180222,23.25,23.25,22.78,22.78,1100
