<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TC6,20180713,,,,4.2,0
TC6,20180712,4.2,4.2,4.2,4.2,85
TC6,20180711,4.1,4.2,4.1,4.2,6000
TC6,20180710,4.0,4.2,4.0,4.1,4232
TC6,20180709,,,,4.2,0
TC6,20180706,4.0,4.2,4.0,4.2,2227
TC6,20180705,3.8,4.2,3.8,4.2,25950
TC6,20180704,4.1,4.2,4.0,4.2,7680
TC6,20180703,4.1,4.2,4.1,4.2,2100
TC6,20180702,4.2,4.2,4.1,4.2,35100
TC6,20180629,4.2,4.3,4.1,4.1,18400
TC6,20180628,4.2,4.3,4.1,4.3,24900
TC6,20180627,4.2,4.3,4.2,4.2,7700
TC6,20180626,4.2,4.2,4.1,4.2,41150
TC6,20180625,4.3,4.3,4.3,4.3,600
TC6,20180622,,,,4.3,0
TC6,20180621,4.2,4.3,4.2,4.3,8000
TC6,20180620,4.5,4.5,4.1,4.3,8937
TC6,20180619,4.2,4.2,4.2,4.2,21000
TC6,20180618,4.4,4.4,4.3,4.3,5000
TC6,20180615,4.3,4.4,4.3,4.4,2800
TC6,20180614,4.3,4.3,4.3,4.3,200
TC6,20180613,4.3,4.3,4.3,4.3,2000
TC6,20180612,4.5,4.5,4.4,4.4,33000
TC6,20180611,4.2,4.5,4.2,4.5,28300
TC6,20180608,,,,4.3,0
TC6,20180607,4.2,4.3,4.2,4.3,5400
TC6,20180606,4.1,4.2,4.1,4.2,2100
TC6,20180605,4.1,4.2,4.1,4.2,32000
TC6,20180604,4.1,4.1,4.0,4.1,50100
TC6,20180601,4.1,4.1,4.1,4.1,15000
TC6,20180531,,,,4.2,0
TC6,20180530,,,,4.2,0
TC6,20180529,4.1,4.2,4.1,4.2,1600
TC6,20180528,4.1,4.1,4.1,4.1,2450
TC6,20180525,4.2,4.2,4.2,4.2,2000
TC6,20180524,4.1,4.2,4.1,4.2,2100
TC6,20180523,4.2,4.2,4.1,4.1,20600
TC6,20180522,4.2,4.2,4.1,4.2,14700
TC6,20180521,4.2,4.3,4.1,4.3,8152
TC6,20180518,4.2,4.2,4.2,4.2,5000
TC6,20180517,4.2,4.3,4.2,4.3,3465
TC6,20180516,4.3,4.3,4.2,4.3,6169
TC6,20180515,4.5,4.5,4.2,4.4,4615
TC6,20180514,4.21,4.3,4.21,4.3,6980
TC6,20180511,4.21,4.21,4.21,4.21,31932
TC6,20180510,4.21,4.21,4.21,4.21,16600
TC6,20180509,4.21,4.3,4.21,4.3,3932
TC6,20180508,4.2,4.3,4.2,4.3,9427
TC6,20180507,4.21,4.3,4.12,4.11,20485
TC6,20180504,4.21,4.21,4.21,4.21,8511
TC6,20180503,4.3,4.3,4.21,4.21,16500
TC6,20180502,4.21,4.21,4.21,4.21,8264
TC6,20180427,4.21,4.3,4.21,4.3,7100
TC6,20180426,4.2,4.3,4.2,4.3,7995
TC6,20180424,4.21,4.4,4.21,4.39,18100
TC6,20180423,4.3,4.3,4.21,4.21,11500
TC6,20180420,4.21,4.3,4.21,4.21,28152
TC6,20180419,4.3,4.3,4.3,4.3,5400
TC6,20180418,4.4,4.4,4.4,4.39,1100
TC6,20180417,4.3,4.3,4.2,4.21,13975
TC6,20180416,4.39,4.39,4.39,4.39,6000
TC6,20180413,4.39,4.39,4.39,4.39,7200
TC6,20180412,4.68,4.68,4.4,4.39,3200
TC6,20180411,4.49,4.49,4.49,4.49,13400
TC6,20180410,4.49,4.58,4.49,4.49,3500
TC6,20180409,4.4,4.49,4.4,4.49,34434
TC6,20180406,4.49,4.49,4.39,4.49,45732
TC6,20180405,,,,4.58,0
TC6,20180404,4.49,4.58,4.49,4.58,33150
TC6,20180403,4.58,4.58,4.48,4.58,19100
TC6,20180402,4.67,4.67,4.67,4.67,500
TC6,20180330,4.58,4.67,4.48,4.67,115600
TC6,20180329,4.67,4.67,4.67,4.67,3432
TC6,20180328,4.39,4.67,4.39,4.67,3590
TC6,20180327,4.68,4.68,4.68,4.67,4000
TC6,20180326,4.67,4.76,4.58,4.77,8463
TC6,20180323,4.68,4.68,4.68,4.67,3600
TC6,20180322,4.67,4.76,4.67,4.77,300
TC6,20180321,4.68,4.77,4.68,4.67,12300
TC6,20180320,4.67,4.86,4.67,4.77,8187
TC6,20180319,4.67,4.95,4.67,4.95,10700
TC6,20180316,4.67,4.67,4.67,4.67,18095
TC6,20180315,4.68,4.68,4.58,4.67,18585
TC6,20180314,4.86,4.86,4.67,4.77,9108
TC6,20180313,5.05,5.14,4.68,4.67,43662
TC6,20180312,5.14,5.14,4.77,4.77,17430
TC6,20180309,5.23,5.23,4.77,4.86,45600
TC6,20180308,,,,4.86,0
TC6,20180307,4.96,5.24,4.77,4.86,31700
TC6,20180306,4.95,4.95,4.58,4.77,34500
TC6,20180305,4.95,5.04,4.86,4.95,60967
TC6,20180302,4.96,4.96,4.96,4.95,38500
TC6,20180301,5.05,5.14,4.96,5.05,67500
TC6,20180228,4.96,5.05,4.96,5.05,47300
TC6,20180227,4.95,5.04,4.86,5.05,65500
TC6,20180226,4.77,4.95,4.77,4.95,4500
TC6,20180223,4.77,4.86,4.77,4.86,33900
TC6,20180222,4.86,4.86,4.77,4.77,30100
TC6,20180221,4.95,4.95,4.86,4.86,115300
TC6,20180213,4.86,4.86,4.67,4.86,9351
TC6,20180212,4.58,4.67,4.49,4.67,23200
TC6,20180209,4.58,4.68,4.4,4.58,108900
TC6,20180208,4.86,4.95,4.77,4.77,13200
TC6,20180207,4.58,4.95,4.58,4.86,61700
TC6,20180206,4.49,4.67,4.3,4.58,14750
TC6,20180205,4.67,4.86,4.58,4.58,20060
TC6,20180202,4.77,4.95,4.77,4.95,130010
TC6,20180201,4.86,4.96,4.68,4.86,22200
TC6,20180131,4.77,4.86,4.77,4.77,40600
TC6,20180130,4.86,4.95,4.67,4.86,142580
TC6,20180129,4.77,4.86,4.49,4.86,67021
TC6,20180126,4.76,4.76,4.48,4.58,77945
TC6,20180125,4.68,5.05,4.58,4.67,73051
TC6,20180122,4.11,4.48,4.11,4.49,241980
TC6,20180119,4.12,4.12,4.02,4.11,13100
TC6,20180118,3.93,3.93,3.93,3.93,25950
TC6,20180117,,,,4.02,0
TC6,20180116,4.02,4.02,3.93,4.02,12600
TC6,20180115,4.02,4.02,4.02,4.02,6000
TC6,20180112,3.93,4.12,3.93,4.11,21200
TC6,20180111,4.02,4.12,3.93,3.93,35400
TC6,20180110,3.93,4.02,3.83,3.93,66600
TC6,20180109,4.02,4.02,3.93,4.02,14100
TC6,20180108,4.02,4.02,4.02,4.02,50200
TC6,20180105,3.74,4.11,3.74,4.02,54229
TC6,20180104,3.74,3.93,3.74,3.74,18400
TC6,20180103,3.92,4.02,3.74,3.74,75310
TC6,20180102,4.12,4.21,4.12,4.11,3900
TC6,20171229,4.21,4.3,4.12,4.21,49450
TC6,20171228,3.64,4.2,3.64,4.21,80837
TC6,20171227,3.74,3.83,3.74,3.83,14800
TC6,20171226,3.74,3.74,3.74,3.74,12200
TC6,20171225,3.93,3.93,3.93,3.93,100
TC6,20171222,3.83,3.83,3.64,3.74,47200
TC6,20171221,3.84,3.84,3.84,3.83,200
TC6,20171220,3.93,3.93,3.93,3.93,50
TC6,20171219,,,,3.93,0
TC6,20171218,3.83,3.93,3.65,3.93,62855
TC6,20171215,3.93,4.02,3.84,4.02,4420
TC6,20171214,4.02,4.02,3.93,3.93,16000
TC6,20171213,3.93,4.02,3.93,4.02,10300
TC6,20171212,3.93,3.93,3.74,3.93,50900
TC6,20171211,3.83,3.93,3.83,3.93,6400
TC6,20171208,3.83,3.83,3.74,3.74,9100
TC6,20171207,3.93,3.93,3.74,3.74,1200
TC6,20171206,3.74,3.83,3.74,3.74,19100
TC6,20171205,3.83,3.83,3.83,3.83,2590
TC6,20171204,3.74,3.93,3.74,3.83,13600
TC6,20171201,3.74,3.93,3.74,3.93,11300
TC6,20171130,4.02,4.02,3.74,3.93,4700
TC6,20171129,3.93,3.93,3.93,3.93,8000
TC6,20171128,3.74,3.93,3.74,3.93,3500
TC6,20171127,3.93,3.93,3.65,3.93,3600
TC6,20171124,3.74,3.74,3.64,3.74,550
TC6,20171123,3.74,3.83,3.74,3.83,825
TC6,20171122,3.74,3.83,3.74,3.83,200
TC6,20171121,3.74,3.83,3.74,3.83,3104
TC6,20171120,,,,3.83,0
TC6,20171117,3.83,3.83,3.83,3.83,2000
TC6,20171116,3.83,4.02,3.74,4.02,9300
TC6,20171115,3.74,3.84,3.65,3.83,6900
TC6,20171114,3.74,3.74,3.65,3.65,7600
TC6,20171113,3.64,3.74,3.55,3.65,36900
TC6,20171110,3.74,3.83,3.74,3.83,4200
TC6,20171109,3.74,3.83,3.64,3.74,10000
TC6,20171108,3.65,3.93,3.65,3.83,43500
TC6,20171107,3.83,3.83,3.46,3.65,90400
TC6,20171106,,,,3.83,0
TC6,20171103,3.83,3.93,3.74,3.83,4300
TC6,20171102,3.83,3.93,3.74,3.74,6600
TC6,20171101,3.93,3.93,3.74,3.74,42400
TC6,20171031,3.93,3.93,3.93,3.93,27100
TC6,20171030,4.02,4.02,3.93,3.93,31200
TC6,20171027,4.02,4.02,3.92,4.02,11500
TC6,20171026,4.02,4.11,3.92,4.11,10120
TC6,20171025,4.11,4.11,4.11,4.11,100
TC6,20171024,3.92,4.11,3.92,4.02,14900
TC6,20171023,4.02,4.11,3.93,4.11,3215
