<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TCB,20180713,26.4,26.5,26.0,26.2,406500
TCB,20180712,26.0,26.0,25.1,26.0,686180
TCB,20180711,27.1,27.1,25.75,25.75,1134570
TCB,20180710,28.5,28.5,27.5,27.65,549100
TCB,20180709,29.0,29.2,27.85,28.5,631240
TCB,20180706,28.0,29.0,27.0,28.8,1160990
TCB,20180705,28.85,28.85,27.0,28.15,1583450
TCB,20180704,26.84,27.0,25.37,27.0,1102650
TCB,20180703,29.17,29.43,27.27,27.27,2112230
TCB,20180702,30.6,30.6,29.0,29.3,669570
TCB,20180629,30.33,30.66,29.0,30.57,1583700
TCB,20180628,31.0,31.17,29.5,30.73,1319230
TCB,20180627,31.17,31.67,31.17,31.2,394860
TCB,20180626,31.47,31.84,31.4,31.67,493790
TCB,20180625,32.0,32.34,31.9,31.97,918340
TCB,20180622,31.7,31.7,31.2,31.67,328710
TCB,20180621,31.8,31.8,31.1,31.73,497790
TCB,20180620,31.67,32.17,31.04,31.73,554870
TCB,20180619,31.7,32.33,31.0,31.67,2092720
TCB,20180618,34.7,35.0,32.67,33.33,825810
TCB,20180615,35.17,35.17,34.5,35.07,723460
TCB,20180614,35.5,35.5,34.5,35.0,617130
TCB,20180613,35.0,36.0,34.83,35.13,772670
TCB,20180612,36.0,36.0,34.3,35.0,1139130
TCB,20180611,34.94,36.34,34.4,36.33,1229830
TCB,20180608,33.67,35.07,33.17,35.07,2008500
TCB,20180607,31.5,32.8,31.04,32.8,1376540
TCB,20180606,31.67,32.0,30.33,30.67,1605480
TCB,20180605,33.03,35.33,32.0,32.0,1357500
TCB,20180604,,,,,0
