<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TCO,20180713,,,,11.9,0
TCO,20180712,,,,11.9,0
TCO,20180711,,,,11.9,0
TCO,20180710,,,,11.9,0
TCO,20180709,,,,11.9,0
TCO,20180706,,,,11.9,0
TCO,20180705,,,,11.9,0
TCO,20180704,,,,11.9,0
TCO,20180703,,,,11.9,0
TCO,20180702,,,,11.9,0
TCO,20180629,,,,11.9,0
TCO,20180628,,,,11.9,0
TCO,20180627,,,,11.9,0
TCO,20180626,,,,11.9,0
TCO,20180625,,,,11.9,0
TCO,20180622,,,,11.9,0
TCO,20180621,,,,11.9,0
TCO,20180620,,,,11.9,0
TCO,20180619,10.9,11.9,10.9,11.9,310
TCO,20180618,,,,11.5,0
TCO,20180615,10.0,11.5,10.0,11.5,230
TCO,20180614,,,,10.75,0
TCO,20180613,10.75,10.75,10.75,10.75,990
TCO,20180612,11.55,11.55,11.55,11.55,20
TCO,20180611,,,,12.4,0
TCO,20180608,,,,12.4,0
TCO,20180607,,,,12.4,0
TCO,20180606,12.4,12.4,12.4,12.4,30
TCO,20180605,,,,13.3,0
TCO,20180604,11.9,13.3,11.9,13.3,120
TCO,20180601,12.75,12.75,12.75,12.75,10
TCO,20180531,,,,11.95,0
TCO,20180530,,,,11.95,0
TCO,20180529,11.95,11.95,11.95,11.95,10
TCO,20180528,11.3,11.3,11.3,11.3,100
TCO,20180525,,,,12.15,0
TCO,20180524,13.1,13.1,11.5,12.15,130
TCO,20180523,12.25,12.25,12.25,12.25,10
TCO,20180522,11.75,11.75,11.7,11.7,20
TCO,20180521,12.0,12.0,11.0,11.0,120
TCO,20180518,11.8,11.8,11.8,11.8,100
TCO,20180517,9.63,11.05,9.63,11.05,30
TCO,20180516,10.25,11.75,10.25,10.35,30
TCO,20180515,9.58,11.0,9.58,11.0,30
TCO,20180514,9.07,10.3,9.07,10.3,130
TCO,20180511,9.75,9.75,9.75,9.75,20
TCO,20180510,,,,10.45,0
TCO,20180509,10.45,10.45,10.45,10.45,30
TCO,20180508,,,,9.77,0
TCO,20180507,9.77,9.77,9.77,9.77,40
TCO,20180504,10.5,10.5,10.5,10.5,10
TCO,20180503,9.96,11.25,9.96,11.25,20
TCO,20180502,10.53,10.53,10.53,10.53,10
TCO,20180427,,,,11.3,0
TCO,20180426,11.3,11.3,11.3,11.3,1120
TCO,20180424,10.58,12.12,10.58,12.11,120
TCO,20180423,11.3,11.35,11.3,11.35,360
TCO,20180420,10.92,11.49,10.92,11.49,1310
TCO,20180419,10.72,11.73,10.72,11.73,70
TCO,20180418,12.16,12.16,11.49,11.49,40
TCO,20180417,11.45,12.31,11.45,12.3,210
TCO,20180416,,,,12.26,0
TCO,20180413,11.49,12.25,11.49,12.26,1130
TCO,20180412,12.16,12.35,11.35,12.35,150
TCO,20180411,12.16,12.16,12.16,12.16,10
TCO,20180410,12.4,12.45,11.59,11.59,210
TCO,20180409,12.45,12.45,12.45,12.45,10
TCO,20180406,12.4,12.4,11.39,11.97,10480
TCO,20180405,12.16,12.16,12.16,12.16,240
TCO,20180404,14.99,14.99,13.07,13.07,570
TCO,20180403,14.03,14.03,14.03,14.03,10
TCO,20180402,,,,13.12,0
TCO,20180330,11.49,13.12,11.49,13.12,1010
TCO,20180329,,,,12.35,0
TCO,20180328,,,,12.35,0
TCO,20180327,,,,12.35,0
TCO,20180326,,,,12.35,0
TCO,20180323,,,,12.35,0
TCO,20180322,,,,12.35,0
TCO,20180321,,,,12.35,0
TCO,20180320,,,,12.35,0
TCO,20180319,,,,12.35,0
TCO,20180316,12.16,12.35,12.16,12.35,1850
TCO,20180315,,,,12.35,0
TCO,20180314,12.35,12.35,12.35,12.35,10
TCO,20180313,,,,11.78,0
TCO,20180312,,,,11.78,0
TCO,20180309,11.49,11.78,11.49,11.78,640
TCO,20180308,11.78,11.78,11.78,11.78,10
TCO,20180307,,,,11.49,0
TCO,20180306,11.49,11.87,11.49,11.49,2100
TCO,20180305,11.97,11.97,11.97,11.97,1000
TCO,20180302,,,,11.97,0
TCO,20180301,,,,11.97,0
TCO,20180228,,,,11.97,0
TCO,20180227,,,,11.97,0
TCO,20180226,,,,11.97,0
TCO,20180223,11.97,11.97,11.97,11.97,100
TCO,20180222,11.16,11.97,11.16,11.97,1550
TCO,20180221,,,,11.97,0
TCO,20180213,11.96,11.96,11.96,11.97,5000
TCO,20180212,12.73,12.73,12.73,12.73,10
TCO,20180209,,,,12.73,0
TCO,20180208,,,,12.73,0
TCO,20180207,,,,12.73,0
TCO,20180206,,,,12.73,0
TCO,20180205,12.74,12.74,12.74,12.73,10
TCO,20180202,,,,12.02,0
TCO,20180201,,,,12.02,0
TCO,20180131,,,,12.02,0
TCO,20180130,12.02,12.02,12.02,12.02,30
TCO,20180129,12.02,12.02,12.02,12.02,1040
TCO,20180126,11.25,11.25,11.25,11.25,1000
TCO,20180125,10.53,10.53,10.53,10.53,2400
TCO,20180122,,,,10.53,0
TCO,20180119,10.54,10.54,10.54,10.53,20
TCO,20180118,10.24,10.24,10.24,10.25,10
TCO,20180117,11.02,11.02,11.02,11.01,300
TCO,20180116,11.29,11.29,10.74,10.74,210
TCO,20180115,11.47,11.47,11.47,11.47,790
TCO,20180112,11.24,11.47,11.24,11.47,7790
TCO,20180111,11.24,11.24,11.24,11.24,10000
TCO,20180110,11.47,11.47,10.51,10.51,27120
TCO,20180109,11.29,11.29,11.29,11.29,430
TCO,20180108,10.92,11.29,10.92,11.29,930
TCO,20180105,,,,11.47,0
TCO,20180104,11.01,11.47,11.01,11.47,2990
TCO,20180103,11.01,11.47,10.92,11.29,6920
TCO,20180102,11.1,11.1,11.1,11.1,10
TCO,20171229,11.93,11.93,11.93,11.93,31610
TCO,20171228,11.56,12.29,11.56,12.3,110
TCO,20171227,11.56,11.56,11.56,11.56,10
TCO,20171226,10.09,10.83,10.09,10.83,40
TCO,20171225,10.37,10.37,10.37,10.37,2790
TCO,20171222,10.37,10.37,10.37,10.37,10
TCO,20171221,10.37,10.37,10.37,10.37,20
TCO,20171220,10.37,10.37,10.37,10.37,21020
TCO,20171219,10.09,10.37,10.09,10.37,3560
TCO,20171218,10.37,10.37,10.09,10.09,510
TCO,20171215,,,,10.09,0
TCO,20171214,10.09,10.09,10.09,10.09,1000
TCO,20171213,,,,10.09,0
TCO,20171212,11.51,11.51,10.09,10.09,20
TCO,20171211,10.78,10.78,10.78,10.78,10
TCO,20171208,,,,10.09,0
TCO,20171207,,,,10.09,0
TCO,20171206,,,,10.09,0
TCO,20171205,10.1,10.1,10.1,10.09,60430
TCO,20171204,10.27,10.27,10.27,10.28,100
TCO,20171201,10.51,10.56,10.51,10.55,4120
TCO,20171130,11.28,11.28,11.28,11.29,10
TCO,20171129,10.55,10.55,10.55,10.55,10
TCO,20171128,10.55,10.55,10.55,10.55,200
TCO,20171127,,,,10.55,0
TCO,20171124,,,,10.55,0
TCO,20171123,10.55,10.55,10.55,10.55,5000
TCO,20171122,,,,10.37,0
TCO,20171121,10.37,10.37,10.37,10.37,1600
TCO,20171120,,,,10.55,0
TCO,20171117,10.55,10.55,10.55,10.55,12000
TCO,20171116,,,,10.23,0
