<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TCS,20180713,4.5,4.5,4.5,4.5,100
TCS,20180712,,,,4.4,0
TCS,20180711,,,,4.4,0
TCS,20180710,,,,4.4,0
TCS,20180709,,,,4.4,0
TCS,20180706,,,,4.4,0
TCS,20180705,,,,4.4,0
TCS,20180704,4.4,4.4,4.4,4.4,10000
TCS,20180703,4.3,4.5,4.3,4.5,20100
TCS,20180702,,,,4.5,0
TCS,20180629,4.4,4.5,4.4,4.5,10900
TCS,20180628,4.4,4.4,4.3,4.4,10200
TCS,20180627,4.3,4.3,4.3,4.3,4800
TCS,20180626,4.3,4.3,4.3,4.3,1500
TCS,20180625,4.3,4.3,4.3,4.3,21100
TCS,20180622,4.3,4.3,4.3,4.3,43
TCS,20180621,4.3,4.3,4.3,4.3,150
TCS,20180620,4.1,4.5,4.1,4.5,500
TCS,20180619,4.2,4.2,4.2,4.2,1100
TCS,20180618,4.2,4.5,4.2,4.5,4137
TCS,20180615,4.4,4.4,4.4,4.4,10200
TCS,20180614,,,,4.6,0
TCS,20180613,,,,4.6,0
TCS,20180612,4.5,4.6,4.5,4.6,300
TCS,20180611,4.3,4.5,4.3,4.5,48228
TCS,20180608,4.2,4.2,4.2,4.2,3012
TCS,20180607,4.2,4.3,4.1,4.3,9981
TCS,20180606,4.2,4.2,4.2,4.2,18200
TCS,20180605,4.2,4.2,4.2,4.2,10000
TCS,20180604,4.1,4.2,4.1,4.2,11000
TCS,20180601,,,,4.2,0
TCS,20180531,4.2,4.2,4.2,4.2,3800
TCS,20180530,4.2,4.3,4.2,4.3,10100
TCS,20180529,,,,4.5,0
TCS,20180528,,,,4.5,0
TCS,20180525,4.3,4.5,4.2,4.5,4550
TCS,20180524,4.5,4.5,4.5,4.5,352
TCS,20180523,4.11,4.3,4.11,4.3,3200
TCS,20180522,4.11,4.3,4.11,4.3,1890
TCS,20180521,4.21,4.3,4.21,4.3,2100
TCS,20180518,4.3,4.3,4.3,4.3,13
TCS,20180517,4.3,4.3,4.3,4.3,309
