<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TDW,20180713,21.6,23.0,21.6,21.65,140
TDW,20180712,24.9,23.2,23.2,23.2,100
TDW,20180711,,,,24.9,0
TDW,20180710,,,,24.9,0
TDW,20180709,,,,24.9,0
TDW,20180706,22.05,24.9,22.05,24.9,20
TDW,20180705,21.3,23.7,21.3,23.7,20
TDW,20180704,20.75,22.9,20.75,22.9,100
TDW,20180703,19.75,22.3,19.75,22.3,20
TDW,20180702,20.9,20.9,20.9,20.9,10
TDW,20180629,19.7,22.4,19.7,22.4,20
TDW,20180628,,,,21.0,0
TDW,20180627,20.95,22.1,20.95,21.0,40
TDW,20180626,19.8,22.5,19.8,22.5,20
TDW,20180625,18.7,21.15,18.7,21.15,20
TDW,20180622,19.75,19.8,19.75,19.8,20
TDW,20180621,21.2,21.2,21.2,21.2,10
TDW,20180620,21.6,21.6,21.3,21.3,40
TDW,20180619,,,,20.3,0
TDW,20180618,20.3,20.3,20.3,20.3,20
TDW,20180615,19.0,19.0,19.0,19.0,10
TDW,20180614,,,,20.2,0
TDW,20180613,,,,20.2,0
TDW,20180612,20.0,20.8,20.0,20.2,130
TDW,20180611,20.0,20.0,20.0,20.0,10
TDW,20180608,19.1,21.4,19.1,21.4,50
TDW,20180607,,,,20.1,0
TDW,20180606,21.0,21.0,20.1,20.1,470
TDW,20180605,,,,21.0,0
TDW,20180604,20.0,21.0,20.0,21.0,130
TDW,20180601,19.7,19.7,19.7,19.7,10
TDW,20180531,,,,18.45,0
TDW,20180530,,,,18.45,0
TDW,20180529,18.45,18.45,18.45,18.45,10
TDW,20180528,,,,19.75,0
TDW,20180525,19.75,19.75,19.75,19.75,10
TDW,20180524,21.05,21.05,21.05,21.05,10
TDW,20180523,19.7,19.7,19.7,19.7,10
TDW,20180522,21.09,21.09,21.09,21.09,10
TDW,20180521,19.75,19.75,19.75,19.75,10
TDW,20180518,20.66,20.66,20.66,20.66,10
TDW,20180517,,,,20.66,0
TDW,20180516,20.66,20.66,20.66,20.66,10
TDW,20180515,19.03,21.76,19.03,21.76,70
TDW,20180514,20.37,20.37,20.37,20.37,10
TDW,20180511,,,,21.9,0
TDW,20180510,,,,21.9,0
TDW,20180509,,,,21.9,0
TDW,20180508,21.89,21.89,21.89,21.9,20
TDW,20180507,23.52,23.52,23.52,23.52,1010
TDW,20180504,,,,21.99,0
TDW,20180503,,,,21.99,0
TDW,20180502,19.51,22.0,19.51,21.99,20
TDW,20180427,,,,20.85,0
TDW,20180426,20.85,20.85,20.85,20.85,10
TDW,20180424,20.85,20.85,20.75,20.75,480
TDW,20180423,21.04,21.04,21.04,21.04,10
TDW,20180420,21.04,21.04,21.04,21.04,10
TDW,20180419,20.95,20.95,20.95,20.94,20
TDW,20180418,,,,20.85,0
TDW,20180417,,,,20.85,0
TDW,20180416,20.85,20.85,20.85,20.85,20
TDW,20180413,21.04,21.04,21.04,21.04,10
TDW,20180412,21.04,21.04,20.56,20.56,200
TDW,20180411,,,,21.8,0
TDW,20180410,,,,21.8,0
TDW,20180409,,,,21.8,0
TDW,20180406,,,,21.8,0
TDW,20180405,,,,21.8,0
TDW,20180404,21.8,21.8,21.8,21.8,500
TDW,20180403,20.56,20.56,20.56,20.56,240
TDW,20180402,21.99,21.99,20.27,20.46,520
TDW,20180330,,,,20.56,0
TDW,20180329,20.56,20.56,20.56,20.56,10
TDW,20180328,20.56,20.56,20.56,20.56,10
TDW,20180327,19.22,19.22,19.22,19.22,20
TDW,20180326,19.22,19.22,19.22,19.22,20
TDW,20180323,,,,20.56,0
TDW,20180322,19.94,21.33,19.94,20.56,140
TDW,20180321,19.94,19.94,19.94,19.94,10
TDW,20180320,,,,18.65,0
TDW,20180319,18.64,18.64,18.64,18.65,20
TDW,20180316,19.17,19.6,18.64,19.6,120
TDW,20180315,21.23,21.23,19.84,19.84,20
TDW,20180314,19.79,19.84,19.79,19.84,510
TDW,20180313,18.69,19.12,18.69,18.74,200
TDW,20180312,,,,19.89,0
TDW,20180309,,,,19.89,0
