<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TET,20180713,,,,25.9,0
TET,20180712,,,,25.9,0
TET,20180711,,,,25.9,0
TET,20180710,,,,25.9,0
TET,20180709,,,,25.9,0
TET,20180706,,,,25.9,0
TET,20180705,,,,25.9,0
TET,20180704,,,,25.9,0
TET,20180703,,,,25.9,0
TET,20180702,,,,25.9,0
TET,20180629,,,,25.9,0
TET,20180628,,,,25.9,0
TET,20180627,,,,25.9,0
TET,20180626,,,,25.9,0
TET,20180625,,,,25.9,0
TET,20180622,,,,25.9,0
TET,20180621,,,,25.9,0
TET,20180620,,,,25.9,0
TET,20180619,,,,25.9,0
TET,20180618,,,,25.9,0
TET,20180615,,,,25.9,0
TET,20180614,,,,25.9,0
TET,20180613,,,,25.9,0
TET,20180612,,,,25.9,0
TET,20180611,,,,25.9,0
TET,20180608,,,,25.9,0
TET,20180607,,,,25.9,0
TET,20180606,,,,25.9,0
TET,20180605,,,,25.9,0
TET,20180604,,,,25.9,0
TET,20180601,,,,25.9,0
TET,20180531,,,,25.9,0
TET,20180530,,,,25.9,0
TET,20180529,,,,25.9,0
TET,20180528,,,,25.9,0
TET,20180525,,,,25.9,0
TET,20180524,,,,25.9,0
TET,20180523,,,,25.9,0
TET,20180522,,,,25.9,0
TET,20180521,,,,25.9,0
TET,20180518,,,,25.9,0
TET,20180517,,,,25.9,0
TET,20180516,,,,25.9,0
TET,20180515,,,,25.9,0
TET,20180514,,,,25.9,0
TET,20180511,,,,25.9,0
TET,20180510,,,,25.9,0
TET,20180509,,,,25.9,0
TET,20180508,,,,25.9,0
TET,20180507,,,,25.9,0
TET,20180504,,,,25.9,0
TET,20180503,,,,25.9,0
TET,20180502,,,,25.9,0
TET,20180427,,,,25.9,0
TET,20180426,,,,25.9,0
TET,20180424,,,,25.9,0
TET,20180423,,,,25.9,0
TET,20180420,,,,25.9,0
TET,20180419,,,,25.9,0
TET,20180418,,,,25.9,0
TET,20180417,25.9,25.9,25.9,25.9,30
TET,20180416,,,,25.9,0
TET,20180413,,,,25.9,0
TET,20180412,,,,25.9,0
TET,20180411,,,,25.9,0
TET,20180410,,,,25.9,0
TET,20180409,,,,25.9,0
TET,20180406,,,,25.9,0
TET,20180405,,,,25.9,0
TET,20180404,,,,25.9,0
TET,20180403,,,,25.9,0
TET,20180402,,,,25.9,0
TET,20180330,,,,25.9,0
TET,20180329,,,,25.9,0
TET,20180328,,,,25.9,0
TET,20180327,,,,25.9,0
TET,20180326,,,,25.9,0
TET,20180323,,,,25.9,0
TET,20180322,,,,25.9,0
TET,20180321,,,,25.9,0
TET,20180320,,,,25.9,0
TET,20180319,,,,25.9,0
TET,20180316,,,,25.9,0
TET,20180315,,,,25.9,0
TET,20180314,,,,25.9,0
TET,20180313,,,,25.9,0
TET,20180312,,,,25.9,0
TET,20180309,,,,25.9,0
TET,20180308,,,,25.9,0
TET,20180307,,,,25.9,0
TET,20180306,,,,25.9,0
TET,20180305,,,,25.9,0
TET,20180302,,,,25.9,0
TET,20180301,,,,25.9,0
TET,20180228,,,,25.9,0
TET,20180227,,,,25.9,0
TET,20180226,,,,25.9,0
TET,20180223,,,,25.9,0
TET,20180222,,,,25.9,0
TET,20180221,,,,25.9,0
TET,20180213,,,,25.9,0
TET,20180212,,,,25.9,0
TET,20180209,,,,25.9,0
TET,20180208,,,,25.9,0
TET,20180207,,,,25.9,0
TET,20180206,,,,25.9,0
TET,20180205,,,,25.9,0
TET,20180202,,,,25.9,0
TET,20180201,,,,25.9,0
TET,20180131,,,,25.9,0
TET,20180130,,,,25.9,0
TET,20180129,,,,25.9,0
TET,20180126,25.9,25.9,25.9,25.9,735
TET,20180125,,,,28.74,0
TET,20180122,,,,28.74,0
TET,20180119,,,,28.74,0
TET,20180118,,,,28.74,0
TET,20180117,,,,28.74,0
TET,20180116,,,,28.74,0
TET,20180115,,,,28.74,0
TET,20180112,,,,28.74,0
TET,20180111,,,,28.74,0
TET,20180110,,,,28.74,0
TET,20180109,,,,28.74,0
TET,20180108,,,,28.74,0
TET,20180105,,,,28.74,0
TET,20180104,,,,28.74,0
TET,20180103,,,,28.74,0
TET,20180102,,,,28.74,0
TET,20171229,,,,28.74,0
TET,20171228,,,,28.74,0
TET,20171227,,,,28.74,0
TET,20171226,,,,28.74,0
TET,20171225,,,,28.74,0
TET,20171222,,,,28.74,0
TET,20171221,,,,28.74,0
TET,20171220,,,,28.74,0
TET,20171219,,,,28.74,0
TET,20171218,,,,28.74,0
TET,20171215,,,,28.74,0
TET,20171214,,,,28.74,0
TET,20171213,,,,28.74,0
TET,20171212,,,,28.74,0
TET,20171211,,,,28.74,0
TET,20171208,,,,28.74,0
TET,20171207,,,,28.74,0
TET,20171206,,,,28.74,0
TET,20171205,,,,28.74,0
TET,20171204,,,,28.74,0
TET,20171201,,,,28.74,0
TET,20171130,,,,28.74,0
TET,20171129,,,,28.74,0
TET,20171128,,,,28.74,0
TET,20171127,,,,28.74,0
TET,20171124,,,,28.74,0
TET,20171123,,,,28.74,0
TET,20171122,,,,28.74,0
TET,20171121,,,,28.74,0
TET,20171120,,,,28.74,0
TET,20171117,,,,28.74,0
TET,20171116,28.74,28.74,28.74,28.74,3
TET,20171115,28.74,28.74,28.74,28.74,100
TET,20171114,28.74,28.74,28.74,28.74,8230
TET,20171113,,,,28.74,0
TET,20171110,,,,28.74,0
TET,20171109,,,,28.74,0
TET,20171108,,,,28.74,0
TET,20171107,,,,28.74,0
TET,20171106,,,,28.74,0
TET,20171103,,,,28.74,0
TET,20171102,,,,28.74,0
TET,20171101,,,,28.74,0
TET,20171031,,,,28.74,0
TET,20171030,,,,28.74,0
TET,20171027,,,,28.74,0
TET,20171026,,,,28.74,0
TET,20171025,,,,28.74,0
TET,20171024,,,,28.74,0
TET,20171023,,,,28.74,0
TET,20171020,,,,28.74,0
TET,20171019,,,,28.74,0
TET,20171018,,,,28.74,0
TET,20171017,,,,28.74,0
TET,20171016,,,,28.74,0
TET,20171013,,,,28.74,0
TET,20171012,,,,28.74,0
TET,20171011,,,,28.74,0
TET,20171010,,,,28.74,0
TET,20171009,,,,28.74,0
TET,20171006,,,,28.74,0
TET,20171005,,,,28.74,0
TET,20171004,,,,28.74,0
TET,20171003,28.74,28.74,28.74,28.74,200
TET,20171002,28.74,28.74,28.74,28.74,100
TET,20170929,,,,28.74,0
TET,20170928,28.74,28.74,28.74,28.74,500
TET,20170927,28.74,28.74,28.74,28.74,1038
TET,20170926,28.74,28.74,28.74,28.74,2000
TET,20170925,,,,28.74,0
TET,20170922,,,,28.74,0
TET,20170921,,,,28.74,0
TET,20170920,,,,28.74,0
TET,20170919,,,,28.74,0
TET,20170918,,,,28.74,0
TET,20170915,,,,28.74,0
TET,20170914,,,,28.74,0
TET,20170913,,,,28.74,0
TET,20170912,,,,28.74,0
TET,20170911,,,,28.74,0
TET,20170908,,,,28.74,0
TET,20170907,,,,28.74,0
TET,20170906,,,,28.74,0
TET,20170905,,,,28.74,0
TET,20170901,,,,28.74,0
TET,20170831,,,,28.74,0
TET,20170830,,,,28.74,0
TET,20170829,,,,28.74,0
TET,20170828,,,,28.74,0
