<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TFC,20180713,,,,5.3,0
TFC,20180712,5.3,5.3,5.3,5.3,100
TFC,20180711,,,,4.9,0
TFC,20180710,,,,4.9,0
TFC,20180709,,,,4.9,0
TFC,20180706,,,,4.9,0
TFC,20180705,,,,4.9,0
TFC,20180704,,,,4.9,0
TFC,20180703,,,,4.9,0
TFC,20180702,,,,4.9,0
TFC,20180629,4.9,4.9,4.9,4.9,800
TFC,20180628,4.6,4.6,4.6,4.6,1606
TFC,20180627,,,,4.2,0
TFC,20180626,,,,4.2,0
TFC,20180625,,,,4.2,0
TFC,20180622,,,,4.2,0
TFC,20180621,4.4,4.4,4.2,4.2,3100
TFC,20180620,,,,4.6,0
TFC,20180619,,,,4.6,0
TFC,20180618,,,,4.6,0
TFC,20180615,4.6,4.6,4.6,4.6,1000
TFC,20180614,5.4,5.4,5.0,5.0,2100
TFC,20180613,5.4,5.4,5.3,5.4,14900
TFC,20180612,5.4,5.4,5.4,5.4,2900
TFC,20180611,5.4,5.4,5.4,5.4,3100
TFC,20180608,,,,5.4,0
TFC,20180607,5.4,5.4,5.4,5.4,3000
TFC,20180606,5.3,5.4,5.3,5.4,6000
TFC,20180605,5.3,5.4,5.3,5.4,3000
TFC,20180604,5.3,5.3,5.3,5.3,1000
TFC,20180601,5.2,5.3,5.2,5.3,7500
TFC,20180531,5.2,5.2,5.2,5.2,3000
TFC,20180530,,,,5.3,0
TFC,20180529,,,,5.3,0
TFC,20180528,,,,5.3,0
TFC,20180525,4.5,5.3,4.5,5.3,4900
TFC,20180524,4.9,4.9,4.9,4.9,8800
TFC,20180523,5.5,5.6,5.4,5.4,10550
TFC,20180522,5.5,5.5,5.4,5.4,9700
TFC,20180521,5.5,5.5,5.5,5.5,300
TFC,20180518,,,,5.4,0
TFC,20180517,5.5,5.5,5.3,5.4,5500
TFC,20180516,5.5,5.5,5.5,5.5,2000
TFC,20180515,,,,5.5,0
TFC,20180514,,,,5.5,0
TFC,20180511,5.4,5.5,5.4,5.5,3200
TFC,20180510,5.7,5.7,5.5,5.5,200
TFC,20180509,,,,5.2,0
TFC,20180508,5.3,5.4,5.2,5.2,5500
TFC,20180507,5.3,5.5,5.2,5.3,12020
TFC,20180504,5.2,5.2,5.2,5.2,4500
TFC,20180503,5.3,5.3,5.3,5.3,162
TFC,20180502,5.3,5.3,5.3,5.3,541
TFC,20180427,5.3,5.3,5.2,5.3,7700
TFC,20180426,5.3,5.3,5.3,5.3,3000
TFC,20180424,5.3,5.3,5.2,5.2,2500
TFC,20180423,5.3,5.3,5.3,5.3,82
TFC,20180420,,,,5.3,0
TFC,20180419,5.2,5.3,5.2,5.3,5000
TFC,20180418,5.2,5.2,5.2,5.2,3200
TFC,20180417,5.4,5.4,5.2,5.2,3250
TFC,20180416,,,,5.1,0
TFC,20180413,5.2,5.2,5.1,5.1,8300
TFC,20180412,5.2,5.2,5.2,5.2,800
TFC,20180411,5.3,5.3,5.2,5.2,4500
TFC,20180410,5.3,5.4,5.3,5.4,5000
TFC,20180409,5.5,5.5,4.6,5.2,10400
TFC,20180406,5.2,5.2,5.1,5.1,7900
TFC,20180405,4.9,5.1,4.9,5.1,6130
TFC,20180404,4.9,5.3,4.5,5.3,1300
TFC,20180403,5.0,5.0,5.0,5.0,500
TFC,20180402,4.6,5.0,4.6,5.0,2300
TFC,20180330,5.0,5.0,4.9,4.9,17400
TFC,20180329,5.5,5.5,5.3,5.3,2300
TFC,20180328,,,,5.5,0
TFC,20180327,5.5,5.5,5.5,5.5,50
TFC,20180326,4.9,5.5,4.9,5.5,6300
TFC,20180323,5.3,5.4,4.9,5.4,28600
TFC,20180322,5.0,5.3,5.0,5.3,3000
TFC,20180321,5.1,5.5,5.1,5.3,14900
TFC,20180320,5.1,5.1,5.1,5.1,3550
TFC,20180319,4.8,5.2,4.7,4.7,6300
TFC,20180316,5.0,5.0,4.8,4.8,12100
TFC,20180315,5.4,5.8,4.9,5.3,2900
TFC,20180314,5.7,5.7,5.4,5.4,3500
TFC,20180313,5.8,5.9,5.8,5.9,1600
TFC,20180312,5.8,5.8,5.8,5.8,2400
TFC,20180309,5.9,6.1,5.9,6.1,1100
TFC,20180308,6.0,6.0,6.0,6.0,1000
TFC,20180307,5.9,5.9,5.9,5.9,50
TFC,20180306,5.9,5.9,5.9,5.9,1000
TFC,20180305,5.9,5.9,5.7,5.7,5050
TFC,20180302,5.7,5.7,5.7,5.7,100
TFC,20180301,5.7,5.7,5.5,5.5,3800
TFC,20180228,5.8,5.8,5.5,5.5,6500
TFC,20180227,5.5,5.8,5.5,5.8,2300
TFC,20180226,5.5,5.9,5.5,5.9,2103
TFC,20180223,5.8,5.8,5.8,5.8,80
TFC,20180222,5.4,5.8,5.4,5.8,600
TFC,20180221,,,,5.5,0
TFC,20180213,4.5,5.5,4.5,5.5,4300
TFC,20180212,,,,5.0,0
TFC,20180209,5.2,5.2,5.0,5.0,5000
TFC,20180208,5.1,5.2,5.1,5.2,2000
TFC,20180207,4.9,5.0,4.9,5.0,3500
TFC,20180206,4.6,4.8,4.6,4.8,4000
TFC,20180205,4.8,4.8,4.5,4.5,4000
TFC,20180202,4.6,4.6,4.2,4.6,26400
TFC,20180201,4.4,4.4,4.2,4.2,3200
TFC,20180131,4.5,4.5,4.5,4.5,15500
TFC,20180130,4.9,4.9,4.9,4.9,100
TFC,20180129,4.6,4.6,4.5,4.6,3000
TFC,20180126,5.0,5.0,4.5,5.0,6000
TFC,20180125,5.0,5.0,5.0,5.0,1300
TFC,20180122,5.0,5.1,5.0,5.1,44600
TFC,20180119,4.6,4.7,4.6,4.7,300
TFC,20180118,4.8,5.0,4.8,5.0,1100
TFC,20180117,5.1,5.1,5.1,5.1,3700
TFC,20180116,,,,5.0,0
TFC,20180115,4.9,5.0,4.5,5.0,4800
TFC,20180112,5.1,5.1,5.0,5.0,4500
TFC,20180111,5.0,5.3,5.0,5.0,7100
TFC,20180110,4.5,5.4,4.5,5.4,2800
TFC,20180109,5.0,5.0,5.0,5.0,200
TFC,20180108,4.7,5.1,4.7,4.7,56700
TFC,20180105,5.2,6.0,5.2,5.2,27600
TFC,20180104,5.1,5.7,4.8,5.7,3300
TFC,20180103,4.6,5.2,4.5,5.2,19000
TFC,20180102,,,,5.0,0
TFC,20171229,,,,5.0,0
TFC,20171228,5.2,5.2,5.0,5.0,11009
TFC,20171227,5.7,5.7,5.3,5.3,10300
TFC,20171226,,,,5.2,0
TFC,20171225,5.2,5.2,5.2,5.2,1020
TFC,20171222,5.8,5.8,5.1,5.1,1600
TFC,20171221,5.6,5.6,5.3,5.3,2600
TFC,20171220,5.8,5.8,5.8,5.8,1000
TFC,20171219,5.4,5.7,5.4,5.7,4100
TFC,20171218,6.4,6.4,6.0,6.0,4600
TFC,20171215,6.1,6.6,6.1,6.6,15700
TFC,20171214,6.0,6.0,6.0,6.0,400
