<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TH1,20180713,,,,5.5,0
TH1,20180712,,,,5.5,0
TH1,20180711,,,,5.5,0
TH1,20180710,,,,5.5,0
TH1,20180709,,,,5.5,0
TH1,20180706,,,,5.5,0
TH1,20180705,,,,5.5,0
TH1,20180704,,,,5.5,0
TH1,20180703,,,,5.5,0
TH1,20180702,,,,5.5,0
TH1,20180629,,,,5.5,0
TH1,20180628,,,,5.5,0
TH1,20180627,,,,5.5,0
TH1,20180626,,,,5.5,0
TH1,20180625,,,,5.5,0
TH1,20180622,,,,5.5,0
TH1,20180621,,,,5.5,0
TH1,20180620,,,,5.5,0
TH1,20180619,,,,5.5,0
TH1,20180618,,,,5.5,0
TH1,20180615,,,,5.5,0
TH1,20180614,,,,5.5,0
TH1,20180613,,,,5.5,0
TH1,20180612,,,,5.5,0
TH1,20180611,,,,5.5,0
TH1,20180608,,,,5.5,0
TH1,20180607,,,,5.5,0
TH1,20180606,,,,5.5,0
TH1,20180605,,,,5.5,0
TH1,20180604,,,,5.5,0
TH1,20180601,,,,5.5,0
TH1,20180531,,,,5.5,0
TH1,20180530,,,,5.5,0
TH1,20180529,,,,5.5,0
TH1,20180528,,,,5.5,0
TH1,20180525,,,,5.5,0
TH1,20180524,,,,5.5,0
TH1,20180523,,,,5.5,0
TH1,20180522,,,,5.5,0
TH1,20180521,,,,5.5,0
TH1,20180518,,,,5.5,0
TH1,20180517,,,,5.5,0
TH1,20180516,,,,5.5,0
TH1,20180515,,,,5.5,0
TH1,20180514,,,,5.5,0
TH1,20180511,,,,5.5,0
TH1,20180510,,,,5.5,0
TH1,20180509,,,,5.5,0
TH1,20180508,,,,5.5,0
TH1,20180507,,,,5.5,0
TH1,20180504,,,,5.5,0
TH1,20180503,,,,5.5,0
TH1,20180502,,,,5.5,0
TH1,20180427,,,,5.5,0
TH1,20180426,,,,5.5,0
TH1,20180424,,,,5.5,0
TH1,20180423,,,,5.5,0
TH1,20180420,,,,5.5,0
TH1,20180419,,,,5.5,0
TH1,20180418,,,,5.5,0
TH1,20180417,,,,5.5,0
TH1,20180416,,,,5.5,0
TH1,20180413,,,,5.5,0
TH1,20180412,,,,5.5,0
TH1,20180411,5.5,5.5,5.5,5.5,100
TH1,20180410,,,,5.0,0
TH1,20180409,,,,5.0,0
TH1,20180406,,,,5.0,0
TH1,20180405,5.0,5.0,5.0,5.0,1500
TH1,20180404,,,,5.0,0
TH1,20180403,5.0,5.0,5.0,5.0,1875
TH1,20180402,,,,5.5,0
TH1,20180330,,,,5.5,0
TH1,20180329,,,,5.5,0
TH1,20180328,,,,5.5,0
TH1,20180327,,,,5.5,0
TH1,20180326,,,,5.5,0
TH1,20180323,,,,5.5,0
TH1,20180322,,,,5.5,0
TH1,20180321,,,,5.5,0
TH1,20180320,,,,5.5,0
TH1,20180319,,,,5.5,0
TH1,20180316,5.5,5.5,5.5,5.5,100
TH1,20180315,,,,5.0,0
TH1,20180314,,,,5.0,0
TH1,20180313,5.0,5.0,5.0,5.0,1400
TH1,20180312,5.0,5.0,5.0,5.0,500
TH1,20180309,,,,5.0,0
TH1,20180308,5.1,5.1,5.0,5.0,300
TH1,20180307,,,,5.5,0
TH1,20180306,,,,5.5,0
TH1,20180305,5.0,5.5,5.0,5.5,800
TH1,20180302,5.0,5.0,5.0,5.0,10
TH1,20180301,5.0,5.0,5.0,5.0,1490
TH1,20180228,5.5,5.5,5.5,5.5,250
TH1,20180227,5.0,5.0,5.0,5.0,1400
TH1,20180226,5.0,5.0,5.0,5.0,400
TH1,20180223,5.0,5.0,5.0,5.0,500
TH1,20180222,,,,5.0,0
TH1,20180221,,,,5.0,0
TH1,20180213,,,,5.0,0
TH1,20180212,,,,5.0,0
TH1,20180209,5.0,5.0,5.0,5.0,2675
TH1,20180208,5.0,5.0,5.0,5.0,2100
TH1,20180207,,,,5.0,0
TH1,20180206,5.0,5.0,5.0,5.0,5568
TH1,20180205,5.0,5.0,5.0,5.0,12900
TH1,20180202,5.0,5.0,5.0,5.0,4200
TH1,20180201,5.0,5.0,5.0,5.0,800
TH1,20180131,5.0,5.0,5.0,5.0,1600
TH1,20180130,5.0,5.0,5.0,5.0,5200
TH1,20180129,,,,5.0,0
TH1,20180126,,,,5.0,0
TH1,20180125,,,,5.0,0
TH1,20180122,5.0,5.0,5.0,5.0,1000
TH1,20180119,5.0,5.0,5.0,5.0,6300
TH1,20180118,,,,5.0,0
TH1,20180117,,,,5.0,0
TH1,20180116,5.0,5.0,5.0,5.0,7800
TH1,20180115,,,,5.0,0
TH1,20180112,,,,5.0,0
TH1,20180111,,,,5.0,0
TH1,20180110,,,,5.0,0
TH1,20180109,,,,5.0,0
TH1,20180108,,,,5.0,0
TH1,20180105,,,,5.0,0
TH1,20180104,5.0,5.0,5.0,5.0,1120
TH1,20180103,,,,5.4,0
TH1,20180102,,,,5.4,0
TH1,20171229,,,,5.4,0
TH1,20171228,,,,5.4,0
TH1,20171227,,,,5.4,0
TH1,20171226,,,,5.4,0
TH1,20171225,,,,5.4,0
TH1,20171222,,,,5.4,0
TH1,20171221,,,,5.4,0
TH1,20171220,,,,5.4,0
TH1,20171219,,,,5.4,0
TH1,20171218,5.4,5.4,5.4,5.4,74
TH1,20171215,5.4,5.4,5.4,5.4,7525
TH1,20171214,,,,5.9,0
TH1,20171213,,,,5.9,0
TH1,20171212,5.9,5.9,5.9,5.9,75
TH1,20171211,,,,5.9,0
TH1,20171208,5.9,5.9,5.9,5.9,360
