<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
THG,20180713,28.1,29.1,28.1,29.0,5180
THG,20180712,29.0,29.45,28.3,29.0,11600
THG,20180711,29.05,29.4,27.1,29.0,41000
THG,20180710,27.6,29.0,27.25,29.0,10640
THG,20180709,27.0,27.8,26.7,27.6,10350
THG,20180706,26.65,27.0,25.4,27.0,8140
THG,20180705,26.2,27.1,25.4,26.65,29660
THG,20180704,25.4,26.0,24.5,25.75,32390
THG,20180703,28.2,28.2,25.4,25.4,77410
THG,20180702,29.0,29.0,27.3,27.3,10220
THG,20180629,29.9,29.9,28.5,28.5,12030
THG,20180628,29.0,29.6,29.0,29.0,13940
THG,20180627,29.8,29.8,29.4,29.4,3550
THG,20180626,31.0,31.0,29.6,29.6,55270
THG,20180625,32.0,32.0,30.1,31.8,11660
THG,20180622,31.95,32.0,30.6,32.0,7120
THG,20180621,30.0,32.5,30.0,32.0,1200
THG,20180620,33.5,33.5,30.6,31.5,17740
THG,20180619,34.1,34.1,31.75,32.9,45710
THG,20180618,35.5,35.5,34.0,34.1,4280
THG,20180615,34.19,34.55,34.0,34.09,10150
THG,20180614,35.0,35.27,34.18,34.55,7270
THG,20180613,34.09,35.18,34.09,35.0,57630
THG,20180612,34.9,34.9,33.36,34.36,15700
THG,20180611,34.82,34.82,33.64,34.45,21100
THG,20180608,34.0,34.0,32.91,34.0,19870
THG,20180607,34.46,34.46,33.09,33.55,7560
THG,20180606,34.55,34.55,32.82,33.14,5230
THG,20180605,35.0,35.0,32.73,32.82,29340
THG,20180604,35.0,35.36,34.55,34.91,8820
THG,20180601,35.27,35.27,34.64,35.0,790
THG,20180531,34.09,35.0,33.64,34.82,25020
THG,20180530,31.86,34.09,31.82,33.64,1070
THG,20180529,33.18,34.09,33.18,34.09,340
THG,20180528,34.55,34.55,32.73,32.73,2730
THG,20180525,35.09,35.09,33.63,33.64,7040
