<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
THI,20180713,33.0,33.0,30.1,30.45,90
THI,20180712,30.0,31.0,29.0,31.0,7020
THI,20180711,30.0,30.0,30.0,30.0,110
THI,20180710,31.9,32.0,30.4,30.4,330
THI,20180709,31.65,31.9,31.65,31.9,180
THI,20180706,31.1,31.1,30.0,30.2,8490
THI,20180705,29.2,29.2,29.2,29.2,140
THI,20180704,32.6,32.65,31.0,31.0,1990
THI,20180703,33.9,33.9,30.6,30.6,120
THI,20180702,32.35,33.3,32.35,32.35,1100
THI,20180629,33.0,34.7,33.0,34.7,200
THI,20180628,32.0,32.9,32.0,32.9,5600
THI,20180627,32.3,32.3,31.45,32.0,6010
THI,20180626,33.05,33.05,32.0,32.05,5940
THI,20180625,34.0,34.0,33.25,33.25,2390
THI,20180622,35.5,35.5,33.35,33.35,4020
THI,20180621,33.8,34.9,33.1,33.35,5110
THI,20180620,35.0,35.5,32.6,33.8,2390
THI,20180619,34.1,34.1,34.0,34.0,600
THI,20180618,35.45,35.45,35.35,35.35,44250
THI,20180615,38.0,38.0,38.0,38.0,3720
THI,20180614,36.95,36.95,36.95,36.95,90
THI,20180613,35.95,35.95,35.9,35.9,40
THI,20180612,34.75,35.7,34.5,35.0,11220
THI,20180611,36.8,36.8,36.8,36.8,40
THI,20180608,35.45,35.45,35.1,35.1,5020
THI,20180607,35.2,36.9,35.0,36.9,5050
THI,20180606,38.4,38.4,36.5,36.5,30
THI,20180605,36.5,37.7,35.0,37.7,890
THI,20180604,36.6,36.6,36.6,36.6,30
THI,20180601,37.3,37.3,35.0,35.0,30
THI,20180531,36.75,36.75,35.05,35.05,30
THI,20180530,37.95,37.95,34.6,34.6,250
THI,20180529,36.8,36.8,34.1,36.8,50
THI,20180528,36.05,36.05,34.3,34.4,8780
THI,20180525,36.8,36.85,36.0,36.0,3450
THI,20180524,36.8,36.8,36.8,36.8,5750
THI,20180523,35.3,38.0,35.3,38.0,2180
THI,20180522,37.99,37.99,36.12,37.25,9110
THI,20180521,37.49,38.73,37.0,38.73,1110
THI,20180518,38.49,40.12,37.5,39.32,5130
THI,20180517,37.5,37.5,37.5,37.5,10
THI,20180516,38.44,38.44,36.61,37.89,10020
THI,20180515,37.5,37.5,37.5,37.5,2890
THI,20180514,37.89,37.89,37.49,37.5,44370
THI,20180511,34.98,37.5,34.98,36.95,80
THI,20180510,37.1,39.67,37.1,37.3,2410
THI,20180509,37.11,37.11,37.11,37.1,2200
THI,20180508,37.1,38.38,37.1,38.39,390
THI,20180507,38.48,38.48,38.48,38.48,10
THI,20180504,38.93,38.93,37.05,37.05,9690
THI,20180503,37.5,38.78,37.5,38.78,12230
THI,20180502,38.78,38.78,37.49,37.5,12500
THI,20180427,38.49,38.49,38.49,38.48,40
THI,20180426,37.55,38.49,37.55,37.6,19720
THI,20180424,37.59,39.37,36.66,37.55,59730
THI,20180423,41.74,42.33,39.37,39.37,61550
THI,20180420,40.8,42.33,40.8,42.33,3190
THI,20180419,42.92,43.12,41.74,41.74,21620
THI,20180418,44.36,44.36,41.84,42.92,80860
THI,20180417,41.94,41.94,41.05,41.84,13830
THI,20180416,41.44,42.23,39.96,40.46,39850
THI,20180413,43.37,43.37,41.44,41.64,24680
THI,20180412,42.73,42.73,41.45,41.54,12920
THI,20180411,42.73,43.02,41.64,42.73,36580
THI,20180410,42.93,43.42,42.93,43.37,51950
THI,20180409,45.39,45.39,43.12,43.32,11150
THI,20180406,47.37,47.37,44.41,45.39,15270
THI,20180405,41.44,44.3,41.24,44.31,114610
THI,20180404,40.46,41.64,40.46,41.44,22650
THI,20180403,40.46,41.44,40.26,40.46,37440
