<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
THT,20180713,5.9,6.0,5.9,6.0,200
THT,20180712,5.9,5.9,5.9,5.9,2200
THT,20180711,5.9,6.0,5.9,5.9,20500
THT,20180710,5.9,5.9,5.9,5.9,1500
THT,20180709,5.6,6.0,5.6,5.9,1101
THT,20180706,5.9,5.9,5.5,5.5,4810
THT,20180705,5.9,5.9,5.8,5.8,2000
THT,20180704,5.7,5.9,5.7,5.8,5700
THT,20180703,6.0,6.0,6.0,6.0,200
THT,20180702,5.8,6.0,5.8,6.0,1100
THT,20180629,6.1,6.2,6.0,6.1,3500
THT,20180628,6.3,6.3,6.0,6.0,4800
THT,20180627,6.3,6.3,5.9,6.0,1700
THT,20180626,5.8,5.8,5.8,5.8,11300
THT,20180625,5.8,5.89,5.8,5.8,17100
THT,20180622,5.8,5.8,5.71,5.8,7600
THT,20180621,5.53,5.62,5.53,5.62,900
THT,20180620,5.71,5.89,5.71,5.89,5202
THT,20180619,5.71,5.71,5.71,5.71,3100
THT,20180618,5.8,5.8,5.8,5.8,6921
THT,20180615,5.89,5.89,5.8,5.89,10600
THT,20180614,5.89,5.98,5.89,5.98,12309
THT,20180613,5.8,5.98,5.8,5.98,30300
THT,20180612,5.8,5.8,5.8,5.8,2500
THT,20180611,5.89,5.98,5.89,5.89,4476
THT,20180608,5.71,5.8,5.71,5.8,2500
THT,20180607,5.71,5.8,5.71,5.8,20900
THT,20180606,5.71,5.71,5.71,5.71,1590
THT,20180605,5.62,5.71,5.62,5.71,6300
THT,20180604,5.62,5.62,5.62,5.62,300
THT,20180601,5.53,5.62,5.53,5.62,3800
THT,20180531,5.53,5.62,5.53,5.62,10000
THT,20180530,5.44,5.53,5.44,5.53,2100
THT,20180529,5.35,5.62,5.35,5.53,13000
THT,20180528,5.62,5.62,5.08,5.35,104100
THT,20180525,5.8,5.8,5.62,5.62,1900
THT,20180524,5.98,5.98,5.98,5.98,100
THT,20180523,5.71,5.71,5.62,5.62,2400
THT,20180522,5.62,5.62,5.62,5.62,1900
THT,20180521,,,,5.71,0
THT,20180518,5.62,5.71,5.62,5.71,3200
THT,20180517,5.98,5.98,5.71,5.71,6261
THT,20180516,5.62,5.62,5.62,5.62,500
THT,20180515,5.71,5.89,5.71,5.8,14900
THT,20180514,5.62,5.62,5.62,5.62,2600
THT,20180511,,,,5.71,0
THT,20180510,5.71,5.71,5.71,5.71,5500
