<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TKU,20180713,11.0,11.0,11.0,11.0,100
TKU,20180712,,,,10.7,0
TKU,20180711,,,,10.7,0
TKU,20180710,10.7,10.7,10.7,10.7,100
TKU,20180709,,,,10.5,0
TKU,20180706,,,,10.5,0
TKU,20180705,10.5,10.5,10.5,10.5,1000
TKU,20180704,,,,11.1,0
TKU,20180703,,,,11.1,0
TKU,20180702,11.1,11.1,11.1,11.1,900
TKU,20180629,,,,11.0,0
TKU,20180628,11.0,11.0,11.0,11.0,6
TKU,20180627,,,,11.0,0
TKU,20180626,,,,11.0,0
TKU,20180625,11.0,11.0,11.0,11.0,43
TKU,20180622,,,,11.0,0
TKU,20180621,,,,11.0,0
TKU,20180620,,,,11.0,0
TKU,20180619,,,,11.0,0
TKU,20180618,,,,11.0,0
TKU,20180615,,,,11.0,0
TKU,20180614,,,,11.0,0
TKU,20180613,,,,11.0,0
TKU,20180612,,,,11.0,0
TKU,20180611,11.0,11.0,11.0,11.0,800
TKU,20180608,,,,12.0,0
TKU,20180607,12.0,12.0,12.0,12.0,20
TKU,20180606,,,,12.0,0
TKU,20180605,12.0,12.0,12.0,12.0,30
TKU,20180604,,,,12.0,0
TKU,20180601,,,,12.0,0
TKU,20180531,12.0,12.0,12.0,12.0,100
TKU,20180530,,,,11.1,0
TKU,20180529,,,,11.1,0
TKU,20180528,11.1,11.1,11.1,11.1,124
TKU,20180525,,,,11.36,0
TKU,20180524,,,,11.36,0
TKU,20180523,,,,11.36,0
TKU,20180522,11.36,11.36,11.36,11.36,100
TKU,20180521,10.57,10.57,10.57,10.57,140
TKU,20180518,11.36,11.36,11.36,11.36,900
TKU,20180517,11.36,11.36,11.36,11.36,301
TKU,20180516,11.45,11.45,11.36,11.36,900
TKU,20180515,11.37,11.37,11.37,11.36,500
TKU,20180514,11.19,11.19,11.19,11.19,500
TKU,20180511,10.84,10.84,10.84,10.84,109
TKU,20180510,9.87,9.87,9.87,9.87,100
TKU,20180509,10.57,10.57,10.57,10.57,691
TKU,20180508,10.3,10.3,10.3,10.31,600
TKU,20180507,11.45,11.45,11.45,11.45,100
TKU,20180504,,,,11.45,0
TKU,20180503,11.45,11.45,11.45,11.45,100
TKU,20180502,,,,11.01,0
TKU,20180427,,,,11.01,0
TKU,20180426,,,,11.01,0
TKU,20180424,,,,11.01,0
TKU,20180423,11.01,11.01,11.01,11.01,500
TKU,20180420,11.01,11.01,11.01,11.01,100
TKU,20180419,,,,10.57,0
TKU,20180418,10.57,10.57,10.57,10.57,1200
TKU,20180417,10.22,11.19,10.22,11.19,400
TKU,20180416,10.22,10.22,10.22,10.22,500
TKU,20180413,,,,10.22,0
TKU,20180412,,,,10.22,0
TKU,20180411,,,,10.22,0
TKU,20180410,10.22,10.22,10.22,10.22,4300
TKU,20180409,,,,10.22,0
TKU,20180406,10.22,10.22,10.22,10.22,300
TKU,20180405,9.69,9.69,9.69,9.69,100
TKU,20180404,9.52,9.78,9.52,9.78,2600
TKU,20180403,9.95,9.95,9.87,9.87,5200
TKU,20180402,10.13,10.13,10.13,10.13,3100
TKU,20180330,,,,10.57,0
TKU,20180329,,,,10.57,0
TKU,20180328,,,,10.57,0
TKU,20180327,,,,10.57,0
TKU,20180326,10.57,10.57,10.57,10.57,2001
TKU,20180323,11.45,11.45,11.01,11.01,15000
TKU,20180322,11.45,11.45,11.45,11.45,300
TKU,20180321,11.45,11.45,11.45,11.45,1300
TKU,20180320,,,,11.63,0
TKU,20180319,,,,11.63,0
TKU,20180316,11.63,11.63,11.63,11.63,34
TKU,20180315,,,,11.63,0
TKU,20180314,11.63,11.63,11.63,11.63,6640
TKU,20180313,,,,12.33,0
TKU,20180312,,,,12.33,0
TKU,20180309,,,,12.33,0
TKU,20180308,,,,12.33,0
TKU,20180307,12.33,12.33,12.33,12.33,5
TKU,20180306,,,,12.33,0
TKU,20180305,,,,12.33,0
TKU,20180302,12.33,12.33,12.33,12.33,105
TKU,20180301,,,,11.54,0
TKU,20180228,,,,11.54,0
TKU,20180227,,,,11.54,0
TKU,20180226,,,,11.54,0
TKU,20180223,11.54,11.54,11.54,11.54,2600
TKU,20180222,,,,11.54,0
TKU,20180221,,,,11.54,0
TKU,20180213,,,,11.54,0
TKU,20180212,,,,11.54,0
TKU,20180209,,,,11.54,0
TKU,20180208,,,,11.54,0
TKU,20180207,,,,11.54,0
TKU,20180206,,,,11.54,0
TKU,20180205,,,,11.54,0
TKU,20180202,,,,11.54,0
TKU,20180201,,,,11.54,0
TKU,20180131,11.54,11.54,11.54,11.54,100
TKU,20180130,,,,11.72,0
TKU,20180129,,,,11.72,0
TKU,20180126,11.72,11.72,11.72,11.72,38
TKU,20180125,,,,10.84,0
TKU,20180122,10.83,10.83,10.83,10.84,104
TKU,20180119,10.13,10.13,10.13,10.13,30
TKU,20180118,,,,10.13,0
TKU,20180117,,,,10.13,0
TKU,20180116,10.48,10.48,10.13,10.13,436
TKU,20180115,,,,10.13,0
TKU,20180112,9.69,10.13,9.69,10.13,2200
TKU,20180111,9.69,9.69,9.69,9.69,11
TKU,20180110,9.69,9.69,9.69,9.69,2020
TKU,20180109,9.87,9.87,9.69,9.69,3802
TKU,20180108,9.6,9.69,9.6,9.69,1900
TKU,20180105,9.16,9.16,9.16,9.16,174
TKU,20180104,9.25,9.25,8.37,8.37,1300
TKU,20180103,9.69,9.69,9.25,9.25,3000
TKU,20180102,10.13,10.13,10.13,10.13,900
TKU,20171229,10.13,10.13,10.13,10.13,1100
TKU,20171228,10.13,10.13,10.13,10.13,200
TKU,20171227,10.13,10.13,10.13,10.13,2600
TKU,20171226,10.13,10.13,10.13,10.13,3000
TKU,20171225,10.13,10.13,10.13,10.13,524
TKU,20171222,9.69,9.69,9.69,9.69,400
TKU,20171221,,,,9.69,0
TKU,20171220,9.69,9.69,9.69,9.69,110
TKU,20171219,10.57,10.57,10.57,10.57,500
TKU,20171218,9.61,10.14,9.61,10.13,600
TKU,20171215,,,,10.4,0
TKU,20171214,,,,10.4,0
TKU,20171213,,,,10.4,0
TKU,20171212,,,,10.4,0
TKU,20171211,,,,10.4,0
TKU,20171208,10.4,10.4,10.4,10.4,700
TKU,20171207,10.92,10.92,10.39,10.4,263
TKU,20171206,,,,10.92,0
TKU,20171205,,,,10.92,0
TKU,20171204,10.92,10.92,10.92,10.92,83
TKU,20171201,10.92,10.92,10.92,10.92,103
TKU,20171130,10.48,10.48,10.48,10.48,100
TKU,20171129,,,,10.48,0
TKU,20171128,,,,10.48,0
TKU,20171127,10.39,10.48,10.39,10.48,200
TKU,20171124,,,,9.69,0
TKU,20171123,9.25,9.69,9.25,9.69,5000
TKU,20171122,9.51,9.51,8.81,8.81,1169
TKU,20171121,10.57,10.57,9.51,9.51,1600
TKU,20171120,10.57,10.57,10.57,10.57,3800
TKU,20171117,,,,11.01,0
TKU,20171116,10.66,11.01,10.57,11.01,4004
TKU,20171115,,,,11.54,0
TKU,20171114,,,,11.54,0
TKU,20171113,,,,11.54,0
TKU,20171110,10.66,11.54,10.57,11.54,1800
TKU,20171109,,,,11.63,0
TKU,20171108,,,,11.63,0
TKU,20171107,,,,11.63,0
TKU,20171106,,,,11.63,0
TKU,20171103,,,,11.63,0
TKU,20171102,,,,11.63,0
TKU,20171101,11.63,11.63,11.63,11.63,400
TKU,20171031,,,,11.63,0
TKU,20171030,,,,11.63,0
TKU,20171027,,,,11.63,0
TKU,20171026,11.63,11.63,11.63,11.63,100
TKU,20171025,12.33,12.33,12.33,12.33,10
TKU,20171024,12.33,12.33,12.33,12.33,200
TKU,20171023,12.33,12.33,12.33,12.33,391
TKU,20171020,12.33,12.33,12.33,12.33,30
TKU,20171019,,,,12.33,0
TKU,20171018,12.51,12.51,12.33,12.33,8000
TKU,20171017,12.33,12.33,11.89,11.89,200
TKU,20171016,11.63,11.63,11.45,11.45,424
TKU,20171013,,,,12.51,0
TKU,20171012,,,,12.51,0
TKU,20171011,,,,12.51,0
TKU,20171010,,,,12.51,0
TKU,20171009,,,,12.51,0
TKU,20171006,,,,12.51,0
TKU,20171005,,,,12.51,0
TKU,20171004,12.51,12.51,12.51,12.51,400
TKU,20171003,,,,12.51,0
TKU,20171002,,,,12.51,0
TKU,20170929,,,,12.51,0
TKU,20170928,12.51,12.51,12.51,12.51,100
TKU,20170927,13.03,13.03,13.03,13.04,700
TKU,20170926,12.33,12.33,12.33,12.33,100
TKU,20170925,12.77,12.77,12.77,12.77,700
TKU,20170922,13.12,13.21,13.12,13.21,300
TKU,20170921,,,,12.77,0
TKU,20170920,,,,12.77,0
TKU,20170919,,,,12.77,0
TKU,20170918,,,,12.77,0
TKU,20170915,12.77,12.77,12.77,12.77,500
TKU,20170914,12.42,12.78,12.42,12.77,1300
TKU,20170913,,,,12.6,0
TKU,20170912,12.59,12.59,12.59,12.6,616
TKU,20170911,12.77,12.77,12.77,12.77,500
TKU,20170908,12.78,12.78,12.78,12.77,100
TKU,20170907,12.69,12.69,12.69,12.69,100
TKU,20170906,12.68,12.68,12.68,12.69,1400
TKU,20170905,12.77,12.77,12.77,12.77,100
TKU,20170901,,,,12.86,0
TKU,20170831,,,,12.86,0
TKU,20170830,,,,12.86,0
TKU,20170829,12.86,12.86,12.86,12.86,17
TKU,20170828,,,,12.86,0
TKU,20170825,12.86,12.86,12.86,12.86,9
TKU,20170824,,,,12.86,0
TKU,20170823,,,,12.86,0
