<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TLD,20180713,10.55,10.55,9.82,10.4,1216390
TLD,20180712,10.55,11.0,10.55,10.55,645970
TLD,20180711,10.7,10.95,10.6,10.7,474170
TLD,20180710,9.77,10.85,9.77,10.65,1622550
TLD,20180709,10.5,11.37,10.5,10.5,1384460
TLD,20180706,11.27,11.27,11.27,11.27,89100
TLD,20180705,12.09,12.09,12.09,12.09,410
TLD,20180704,12.96,12.96,12.96,12.96,421710
TLD,20180703,13.92,13.92,13.92,13.92,296950
TLD,20180702,15.17,16.13,14.11,14.93,1896490
TLD,20180629,14.3,15.12,14.11,15.12,1389740
TLD,20180628,13.25,14.17,13.2,14.16,1375960
TLD,20180627,13.3,13.49,13.1,13.25,210910
TLD,20180626,13.2,13.3,13.1,13.2,221580
TLD,20180625,13.1,13.34,13.1,13.2,501790
TLD,20180622,13.29,13.58,12.67,13.1,436600
TLD,20180621,13.39,13.68,13.19,13.58,672620
TLD,20180620,12.77,13.35,12.72,13.29,816930
TLD,20180619,12.72,12.72,12.38,12.72,241310
TLD,20180618,11.76,12.43,11.66,12.43,556690
TLD,20180615,11.66,11.85,11.66,11.66,236540
TLD,20180614,11.47,12.04,11.37,11.85,710070
TLD,20180613,10.84,11.42,10.65,11.37,589970
TLD,20180612,10.84,10.88,10.6,10.79,245060
TLD,20180611,10.55,10.75,10.36,10.74,267580
TLD,20180608,10.5,10.55,10.35,10.36,203810
TLD,20180607,10.35,10.45,10.16,10.45,356720
TLD,20180606,10.35,10.59,10.16,10.45,445520
TLD,20180605,11.32,11.32,10.55,10.69,129770
TLD,20180604,11.42,11.85,10.98,11.32,1081410
TLD,20180601,10.79,11.32,10.79,11.32,1289500
TLD,20180531,9.97,10.6,9.97,10.6,287930
TLD,20180530,10.41,10.41,9.93,10.07,420050
TLD,20180529,9.87,10.35,9.73,10.36,158900
TLD,20180528,9.78,9.92,9.63,9.87,276810
TLD,20180525,9.83,9.97,9.6,9.68,133900
TLD,20180524,9.63,9.78,9.56,9.73,98640
TLD,20180523,9.63,9.68,9.6,9.68,229400
TLD,20180522,9.92,9.92,9.61,9.68,146090
TLD,20180521,9.63,9.92,9.57,9.92,158610
TLD,20180518,9.45,9.68,9.45,9.63,115680
TLD,20180517,9.73,9.77,9.53,9.63,174720
TLD,20180516,9.54,9.64,9.49,9.63,335940
TLD,20180515,9.92,10.07,9.45,9.54,171360
TLD,20180514,10.31,10.6,9.88,10.02,240420
TLD,20180511,10.4,11.17,10.4,10.6,1060340
TLD,20180510,11.17,11.17,11.17,11.17,359860
TLD,20180509,12.52,12.81,11.99,11.99,45730
TLD,20180508,12.28,12.91,12.19,12.86,1581910
TLD,20180507,11.56,12.09,11.51,12.09,1576110
TLD,20180504,10.7,11.32,10.7,11.32,938870
TLD,20180503,10.64,10.64,10.45,10.6,137940
TLD,20180502,10.12,10.5,9.93,10.5,281410
TLD,20180427,10.02,10.21,9.63,10.07,151390
TLD,20180426,10.11,10.21,10.01,10.16,195570
TLD,20180424,9.88,10.12,9.69,10.11,212770
TLD,20180423,9.97,10.02,9.78,9.83,139710
TLD,20180420,9.83,9.97,9.68,9.97,221920
TLD,20180419,9.73,9.88,9.64,9.78,173040
TLD,20180418,10.07,10.12,9.78,9.78,156420
TLD,20180417,10.11,10.21,9.87,10.07,191070
TLD,20180416,10.06,10.21,9.97,10.16,331810
TLD,20180413,10.6,10.6,9.88,10.11,183020
TLD,20180412,9.63,10.65,9.55,10.6,777390
TLD,20180411,10.26,10.88,10.26,10.26,1600090
TLD,20180410,11.8,11.8,10.98,10.98,904040
TLD,20180409,11.8,12.67,11.8,11.8,350110
TLD,20180406,13.44,13.58,12.47,12.67,848960
TLD,20180405,11.85,13.49,11.85,13.39,1629530
TLD,20180404,12.71,12.86,12.71,12.72,368930
TLD,20180403,13.63,14.25,13.63,13.63,826130
TLD,20180402,15.51,15.51,14.64,14.64,517340
TLD,20180330,15.89,16.37,14.78,15.7,1279240
TLD,20180329,13.87,15.89,13.87,15.89,1875500
TLD,20180328,15.99,15.99,14.88,14.88,890440
TLD,20180327,16.42,16.61,15.31,15.99,834600
TLD,20180326,15.56,16.47,14.45,16.42,1503250
TLD,20180323,14.69,15.56,14.69,15.51,1682890
TLD,20180322,15.75,15.75,15.75,15.75,512700
TLD,20180321,18.16,18.16,16.91,16.91,14970
TLD,20180320,18.16,18.16,18.16,18.16,940
TLD,20180319,19.51,19.51,19.51,19.51,499250
TLD,20180316,22.49,22.49,20.95,20.95,452380
TLD,20180315,24.42,25.87,22.49,22.49,1639990
TLD,20180314,22.78,24.18,21.1,24.18,1860630
TLD,20180313,21.33,22.63,21.24,22.64,2007600
TLD,20180312,19.98,21.19,19.89,21.19,1249580
TLD,20180309,18.64,19.89,18.64,19.84,1512470
TLD,20180308,17.39,18.59,16.19,18.59,1473520
TLD,20180307,16.33,17.39,16.23,17.39,1265920
TLD,20180306,15.61,16.52,15.46,16.28,980110
TLD,20180305,14.55,15.56,14.55,15.56,1374000
TLD,20180302,14.55,14.64,14.45,14.55,154960
TLD,20180301,14.69,14.79,14.64,14.69,108210
TLD,20180228,14.65,14.79,14.55,14.74,202590
TLD,20180227,14.98,14.98,14.74,14.79,182160
TLD,20180226,14.79,15.08,14.74,14.93,620650
TLD,20180223,14.45,14.74,14.45,14.69,236920
TLD,20180222,14.31,14.45,14.21,14.45,312170
TLD,20180221,14.11,14.31,14.07,14.21,192270
TLD,20180213,14.3,14.35,14.21,14.21,290890
TLD,20180212,14.55,14.55,14.36,14.4,403360
TLD,20180209,14.64,14.69,14.45,14.5,168500
TLD,20180208,14.31,14.6,14.31,14.59,1084100
TLD,20180207,14.06,14.3,14.06,14.26,319310
TLD,20180206,14.11,14.35,13.82,14.06,197700
TLD,20180205,14.45,15.12,14.25,14.4,233270
TLD,20180202,15.13,15.32,15.13,15.12,464150
TLD,20180201,14.79,15.17,14.74,15.08,760650
TLD,20180131,13.83,14.74,13.78,14.74,2194850
TLD,20180130,13.73,13.82,13.73,13.78,140490
TLD,20180129,13.68,13.73,13.63,13.68,235090
TLD,20180126,13.63,13.72,13.58,13.68,284450
TLD,20180125,13.58,13.72,13.53,13.58,169940
TLD,20180122,13.58,13.68,13.49,13.58,169370
TLD,20180119,13.88,13.92,13.68,13.68,287470
TLD,20180118,13.49,13.78,13.39,13.78,593910
TLD,20180117,12.91,13.49,12.86,13.44,839670
TLD,20180116,12.86,13.0,12.81,12.86,211640
TLD,20180115,12.81,13.0,12.71,12.86,170320
TLD,20180112,12.52,12.86,12.52,12.81,462910
TLD,20180111,12.76,12.81,12.67,12.76,265600
TLD,20180110,12.91,13.0,12.76,12.81,203270
TLD,20180109,12.86,13.01,12.82,12.86,320920
TLD,20180108,12.71,13.0,12.71,12.96,1334250
TLD,20180105,12.52,12.91,12.52,12.76,520330
TLD,20180104,12.19,12.62,12.04,12.62,617570
TLD,20180103,11.65,12.14,11.51,12.14,826360
TLD,20180102,11.51,11.71,11.47,11.51,176650
TLD,20171229,11.71,11.71,11.52,11.61,276930
TLD,20171228,11.65,11.75,11.51,11.66,206790
TLD,20171227,11.51,11.56,11.41,11.51,185500
TLD,20171226,11.56,11.76,11.52,11.51,482240
TLD,20171225,11.76,11.8,11.56,11.66,192340
TLD,20171222,11.61,11.76,11.56,11.66,274450
TLD,20171221,11.65,11.84,11.6,11.66,210900
TLD,20171220,11.84,12.04,11.65,11.7,408080
TLD,20171219,12.09,12.24,11.9,11.94,246780
TLD,20171218,12.24,12.53,12.09,12.14,507270
TLD,20171215,11.46,12.23,11.46,12.14,1432860
TLD,20171214,12.28,12.28,12.28,12.28,443330
TLD,20171213,13.2,13.2,13.2,13.2,522310
TLD,20171212,14.45,14.45,14.16,14.16,646450
TLD,20171211,15.02,15.5,14.93,15.22,643090
TLD,20171208,14.01,14.83,13.92,14.83,1260740
TLD,20171207,11.85,13.87,11.56,13.87,2566650
