<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TMC,20180713,13.5,13.5,13.5,13.5,5000
TMC,20180712,,,,14.5,0
TMC,20180711,,,,14.5,0
TMC,20180710,,,,14.5,0
TMC,20180709,,,,14.5,0
TMC,20180706,,,,14.5,0
TMC,20180705,,,,14.5,0
TMC,20180704,,,,14.5,0
TMC,20180703,,,,14.5,0
TMC,20180702,,,,14.5,0
TMC,20180629,14.5,14.5,14.5,14.5,100
TMC,20180628,,,,14.0,0
TMC,20180627,,,,14.0,0
TMC,20180626,,,,14.0,0
TMC,20180625,,,,14.0,0
TMC,20180622,14.0,14.0,14.0,14.0,25900
TMC,20180621,,,,14.0,0
TMC,20180620,14.0,14.0,14.0,14.0,5
TMC,20180619,14.0,14.0,14.0,14.0,11800
TMC,20180618,,,,14.0,0
TMC,20180615,14.0,14.0,14.0,14.0,18200
TMC,20180614,,,,14.0,0
TMC,20180613,,,,14.0,0
TMC,20180612,,,,14.0,0
TMC,20180611,,,,14.0,0
TMC,20180608,,,,14.0,0
TMC,20180607,14.0,14.0,14.0,14.0,400
TMC,20180606,13.7,13.7,13.7,13.7,8900
TMC,20180605,13.5,13.5,13.5,13.5,1300
TMC,20180604,,,,13.6,0
TMC,20180601,,,,13.6,0
TMC,20180531,13.6,13.6,13.6,13.6,200
TMC,20180530,13.5,13.5,13.5,13.5,500
TMC,20180529,13.21,13.5,13.21,13.5,17900
TMC,20180528,,,,13.5,0
TMC,20180525,13.5,13.5,13.5,13.5,26110
TMC,20180524,13.21,13.21,13.21,13.21,30
TMC,20180523,,,,13.21,0
TMC,20180522,,,,13.21,0
TMC,20180521,,,,13.21,0
TMC,20180518,13.21,13.21,13.21,13.21,110
TMC,20180517,,,,13.02,0
TMC,20180516,,,,13.02,0
TMC,20180515,13.02,13.02,13.02,13.02,5300
TMC,20180514,,,,13.02,0
TMC,20180511,,,,13.02,0
TMC,20180510,,,,13.02,0
TMC,20180509,13.02,13.02,13.02,13.02,100
TMC,20180508,,,,13.02,0
TMC,20180507,,,,13.02,0
TMC,20180504,13.02,13.02,13.02,13.02,410
TMC,20180503,13.02,13.02,13.02,13.02,2000
TMC,20180502,13.21,13.21,13.21,13.21,100
TMC,20180427,,,,13.02,0
TMC,20180426,13.02,13.02,13.02,13.02,100
TMC,20180424,,,,13.02,0
TMC,20180423,,,,13.02,0
TMC,20180420,,,,13.02,0
TMC,20180419,,,,13.02,0
TMC,20180418,,,,13.02,0
TMC,20180417,,,,13.02,0
TMC,20180416,,,,13.02,0
TMC,20180413,,,,13.02,0
TMC,20180412,,,,13.02,0
TMC,20180411,13.02,13.02,13.02,13.02,20
TMC,20180410,,,,13.02,0
TMC,20180409,,,,13.02,0
TMC,20180406,,,,13.02,0
TMC,20180405,,,,13.02,0
TMC,20180404,,,,13.02,0
TMC,20180403,,,,13.02,0
TMC,20180402,,,,13.02,0
TMC,20180330,,,,13.02,0
TMC,20180329,,,,13.02,0
TMC,20180328,13.02,13.02,13.02,13.02,10
TMC,20180327,,,,13.02,0
TMC,20180326,,,,13.02,0
TMC,20180323,,,,13.02,0
TMC,20180322,,,,13.02,0
TMC,20180321,,,,13.02,0
TMC,20180320,,,,13.02,0
TMC,20180319,,,,13.02,0
TMC,20180316,13.01,13.01,13.01,13.02,10000
TMC,20180315,13.21,13.21,13.11,13.11,500
