<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TNC,20180713,,,,12.5,0
TNC,20180712,12.5,12.5,12.5,12.5,10
TNC,20180711,12.1,12.1,12.1,12.1,10
TNC,20180710,,,,13.0,0
TNC,20180709,13.0,13.0,13.0,13.0,1600
TNC,20180706,,,,13.0,0
TNC,20180705,13.75,13.75,13.0,13.0,70
TNC,20180704,,,,12.9,0
TNC,20180703,,,,12.9,0
TNC,20180702,,,,12.9,0
TNC,20180629,,,,12.9,0
TNC,20180628,,,,12.9,0
TNC,20180627,,,,12.9,0
TNC,20180626,,,,12.9,0
TNC,20180625,,,,12.9,0
TNC,20180622,12.9,12.9,11.6,12.9,150
TNC,20180621,12.5,12.5,12.1,12.1,2500
TNC,20180620,,,,13.0,0
TNC,20180619,,,,13.0,0
TNC,20180618,13.0,13.0,13.0,13.0,2000
TNC,20180615,,,,13.0,0
TNC,20180614,,,,13.0,0
TNC,20180613,12.8,13.1,12.1,13.0,510
TNC,20180612,12.7,12.7,12.7,12.7,9640
TNC,20180611,,,,13.25,0
TNC,20180608,12.8,13.25,12.8,13.25,160
TNC,20180607,12.4,12.4,12.4,12.4,650
TNC,20180606,12.05,12.8,12.05,12.7,27710
TNC,20180605,12.7,12.7,12.7,12.7,27920
TNC,20180604,12.7,12.7,12.7,12.7,2090
TNC,20180601,12.9,13.7,12.9,13.65,5110
TNC,20180531,12.9,12.9,12.9,12.9,135070
TNC,20180530,11.87,12.1,11.17,12.1,80930
TNC,20180529,12.01,12.01,12.01,12.01,1000
TNC,20180528,,,,12.01,0
TNC,20180525,12.01,12.01,12.01,12.01,1500
TNC,20180524,11.36,11.36,11.36,11.36,1000
TNC,20180523,11.17,11.35,11.17,11.36,6540
TNC,20180522,10.43,11.26,10.43,11.26,1990
TNC,20180521,10.84,11.17,10.84,11.17,210
TNC,20180518,10.56,10.98,10.56,10.98,540
TNC,20180517,11.17,11.17,11.17,11.17,10
TNC,20180516,11.96,11.96,11.96,11.96,200
TNC,20180515,11.17,11.91,11.17,11.91,610
TNC,20180514,11.83,11.83,11.83,11.82,10
TNC,20180511,11.4,11.4,11.36,11.36,1000
TNC,20180510,11.36,12.1,11.36,12.1,250
TNC,20180509,12.1,12.1,12.1,12.1,10
TNC,20180508,11.73,11.73,11.64,11.63,20010
TNC,20180507,12.37,12.37,12.37,12.38,10
TNC,20180504,11.87,11.87,11.77,11.77,14100
TNC,20180503,11.87,12.1,11.87,12.1,4590
TNC,20180502,,,,12.1,0
TNC,20180427,11.91,12.1,11.26,12.1,14010
TNC,20180426,12.1,12.1,12.1,12.1,400
TNC,20180424,12.1,12.1,12.1,12.1,8740
TNC,20180423,12.57,12.57,12.57,12.57,200
TNC,20180420,12.1,12.1,12.1,12.1,15000
TNC,20180419,12.1,12.1,12.1,12.1,11000
TNC,20180418,12.1,12.1,12.1,12.1,10
TNC,20180417,,,,12.1,0
TNC,20180416,12.1,12.1,12.1,12.1,7920
TNC,20180413,11.91,12.47,11.91,12.47,21970
TNC,20180412,,,,12.1,0
TNC,20180411,,,,12.1,0
TNC,20180410,12.1,12.1,12.1,12.1,8800
TNC,20180409,11.68,12.1,11.68,12.1,10020
TNC,20180406,11.16,11.63,11.16,11.63,2520
TNC,20180405,,,,11.49,0
TNC,20180404,11.54,11.54,11.49,11.49,4000
TNC,20180403,11.4,11.4,11.4,11.4,230
TNC,20180402,11.54,12.1,11.54,12.1,1010
TNC,20180330,11.49,12.1,11.49,12.1,2200
TNC,20180329,12.1,12.1,12.05,12.1,161000
TNC,20180328,11.59,12.1,11.59,12.1,620
TNC,20180327,12.0,12.0,11.91,12.01,150700
TNC,20180326,11.26,11.26,11.26,11.26,300
TNC,20180323,,,,11.45,0
TNC,20180322,11.64,11.64,11.45,11.45,15000
TNC,20180321,12.01,12.01,12.01,12.01,5000
TNC,20180320,12.1,12.1,11.17,12.1,25610
TNC,20180319,11.91,12.1,11.91,11.91,8440
TNC,20180316,11.36,11.92,11.22,11.91,17010
TNC,20180315,,,,11.22,0
TNC,20180314,11.22,11.22,11.22,11.22,40
TNC,20180313,11.63,12.01,11.54,12.01,37500
TNC,20180312,12.1,12.1,11.54,12.1,6570
TNC,20180309,11.54,11.54,11.54,11.54,1070
TNC,20180308,11.45,12.1,11.45,12.1,41500
TNC,20180307,11.64,11.91,11.45,11.45,15000
TNC,20180306,11.82,12.61,11.17,11.17,65010
TNC,20180305,11.87,11.91,11.82,11.82,1170
TNC,20180302,11.96,11.96,11.96,11.96,30
TNC,20180301,11.22,11.22,11.22,11.22,6040
TNC,20180228,11.21,11.21,11.21,11.22,6150
TNC,20180227,11.31,12.05,11.31,12.05,20
TNC,20180226,12.1,12.1,12.1,12.1,3000
TNC,20180223,12.1,12.1,12.05,12.1,1110
TNC,20180222,,,,11.77,0
TNC,20180221,12.85,12.85,11.78,11.77,100
TNC,20180213,,,,12.66,0
TNC,20180212,11.63,12.7,11.63,12.66,120
TNC,20180209,12.48,12.48,12.48,12.47,10
TNC,20180208,,,,12.15,0
TNC,20180207,13.45,13.45,12.15,12.15,20
TNC,20180206,,,,13.03,0
TNC,20180205,,,,13.03,0
TNC,20180202,13.03,13.03,13.03,13.03,10
TNC,20180201,12.47,12.47,12.38,12.47,18900
TNC,20180131,11.73,12.47,11.73,12.47,9400
TNC,20180130,12.38,12.47,12.38,12.47,1000
TNC,20180129,12.38,12.38,11.73,11.73,23590
TNC,20180126,11.17,12.85,11.17,12.57,10820
TNC,20180125,12.01,12.01,11.64,12.01,710
TNC,20180122,11.58,12.0,11.58,12.01,20
TNC,20180119,11.54,11.91,11.54,11.91,80
TNC,20180118,11.4,12.1,11.4,12.1,6500
TNC,20180117,11.17,11.91,11.17,11.91,6010
TNC,20180116,12.48,12.48,11.27,11.26,1070
TNC,20180115,11.17,12.01,11.17,12.01,25340
TNC,20180112,11.17,11.36,11.17,11.36,2930
TNC,20180111,11.17,11.36,11.17,11.17,14610
TNC,20180110,11.22,11.26,11.17,11.22,29770
TNC,20180109,11.17,11.17,11.17,11.17,3550
TNC,20180108,11.17,11.26,11.17,11.17,15790
TNC,20180105,10.84,11.21,10.84,11.17,39090
TNC,20180104,10.61,10.61,10.61,10.61,2100
TNC,20180103,10.61,10.61,10.61,10.61,1110
TNC,20180102,10.61,10.61,10.61,10.61,3800
TNC,20171229,10.7,10.7,10.7,10.7,1650
TNC,20171228,10.7,10.75,10.7,10.7,4600
TNC,20171227,10.47,10.89,10.47,10.61,670
TNC,20171226,10.19,10.19,10.19,10.19,10
TNC,20171225,10.33,10.61,10.23,10.24,15500
TNC,20171222,,,,10.56,0
TNC,20171221,10.56,10.56,10.56,10.56,30
TNC,20171220,10.47,10.47,10.47,10.47,10
TNC,20171219,10.52,10.52,10.24,10.24,270
TNC,20171218,,,,10.61,0
TNC,20171215,10.61,10.61,10.61,10.61,4000
TNC,20171214,,,,10.84,0
TNC,20171213,10.43,10.85,10.43,10.84,100
TNC,20171212,,,,10.52,0
TNC,20171211,10.52,10.52,10.52,10.52,170
TNC,20171208,10.66,10.66,10.61,10.61,2000
TNC,20171207,10.52,10.66,10.52,10.66,390
TNC,20171206,10.8,10.8,10.61,10.66,5430
TNC,20171205,10.61,10.61,10.61,10.61,250
TNC,20171204,10.8,10.8,10.8,10.8,7310
TNC,20171201,,,,10.75,0
TNC,20171130,,,,10.75,0
TNC,20171129,10.75,10.75,10.75,10.75,1110
TNC,20171128,,,,10.75,0
TNC,20171127,10.05,10.75,10.05,10.75,570
TNC,20171124,10.89,10.93,10.05,10.05,690
TNC,20171123,10.7,10.7,10.7,10.7,1010
TNC,20171122,10.47,10.8,10.43,10.42,4120
TNC,20171121,11.03,11.03,10.24,10.24,2000
TNC,20171120,10.7,10.93,10.7,10.94,3020
TNC,20171117,10.7,10.7,10.7,10.7,3150
TNC,20171116,10.61,10.61,10.61,10.61,30
TNC,20171115,10.61,10.84,10.42,10.84,830
TNC,20171114,,,,10.89,0
TNC,20171113,,,,10.89,0
TNC,20171110,10.61,10.89,10.42,10.89,110
TNC,20171109,,,,10.89,0
TNC,20171108,11.08,11.08,10.7,10.89,4290
TNC,20171107,11.22,11.45,11.17,11.17,6050
TNC,20171106,10.85,11.17,10.85,11.17,50
TNC,20171103,10.89,11.12,10.24,11.08,1150
TNC,20171102,10.98,10.98,10.98,10.98,10
TNC,20171101,,,,11.17,0
TNC,20171031,11.17,11.17,11.17,11.17,300
TNC,20171030,,,,11.08,0
TNC,20171027,,,,11.08,0
TNC,20171026,11.07,11.07,11.07,11.08,1000
TNC,20171025,,,,10.98,0
TNC,20171024,11.17,11.17,10.98,10.98,220
TNC,20171023,11.17,11.17,11.17,11.17,5000
TNC,20171020,,,,11.12,0
TNC,20171019,10.89,11.12,10.89,11.12,2300
TNC,20171018,10.89,10.89,10.89,10.89,500
TNC,20171017,10.93,11.17,10.93,10.94,1090
TNC,20171016,10.89,10.89,10.7,10.7,1180
TNC,20171013,10.89,10.89,10.89,10.89,900
TNC,20171012,,,,11.12,0
TNC,20171011,11.12,11.12,11.12,11.12,80
TNC,20171010,11.12,11.12,11.12,11.12,3000
TNC,20171009,11.03,11.12,11.03,11.12,3000
TNC,20171006,10.71,10.71,10.71,10.7,3000
TNC,20171005,10.8,10.8,10.8,10.8,1450
TNC,20171004,,,,11.03,0
TNC,20171003,11.03,11.03,11.03,11.03,100
TNC,20171002,10.7,10.93,10.7,10.94,320
TNC,20170929,10.8,10.8,10.71,10.7,2090
TNC,20170928,10.8,10.8,10.8,10.8,480
TNC,20170927,10.98,10.98,10.8,10.8,1000
TNC,20170926,11.12,11.63,10.8,10.89,540
TNC,20170925,10.89,10.89,10.89,10.89,10
TNC,20170922,10.8,11.17,10.15,11.17,1080
TNC,20170921,10.89,10.89,10.89,10.89,200
TNC,20170920,10.98,11.17,10.98,11.17,16030
TNC,20170919,10.98,11.17,10.98,11.17,10100
TNC,20170918,11.17,11.17,11.17,11.17,10000
TNC,20170915,11.12,11.17,11.08,11.17,16480
TNC,20170914,11.07,11.17,10.89,11.17,1310
TNC,20170913,,,,11.12,0
TNC,20170912,11.13,11.13,11.13,11.12,830
TNC,20170911,10.79,11.07,10.79,11.08,500
TNC,20170908,10.98,10.98,10.98,10.98,1000
TNC,20170907,11.03,11.03,10.75,10.75,430
TNC,20170906,10.75,10.8,10.75,10.75,1320
TNC,20170905,11.08,11.08,10.8,10.8,40
TNC,20170901,11.17,11.17,11.17,11.17,10
