<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TNG,20180713,10.2,10.3,10.1,10.1,111500
TNG,20180712,10.1,10.1,9.9,9.9,97900
TNG,20180711,10.0,10.1,9.8,9.8,66700
TNG,20180710,10.2,10.2,10.1,10.2,62600
TNG,20180709,10.0,10.3,10.0,10.1,32000
TNG,20180706,9.8,10.2,9.8,10.2,247910
TNG,20180705,10.1,10.1,9.8,9.9,99800
TNG,20180704,10.1,10.1,9.9,10.1,76900
TNG,20180703,10.2,10.2,9.9,9.9,138590
TNG,20180702,10.4,10.4,10.1,10.1,167965
TNG,20180629,10.4,10.5,10.3,10.4,67234
TNG,20180628,9.6,10.6,9.6,10.4,108100
TNG,20180627,10.6,10.9,10.6,10.6,103766
TNG,20180626,10.9,10.9,10.5,10.6,75300
TNG,20180625,11.2,11.2,10.4,10.6,143430
TNG,20180622,10.17,10.25,10.17,10.17,65786
TNG,20180621,10.17,10.25,10.08,10.17,56500
TNG,20180620,10.08,10.25,10.08,10.25,107554
TNG,20180619,10.42,10.42,9.83,10.08,227880
TNG,20180618,10.75,10.75,10.42,10.5,95030
TNG,20180615,10.75,10.83,10.67,10.67,64500
TNG,20180614,10.75,10.92,10.59,10.75,209100
TNG,20180613,10.58,10.75,10.5,10.67,124833
TNG,20180612,10.67,10.67,10.25,10.58,235450
TNG,20180611,10.92,11.0,10.67,10.67,244785
TNG,20180608,11.0,11.16,10.91,11.0,217720
TNG,20180607,11.33,11.42,11.0,11.08,232646
TNG,20180606,10.58,11.33,10.58,11.25,296000
TNG,20180605,10.42,10.67,10.34,10.5,257752
TNG,20180604,10.33,10.58,10.33,10.42,119510
TNG,20180601,10.33,10.41,10.16,10.33,156100
TNG,20180531,10.08,10.33,10.08,10.33,99524
TNG,20180530,10.17,10.25,10.0,10.08,131500
TNG,20180529,10.08,10.33,9.83,10.17,252726
TNG,20180528,10.58,10.58,9.66,9.83,397922
TNG,20180525,10.67,10.75,10.42,10.58,188587
TNG,20180524,10.75,10.83,10.58,10.67,117404
TNG,20180523,10.67,10.75,10.59,10.75,100020
TNG,20180522,10.92,11.0,10.5,10.67,299800
TNG,20180521,11.09,11.17,10.92,10.92,103238
TNG,20180518,11.16,11.16,10.91,11.17,117050
TNG,20180517,11.25,11.33,11.08,11.08,260502
TNG,20180516,11.5,11.5,11.17,11.33,114430
TNG,20180515,11.34,11.67,11.17,11.42,195266
TNG,20180514,10.83,11.25,10.75,11.17,206687
TNG,20180511,10.83,10.91,10.66,10.83,105337
TNG,20180510,11.25,11.25,10.67,10.83,151906
TNG,20180509,10.83,11.0,10.75,11.0,96530
TNG,20180508,10.92,10.92,10.75,10.83,142733
TNG,20180507,10.75,11.08,10.75,10.92,167050
TNG,20180504,10.92,10.92,10.67,10.75,125773
TNG,20180503,10.83,10.83,10.58,10.75,163504
TNG,20180502,11.0,11.0,10.75,10.83,80563
TNG,20180427,10.5,11.25,10.5,10.92,367575
TNG,20180426,11.17,11.17,10.5,10.5,237441
TNG,20180424,11.25,11.25,10.92,11.17,180530
TNG,20180423,11.58,11.66,10.83,11.25,311640
TNG,20180420,11.5,11.59,11.34,11.58,98298
TNG,20180419,11.59,11.67,11.42,11.42,194856
TNG,20180418,11.83,11.83,11.58,11.67,221934
TNG,20180417,11.67,11.75,11.5,11.75,126765
TNG,20180416,11.91,11.91,11.5,11.5,142460
TNG,20180413,11.58,12.17,11.58,11.83,330031
TNG,20180412,11.42,11.5,11.25,11.5,115309
TNG,20180411,11.67,11.75,11.5,11.5,258900
TNG,20180410,11.67,11.84,11.59,11.67,221024
TNG,20180409,11.84,11.84,11.67,11.67,230181
TNG,20180406,12.08,12.08,11.83,11.92,231899
TNG,20180405,11.67,12.09,11.59,12.08,84684
TNG,20180404,11.66,11.91,11.58,11.67,285330
TNG,20180403,11.75,11.75,11.58,11.58,225010
TNG,20180402,11.92,11.92,11.67,11.75,194227
TNG,20180330,11.67,12.0,11.59,11.92,164420
TNG,20180329,11.83,11.83,11.66,11.67,161120
TNG,20180328,12.08,12.08,11.75,11.83,184326
TNG,20180327,12.16,12.5,12.0,12.0,268312
TNG,20180326,11.67,12.08,11.58,12.08,183682
TNG,20180323,11.83,11.83,11.25,11.5,424735
TNG,20180322,12.25,12.25,11.83,11.83,503728
TNG,20180321,12.5,12.5,12.25,12.25,351369
TNG,20180320,12.42,12.5,12.25,12.5,217448
TNG,20180319,12.83,12.83,12.5,12.5,389405
TNG,20180316,12.91,12.91,12.75,12.83,348740
TNG,20180315,12.67,12.92,12.59,12.83,476350
TNG,20180314,12.92,12.92,12.67,12.67,596688
TNG,20180313,12.75,13.0,12.58,12.92,509335
TNG,20180312,13.25,13.25,12.67,12.75,331857
TNG,20180309,13.34,13.75,13.0,13.0,826230
TNG,20180308,12.83,13.33,12.83,13.17,665770
TNG,20180307,13.42,13.42,12.67,12.75,678550
TNG,20180306,12.84,13.25,12.67,13.25,762898
TNG,20180305,13.92,14.17,12.67,12.67,868743
TNG,20180302,13.75,14.0,13.33,13.92,932520
TNG,20180301,13.91,14.16,13.58,13.75,754945
TNG,20180228,13.09,14.09,12.84,14.08,1490989
TNG,20180227,12.92,13.25,12.75,13.17,505885
TNG,20180226,13.5,13.75,12.83,12.92,1196669
TNG,20180223,13.17,13.59,13.17,13.5,1098905
TNG,20180222,12.42,13.42,12.08,13.17,1605366
TNG,20180221,11.83,12.25,11.75,12.25,564114
