<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TNI,20180713,9.4,9.42,9.27,9.33,713080
TNI,20180712,9.4,9.4,9.02,9.4,1409170
TNI,20180711,8.8,9.12,8.63,9.12,1281350
TNI,20180710,8.65,8.85,8.62,8.82,970880
TNI,20180709,8.3,8.65,8.25,8.65,1355260
TNI,20180706,8.3,8.32,8.18,8.3,719870
TNI,20180705,8.2,8.3,8.13,8.3,572030
TNI,20180704,7.75,8.25,7.71,8.25,1222220
TNI,20180703,7.83,7.92,7.71,7.75,732080
TNI,20180702,7.73,7.83,7.62,7.83,900470
TNI,20180629,7.46,7.83,7.46,7.8,1556760
TNI,20180628,7.25,7.46,7.2,7.46,950060
TNI,20180627,7.15,7.4,7.15,7.25,693540
TNI,20180626,6.9,7.16,6.75,7.16,363980
TNI,20180625,6.7,6.9,6.7,6.9,356870
TNI,20180622,6.65,6.73,6.42,6.7,516680
TNI,20180621,6.62,7.05,6.62,6.9,958940
TNI,20180620,7.07,7.07,7.07,7.07,603100
TNI,20180619,7.6,7.6,7.2,7.6,1523260
TNI,20180618,6.96,7.3,6.8,7.25,966910
TNI,20180615,6.57,6.94,6.57,6.9,1290000
TNI,20180614,6.55,6.57,6.48,6.57,455700
TNI,20180613,6.5,6.57,6.5,6.55,568980
TNI,20180612,6.5,6.52,6.43,6.5,363500
TNI,20180611,6.5,6.54,6.38,6.5,958550
TNI,20180608,6.55,6.55,6.43,6.5,313150
TNI,20180607,6.56,6.56,6.42,6.49,536760
TNI,20180606,6.53,6.56,6.45,6.56,687990
TNI,20180605,6.62,6.65,6.55,6.55,285960
TNI,20180604,6.55,6.7,6.48,6.65,741080
TNI,20180601,6.47,6.57,6.35,6.57,483780
TNI,20180531,6.4,6.58,6.4,6.47,766700
TNI,20180530,6.4,6.42,6.35,6.4,223200
TNI,20180529,6.32,6.43,6.3,6.42,221420
TNI,20180528,6.32,6.32,6.28,6.32,339450
TNI,20180525,6.31,6.38,6.3,6.32,608370
TNI,20180524,6.3,6.4,6.3,6.31,274670
TNI,20180523,6.42,6.45,6.32,6.35,632060
TNI,20180522,6.35,6.45,6.3,6.45,849130
TNI,20180521,6.35,6.4,6.25,6.4,403000
TNI,20180518,6.25,6.35,6.2,6.35,462440
TNI,20180517,6.05,6.23,5.95,6.23,1647460
TNI,20180516,6.2,6.2,6.01,6.05,676450
TNI,20180515,6.2,6.35,6.12,6.24,665850
TNI,20180514,6.55,6.55,6.1,6.35,893710
TNI,20180511,6.25,6.63,6.2,6.55,2107660
TNI,20180510,6.05,6.2,6.05,6.2,382480
TNI,20180509,6.05,6.2,6.0,6.05,1113070
TNI,20180508,6.1,6.1,6.01,6.1,553400
TNI,20180507,6.15,6.15,5.99,6.05,55150
TNI,20180504,5.99,6.1,5.91,6.1,320320
TNI,20180503,6.1,6.1,5.9,5.9,38940
TNI,20180502,5.97,6.1,5.86,6.1,115720
TNI,20180427,5.95,5.98,5.57,5.97,106830
TNI,20180426,6.0,6.0,5.8,5.98,63690
TNI,20180424,6.04,6.04,5.9,6.0,110910
TNI,20180423,6.05,6.05,5.9,6.04,55180
TNI,20180420,5.95,6.06,5.95,6.04,66630
TNI,20180419,6.05,6.06,5.9,6.06,217480
TNI,20180418,6.07,6.07,5.95,6.05,64590
TNI,20180417,6.08,6.08,5.96,6.07,104300
TNI,20180416,5.95,6.1,5.9,6.07,121090
TNI,20180413,6.1,6.15,5.9,6.09,110140
TNI,20180412,6.1,6.18,5.95,6.1,105070
TNI,20180411,5.95,6.1,5.85,6.1,194330
TNI,20180410,6.0,6.0,5.9,5.99,249300
