<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TNT,20180713,1.56,1.67,1.56,1.59,66780
TNT,20180712,1.59,1.6,1.53,1.59,12330
TNT,20180711,1.61,1.61,1.57,1.59,8590
TNT,20180710,1.63,1.63,1.57,1.62,42200
TNT,20180709,1.65,1.67,1.58,1.63,37750
TNT,20180706,1.6,1.67,1.6,1.65,12840
TNT,20180705,1.71,1.75,1.64,1.65,28590
TNT,20180704,1.63,1.77,1.63,1.71,25850
TNT,20180703,1.83,1.83,1.71,1.71,73430
TNT,20180702,1.86,1.86,1.82,1.83,9430
TNT,20180629,1.86,1.86,1.79,1.86,24050
TNT,20180628,1.85,1.87,1.81,1.86,61890
TNT,20180627,1.86,1.86,1.8,1.85,21470
TNT,20180626,1.87,1.87,1.8,1.8,39900
TNT,20180625,1.85,1.87,1.82,1.87,54570
TNT,20180622,1.88,1.88,1.82,1.86,10410
TNT,20180621,1.82,1.89,1.8,1.86,3330
TNT,20180620,1.87,1.89,1.81,1.81,19220
TNT,20180619,1.82,1.87,1.82,1.85,16730
TNT,20180618,1.9,1.95,1.85,1.9,33390
TNT,20180615,1.86,1.9,1.85,1.86,26340
TNT,20180614,1.88,1.9,1.81,1.86,71620
TNT,20180613,1.9,1.9,1.87,1.9,16130
TNT,20180612,1.9,1.91,1.89,1.9,87440
TNT,20180611,1.91,2.0,1.9,1.9,45070
TNT,20180608,1.95,1.98,1.92,1.97,19240
TNT,20180607,1.95,1.98,1.92,1.95,15930
TNT,20180606,2.0,2.0,1.91,1.91,62960
TNT,20180605,2.03,2.03,2.0,2.0,23900
TNT,20180604,2.03,2.09,2.0,2.03,71640
TNT,20180601,1.92,2.04,1.91,2.02,84020
TNT,20180531,1.76,1.92,1.75,1.92,151310
TNT,20180530,1.8,1.8,1.74,1.8,16590
TNT,20180529,1.8,1.88,1.77,1.8,59820
TNT,20180528,1.98,1.98,1.83,1.83,51120
TNT,20180525,2.0,2.0,1.93,1.96,41540
TNT,20180524,1.94,2.05,1.94,2.0,3040
TNT,20180523,2.01,2.08,1.94,2.05,420200
TNT,20180522,2.1,2.1,2.0,2.08,81570
TNT,20180521,2.12,2.13,2.07,2.1,33890
TNT,20180518,2.11,2.18,2.09,2.13,51120
TNT,20180517,2.06,2.13,2.06,2.11,105800
TNT,20180516,2.14,2.14,2.06,2.1,24180
TNT,20180515,2.13,2.14,2.09,2.14,54380
TNT,20180514,2.1,2.15,2.05,2.14,56200
TNT,20180511,2.02,2.14,2.01,2.1,22240
TNT,20180510,2.18,2.18,2.08,2.08,26620
TNT,20180509,2.15,2.23,2.14,2.18,19090
TNT,20180508,2.03,2.17,2.03,2.17,54570
TNT,20180507,2.06,2.12,2.02,2.09,51390
TNT,20180504,2.05,2.12,1.99,2.06,117120
TNT,20180503,2.11,2.13,2.05,2.13,118620
TNT,20180502,2.24,2.24,2.16,2.2,33600
TNT,20180427,2.19,2.3,2.14,2.21,247930
TNT,20180426,2.4,2.4,2.24,2.3,68520
TNT,20180424,2.4,2.44,2.36,2.4,14980
TNT,20180423,2.4,2.48,2.36,2.4,108540
TNT,20180420,2.45,2.5,2.4,2.4,194130
TNT,20180419,2.58,2.58,2.46,2.54,85490
TNT,20180418,2.65,2.65,2.5,2.56,74910
TNT,20180417,2.62,2.62,2.5,2.6,195080
