<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TPB,20180713,27.15,27.25,26.9,27.1,303750
TPB,20180712,26.75,26.8,26.55,26.75,138910
TPB,20180711,27.2,27.2,26.6,26.8,82430
TPB,20180710,27.0,27.2,26.9,27.2,278740
TPB,20180709,27.0,27.0,24.85,27.0,226510
TPB,20180706,25.3,26.7,25.3,26.7,344120
TPB,20180705,25.9,26.35,25.3,25.3,779170
TPB,20180704,26.1,26.2,24.8,25.45,283830
TPB,20180703,27.0,27.05,25.95,26.1,182230
TPB,20180702,27.5,27.6,26.95,27.0,73960
TPB,20180629,27.5,27.5,26.9,27.5,234590
TPB,20180628,27.65,27.65,27.0,27.0,44370
TPB,20180627,27.7,27.8,27.0,27.65,42360
TPB,20180626,26.2,27.9,26.2,27.8,101440
TPB,20180625,27.55,28.0,27.5,27.8,204990
TPB,20180622,27.3,27.5,27.3,27.5,115320
TPB,20180621,27.6,27.9,27.0,27.4,43660
TPB,20180620,27.1,27.5,27.1,27.4,648730
TPB,20180619,26.6,27.4,25.15,27.1,648860
TPB,20180618,27.8,27.8,27.0,27.0,44490
TPB,20180615,28.15,28.15,27.75,27.8,26260
TPB,20180614,28.2,28.2,27.75,28.0,22990
TPB,20180613,28.2,28.3,28.0,28.2,111190
TPB,20180612,28.5,28.5,27.8,28.2,42180
TPB,20180611,28.9,28.9,28.2,28.5,38710
TPB,20180608,28.9,29.0,28.5,28.65,1162520
TPB,20180607,29.0,29.0,28.7,28.9,675570
TPB,20180606,29.2,29.3,28.8,28.9,847910
TPB,20180605,29.6,29.6,28.9,29.4,459200
TPB,20180604,28.1,29.8,27.95,29.5,387700
TPB,20180601,28.6,28.6,28.0,28.0,100550
TPB,20180531,28.6,28.65,28.0,28.0,287350
TPB,20180530,28.75,28.95,28.4,28.7,171480
TPB,20180529,27.5,28.85,27.5,28.8,590410
TPB,20180528,28.8,28.9,27.1,27.1,197040
TPB,20180525,29.3,29.4,28.95,29.0,307990
TPB,20180524,29.35,29.45,29.1,29.3,366890
TPB,20180523,29.3,29.45,28.9,29.4,506080
TPB,20180522,29.55,29.75,28.6,29.3,414600
TPB,20180521,29.75,29.75,29.45,29.55,339500
TPB,20180518,29.4,29.8,29.15,29.7,465950
TPB,20180517,29.6,29.8,29.3,29.5,385710
TPB,20180516,29.8,29.85,29.2,29.5,525340
TPB,20180515,29.5,29.85,28.8,29.8,468650
TPB,20180514,29.8,29.8,28.8,29.5,252920
TPB,20180511,29.5,29.8,28.6,29.8,725410
TPB,20180510,30.0,30.0,29.0,29.5,184990
TPB,20180509,30.1,30.1,29.6,30.0,368930
TPB,20180508,31.0,31.0,29.8,30.1,556210
TPB,20180507,29.9,30.0,29.2,30.0,269800
TPB,20180504,30.45,30.45,29.5,29.8,267600
TPB,20180503,29.8,29.8,29.0,29.8,407660
TPB,20180502,30.9,30.9,29.7,29.8,468940
TPB,20180427,29.95,30.2,29.35,30.2,783680
TPB,20180426,30.7,30.9,29.5,29.7,618040
TPB,20180424,30.3,31.0,28.7,30.8,1084620
TPB,20180423,32.5,32.6,30.3,30.8,918490
TPB,20180420,32.8,32.8,31.9,32.5,1970610
TPB,20180419,35.0,35.0,31.8,32.45,7295110
