<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TPH,20180713,,,,9.5,0
TPH,20180712,9.5,9.5,9.5,9.5,80
TPH,20180711,9.5,9.5,9.5,9.5,1000
TPH,20180710,,,,9.6,0
TPH,20180709,,,,9.6,0
TPH,20180706,9.5,9.6,9.5,9.6,2600
TPH,20180705,9.9,9.9,9.9,9.9,19000
TPH,20180704,9.6,9.7,9.0,9.0,2000
TPH,20180703,,,,8.9,0
TPH,20180702,,,,8.9,0
TPH,20180629,,,,8.9,0
TPH,20180628,8.9,8.9,8.9,8.9,100
TPH,20180627,,,,8.9,0
TPH,20180626,,,,8.9,0
TPH,20180625,7.3,8.9,7.3,8.9,8172
TPH,20180622,,,,8.1,0
TPH,20180621,,,,8.1,0
TPH,20180620,,,,8.1,0
TPH,20180619,,,,8.1,0
TPH,20180618,8.1,8.1,8.1,8.1,600
TPH,20180615,7.4,7.4,7.4,7.4,300
TPH,20180614,6.8,6.8,6.8,6.8,24
TPH,20180613,,,,6.8,0
TPH,20180612,,,,6.8,0
TPH,20180611,6.8,6.8,6.8,6.8,100
TPH,20180608,7.0,7.0,7.0,7.0,200
TPH,20180607,,,,6.7,0
TPH,20180606,,,,6.7,0
TPH,20180605,,,,6.7,0
TPH,20180604,6.7,6.7,6.7,6.7,136
TPH,20180601,6.6,6.6,6.6,6.6,100
TPH,20180531,,,,6.0,0
TPH,20180530,,,,6.0,0
TPH,20180529,,,,6.0,0
TPH,20180528,6.0,6.0,6.0,6.0,1000
TPH,20180525,,,,5.7,0
TPH,20180524,,,,5.7,0
TPH,20180523,,,,5.7,0
TPH,20180522,,,,5.7,0
TPH,20180521,,,,5.7,0
TPH,20180518,,,,5.7,0
TPH,20180517,,,,5.7,0
TPH,20180516,,,,5.7,0
TPH,20180515,,,,5.7,0
TPH,20180514,5.7,5.7,5.7,5.7,1200
TPH,20180511,5.7,5.7,5.7,5.7,400
TPH,20180510,6.16,6.16,6.16,6.16,100
TPH,20180509,,,,6.44,0
TPH,20180508,,,,6.44,0
TPH,20180507,6.44,6.44,6.44,6.44,12
TPH,20180504,,,,6.44,0
TPH,20180503,,,,6.44,0
TPH,20180502,,,,6.44,0
TPH,20180427,,,,6.44,0
TPH,20180426,,,,6.44,0
TPH,20180424,,,,6.44,0
TPH,20180423,,,,6.44,0
TPH,20180420,,,,6.44,0
TPH,20180419,,,,6.44,0
TPH,20180418,6.44,6.44,6.44,6.44,24
TPH,20180417,,,,6.44,0
TPH,20180416,,,,6.44,0
TPH,20180413,6.43,6.43,6.43,6.44,500
TPH,20180412,,,,5.88,0
TPH,20180411,5.89,5.89,5.89,5.88,200
TPH,20180410,,,,6.44,0
TPH,20180409,6.43,6.43,6.43,6.44,300
TPH,20180406,6.71,6.71,6.71,6.71,70
TPH,20180405,,,,6.71,0
TPH,20180404,,,,6.71,0
TPH,20180403,,,,6.71,0
TPH,20180402,,,,6.71,0
TPH,20180330,,,,6.71,0
TPH,20180329,,,,6.71,0
TPH,20180328,,,,6.71,0
TPH,20180327,,,,6.71,0
TPH,20180326,,,,6.71,0
TPH,20180323,,,,6.71,0
TPH,20180322,,,,6.71,0
TPH,20180321,,,,6.71,0
TPH,20180320,,,,6.71,0
TPH,20180319,,,,6.71,0
TPH,20180316,,,,6.71,0
TPH,20180315,,,,6.71,0
TPH,20180314,,,,6.71,0
TPH,20180313,,,,6.71,0
TPH,20180312,,,,6.71,0
TPH,20180309,,,,6.71,0
TPH,20180308,6.71,6.71,6.71,6.71,1000
TPH,20180307,,,,6.53,0
TPH,20180306,,,,6.53,0
TPH,20180305,,,,6.53,0
TPH,20180302,,,,6.53,0
TPH,20180301,,,,6.53,0
TPH,20180228,6.53,6.53,6.53,6.53,1000
TPH,20180227,,,,7.17,0
TPH,20180226,,,,7.17,0
TPH,20180223,,,,7.17,0
TPH,20180222,,,,7.17,0
TPH,20180221,7.17,7.17,7.17,7.17,100
TPH,20180213,,,,6.53,0
TPH,20180212,,,,6.53,0
TPH,20180209,,,,6.53,0
TPH,20180208,6.53,6.53,6.53,6.53,100
TPH,20180207,,,,5.98,0
TPH,20180206,,,,5.98,0
TPH,20180205,,,,5.98,0
TPH,20180202,,,,5.98,0
TPH,20180201,5.98,5.98,5.98,5.98,100
TPH,20180131,,,,6.44,0
TPH,20180130,,,,6.44,0
TPH,20180129,,,,6.44,0
TPH,20180126,,,,6.44,0
TPH,20180125,,,,6.44,0
TPH,20180122,,,,6.44,0
