<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TSB,20180713,,,,9.5,0
TSB,20180712,,,,9.5,0
TSB,20180711,,,,9.5,0
TSB,20180710,,,,9.5,0
TSB,20180709,,,,9.5,0
TSB,20180706,,,,9.5,0
TSB,20180705,11.0,11.0,9.5,9.5,200
TSB,20180704,,,,10.0,0
TSB,20180703,,,,10.0,0
TSB,20180702,,,,10.0,0
TSB,20180629,,,,10.0,0
TSB,20180628,11.5,11.5,10.0,10.0,300
TSB,20180627,,,,10.5,0
TSB,20180626,11.2,11.2,10.5,10.5,1100
TSB,20180625,,,,11.0,0
TSB,20180622,11.0,11.0,11.0,11.0,3689
TSB,20180621,,,,11.0,0
TSB,20180620,,,,11.0,0
TSB,20180619,,,,11.0,0
TSB,20180618,,,,11.0,0
TSB,20180615,11.0,11.0,11.0,11.0,1200
TSB,20180614,11.0,11.0,11.0,11.0,2000
TSB,20180613,11.0,11.0,11.0,11.0,800
TSB,20180612,10.0,10.0,10.0,10.0,2100
TSB,20180611,9.1,9.1,9.1,9.1,200
TSB,20180608,8.3,8.3,8.3,8.3,100
TSB,20180607,,,,8.0,0
TSB,20180606,,,,8.0,0
TSB,20180605,,,,8.0,0
TSB,20180604,,,,8.0,0
TSB,20180601,,,,8.0,0
TSB,20180531,,,,8.0,0
TSB,20180530,,,,8.0,0
TSB,20180529,,,,8.0,0
TSB,20180528,,,,8.0,0
TSB,20180525,,,,8.0,0
TSB,20180524,,,,8.0,0
TSB,20180523,,,,8.0,0
TSB,20180522,,,,8.0,0
TSB,20180521,,,,8.0,0
TSB,20180518,,,,8.0,0
TSB,20180517,,,,8.0,0
TSB,20180516,,,,8.0,0
TSB,20180515,,,,8.0,0
TSB,20180514,,,,8.0,0
TSB,20180511,,,,8.0,0
TSB,20180510,,,,8.0,0
TSB,20180509,,,,8.0,0
TSB,20180508,,,,8.0,0
TSB,20180507,,,,8.0,0
TSB,20180504,,,,8.0,0
TSB,20180503,,,,8.0,0
TSB,20180502,,,,8.0,0
TSB,20180427,,,,8.0,0
TSB,20180426,,,,8.0,0
TSB,20180424,,,,8.0,0
TSB,20180423,,,,8.0,0
TSB,20180420,8.0,8.0,8.0,8.0,100
TSB,20180419,,,,8.8,0
TSB,20180418,,,,8.8,0
TSB,20180417,,,,8.8,0
TSB,20180416,,,,8.8,0
TSB,20180413,,,,8.8,0
TSB,20180412,,,,8.8,0
TSB,20180411,,,,8.8,0
TSB,20180410,,,,8.8,0
TSB,20180409,,,,8.8,0
TSB,20180406,,,,8.8,0
TSB,20180405,,,,8.8,0
TSB,20180404,,,,8.8,0
TSB,20180403,,,,8.8,0
TSB,20180402,,,,8.8,0
TSB,20180330,,,,8.8,0
TSB,20180329,,,,8.8,0
TSB,20180328,,,,8.8,0
TSB,20180327,,,,8.8,0
TSB,20180326,,,,8.8,0
TSB,20180323,,,,8.8,0
TSB,20180322,,,,8.8,0
TSB,20180321,,,,8.8,0
TSB,20180320,,,,8.8,0
TSB,20180319,,,,8.8,0
TSB,20180316,,,,8.8,0
TSB,20180315,,,,8.8,0
TSB,20180314,,,,8.8,0
TSB,20180313,,,,8.8,0
TSB,20180312,,,,8.8,0
TSB,20180309,,,,8.8,0
TSB,20180308,,,,8.8,0
TSB,20180307,,,,8.8,0
TSB,20180306,,,,8.8,0
TSB,20180305,,,,8.8,0
TSB,20180302,,,,8.8,0
TSB,20180301,,,,8.8,0
TSB,20180228,,,,8.8,0
TSB,20180227,,,,8.8,0
TSB,20180226,,,,8.8,0
TSB,20180223,,,,8.8,0
TSB,20180222,,,,8.8,0
TSB,20180221,,,,8.8,0
TSB,20180213,,,,8.8,0
TSB,20180212,8.8,8.8,8.8,8.8,200
TSB,20180209,,,,8.0,0
TSB,20180208,,,,8.0,0
TSB,20180207,,,,8.0,0
TSB,20180206,,,,8.0,0
TSB,20180205,,,,8.0,0
TSB,20180202,,,,8.0,0
TSB,20180201,,,,8.0,0
TSB,20180131,,,,8.0,0
TSB,20180130,,,,8.0,0
TSB,20180129,,,,8.0,0
TSB,20180126,,,,8.0,0
TSB,20180125,9.2,9.2,8.0,8.0,5100
TSB,20180122,,,,8.4,0
TSB,20180119,,,,8.4,0
TSB,20180118,,,,8.4,0
TSB,20180117,8.4,8.4,8.4,8.4,1000
TSB,20180116,,,,7.7,0
TSB,20180115,,,,7.7,0
TSB,20180112,7.7,7.7,7.7,7.7,2000
TSB,20180111,,,,7.6,0
TSB,20180110,,,,7.6,0
TSB,20180109,,,,7.6,0
TSB,20180108,,,,7.6,0
TSB,20180105,,,,7.6,0
TSB,20180104,,,,7.6,0
TSB,20180103,,,,7.6,0
TSB,20180102,,,,7.6,0
TSB,20171229,,,,7.6,0
TSB,20171228,7.6,7.6,7.6,7.6,1000
TSB,20171227,,,,8.3,0
TSB,20171226,,,,8.3,0
TSB,20171225,,,,8.3,0
TSB,20171222,8.3,8.3,8.3,8.3,100
TSB,20171221,,,,9.1,0
TSB,20171220,,,,9.1,0
TSB,20171219,,,,9.1,0
TSB,20171218,,,,9.1,0
TSB,20171215,,,,9.1,0
TSB,20171214,,,,9.1,0
TSB,20171213,,,,9.1,0
TSB,20171212,,,,9.1,0
TSB,20171211,,,,9.1,0
TSB,20171208,,,,9.1,0
TSB,20171207,,,,9.1,0
TSB,20171206,,,,9.1,0
TSB,20171205,,,,9.1,0
TSB,20171204,,,,9.1,0
TSB,20171201,,,,9.1,0
TSB,20171130,,,,9.1,0
TSB,20171129,,,,9.1,0
TSB,20171128,,,,9.1,0
TSB,20171127,,,,9.1,0
