<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TTB,20180713,21.3,23.8,21.3,23.6,258200
TTB,20180712,22.9,24.1,22.8,23.6,745880
TTB,20180711,23.0,23.0,22.6,23.0,415600
TTB,20180710,20.7,23.1,20.7,23.0,557820
TTB,20180709,23.2,23.2,22.9,23.0,583910
TTB,20180706,24.2,24.2,22.0,23.3,433150
TTB,20180705,24.8,24.8,24.1,24.2,517910
TTB,20180704,22.4,25.2,22.4,25.0,708170
TTB,20180703,23.4,25.6,23.4,24.8,1166460
TTB,20180702,23.1,23.6,22.9,23.5,621413
TTB,20180629,22.4,23.1,22.4,23.1,483235
TTB,20180628,22.7,23.0,22.7,22.9,335051
TTB,20180627,22.9,23.4,22.8,22.9,489100
TTB,20180626,22.9,23.0,22.3,23.0,868504
TTB,20180625,23.3,23.3,22.1,22.9,397000
TTB,20180622,23.1,23.3,22.9,23.2,277201
TTB,20180621,23.8,23.9,23.1,23.1,330934
TTB,20180620,23.0,24.2,23.0,23.8,1042500
TTB,20180619,22.9,23.1,22.0,23.0,541142
TTB,20180618,23.2,23.2,22.8,22.9,176800
TTB,20180615,23.0,23.6,23.0,23.4,356010
TTB,20180614,23.2,23.9,23.1,23.4,597406
TTB,20180613,21.3,23.4,21.1,23.3,1083415
TTB,20180612,21.0,21.5,20.4,21.5,698109
TTB,20180611,19.1,21.1,18.9,21.1,719400
TTB,20180608,18.1,19.4,18.1,19.2,747501
TTB,20180607,18.2,18.4,18.1,18.2,225310
TTB,20180606,18.5,18.5,17.9,18.3,273700
TTB,20180605,18.5,18.7,18.2,18.6,271900
TTB,20180604,19.2,19.2,18.2,18.5,418510
TTB,20180601,19.2,20.4,19.2,19.5,797150
TTB,20180531,19.0,19.4,18.8,19.2,419600
TTB,20180530,18.1,19.3,18.0,19.0,619400
TTB,20180529,18.1,18.1,18.0,18.1,137920
TTB,20180528,17.9,18.3,17.9,18.1,614940
TTB,20180525,16.4,18.1,16.4,18.0,556500
TTB,20180524,16.27,16.81,16.27,16.55,396810
TTB,20180523,15.64,16.37,14.37,16.36,503510
TTB,20180522,16.27,16.27,15.63,15.73,346400
TTB,20180521,16.82,16.91,16.46,16.45,299250
TTB,20180518,15.91,17.18,15.91,16.91,1078600
TTB,20180517,15.18,16.0,15.18,15.91,801930
TTB,20180516,15.0,15.18,14.54,15.18,1135400
TTB,20180515,15.64,15.73,14.91,15.09,563720
TTB,20180514,15.64,15.82,15.64,15.73,305810
TTB,20180511,15.46,15.73,14.91,15.64,88310
TTB,20180510,15.27,15.64,15.27,15.64,195330
TTB,20180509,18.36,18.45,16.63,16.91,1075800
TTB,20180508,18.91,20.82,18.45,18.45,1694800
TTB,20180507,17.36,19.0,17.36,19.0,1460492
TTB,20180504,15.73,17.28,15.73,17.27,1116100
TTB,20180503,15.46,15.91,15.19,15.73,273000
TTB,20180502,15.73,15.82,15.55,15.64,242410
TTB,20180427,15.55,15.91,15.55,15.82,615600
TTB,20180426,15.91,15.91,15.55,15.64,436600
TTB,20180424,15.64,15.82,15.19,15.82,759400
TTB,20180423,15.73,15.91,15.64,15.64,713600
TTB,20180420,15.27,15.91,15.18,15.82,491900
TTB,20180419,15.64,15.64,14.91,15.27,460500
TTB,20180418,15.91,16.0,15.46,15.64,402100
TTB,20180417,16.0,16.0,15.64,15.82,340910
TTB,20180416,15.91,16.09,15.82,16.0,279110
TTB,20180413,16.09,16.09,15.64,16.0,223300
TTB,20180412,16.0,16.0,15.82,15.91,439700
TTB,20180411,14.46,16.0,14.46,16.0,687700
TTB,20180410,14.0,14.55,13.91,14.55,1155500
TTB,20180409,13.36,14.0,13.27,14.0,1104660
