<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TTF,20180713,3.44,3.52,3.4,3.4,333120
TTF,20180712,3.46,3.5,3.4,3.46,137770
TTF,20180711,3.5,3.6,3.42,3.48,160200
TTF,20180710,3.57,3.7,3.45,3.5,456300
TTF,20180709,3.66,3.8,3.54,3.61,542360
TTF,20180706,3.7,3.8,3.6,3.8,802640
TTF,20180705,3.98,3.98,3.63,3.68,803960
TTF,20180704,3.9,3.95,3.85,3.9,329020
TTF,20180703,4.0,4.0,3.89,3.9,483200
TTF,20180702,3.95,4.02,3.94,3.95,280830
TTF,20180629,4.03,4.06,3.95,4.03,183760
TTF,20180628,4.0,4.05,3.9,4.0,341540
TTF,20180627,4.06,4.09,3.93,4.0,304330
TTF,20180626,3.95,4.1,3.8,4.06,182630
TTF,20180625,3.71,4.0,3.71,4.0,199600
TTF,20180622,3.9,3.9,3.73,3.74,112830
TTF,20180621,3.89,3.89,3.7,3.73,95530
TTF,20180620,3.8,3.9,3.6,3.79,167080
TTF,20180619,3.89,3.89,3.67,3.68,334320
TTF,20180618,3.91,3.95,3.85,3.89,156470
TTF,20180615,3.93,4.05,3.9,3.92,198760
TTF,20180614,3.92,4.05,3.9,3.95,138720
TTF,20180613,3.99,4.1,3.9,3.92,101620
TTF,20180612,3.94,4.15,3.8,3.99,348420
TTF,20180611,4.11,4.23,3.94,3.94,746770
TTF,20180608,4.35,4.39,4.17,4.2,299130
TTF,20180607,4.3,4.4,4.27,4.3,330260
TTF,20180606,4.07,4.33,4.0,4.3,807740
TTF,20180605,4.05,4.09,3.99,4.05,210320
TTF,20180604,4.06,4.07,3.97,4.07,531090
TTF,20180601,4.0,4.09,3.87,4.06,358890
TTF,20180531,3.82,4.06,3.8,4.06,381140
TTF,20180530,3.8,3.89,3.75,3.8,163320
TTF,20180529,3.6,3.88,3.6,3.8,378710
TTF,20180528,3.9,3.98,3.63,3.63,871550
TTF,20180525,4.09,4.09,3.9,3.9,189830
TTF,20180524,4.27,4.27,3.97,3.97,487370
TTF,20180523,4.11,4.3,3.99,4.1,327700
TTF,20180522,4.4,4.7,4.25,4.26,542460
TTF,20180521,4.7,4.89,4.56,4.56,1489270
TTF,20180518,4.8,4.9,4.47,4.9,860170
TTF,20180517,4.85,4.98,4.65,4.8,455110
TTF,20180516,4.84,4.9,4.8,4.85,57600
TTF,20180515,4.98,4.98,4.79,4.84,218520
TTF,20180514,4.9,5.0,4.79,4.9,143200
TTF,20180511,4.85,4.87,4.75,4.77,214710
TTF,20180510,4.99,5.08,4.81,4.85,340290
TTF,20180509,5.24,5.24,4.9,4.98,621100
TTF,20180508,5.23,5.25,5.07,5.24,1215050
TTF,20180507,4.65,4.91,4.65,4.91,187330
TTF,20180504,4.55,4.65,4.53,4.59,150250
TTF,20180503,4.8,4.9,4.47,4.55,498930
TTF,20180502,5.46,5.46,4.8,4.8,502410
TTF,20180427,5.19,5.19,4.93,5.12,537640
TTF,20180426,5.1,5.55,4.93,4.93,566570
TTF,20180424,5.67,5.7,5.3,5.3,727620
TTF,20180423,6.07,6.07,5.67,5.67,836340
TTF,20180420,6.2,6.3,5.9,6.07,835830
TTF,20180419,6.06,6.07,6.06,6.07,3146160
TTF,20180418,5.5,5.68,5.5,5.68,1204990
TTF,20180417,5.45,5.45,5.0,5.31,376460
TTF,20180416,5.55,5.7,5.31,5.31,148040
TTF,20180413,5.59,5.8,5.22,5.55,322880
TTF,20180412,5.6,6.0,5.58,5.58,651410
TTF,20180411,6.35,6.38,6.0,6.0,306430
TTF,20180410,6.5,6.5,6.1,6.18,133830
TTF,20180409,6.15,6.3,6.0,6.3,367510
TTF,20180406,6.31,6.41,6.13,6.13,374020
TTF,20180405,6.5,6.5,6.21,6.31,200800
TTF,20180404,5.9,6.31,5.9,6.31,423940
TTF,20180403,5.9,5.9,5.7,5.9,444910
TTF,20180402,6.05,6.05,5.92,5.95,439980
TTF,20180330,6.1,6.12,6.01,6.05,189380
TTF,20180329,6.12,6.12,5.96,6.01,89960
TTF,20180328,5.98,6.15,5.98,6.0,193030
