<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TTL,20180713,,,,7.9,0
TTL,20180712,7.9,7.9,7.9,7.9,200
TTL,20180711,8.0,8.0,8.0,8.0,3000
TTL,20180710,,,,7.9,0
TTL,20180709,,,,7.9,0
TTL,20180706,,,,7.9,0
TTL,20180705,,,,7.9,0
TTL,20180704,,,,7.9,0
TTL,20180703,,,,7.9,0
TTL,20180702,,,,7.9,0
TTL,20180629,,,,7.9,0
TTL,20180628,,,,7.9,0
TTL,20180627,,,,7.9,0
TTL,20180626,,,,7.9,0
TTL,20180625,7.9,7.9,7.9,7.9,200
TTL,20180622,,,,7.9,0
TTL,20180621,,,,7.9,0
TTL,20180620,7.9,7.9,7.9,7.9,200
TTL,20180619,7.2,7.2,7.2,7.2,100
TTL,20180618,7.8,7.8,7.8,7.8,100
TTL,20180615,,,,8.4,0
TTL,20180614,,,,8.4,0
TTL,20180613,,,,8.4,0
TTL,20180612,,,,8.4,0
TTL,20180611,7.83,8.4,7.83,8.4,2100
TTL,20180608,,,,8.49,0
TTL,20180607,,,,8.49,0
TTL,20180606,8.49,8.49,8.49,8.49,1200
TTL,20180605,,,,8.4,0
TTL,20180604,8.03,8.41,8.03,8.4,2700
TTL,20180601,,,,7.65,0
TTL,20180531,7.64,7.64,7.64,7.65,300
TTL,20180530,,,,8.4,0
TTL,20180529,,,,8.4,0
TTL,20180528,,,,8.4,0
TTL,20180525,,,,8.4,0
TTL,20180524,,,,8.4,0
TTL,20180523,,,,8.4,0
TTL,20180522,7.64,8.4,7.64,8.4,2100
TTL,20180521,7.55,8.49,7.55,8.49,600
TTL,20180518,8.02,8.02,8.02,8.02,1200
TTL,20180517,,,,8.49,0
TTL,20180516,,,,8.49,0
TTL,20180515,8.5,8.5,8.5,8.49,2100
TTL,20180514,,,,8.12,0
TTL,20180511,,,,8.12,0
TTL,20180510,8.02,8.12,8.02,8.12,400
TTL,20180509,,,,8.87,0
TTL,20180508,8.59,8.87,8.59,8.87,1000
TTL,20180507,8.5,8.59,8.5,8.59,800
TTL,20180504,,,,8.59,0
TTL,20180503,8.49,8.58,8.49,8.59,200
TTL,20180502,7.83,7.83,7.83,7.83,800
TTL,20180427,8.5,9.44,8.02,8.02,3900
TTL,20180426,,,,8.59,0
TTL,20180424,,,,8.59,0
TTL,20180423,8.5,8.97,8.5,8.59,21200
TTL,20180420,,,,8.78,0
TTL,20180419,,,,8.78,0
TTL,20180418,8.77,8.77,8.77,8.78,100
TTL,20180417,,,,8.02,0
TTL,20180416,,,,8.02,0
TTL,20180413,,,,8.02,0
TTL,20180412,,,,8.02,0
TTL,20180411,8.02,8.02,8.02,8.02,500
TTL,20180410,,,,8.4,0
TTL,20180409,8.4,8.4,8.4,8.4,300
TTL,20180406,9.16,9.25,8.4,9.25,900
TTL,20180405,9.25,9.25,9.25,9.25,100
TTL,20180404,,,,9.25,0
TTL,20180403,,,,9.25,0
TTL,20180402,9.25,9.25,9.25,9.25,100
TTL,20180330,,,,9.16,0
TTL,20180329,,,,9.16,0
TTL,20180328,,,,9.16,0
TTL,20180327,,,,9.16,0
TTL,20180326,,,,9.16,0
TTL,20180323,,,,9.16,0
TTL,20180322,,,,9.16,0
TTL,20180321,9.07,9.16,9.07,9.16,300
TTL,20180320,9.16,9.16,9.16,9.16,300
TTL,20180319,,,,8.97,0
TTL,20180316,8.87,8.97,8.87,8.97,2000
TTL,20180315,,,,9.25,0
TTL,20180314,,,,9.25,0
TTL,20180313,,,,9.25,0
TTL,20180312,9.35,9.35,8.5,9.25,4600
TTL,20180309,9.25,9.44,9.25,9.44,1100
TTL,20180308,9.43,9.43,9.43,9.44,100
TTL,20180307,9.34,9.34,9.34,9.34,200
TTL,20180306,,,,9.34,0
TTL,20180305,9.25,9.43,9.25,9.34,600
TTL,20180302,8.96,9.34,8.96,9.34,700
TTL,20180301,,,,8.49,0
TTL,20180228,9.15,9.44,8.49,8.49,1400
TTL,20180227,,,,8.87,0
TTL,20180226,8.87,8.87,8.87,8.87,300
TTL,20180223,,,,8.78,0
TTL,20180222,,,,8.78,0
TTL,20180221,,,,8.78,0
TTL,20180213,8.49,9.34,8.49,8.78,7500
TTL,20180212,,,,8.49,0
TTL,20180209,8.5,8.5,8.5,8.49,400
TTL,20180208,7.74,7.74,7.74,7.74,400
TTL,20180207,7.64,8.49,7.64,8.49,3100
TTL,20180206,8.5,8.5,8.5,8.49,100
TTL,20180205,9.43,9.43,9.43,9.44,100
TTL,20180202,8.69,8.69,8.69,8.68,200
TTL,20180201,9.63,9.63,9.63,9.63,100
TTL,20180131,8.97,8.97,8.97,8.97,100
TTL,20180130,8.31,8.31,8.31,8.31,500
TTL,20180129,,,,8.31,0
TTL,20180126,8.31,8.31,8.31,8.31,2700
TTL,20180125,8.97,9.16,8.97,9.16,1100
TTL,20180122,9.06,9.06,8.5,8.49,12000
TTL,20180119,9.44,9.44,9.44,9.44,200
TTL,20180118,12.27,12.27,9.44,9.44,39700
