<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TTT,20180713,,,,53.0,0
TTT,20180712,,,,53.0,0
TTT,20180711,,,,53.0,0
TTT,20180710,,,,53.0,0
TTT,20180709,,,,53.0,0
TTT,20180706,53.0,53.0,53.0,53.0,100
TTT,20180705,49.5,49.5,49.1,49.1,1600
TTT,20180704,49.0,50.0,49.0,50.0,500
TTT,20180703,,,,53.7,0
TTT,20180702,,,,53.7,0
TTT,20180629,52.0,53.7,52.0,53.7,1100
TTT,20180628,55.0,55.0,55.0,55.0,500
TTT,20180627,,,,53.0,0
TTT,20180626,53.0,53.0,53.0,53.0,500
TTT,20180625,50.0,52.5,49.0,52.5,9310
TTT,20180622,50.0,50.0,50.0,50.0,200
TTT,20180621,50.0,50.0,50.0,50.0,800
TTT,20180620,49.8,49.8,49.0,49.8,10700
TTT,20180619,48.0,52.9,48.0,52.9,6100
TTT,20180618,52.5,52.5,50.0,50.0,4200
TTT,20180615,53.0,53.0,53.0,53.0,100
TTT,20180614,53.0,53.9,53.0,53.9,600
TTT,20180613,54.5,54.5,54.0,54.0,1850
TTT,20180612,54.0,54.0,54.0,54.0,1400
TTT,20180611,54.0,54.0,53.5,54.0,2100
TTT,20180608,55.5,55.5,53.5,54.9,3502
TTT,20180607,55.9,56.0,55.9,56.0,1300
TTT,20180606,,,,56.0,0
TTT,20180605,56.5,56.5,56.0,56.0,1600
TTT,20180604,56.5,56.5,56.5,56.5,500
TTT,20180601,56.2,56.2,56.2,56.2,10
TTT,20180531,,,,56.2,0
TTT,20180530,,,,56.2,0
TTT,20180529,56.2,56.2,56.2,56.2,2
TTT,20180528,56.2,56.2,56.2,56.2,3300
TTT,20180525,56.2,56.2,56.2,56.2,300
TTT,20180524,57.1,57.1,57.0,57.0,300
TTT,20180523,56.2,58.0,56.1,58.0,800
TTT,20180522,57.5,57.5,56.8,56.8,400
TTT,20180521,57.2,57.2,57.0,57.0,1700
TTT,20180518,,,,59.4,0
TTT,20180517,59.4,59.4,59.4,59.4,100
TTT,20180516,58.5,58.5,58.5,58.5,1300
TTT,20180515,59.8,59.8,59.0,59.0,1200
TTT,20180514,59.9,60.0,59.9,60.0,3200
TTT,20180511,58.6,59.0,58.6,59.0,600
TTT,20180510,60.0,60.0,58.6,58.9,1900
TTT,20180509,,,,61.0,0
TTT,20180508,62.0,62.0,60.0,61.0,3400
TTT,20180507,60.0,61.0,60.0,61.0,200
TTT,20180504,,,,59.1,0
TTT,20180503,58.5,62.0,58.5,59.1,16500
TTT,20180502,58.0,59.0,56.0,59.0,1600
TTT,20180427,58.0,58.0,58.0,58.0,300
TTT,20180426,58.2,58.6,58.2,58.2,14100
TTT,20180424,59.8,60.5,58.0,59.8,5300
TTT,20180423,59.8,59.8,59.8,59.8,800
TTT,20180420,59.7,59.7,59.7,59.7,100
TTT,20180419,60.3,60.5,59.6,59.6,3400
TTT,20180418,60.0,60.3,60.0,60.3,9400
TTT,20180417,60.5,60.5,60.4,60.5,16300
TTT,20180416,61.6,62.1,60.5,60.5,1800
TTT,20180413,62.1,65.0,62.1,62.1,4100
TTT,20180412,61.0,64.0,60.0,62.0,37300
TTT,20180411,57.8,60.0,57.8,58.6,10800
TTT,20180410,57.5,57.6,57.0,57.6,22300
TTT,20180409,58.0,58.2,57.5,57.5,30700
TTT,20180406,60.9,62.0,58.0,58.0,34800
TTT,20180405,57.6,60.9,57.5,60.9,6800
TTT,20180404,58.0,61.5,57.5,57.5,50500
TTT,20180403,57.4,57.5,57.4,57.5,8700
TTT,20180402,57.5,57.5,57.0,57.5,8000
TTT,20180330,57.0,57.5,57.0,57.5,6100
TTT,20180329,56.5,56.5,56.5,56.5,200
TTT,20180328,55.0,57.0,54.9,57.0,8300
TTT,20180327,54.0,54.0,53.6,53.6,4100
TTT,20180326,53.5,54.0,53.5,54.0,4820
TTT,20180323,56.0,56.0,54.5,54.5,800
TTT,20180322,56.0,56.5,54.2,54.2,7200
TTT,20180321,59.9,59.9,53.0,53.0,1700
TTT,20180320,55.3,56.0,54.0,55.0,7100
TTT,20180319,57.0,57.0,55.1,55.1,12100
TTT,20180316,56.3,57.9,55.4,56.5,11965
TTT,20180315,54.0,57.5,54.0,55.0,6500
TTT,20180314,57.2,57.2,53.8,53.8,8500
TTT,20180313,56.0,56.0,52.1,52.1,12100
TTT,20180312,56.5,56.5,55.6,55.6,2100
TTT,20180309,56.5,56.5,55.0,55.0,1700
TTT,20180308,55.0,57.0,55.0,56.5,10000
TTT,20180307,,,,54.0,0
TTT,20180306,56.0,56.0,54.0,54.0,365
TTT,20180305,56.5,56.5,56.0,56.0,9200
TTT,20180302,54.4,54.5,54.4,54.5,2300
TTT,20180301,54.0,54.4,53.8,54.4,7100
TTT,20180228,54.9,54.9,53.1,53.1,7100
TTT,20180227,52.2,54.9,52.2,52.4,18400
TTT,20180226,52.0,52.0,51.6,52.0,6700
TTT,20180223,,,,51.5,0
TTT,20180222,52.0,52.2,51.5,51.5,31300
TTT,20180221,52.1,52.2,52.0,52.2,4600
TTT,20180213,52.9,52.9,51.5,52.0,9300
TTT,20180212,51.0,51.2,51.0,51.2,2700
TTT,20180209,52.0,52.1,51.0,51.0,5400
TTT,20180208,54.0,55.0,52.0,52.1,4900
TTT,20180207,52.0,52.0,51.0,51.0,9000
TTT,20180206,50.1,51.5,50.1,50.6,16400
TTT,20180205,53.0,53.0,51.1,51.1,21701
TTT,20180202,53.6,55.0,52.8,52.8,3100
TTT,20180201,53.0,53.0,52.9,53.0,800
TTT,20180131,53.9,54.0,52.3,52.7,8200
TTT,20180130,54.0,54.0,51.5,51.5,17400
TTT,20180129,57.24,58.41,51.2,51.2,17200
TTT,20180126,53.54,53.54,53.54,53.54,400
TTT,20180125,53.06,53.06,53.06,53.05,100
TTT,20180122,52.28,52.76,52.28,52.76,1635
TTT,20180119,52.08,52.18,52.08,52.18,2500
TTT,20180118,52.07,52.17,52.07,52.18,3600
TTT,20180117,51.79,51.89,51.69,51.88,1500
TTT,20180116,51.79,51.79,51.79,51.79,2000
TTT,20180115,51.59,53.54,51.59,51.79,5000
TTT,20180112,51.3,51.59,51.3,51.59,1500
TTT,20180111,51.4,51.4,51.21,51.3,3200
TTT,20180110,51.59,51.59,51.01,51.4,8700
TTT,20180109,51.01,51.69,51.01,51.59,2100
TTT,20180108,51.49,51.59,51.01,51.01,1800
TTT,20180105,52.37,52.37,50.13,50.13,3700
TTT,20180104,52.95,52.95,52.18,52.37,5100
TTT,20180103,53.45,53.84,52.76,52.76,7100
TTT,20180102,53.05,54.02,53.05,54.03,800
TTT,20171229,52.95,53.05,52.95,53.05,2500
TTT,20171228,52.86,53.05,52.76,52.95,5600
TTT,20171227,52.85,52.85,52.56,52.76,9800
TTT,20171226,53.14,53.14,52.66,52.66,5500
TTT,20171225,52.57,52.57,52.57,52.56,2000
TTT,20171222,52.57,52.57,52.08,52.08,3700
TTT,20171221,52.08,52.08,52.08,52.08,3900
TTT,20171220,52.08,52.57,52.08,52.08,4100
TTT,20171219,53.73,53.73,50.62,52.08,6100
TTT,20171218,54.51,54.51,50.62,54.51,4700
TTT,20171215,53.53,53.63,53.53,53.54,2800
TTT,20171214,52.56,52.56,52.56,52.56,9400
TTT,20171213,53.53,53.53,48.67,48.67,9100
TTT,20171212,52.56,52.56,52.56,52.56,4300
TTT,20171211,53.53,53.53,52.56,52.56,6300
TTT,20171208,53.64,56.95,52.57,52.56,8800
TTT,20171207,53.54,53.64,53.15,53.15,8200
TTT,20171206,53.54,53.64,53.15,53.15,20600
TTT,20171205,,,,53.54,0
TTT,20171204,53.54,53.54,53.54,53.54,500
TTT,20171201,55.0,55.0,53.44,53.44,5700
TTT,20171130,53.05,53.05,53.05,53.05,800
TTT,20171129,53.35,53.35,52.57,52.56,7600
TTT,20171128,55.0,55.39,53.63,53.64,4100
TTT,20171127,53.54,55.49,53.05,53.05,12700
TTT,20171124,54.03,54.03,52.86,52.86,5500
TTT,20171123,52.56,52.95,52.56,52.76,7400
TTT,20171122,55.97,55.97,51.59,51.59,9200
TTT,20171121,54.03,56.85,54.03,54.51,8600
TTT,20171120,54.02,54.02,54.02,54.03,2000
TTT,20171117,56.85,56.95,54.52,54.51,3000
TTT,20171116,55.0,56.95,54.12,55.1,12300
TTT,20171115,55.0,55.0,53.83,55.0,9300
TTT,20171114,53.54,53.54,53.54,53.54,6200
TTT,20171113,53.63,54.51,53.54,54.51,23000
TTT,20171110,54.52,54.52,53.54,54.51,3800
TTT,20171109,55.59,55.59,53.54,53.64,18600
TTT,20171108,54.52,55.78,53.54,55.49,32900
TTT,20171107,53.54,53.54,50.72,50.72,1900
TTT,20171106,49.25,49.25,49.25,49.26,800
TTT,20171103,,,,50.13,0
TTT,20171102,53.54,53.54,50.13,50.13,900
TTT,20171101,54.51,54.51,50.81,50.81,1900
TTT,20171031,48.67,53.54,48.67,49.64,3800
TTT,20171030,48.67,52.57,48.67,50.62,2700
TTT,20171027,52.57,53.54,51.69,51.69,5100
TTT,20171026,53.73,54.51,49.16,49.16,4100
TTT,20171025,51.2,54.51,51.2,54.51,7200
TTT,20171024,54.51,54.51,51.69,51.88,2700
TTT,20171023,54.51,54.51,54.51,54.51,1500
TTT,20171020,59.38,59.38,54.51,54.51,900
TTT,20171019,54.51,54.51,54.51,54.51,2400
TTT,20171018,59.38,59.38,54.51,54.51,4900
TTT,20171017,54.51,54.7,54.51,54.51,7200
TTT,20171016,54.51,54.51,54.51,54.51,1000
TTT,20171013,54.51,54.51,54.51,54.51,8800
TTT,20171012,55.48,55.48,54.51,54.51,6800
TTT,20171011,57.43,57.82,54.51,54.51,300
TTT,20171010,56.46,56.46,56.46,56.46,400
TTT,20171009,59.77,59.87,59.57,59.57,300
TTT,20171006,,,,55.29,0
TTT,20171005,56.45,56.45,55.29,55.29,10700
TTT,20171004,55.97,59.18,55.97,59.18,200
TTT,20171003,53.54,59.67,53.54,59.67,200
TTT,20171002,57.04,57.04,57.04,57.04,100
TTT,20170929,61.03,61.03,61.03,61.03,100
TTT,20170928,56.46,61.13,56.46,61.13,500
TTT,20170927,60.64,61.03,60.64,61.03,300
TTT,20170926,55.78,60.64,55.78,60.64,300
TTT,20170925,56.46,62.3,56.46,57.53,10400
TTT,20170922,60.54,62.2,60.54,62.2,600
TTT,20170921,54.02,58.79,53.54,58.79,5300
TTT,20170920,51.88,57.82,51.88,57.82,5300
TTT,20170919,52.95,53.24,52.56,52.56,9300
TTT,20170918,52.96,52.96,52.08,52.95,2400
TTT,20170915,51.88,52.08,51.88,52.08,2800
TTT,20170914,49.94,52.08,49.94,51.59,4000
TTT,20170913,49.06,49.06,48.86,48.87,7000
TTT,20170912,48.97,50.04,48.87,50.03,1500
TTT,20170911,48.68,48.87,48.68,48.87,600
TTT,20170908,48.96,49.16,48.87,48.87,4700
TTT,20170907,49.35,50.62,49.06,49.06,7900
TTT,20170906,51.59,51.59,51.59,51.59,100
TTT,20170905,50.62,50.62,49.16,50.13,600
TTT,20170901,50.13,50.13,49.16,49.16,2100
TTT,20170831,51.1,51.1,50.13,50.13,900
TTT,20170830,50.13,50.13,50.13,50.13,100
TTT,20170829,52.47,52.47,50.13,52.37,1100
TTT,20170828,50.13,50.62,50.13,50.62,3200
TTT,20170825,,,,53.05,0
TTT,20170824,51.1,53.05,48.96,53.05,700
TTT,20170823,49.25,49.74,48.67,48.67,9900
TTT,20170822,50.62,50.62,50.13,50.13,200
TTT,20170821,50.62,50.62,48.67,50.62,1300
TTT,20170818,49.45,51.59,48.67,50.62,31700
TTT,20170817,51.59,54.51,50.62,51.1,1000
TTT,20170816,51.3,51.3,51.3,51.3,100
TTT,20170815,51.98,51.98,49.64,51.49,2900
TTT,20170814,54.51,54.51,51.59,51.59,1200
TTT,20170811,52.08,53.44,52.08,53.44,200
TTT,20170810,51.1,51.59,51.1,51.59,900
TTT,20170809,51.3,51.3,51.11,51.1,300
TTT,20170808,50.13,51.59,50.13,51.3,14900
TTT,20170807,50.13,50.62,50.13,50.62,300
TTT,20170804,49.55,50.13,48.48,50.13,16800
TTT,20170803,48.67,49.55,48.19,49.55,24200
TTT,20170802,49.15,49.15,49.15,49.16,100
TTT,20170801,47.89,48.67,46.72,46.72,14300
TTT,20170731,47.89,47.89,47.89,47.89,900
TTT,20170728,,,,50.23,0
TTT,20170727,,,,50.23,0
TTT,20170726,50.23,50.23,50.23,50.23,1000
TTT,20170725,50.13,50.23,50.13,50.23,4400
TTT,20170724,50.13,50.13,50.13,50.13,3300
TTT,20170721,50.13,50.62,47.89,50.62,2800
TTT,20170720,50.62,50.62,50.13,50.23,9000
TTT,20170719,52.56,52.56,50.91,50.91,900
TTT,20170718,53.44,53.44,53.44,53.44,100
TTT,20170717,53.05,53.44,52.08,53.44,600
TTT,20170714,53.54,53.54,53.54,53.54,2500
TTT,20170713,55.49,55.49,55.49,55.49,100
TTT,20170712,52.56,53.54,51.59,53.54,32200
TTT,20170711,52.56,53.54,52.56,53.44,14300
TTT,20170710,54.51,54.51,54.51,54.51,2300
TTT,20170707,55.97,56.36,54.51,54.51,12400
