<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TV3,20180713,50.0,50.1,42.3,44.2,9600
TV3,20180712,53.1,53.1,45.5,45.6,1200
TV3,20180711,48.4,48.4,48.4,48.4,3000
TV3,20180710,51.9,52.0,42.6,44.0,9900
TV3,20180709,54.7,54.7,47.3,47.3,200
TV3,20180706,49.9,49.9,49.9,49.9,100
TV3,20180705,55.4,55.4,55.4,55.4,100
TV3,20180704,51.3,51.3,50.5,50.5,3300
TV3,20180703,52.9,53.0,46.7,46.7,4800
TV3,20180702,57.9,57.9,48.2,48.2,200
TV3,20180629,52.8,52.8,52.8,52.8,4359
TV3,20180628,54.3,54.4,45.9,48.0,11690
TV3,20180627,49.5,49.6,49.5,49.5,2662
TV3,20180626,53.2,53.4,45.1,45.1,3600
TV3,20180625,48.6,48.6,48.6,48.6,1600
TV3,20180622,52.8,52.8,44.2,44.2,3300
TV3,20180621,48.0,48.0,48.0,48.0,100
TV3,20180620,52.9,52.9,52.51,52.9,4800
TV3,20180619,53.98,54.28,48.09,48.09,2115
TV3,20180618,57.81,57.81,48.19,49.37,745
TV3,20180615,52.8,52.9,47.01,52.9,2570
TV3,20180614,54.37,54.47,48.09,48.09,1400
TV3,20180613,57.91,57.91,49.57,49.56,3030
TV3,20180612,53.59,53.59,53.0,53.59,1490
TV3,20180611,58.89,58.89,48.78,48.78,1300
TV3,20180608,53.98,54.18,53.98,54.18,2500
TV3,20180607,53.98,53.98,49.27,49.27,200
TV3,20180606,54.47,54.47,49.17,49.17,600
TV3,20180605,59.28,59.28,48.58,54.47,3154
TV3,20180604,54.08,54.08,53.98,53.98,3387
TV3,20180601,59.48,59.48,49.17,49.17,200
TV3,20180531,54.18,54.18,54.18,54.18,6500
TV3,20180530,55.65,58.79,49.17,49.27,27189
TV3,20180529,53.49,53.49,53.49,53.49,1900
TV3,20180528,48.88,48.88,48.88,48.88,1800
TV3,20180525,54.28,54.28,44.46,44.46,4222
TV3,20180524,50.54,56.92,49.17,49.37,30828
TV3,20180523,51.04,51.82,51.04,51.82,1910
TV3,20180522,45.93,47.11,38.67,47.11,2400
TV3,20180521,42.89,42.89,42.89,42.89,200
TV3,20180518,39.06,39.06,35.63,39.06,1200
TV3,20180517,38.96,38.96,35.53,35.53,200
TV3,20180516,35.43,35.43,35.43,35.43,97
TV3,20180515,,,,35.43,0
