<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TVD,20180713,4.9,4.9,4.9,4.9,500
TVD,20180712,4.8,4.8,4.8,4.8,3100
TVD,20180711,4.6,4.6,4.6,4.6,100
TVD,20180710,,,,4.8,0
TVD,20180709,4.8,4.8,4.8,4.8,100
TVD,20180706,,,,4.8,0
TVD,20180705,,,,4.8,0
TVD,20180704,4.6,4.8,4.5,4.8,18500
TVD,20180703,5.0,5.1,4.8,4.8,5700
TVD,20180702,,,,5.0,0
TVD,20180629,,,,5.0,0
TVD,20180628,,,,5.0,0
TVD,20180627,5.0,5.0,5.0,5.0,100
TVD,20180626,,,,4.8,0
TVD,20180625,4.8,4.8,4.8,4.8,1000
TVD,20180622,,,,4.9,0
TVD,20180621,4.9,4.9,4.9,4.9,100
TVD,20180620,,,,4.7,0
TVD,20180619,4.8,4.8,4.7,4.7,5478
TVD,20180618,5.0,5.0,4.8,4.8,5300
TVD,20180615,,,,4.9,0
TVD,20180614,,,,4.9,0
TVD,20180613,,,,4.9,0
TVD,20180612,4.9,4.9,4.9,4.9,600
TVD,20180611,4.8,4.8,4.8,4.8,1500
TVD,20180608,,,,4.8,0
TVD,20180607,4.8,4.8,4.6,4.8,17800
TVD,20180606,,,,4.8,0
TVD,20180605,4.6,4.8,4.6,4.8,4700
TVD,20180604,4.6,4.6,4.6,4.6,900
TVD,20180601,4.5,4.5,4.5,4.5,2500
TVD,20180531,,,,4.7,0
TVD,20180530,,,,4.7,0
TVD,20180529,4.7,4.7,4.7,4.7,100
TVD,20180528,4.4,4.5,4.3,4.3,1100
TVD,20180525,,,,4.7,0
TVD,20180524,,,,4.7,0
TVD,20180523,,,,4.7,0
TVD,20180522,4.7,4.7,4.7,4.7,5800
TVD,20180521,4.6,4.8,4.5,4.8,600
TVD,20180518,4.9,4.9,4.9,4.9,6700
TVD,20180517,,,,4.8,0
TVD,20180516,,,,4.8,0
TVD,20180515,4.61,4.8,4.61,4.8,7100
TVD,20180514,4.16,4.53,4.16,4.52,4010
TVD,20180511,4.62,4.62,4.62,4.62,200
TVD,20180510,,,,4.62,0
TVD,20180509,4.61,4.61,4.61,4.62,2161
TVD,20180508,4.62,4.8,4.53,4.52,5671
TVD,20180507,4.61,4.61,4.61,4.62,9500
TVD,20180504,,,,4.89,0
TVD,20180503,4.9,4.9,4.9,4.89,3350
TVD,20180502,4.62,4.62,4.62,4.62,1000
TVD,20180427,4.53,4.8,4.53,4.8,1700
TVD,20180426,4.52,5.07,4.52,4.62,9500
TVD,20180424,,,,4.98,0
TVD,20180423,4.98,4.98,4.98,4.98,100
TVD,20180420,4.44,4.8,4.44,4.8,200
TVD,20180419,,,,4.62,0
TVD,20180418,,,,4.62,0
TVD,20180417,,,,4.62,0
TVD,20180416,4.52,4.89,4.52,4.62,5300
TVD,20180413,,,,4.98,0
TVD,20180412,4.62,4.99,4.62,4.98,2300
TVD,20180411,4.52,4.89,4.52,4.62,6600
TVD,20180410,,,,4.8,0
TVD,20180409,4.8,4.8,4.8,4.8,7
TVD,20180406,,,,4.8,0
TVD,20180405,,,,4.8,0
TVD,20180404,,,,4.8,0
TVD,20180403,,,,4.8,0
TVD,20180402,4.8,4.8,4.8,4.8,2800
TVD,20180330,4.98,4.98,4.98,4.98,200
TVD,20180329,4.9,4.9,4.9,4.89,100
TVD,20180328,4.62,4.62,4.62,4.62,100
