<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TVS,20180713,14.4,14.45,14.4,14.45,160
TVS,20180712,14.45,14.45,14.0,14.45,5090
TVS,20180711,14.4,14.4,13.7,14.35,27590
TVS,20180710,14.0,14.0,13.55,14.0,1490
TVS,20180709,13.8,13.85,13.2,13.85,11020
TVS,20180706,13.8,13.8,13.4,13.8,24510
TVS,20180705,13.9,14.4,13.4,14.4,13720
TVS,20180704,14.5,14.5,13.8,14.4,16320
TVS,20180703,14.2,14.8,14.2,14.8,2120
TVS,20180702,14.5,14.5,13.8,14.5,4120
TVS,20180629,14.85,14.85,14.0,14.8,3840
TVS,20180628,14.95,15.0,14.15,14.85,8970
TVS,20180627,14.55,15.0,14.5,15.0,2600
TVS,20180626,15.1,15.4,13.85,15.4,71260
TVS,20180625,13.7,14.4,13.55,14.4,18560
TVS,20180622,13.5,13.8,13.5,13.5,18420
TVS,20180621,13.2,13.5,13.05,13.5,25400
TVS,20180620,13.45,13.45,13.0,13.35,13940
TVS,20180619,13.45,13.45,12.6,12.6,8050
TVS,20180618,13.6,13.6,12.8,13.45,770
TVS,20180615,13.5,13.5,13.5,13.5,1000
TVS,20180614,12.85,13.5,12.85,13.5,6730
TVS,20180613,13.4,13.5,13.4,13.5,3610
TVS,20180612,13.1,13.6,13.1,13.5,15000
TVS,20180611,13.5,13.5,13.5,13.5,40
TVS,20180608,13.5,13.5,13.1,13.4,3200
TVS,20180607,13.5,13.5,13.5,13.5,200
TVS,20180606,13.5,13.5,13.5,13.5,60
TVS,20180605,13.4,13.5,13.35,13.5,37060
TVS,20180604,13.3,13.3,13.2,13.3,7630
TVS,20180601,12.6,13.4,12.6,13.35,1280
TVS,20180531,13.2,13.4,13.1,13.4,2850
TVS,20180530,12.8,13.3,12.6,13.3,5490
TVS,20180529,12.5,13.4,12.5,13.3,2200
TVS,20180528,12.5,13.4,12.5,13.4,6270
TVS,20180525,13.1,13.4,13.05,13.4,2650
TVS,20180524,,,,13.1,0
TVS,20180523,12.8,13.1,12.8,13.1,610
TVS,20180522,12.6,13.1,12.5,13.1,27230
TVS,20180521,12.6,13.1,12.6,13.1,1200
TVS,20180518,13.2,13.2,12.9,13.15,5430
TVS,20180517,13.1,13.1,12.95,13.0,19420
TVS,20180516,13.0,13.1,13.0,13.0,11920
TVS,20180515,13.1,13.55,13.0,13.55,13260
TVS,20180514,,,,13.6,0
TVS,20180511,13.1,13.6,13.1,13.6,670
TVS,20180510,13.1,13.45,13.0,13.45,13320
TVS,20180509,12.9,13.5,12.9,13.45,15240
TVS,20180508,13.75,13.75,13.7,13.7,1110
TVS,20180507,13.6,13.75,13.1,13.75,5190
TVS,20180504,13.8,13.8,13.5,13.8,3210
TVS,20180503,13.3,13.8,13.0,13.8,128200
TVS,20180502,13.6,13.8,13.5,13.8,50860
TVS,20180427,13.55,13.8,13.5,13.6,44330
TVS,20180426,14.2,14.2,13.3,13.9,55160
