<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TVT,20180713,19.0,19.0,18.6,19.0,22120
TVT,20180712,20.1,19.15,19.1,19.1,11910
TVT,20180711,,,,20.1,0
TVT,20180710,20.1,20.1,20.1,20.1,10
TVT,20180709,,,,19.1,0
TVT,20180706,,,,19.1,0
TVT,20180705,17.8,20.0,17.8,19.1,270
TVT,20180704,19.0,19.8,19.0,19.1,1060
TVT,20180703,19.8,19.8,18.9,18.9,1010
TVT,20180702,19.55,19.55,18.6,18.6,1040
TVT,20180629,,,,19.55,0
TVT,20180628,,,,19.55,0
TVT,20180627,19.55,19.55,19.55,19.55,10
TVT,20180626,,,,19.55,0
TVT,20180625,20.0,20.0,19.55,19.55,3270
TVT,20180622,20.5,20.7,19.55,19.55,640
TVT,20180621,20.55,20.55,20.2,20.2,210
TVT,20180620,,,,19.5,0
TVT,20180619,19.6,19.6,19.5,19.5,700
TVT,20180618,,,,19.85,0
TVT,20180615,20.2,20.2,19.85,19.85,5190
TVT,20180614,,,,20.2,0
TVT,20180613,20.2,20.2,20.2,20.2,2010
TVT,20180612,20.2,20.2,20.1,20.2,13680
TVT,20180611,20.2,20.9,20.2,20.2,3040
TVT,20180608,20.65,20.7,20.2,20.2,8610
TVT,20180607,20.25,20.25,20.25,20.25,1800
TVT,20180606,20.1,20.1,20.1,20.1,1000
TVT,20180605,20.7,20.7,20.05,20.05,4290
TVT,20180604,20.3,20.6,20.3,20.5,290
TVT,20180601,20.7,20.7,20.7,20.7,2070
TVT,20180531,19.8,20.7,19.8,20.7,20
TVT,20180530,,,,19.9,0
TVT,20180529,19.9,19.9,19.75,19.9,7250
TVT,20180528,20.0,20.8,19.8,19.8,11970
TVT,20180525,19.9,19.9,19.9,19.9,1000
TVT,20180524,19.8,20.1,19.8,19.9,6140
TVT,20180523,19.75,20.5,19.7,20.5,670
TVT,20180522,20.0,20.65,19.5,20.65,2010
TVT,20180521,20.55,20.55,20.55,20.55,20920
TVT,20180518,20.55,20.65,20.55,20.55,2750
TVT,20180517,20.5,20.9,20.5,20.55,8200
TVT,20180516,20.75,21.9,20.75,21.9,30810
TVT,20180515,20.8,20.8,20.8,20.8,13100
TVT,20180514,,,,20.8,0
TVT,20180511,20.05,20.85,20.05,20.8,10720
TVT,20180510,20.5,20.5,20.5,20.5,11260
TVT,20180509,21.0,21.0,20.5,20.9,5390
TVT,20180508,20.5,20.95,20.1,20.95,890
TVT,20180507,20.5,20.5,20.3,20.3,1170
TVT,20180504,21.2,21.2,21.2,21.2,30
TVT,20180503,20.6,20.6,20.6,20.6,30
TVT,20180502,,,,21.6,0
TVT,20180427,,,,21.6,0
TVT,20180426,21.6,21.6,21.6,21.6,1170
TVT,20180424,,,,21.6,0
TVT,20180423,20.6,21.6,20.5,21.6,1390
TVT,20180420,20.5,21.0,20.5,21.0,1000
TVT,20180419,21.0,21.1,21.0,21.0,54590
TVT,20180418,21.0,21.1,20.9,21.1,5500
TVT,20180417,20.5,21.0,20.5,21.0,4890
TVT,20180416,20.9,21.0,20.3,21.0,67900
TVT,20180413,21.4,21.8,20.4,21.8,3260
TVT,20180412,21.0,21.9,21.0,21.9,1650
TVT,20180411,21.5,21.5,21.5,21.5,300
TVT,20180410,21.85,21.85,21.7,21.7,2100
TVT,20180409,22.2,22.2,22.0,22.0,21090
TVT,20180406,21.7,22.5,21.7,22.0,20430
TVT,20180405,22.1,22.2,21.7,21.7,22490
TVT,20180404,23.5,23.5,21.4,22.3,3770
TVT,20180403,22.0,22.0,21.55,22.0,27450
TVT,20180402,21.55,22.45,21.55,22.0,14260
TVT,20180330,21.82,21.91,21.55,21.55,11290
TVT,20180329,21.55,21.82,21.55,21.82,12230
TVT,20180328,21.55,21.64,21.55,21.55,18360
TVT,20180327,21.92,22.0,21.56,21.55,10070
TVT,20180326,21.95,21.95,21.28,21.96,3660
TVT,20180323,21.42,21.42,21.19,21.19,1280
TVT,20180322,21.56,21.74,21.33,21.55,5140
TVT,20180321,22.0,22.0,21.55,21.96,7930
TVT,20180320,21.37,22.36,21.19,21.82,14950
TVT,20180319,21.2,21.2,19.94,21.1,24950
TVT,20180316,20.11,20.11,19.75,19.94,2700
TVT,20180315,19.76,20.21,19.76,20.11,13840
TVT,20180314,19.75,19.75,19.75,19.76,140
TVT,20180313,20.47,20.47,19.84,20.38,1120
TVT,20180312,19.12,21.5,19.12,20.47,8270
TVT,20180309,20.12,20.12,19.67,20.11,21500
TVT,20180308,20.11,20.11,19.48,19.76,3520
TVT,20180307,19.98,19.98,19.22,19.26,6100
TVT,20180306,20.03,20.03,19.13,19.76,120
TVT,20180305,18.68,20.03,18.68,20.03,1030
TVT,20180302,19.31,19.76,18.95,19.67,1430
TVT,20180301,20.34,20.34,19.31,19.31,46210
TVT,20180228,20.39,20.39,19.31,19.31,10920
TVT,20180227,19.31,19.31,18.68,19.31,6290
TVT,20180226,19.31,19.76,19.13,19.31,26780
TVT,20180223,19.22,19.31,19.04,19.31,18560
TVT,20180222,19.22,19.31,19.22,19.31,34080
TVT,20180221,19.22,19.44,19.22,19.44,220
TVT,20180213,19.04,19.22,19.04,19.22,1070
TVT,20180212,18.59,19.22,17.33,19.22,23950
TVT,20180209,18.5,18.95,18.5,18.59,1370
TVT,20180208,18.86,19.04,18.86,18.86,28920
TVT,20180207,18.59,18.95,18.59,18.86,23110
TVT,20180206,19.3,19.3,17.91,18.32,13040
TVT,20180205,18.95,19.49,18.86,19.26,2070
TVT,20180202,19.71,19.71,19.71,19.71,10
TVT,20180201,19.49,19.49,19.49,19.49,10
TVT,20180131,19.66,19.66,19.3,19.4,12610
TVT,20180130,19.04,19.08,19.04,19.08,9390
TVT,20180129,19.13,19.13,18.41,19.04,23620
TVT,20180126,18.86,19.04,18.5,18.5,3600
TVT,20180125,18.86,19.22,18.86,19.13,16080
TVT,20180122,18.86,19.13,18.86,19.13,6810
TVT,20180119,18.86,19.13,18.77,19.13,10840
TVT,20180118,18.86,18.86,18.73,18.77,11500
TVT,20180117,18.86,18.86,18.77,18.77,4050
TVT,20180116,18.5,18.86,18.5,18.86,1030
TVT,20180115,19.13,19.13,18.41,19.04,17220
TVT,20180112,19.13,19.31,19.13,19.22,900
TVT,20180111,19.62,19.62,18.86,19.13,1010
TVT,20180110,19.76,19.76,18.86,19.13,2180
TVT,20180109,18.95,19.22,18.32,19.22,15290
TVT,20180108,19.22,19.49,18.01,18.59,10080
TVT,20180105,19.36,19.36,19.22,19.22,3310
TVT,20180104,19.21,19.39,19.21,19.4,6070
TVT,20180103,19.13,19.22,19.13,19.17,15080
TVT,20180102,19.4,19.4,19.17,19.22,5980
TVT,20171229,18.46,19.31,18.46,18.95,8020
TVT,20171228,18.32,18.59,18.32,18.59,3900
TVT,20171227,18.32,18.59,18.32,18.59,6280
TVT,20171226,18.5,18.59,18.41,18.59,3700
TVT,20171225,18.41,18.77,18.32,18.77,5210
TVT,20171222,19.13,19.13,18.77,18.77,1340
TVT,20171221,19.13,19.13,18.68,19.04,1820
TVT,20171220,18.68,19.13,18.68,19.13,360
TVT,20171219,18.86,19.13,18.86,19.13,4000
TVT,20171218,19.09,19.13,18.95,19.13,5550
TVT,20171215,18.81,19.13,18.81,19.13,27510
TVT,20171214,19.17,19.17,19.17,19.17,10
TVT,20171213,18.77,18.86,18.77,18.86,820
TVT,20171212,18.86,18.86,18.5,18.77,5520
TVT,20171211,18.77,18.77,18.68,18.77,3500
TVT,20171208,18.54,18.85,18.54,18.86,1190
TVT,20171207,18.77,18.86,18.68,18.81,25950
