<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TYA,20180713,10.1,10.3,10.0,10.2,36560
TYA,20180712,10.1,10.3,10.0,10.1,7960
TYA,20180711,10.4,10.4,10.1,10.1,44440
TYA,20180710,10.25,10.65,10.05,10.4,14660
TYA,20180709,10.7,10.75,10.25,10.25,3310
TYA,20180706,10.5,10.85,10.25,10.8,28380
TYA,20180705,10.95,11.4,10.3,11.0,5550
TYA,20180704,11.5,11.5,10.15,10.95,25470
TYA,20180703,10.8,11.0,10.65,10.85,10150
TYA,20180702,11.0,11.5,10.7,11.4,14190
TYA,20180629,11.45,11.45,11.45,11.45,3030
TYA,20180628,10.8,11.5,10.65,11.25,16940
TYA,20180627,10.9,11.65,10.8,11.35,16030
TYA,20180626,11.2,11.2,10.6,10.9,37020
TYA,20180625,11.3,11.3,10.9,10.9,17130
TYA,20180622,11.3,11.3,10.75,11.25,21560
TYA,20180621,10.95,11.35,10.95,11.25,14990
TYA,20180620,12.1,12.1,11.2,11.2,72430
TYA,20180619,12.1,12.1,12.0,12.0,28680
TYA,20180618,12.8,12.9,12.45,12.85,18190
TYA,20180615,12.5,13.35,12.3,13.35,24010
TYA,20180614,13.4,13.4,12.75,12.8,46250
TYA,20180613,13.23,13.4,13.19,13.4,189040
TYA,20180612,13.15,13.23,12.94,13.23,68340
TYA,20180611,13.24,13.32,13.03,13.15,56420
TYA,20180608,13.23,13.27,13.02,13.03,34610
TYA,20180607,13.32,13.32,12.99,12.98,40020
TYA,20180606,13.23,13.32,12.98,13.32,28930
TYA,20180605,13.4,13.48,13.15,13.15,75600
TYA,20180604,13.32,13.49,13.07,13.4,77600
TYA,20180601,13.45,13.49,13.28,13.32,31350
TYA,20180531,12.82,13.52,12.82,13.28,203860
TYA,20180530,12.82,12.82,12.4,12.65,86650
TYA,20180529,12.15,12.65,12.07,12.15,37750
TYA,20180528,12.82,12.82,11.86,12.4,11290
TYA,20180525,12.07,12.15,12.07,12.07,13510
TYA,20180524,11.98,12.27,11.86,12.15,4540
TYA,20180523,11.9,12.32,11.9,12.15,8660
TYA,20180522,12.11,12.32,11.99,12.07,10970
TYA,20180521,12.24,12.36,12.11,12.32,8250
TYA,20180518,12.15,12.48,12.15,12.36,5310
TYA,20180517,12.11,12.15,12.11,12.15,1730
TYA,20180516,12.07,12.11,11.86,12.11,1730
TYA,20180515,12.06,12.15,11.9,12.07,25810
TYA,20180514,12.31,12.31,11.9,11.94,5300
TYA,20180511,12.15,12.57,11.9,12.23,130
TYA,20180510,11.9,12.15,11.82,11.9,11620
TYA,20180509,11.82,12.15,11.78,12.15,11550
TYA,20180508,12.48,12.48,11.81,11.82,29450
TYA,20180507,11.78,12.61,11.78,12.48,11270
TYA,20180504,12.4,12.4,11.98,12.4,8180
TYA,20180503,12.61,12.61,11.99,12.44,6130
TYA,20180502,12.57,12.65,11.65,12.61,11260
TYA,20180427,12.74,12.74,11.41,12.4,9310
TYA,20180426,11.74,12.4,11.32,11.99,39520
TYA,20180424,11.94,12.57,11.78,11.78,52770
TYA,20180423,12.78,13.57,12.65,12.65,106160
TYA,20180420,13.4,13.57,13.32,13.57,47580
TYA,20180419,13.65,13.73,13.31,13.4,59970
TYA,20180418,13.9,13.98,13.65,13.73,43410
TYA,20180417,13.73,14.15,13.31,13.9,45210
TYA,20180416,13.9,14.32,13.49,13.73,58740
TYA,20180413,15.31,15.56,14.31,14.32,116770
TYA,20180412,14.65,15.19,14.15,14.98,78530
TYA,20180411,13.48,14.31,13.44,14.23,106590
TYA,20180410,14.15,14.15,13.44,13.44,333450
TYA,20180409,13.23,13.23,13.23,13.23,24190
TYA,20180406,12.4,12.4,12.4,12.4,69030
TYA,20180405,11.61,11.61,11.61,11.61,45540
TYA,20180404,10.4,10.86,10.32,10.86,132930
TYA,20180403,10.07,10.32,10.07,10.15,11510
TYA,20180402,10.57,10.57,10.16,10.24,4740
TYA,20180330,10.07,10.4,9.99,10.28,7380
TYA,20180329,10.11,10.11,10.07,10.07,70
TYA,20180328,9.91,10.03,9.91,9.99,15640
TYA,20180327,9.99,10.07,9.74,9.99,11210
TYA,20180326,10.07,10.15,9.74,10.07,2040
TYA,20180323,10.11,10.11,9.4,9.82,15670
TYA,20180322,9.98,9.98,9.73,9.9,8340
TYA,20180321,9.99,10.65,9.65,10.15,9110
TYA,20180320,9.82,10.07,9.82,10.07,210
TYA,20180319,9.57,10.24,9.57,10.07,38150
TYA,20180316,9.57,9.57,9.57,9.57,470
TYA,20180315,9.57,9.65,9.4,9.4,18600
TYA,20180314,9.57,9.57,9.57,9.57,440
TYA,20180313,9.57,9.65,9.28,9.57,4950
TYA,20180312,9.49,9.9,9.49,9.65,2380
TYA,20180309,9.41,9.57,9.41,9.57,370
TYA,20180308,9.44,9.48,9.44,9.49,5210
TYA,20180307,9.32,9.4,9.15,9.4,2540
TYA,20180306,9.49,9.49,9.15,9.4,16370
TYA,20180305,9.24,9.32,9.24,9.32,13230
TYA,20180302,9.36,9.36,9.24,9.32,2030
TYA,20180301,9.32,9.36,9.24,9.36,390
TYA,20180228,9.44,9.44,9.28,9.32,18040
TYA,20180227,9.16,9.37,9.12,9.36,7550
TYA,20180226,9.32,9.49,9.24,9.45,12890
TYA,20180223,9.07,9.32,9.07,9.32,12320
TYA,20180222,9.44,9.44,9.15,9.24,33830
TYA,20180221,9.53,9.53,9.24,9.36,13230
TYA,20180213,9.4,9.4,9.15,9.28,11930
TYA,20180212,9.4,9.82,9.07,9.57,2550
TYA,20180209,9.49,9.49,9.16,9.4,8400
TYA,20180208,9.49,9.78,9.07,9.49,1140
TYA,20180207,9.86,9.86,9.49,9.49,420
TYA,20180206,8.91,9.66,8.91,9.49,6890
TYA,20180205,9.65,9.65,9.07,9.49,8280
TYA,20180202,9.94,9.94,9.32,9.65,5410
TYA,20180201,9.82,9.86,9.4,9.65,5930
TYA,20180131,10.11,10.11,9.65,9.65,47630
TYA,20180130,9.4,9.73,9.4,9.65,89150
TYA,20180129,9.33,9.74,9.16,9.4,6330
TYA,20180126,9.24,9.32,9.16,9.16,12850
TYA,20180125,9.33,9.33,9.16,9.24,4430
TYA,20180122,8.91,9.28,8.91,9.16,4860
TYA,20180119,9.16,9.41,8.91,9.28,4840
TYA,20180118,8.91,9.16,8.87,9.16,9890
TYA,20180117,8.99,9.24,8.91,9.16,3910
TYA,20180116,9.12,9.16,8.95,9.16,1510
TYA,20180115,9.41,9.41,9.16,9.24,30
TYA,20180112,9.36,9.36,9.15,9.24,6230
TYA,20180111,9.36,9.36,9.07,9.07,64100
TYA,20180110,9.36,9.36,9.07,9.07,8920
TYA,20180109,9.07,9.36,8.9,9.07,8540
TYA,20180108,9.41,9.41,9.07,9.32,2120
TYA,20180105,9.48,9.57,8.98,9.24,9310
TYA,20180104,8.99,9.4,8.99,9.4,8400
TYA,20180103,9.07,9.15,8.99,9.07,19640
TYA,20180102,9.08,9.24,9.08,9.07,180
TYA,20171229,9.15,9.15,8.99,9.16,6640
TYA,20171228,8.91,9.08,8.87,9.07,6930
TYA,20171227,8.91,9.16,8.91,9.16,2130
TYA,20171226,8.91,9.16,8.91,9.16,40
TYA,20171225,,,,9.16,0
TYA,20171222,9.08,9.16,8.91,9.16,7070
TYA,20171221,9.15,9.15,9.15,9.16,50
TYA,20171220,9.08,9.16,8.99,9.07,7450
TYA,20171219,8.99,9.16,8.82,9.16,7240
TYA,20171218,8.74,8.99,8.74,8.99,11550
TYA,20171215,9.07,9.24,8.99,8.99,14660
TYA,20171214,9.16,9.16,8.37,9.07,9360
TYA,20171213,8.86,9.11,8.45,8.99,18770
TYA,20171212,8.9,9.07,8.9,9.07,3360
TYA,20171211,8.91,9.16,8.83,9.07,4190
TYA,20171208,9.16,9.16,8.99,9.16,1050
TYA,20171207,9.2,9.2,9.16,9.16,20
TYA,20171206,9.16,9.2,9.16,9.2,7760
TYA,20171205,8.99,9.37,8.99,9.24,8300
TYA,20171204,9.33,9.33,9.16,9.16,16900
TYA,20171201,9.41,9.45,9.16,9.45,2820
TYA,20171130,9.24,9.7,8.91,9.45,28450
TYA,20171129,8.99,9.16,8.91,9.16,35470
TYA,20171128,9.16,9.16,9.16,9.16,300
TYA,20171127,9.03,9.15,8.9,9.16,16270
TYA,20171124,9.08,9.16,8.91,9.11,13910
TYA,20171123,9.16,9.16,8.95,9.16,7870
TYA,20171122,8.82,9.16,8.82,9.16,15540
TYA,20171121,8.95,9.24,8.83,9.24,13660
TYA,20171120,9.44,9.44,8.95,8.95,10070
TYA,20171117,9.24,9.37,8.99,9.32,150
TYA,20171116,9.4,9.4,9.07,9.16,22080
TYA,20171115,9.24,9.33,9.16,9.32,10770
TYA,20171114,9.36,9.41,8.91,9.16,23220
TYA,20171113,9.41,9.41,9.08,9.24,12900
TYA,20171110,9.41,9.41,8.91,9.16,49360
TYA,20171109,9.4,9.4,9.15,9.16,15600
TYA,20171108,9.41,9.41,9.16,9.4,8890
TYA,20171107,9.41,9.41,9.16,9.2,7060
TYA,20171106,9.52,9.57,9.15,9.49,15070
TYA,20171103,9.57,9.57,9.16,9.4,8590
TYA,20171102,9.74,9.74,9.41,9.49,740
TYA,20171101,9.65,9.82,9.49,9.49,18330
TYA,20171031,9.48,9.82,9.15,9.82,14470
TYA,20171030,9.15,9.48,9.15,9.4,18580
TYA,20171027,9.49,9.49,9.24,9.4,9740
TYA,20171026,9.86,9.86,9.32,9.49,46660
TYA,20171025,9.74,9.74,9.49,9.57,22240
TYA,20171024,9.57,9.65,9.32,9.57,38610
TYA,20171023,9.74,9.91,9.08,9.57,22600
TYA,20171020,9.74,9.74,9.32,9.7,4370
TYA,20171019,9.94,9.94,9.4,9.74,15890
TYA,20171018,9.57,9.86,9.4,9.82,51170
TYA,20171017,8.99,9.41,8.99,9.32,38650
TYA,20171016,9.24,9.57,9.15,9.24,5530
TYA,20171013,8.91,9.16,8.87,9.07,2780
TYA,20171012,9.32,9.32,8.86,9.16,120
TYA,20171011,8.91,9.07,8.91,9.07,620
TYA,20171010,8.99,9.32,8.91,9.24,1580
TYA,20171009,9.24,9.24,9.24,9.24,6430
TYA,20171006,,,,9.16,0
TYA,20171005,9.24,9.24,9.04,9.16,6010
TYA,20171004,,,,9.16,0
TYA,20171003,9.16,9.16,8.74,9.16,5530
TYA,20171002,8.82,9.32,8.82,9.24,370
TYA,20170929,9.16,9.28,8.87,9.28,9880
TYA,20170928,9.23,9.23,8.82,9.16,350
TYA,20170927,9.15,9.32,8.86,8.86,19820
TYA,20170926,9.15,9.32,9.15,9.32,590
TYA,20170925,8.99,9.9,8.99,9.4,5750
TYA,20170922,9.16,9.74,8.91,9.32,5620
TYA,20170921,8.91,9.16,8.91,9.16,8470
TYA,20170920,9.16,9.16,8.91,9.16,4570
TYA,20170919,9.16,9.33,8.87,9.16,5810
TYA,20170918,9.08,9.33,8.99,9.16,1990
TYA,20170915,8.87,9.16,8.87,8.91,10530
TYA,20170914,9.07,9.15,8.9,9.16,5000
TYA,20170913,9.07,9.07,9.07,9.07,7100
TYA,20170912,8.99,9.08,8.91,9.07,70
TYA,20170911,8.95,9.16,8.95,9.16,1020
TYA,20170908,8.83,9.16,8.83,9.16,13930
TYA,20170907,9.16,9.24,8.99,9.16,4630
TYA,20170906,9.08,9.24,9.08,9.24,6370
TYA,20170905,9.07,9.16,9.07,9.16,8470
TYA,20170901,9.24,9.24,9.24,9.24,580
TYA,20170831,9.32,9.32,9.24,9.24,2050
TYA,20170830,9.15,9.82,9.07,9.07,8240
TYA,20170829,8.86,9.4,8.86,9.32,1520
TYA,20170828,,,,9.4,0
TYA,20170825,9.15,9.4,9.15,9.4,1190
TYA,20170824,8.9,9.4,8.9,9.4,550
TYA,20170823,9.07,9.4,9.07,9.4,3910
TYA,20170822,9.15,9.4,9.15,9.4,70
TYA,20170821,9.57,9.57,9.24,9.4,320
TYA,20170818,9.32,9.57,9.15,9.57,36770
TYA,20170817,8.91,9.49,8.91,9.32,27320
TYA,20170816,9.24,9.57,9.15,9.16,20010
TYA,20170815,9.57,9.99,9.15,9.57,14910
TYA,20170814,9.57,9.57,9.15,9.57,21120
TYA,20170811,9.61,9.94,9.07,9.57,28470
TYA,20170810,9.61,9.73,9.32,9.32,20440
TYA,20170809,9.24,10.11,9.24,9.61,17640
TYA,20170808,9.57,9.65,9.24,9.49,48690
TYA,20170807,9.65,9.65,9.15,9.57,39610
TYA,20170804,9.57,9.65,9.57,9.65,2000
TYA,20170803,9.66,9.66,9.32,9.57,38240
TYA,20170802,9.28,9.57,9.28,9.49,120290
