<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
UIC,20180713,25.65,26.0,24.3,25.7,420
UIC,20180712,24.55,25.75,25.75,25.75,10
UIC,20180711,25.0,25.95,24.55,24.55,710
UIC,20180710,25.0,25.95,25.0,25.95,30
UIC,20180709,25.75,26.5,25.0,26.0,70
UIC,20180706,24.0,25.8,24.0,25.75,7450
UIC,20180705,25.05,26.0,24.9,25.0,13900
UIC,20180704,25.5,27.0,25.5,26.75,10840
UIC,20180703,26.0,26.0,24.9,25.6,110
UIC,20180702,24.9,25.6,24.9,25.55,1800
UIC,20180629,25.6,25.65,25.6,25.65,900
UIC,20180628,24.9,25.65,24.9,25.65,1680
UIC,20180627,25.0,26.0,24.9,25.75,3610
UIC,20180626,24.9,25.5,24.9,25.5,1900
UIC,20180625,25.8,25.8,24.9,25.6,5110
UIC,20180622,25.35,25.35,24.5,24.5,4730
UIC,20180621,24.0,25.5,24.0,24.9,4170
UIC,20180620,24.85,25.45,24.3,25.45,48260
UIC,20180619,24.9,24.9,24.3,24.35,24510
UIC,20180618,25.45,25.45,24.9,24.9,2580
UIC,20180615,25.0,25.0,24.3,24.9,30190
UIC,20180614,24.95,24.95,24.3,24.6,1410
UIC,20180613,25.2,25.2,23.5,24.6,7510
UIC,20180612,24.55,25.5,24.3,24.6,5660
UIC,20180611,25.0,25.0,24.55,24.95,2230
UIC,20180608,24.3,25.2,24.3,25.2,1160
UIC,20180607,25.0,26.0,24.05,25.8,15820
UIC,20180606,24.9,26.25,24.25,24.3,57040
UIC,20180605,25.5,26.5,25.0,25.5,820
UIC,20180604,25.5,26.6,25.0,25.0,6800
UIC,20180601,25.0,25.0,23.8,24.9,6870
UIC,20180531,25.5,25.8,24.55,24.6,12800
UIC,20180530,26.0,26.0,25.0,25.7,5280
UIC,20180529,25.3,25.95,25.3,25.8,25060
UIC,20180528,26.4,26.4,25.3,25.3,35430
UIC,20180525,27.7,27.7,26.7,27.2,150
UIC,20180524,28.0,28.0,25.15,27.0,27520
UIC,20180523,26.17,27.57,26.17,26.8,15050
UIC,20180522,27.7,27.7,26.71,27.61,9910
UIC,20180521,28.28,28.33,27.43,27.79,12250
UIC,20180518,27.43,27.43,26.89,27.43,15050
UIC,20180517,26.71,27.88,26.53,26.71,62090
UIC,20180516,27.97,28.78,26.98,27.61,5290
UIC,20180515,27.43,28.33,27.43,27.97,2050
UIC,20180514,26.53,27.52,26.35,27.43,14930
UIC,20180511,26.53,26.53,26.17,26.53,2730
UIC,20180510,26.17,26.8,26.08,26.62,3540
UIC,20180509,26.53,26.8,26.53,26.8,3220
UIC,20180508,26.8,26.8,26.26,26.53,590
UIC,20180507,26.8,26.8,26.08,26.08,23130
UIC,20180504,26.08,26.53,26.08,26.08,2020
UIC,20180503,25.63,26.53,25.63,26.53,80
UIC,20180502,26.8,26.8,26.08,26.44,1180
UIC,20180427,26.49,26.53,25.64,26.53,9430
UIC,20180426,26.08,26.53,25.95,25.95,8100
UIC,20180424,26.53,26.53,26.08,26.17,16750
UIC,20180423,26.76,26.81,26.76,26.8,30
UIC,20180420,,,,26.85,0
UIC,20180419,27.16,27.16,26.8,26.85,610
UIC,20180418,26.35,26.75,26.17,26.17,9030
UIC,20180417,26.53,26.89,26.31,26.71,44190
UIC,20180416,26.13,26.98,26.13,26.98,24110
UIC,20180413,27.65,27.65,26.26,26.8,8380
UIC,20180412,27.16,27.47,26.17,26.71,5080
UIC,20180411,26.44,27.74,26.08,26.08,17100
UIC,20180410,26.4,27.26,26.4,27.25,3790
UIC,20180409,27.43,28.24,26.49,27.3,28840
UIC,20180406,27.7,27.7,26.58,27.16,9250
UIC,20180405,26.62,28.33,26.62,27.7,8810
UIC,20180404,27.03,27.83,26.17,26.62,10500
UIC,20180403,27.83,27.83,26.89,27.7,1160
UIC,20180402,27.88,27.88,26.98,26.98,9140
UIC,20180330,26.98,28.33,26.98,28.33,4370
UIC,20180329,26.62,28.24,26.62,27.88,9110
UIC,20180328,27.25,29.14,26.62,26.62,20440
UIC,20180327,26.58,27.61,26.08,27.25,17360
UIC,20180326,27.61,27.7,25.91,27.7,410
UIC,20180323,26.53,27.34,25.68,27.21,21360
UIC,20180322,25.45,27.61,25.45,27.07,4910
UIC,20180321,26.08,26.53,25.77,26.53,37220
UIC,20180320,26.71,26.8,26.08,26.08,8040
UIC,20180319,27.7,27.7,26.35,26.35,5770
UIC,20180316,26.26,26.89,25.18,26.53,6820
UIC,20180315,26.89,26.89,26.89,26.89,120
UIC,20180314,27.7,27.79,26.17,26.53,1210
UIC,20180313,27.88,27.88,26.08,26.8,24770
UIC,20180312,26.98,26.98,25.64,26.53,7900
UIC,20180309,27.79,27.79,26.54,26.94,8390
UIC,20180308,26.98,27.74,26.93,26.94,2710
UIC,20180307,26.98,26.98,26.08,26.89,3630
UIC,20180306,26.98,27.7,26.98,27.7,570
UIC,20180305,27.88,27.88,26.13,27.43,1230
UIC,20180302,26.98,26.98,26.98,26.98,300
UIC,20180301,27.79,27.88,26.08,26.98,3520
UIC,20180228,26.53,27.88,26.17,26.53,12850
UIC,20180227,26.98,26.98,26.13,26.13,6540
UIC,20180226,26.98,26.98,26.98,26.98,3580
UIC,20180223,27.88,27.88,26.89,26.98,2720
UIC,20180222,27.88,27.88,26.31,27.43,3840
UIC,20180221,26.62,28.24,26.62,26.71,5400
UIC,20180213,26.62,26.62,26.04,26.44,2560
UIC,20180212,26.26,26.26,25.63,26.17,15830
UIC,20180209,26.89,26.89,25.81,25.81,3500
UIC,20180208,26.62,26.98,26.62,26.98,7510
UIC,20180207,28.6,28.6,26.62,26.62,47040
UIC,20180206,28.07,29.95,26.18,28.6,16160
UIC,20180205,27.16,28.15,26.44,28.11,2810
UIC,20180202,27.34,29.14,26.53,27.34,12700
UIC,20180201,29.23,29.23,27.43,28.42,3040
UIC,20180131,28.78,30.31,28.42,28.6,8330
UIC,20180130,28.78,29.59,28.42,28.42,690
UIC,20180129,30.39,30.39,27.61,28.78,300
UIC,20180126,30.13,30.13,27.88,28.73,4660
UIC,20180125,29.85,29.85,28.77,28.78,9760
UIC,20180122,30.4,30.4,27.97,28.73,19040
UIC,20180119,30.57,30.57,28.78,29.68,21390
UIC,20180118,28.78,30.53,27.97,29.54,21160
UIC,20180117,29.23,30.44,28.78,28.78,13160
UIC,20180116,31.43,31.43,28.92,29.23,8550
UIC,20180115,30.93,30.93,30.93,30.94,30
UIC,20180112,31.83,31.83,29.68,30.53,350
UIC,20180111,30.49,30.49,29.14,29.99,14280
UIC,20180110,30.3,30.3,29.14,29.14,7480
UIC,20180109,30.49,30.49,29.82,29.81,6270
UIC,20180108,30.58,30.58,28.96,30.04,340
UIC,20180105,28.87,31.43,28.33,29.68,1770
UIC,20180104,28.96,29.77,28.87,29.77,580
UIC,20180103,29.68,29.95,28.78,29.68,3370
UIC,20180102,28.91,30.03,28.87,29.99,1230
UIC,20171229,29.68,30.13,29.23,29.99,2860
UIC,20171228,29.95,30.13,28.78,29.68,4240
UIC,20171227,28.51,29.68,28.51,29.68,190
UIC,20171226,29.01,30.13,28.78,28.78,3910
UIC,20171225,30.13,30.58,30.13,30.58,770
UIC,20171222,29.72,29.86,27.66,29.68,2750
UIC,20171221,29.68,29.68,29.68,29.68,320
UIC,20171220,30.31,30.31,30.17,30.22,650
UIC,20171219,29.68,30.13,29.23,29.23,5750
UIC,20171218,30.13,30.13,29.68,29.68,4080
UIC,20171215,30.4,30.4,29.41,29.68,1790
UIC,20171214,30.49,30.49,29.32,29.41,5250
UIC,20171213,28.96,30.67,28.96,29.32,4920
UIC,20171212,29.68,30.76,29.28,30.76,2250
UIC,20171211,30.8,30.8,30.76,30.76,990
UIC,20171208,30.81,30.81,30.81,30.8,240
UIC,20171207,30.94,31.03,30.94,31.03,1100
UIC,20171206,,,,31.03,0
UIC,20171205,31.03,31.03,31.03,31.03,210
UIC,20171204,30.76,31.03,30.13,31.03,9140
UIC,20171201,30.8,31.29,30.58,31.3,8240
UIC,20171130,30.98,31.43,30.22,31.25,1160
UIC,20171129,31.39,31.39,30.49,30.76,4880
UIC,20171128,30.22,31.12,30.18,30.22,5140
UIC,20171127,31.43,31.47,30.17,31.48,15180
UIC,20171124,31.11,31.11,30.17,31.07,8630
UIC,20171123,30.31,31.07,30.18,31.07,1720
UIC,20171122,30.58,31.43,30.18,30.49,11040
UIC,20171121,31.39,31.39,30.18,30.22,7400
UIC,20171120,31.48,31.48,30.18,31.39,4840
UIC,20171117,31.66,31.66,30.18,30.58,4770
UIC,20171116,30.58,31.25,29.82,31.03,6990
UIC,20171115,30.62,31.43,30.58,31.03,1170
UIC,20171114,31.66,31.66,30.0,30.62,12070
UIC,20171113,29.86,31.39,29.86,31.39,7200
UIC,20171110,30.67,31.62,30.04,31.03,43950
UIC,20171109,,,,31.75,0
UIC,20171108,30.76,31.84,30.58,31.75,4420
UIC,20171107,32.11,32.2,30.85,31.48,2320
UIC,20171106,32.38,32.38,30.67,32.11,1780
UIC,20171103,31.48,31.93,30.58,31.84,4240
UIC,20171102,32.38,32.38,31.03,31.93,730
UIC,20171101,31.75,32.74,31.48,31.48,8110
UIC,20171031,31.57,32.92,31.57,32.83,4010
UIC,20171030,33.01,33.01,32.92,32.92,720
UIC,20171027,33.28,33.73,32.2,33.19,2450
UIC,20171026,33.28,33.28,33.28,33.28,20
UIC,20171025,33.1,33.1,32.38,32.83,480
UIC,20171024,32.38,32.83,31.93,32.65,6180
UIC,20171023,32.38,32.83,31.48,32.74,20100
UIC,20171020,33.28,33.73,32.38,32.38,22050
UIC,20171019,32.83,33.64,32.74,33.28,4290
UIC,20171018,33.73,33.73,33.01,33.64,490
UIC,20171017,34.09,34.09,33.01,33.01,13730
UIC,20171016,34.36,34.36,32.83,33.28,5190
UIC,20171013,34.0,34.0,33.55,34.0,14230
UIC,20171012,34.0,34.54,33.28,34.0,2270
UIC,20171011,33.73,34.63,33.37,34.0,8030
UIC,20171010,33.55,33.73,33.28,33.73,12190
UIC,20171009,33.64,33.91,33.64,33.64,2520
UIC,20171006,33.73,33.73,32.83,33.28,5270
UIC,20171005,33.28,33.28,32.83,33.28,3840
UIC,20171004,33.64,33.64,32.2,33.1,4530
UIC,20171003,33.73,33.73,32.2,32.2,2390
UIC,20171002,34.9,34.9,32.2,32.92,8560
UIC,20170929,32.83,33.28,32.83,32.92,1410
UIC,20170928,31.93,33.01,31.84,32.83,5790
UIC,20170927,32.38,32.38,31.93,32.2,3470
UIC,20170926,32.2,32.74,32.2,32.38,1640
UIC,20170925,32.38,33.1,31.93,32.38,9180
UIC,20170922,31.57,32.2,31.48,32.2,11020
UIC,20170921,31.57,32.2,31.48,32.2,6520
UIC,20170920,31.48,32.29,31.48,32.29,3380
UIC,20170919,32.38,32.38,32.02,32.38,380
UIC,20170918,32.74,32.74,32.02,32.02,5080
UIC,20170915,31.57,32.38,31.57,32.29,1110
UIC,20170914,33.28,33.28,31.93,32.83,7660
UIC,20170913,31.39,33.28,31.03,33.28,8130
UIC,20170912,30.67,31.48,30.67,31.39,5230
UIC,20170911,31.12,31.12,31.12,31.12,910
UIC,20170908,31.16,31.16,31.16,31.16,500
UIC,20170907,31.17,31.17,31.17,31.16,320
UIC,20170906,31.3,31.3,30.58,31.3,15400
UIC,20170905,31.21,31.21,30.67,30.76,1190
UIC,20170901,31.3,31.3,30.58,31.3,6160
UIC,20170831,31.48,31.48,30.58,31.3,3390
UIC,20170830,31.39,31.39,30.58,31.03,4270
UIC,20170829,31.48,31.48,30.58,31.03,2180
UIC,20170828,31.48,31.75,31.03,31.03,5430
UIC,20170825,31.84,31.93,30.58,31.48,4430
UIC,20170824,31.66,31.66,30.58,31.48,2530
UIC,20170823,31.93,31.93,31.48,31.48,1280
UIC,20170822,31.66,31.66,31.21,31.48,3430
UIC,20170821,31.93,31.93,31.3,31.93,7310
UIC,20170818,31.21,32.65,31.21,31.48,5870
UIC,20170817,32.38,32.38,31.21,31.21,7810
UIC,20170816,31.75,32.83,31.48,32.74,10730
UIC,20170815,31.03,33.19,30.13,33.1,9050
UIC,20170814,31.21,31.21,30.04,31.03,4020
UIC,20170811,31.3,31.3,31.3,31.3,10
UIC,20170810,31.39,31.39,31.39,31.39,240
UIC,20170809,31.88,32.24,30.94,31.48,1770
UIC,20170808,30.58,31.03,30.13,31.03,4890
UIC,20170807,31.39,31.39,29.77,30.76,11660
UIC,20170804,31.03,31.3,30.85,31.21,1350
UIC,20170803,30.22,31.48,30.22,31.21,940
UIC,20170802,31.48,31.48,31.48,31.48,14040
UIC,20170801,31.12,31.48,30.58,31.39,14110
