<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VC7,20180713,10.5,10.5,10.1,10.4,3000
VC7,20180712,10.6,10.6,10.4,10.4,1850
VC7,20180711,10.1,10.2,10.0,10.2,2500
VC7,20180710,10.2,10.8,10.2,10.2,54200
VC7,20180709,10.7,10.8,10.2,10.2,28300
VC7,20180706,11.0,11.1,10.5,11.1,21900
VC7,20180705,12.4,12.4,10.7,11.6,3200
VC7,20180704,10.4,11.9,10.1,11.8,6600
VC7,20180703,11.4,11.8,11.1,11.1,2370
VC7,20180702,12.2,12.2,11.9,12.2,5340
VC7,20180629,12.8,12.8,12.1,12.2,4500
VC7,20180628,12.2,12.9,12.2,12.9,1500
VC7,20180627,13.1,13.1,13.1,13.1,100
VC7,20180626,12.3,13.0,12.1,12.9,25500
VC7,20180625,13.9,13.9,12.3,13.1,3050
VC7,20180622,13.4,13.4,13.2,13.2,2600
VC7,20180621,13.6,13.6,12.8,13.4,900
VC7,20180620,13.3,14.4,12.1,13.9,6700
VC7,20180619,13.5,14.0,13.3,13.3,36100
VC7,20180618,14.5,14.9,14.0,14.7,400
VC7,20180615,14.0,14.0,13.0,14.0,9700
VC7,20180614,13.9,13.9,13.9,13.9,300
VC7,20180613,13.7,14.3,13.5,14.3,3600
VC7,20180612,15.4,15.4,13.2,14.9,12000
VC7,20180611,15.4,15.4,14.4,14.4,200
VC7,20180608,14.4,15.4,13.5,14.4,8300
VC7,20180607,14.0,14.4,13.8,14.4,8800
VC7,20180606,14.2,14.4,14.0,14.4,8600
VC7,20180605,14.1,14.5,14.1,14.5,1668
VC7,20180604,14.6,14.8,13.8,14.5,24800
VC7,20180601,14.9,15.3,14.8,15.3,3200
VC7,20180531,15.7,15.7,14.9,15.4,500
VC7,20180530,15.2,15.7,14.7,14.7,12300
VC7,20180529,15.0,15.9,14.7,15.9,10600
VC7,20180528,14.9,15.9,14.4,15.5,27100
VC7,20180525,17.0,17.0,15.9,15.9,21900
VC7,20180524,14.8,17.18,14.8,15.9,50700
VC7,20180523,15.36,15.91,14.9,15.9,19387
VC7,20180522,14.71,15.53,14.62,15.54,73500
VC7,20180521,15.53,15.99,14.62,15.44,29000
VC7,20180518,15.44,16.72,15.26,15.35,2131
VC7,20180517,14.71,15.26,14.53,15.26,61100
VC7,20180516,15.72,15.72,14.53,15.17,94600
VC7,20180515,15.53,15.53,14.8,15.17,47100
VC7,20180514,14.99,16.0,14.35,14.71,31100
VC7,20180511,15.17,15.9,14.53,14.99,81350
VC7,20180510,15.99,15.99,15.17,15.26,2700
VC7,20180509,15.99,15.99,15.07,15.26,1712
VC7,20180508,14.25,15.44,14.16,15.44,44100
VC7,20180507,13.98,15.44,13.98,15.44,35850
VC7,20180504,14.35,15.45,14.26,15.44,315
VC7,20180503,13.34,14.44,13.16,14.35,6400
VC7,20180502,14.62,16.08,13.25,14.53,7730
VC7,20180427,15.35,15.35,13.89,14.62,17500
VC7,20180426,16.36,16.36,13.8,15.35,300
VC7,20180424,14.26,15.54,12.89,15.26,38700
VC7,20180423,15.81,15.81,13.53,14.26,25800
VC7,20180420,13.34,14.44,13.25,14.44,1040
VC7,20180419,14.62,15.08,12.34,14.44,26230
VC7,20180418,14.99,14.99,12.61,13.71,110460
VC7,20180417,15.99,15.99,13.98,13.98,24700
VC7,20180416,15.35,15.35,15.35,15.35,10
VC7,20180413,16.0,16.36,14.26,15.35,2987
VC7,20180412,15.9,16.27,15.08,15.54,3400
VC7,20180411,16.27,16.82,14.17,15.26,22000
VC7,20180410,16.36,16.36,14.8,15.54,4600
