<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCB,20180713,53.3,54.9,52.0,54.8,1709410
VCB,20180712,52.4,53.6,50.5,52.4,1422890
VCB,20180711,51.9,52.5,50.1,51.2,3312190
VCB,20180710,55.5,55.5,53.1,53.1,1360490
VCB,20180709,55.0,56.4,54.0,54.0,1434270
VCB,20180706,51.1,55.4,50.5,55.0,3443450
VCB,20180705,55.4,55.6,52.0,52.0,2865870
VCB,20180704,56.2,56.5,54.7,55.6,2452480
VCB,20180703,58.3,58.3,56.0,56.0,3355250
VCB,20180702,57.5,58.4,55.4,58.1,2846420
VCB,20180629,57.9,58.7,56.8,58.0,1439520
VCB,20180628,57.0,58.7,57.0,57.9,2114670
VCB,20180627,59.0,60.5,58.0,58.0,2602270
VCB,20180626,58.5,59.4,58.0,59.3,1346430
VCB,20180625,60.0,60.2,58.9,59.4,2415610
VCB,20180622,56.1,58.7,55.5,58.7,2529630
VCB,20180621,58.0,58.2,56.4,57.0,1637920
VCB,20180620,57.0,58.7,56.2,58.1,2767440
VCB,20180619,54.5,56.5,54.0,56.5,5149160
VCB,20180618,58.9,59.0,56.0,56.5,2461860
VCB,20180615,57.5,59.0,57.4,59.0,2557670
VCB,20180614,59.9,59.9,58.0,58.1,2814340
VCB,20180613,57.6,59.9,57.6,59.9,2054850
VCB,20180612,58.5,59.0,56.5,58.0,3024500
VCB,20180611,59.4,60.3,58.5,59.0,2453150
VCB,20180608,58.3,60.4,58.3,59.7,2693680
VCB,20180607,59.0,59.3,58.4,58.7,2538580
VCB,20180606,58.1,59.7,57.6,59.1,2183260
VCB,20180605,58.6,59.6,57.7,58.6,3532580
VCB,20180604,56.5,59.6,56.0,59.3,3837380
VCB,20180601,54.1,57.5,53.9,57.0,5930650
VCB,20180531,51.5,54.5,51.4,54.1,3736400
VCB,20180530,51.0,52.8,50.5,52.0,4432950
VCB,20180529,47.5,50.0,46.8,50.0,2610350
VCB,20180528,49.0,49.6,46.8,46.8,4579370
VCB,20180525,53.4,53.7,50.0,50.0,2718610
VCB,20180524,54.5,54.8,53.0,53.3,1312180
VCB,20180523,53.0,54.5,52.0,54.5,2045320
VCB,20180522,54.9,55.5,52.0,53.4,3235250
VCB,20180521,56.5,57.4,55.7,55.7,1835620
VCB,20180518,56.9,57.1,54.8,56.5,2437850
VCB,20180517,57.0,57.4,56.2,56.8,2079780
VCB,20180516,58.5,58.9,57.0,57.0,2368960
VCB,20180515,58.3,59.8,58.2,58.7,2498910
VCB,20180514,58.2,58.5,56.9,58.3,1522180
VCB,20180511,56.5,58.0,54.5,57.9,3954360
VCB,20180510,59.9,60.2,55.6,56.5,4433980
VCB,20180509,60.7,61.0,59.5,59.5,2787480
VCB,20180508,61.3,62.2,61.0,61.0,2947160
VCB,20180507,59.8,62.1,59.3,62.1,3511210
VCB,20180504,60.2,60.7,58.9,59.0,3234250
VCB,20180503,58.2,59.7,56.9,59.6,3451890
VCB,20180502,60.6,61.0,57.8,58.2,2862030
VCB,20180427,58.2,60.2,58.1,60.0,2940100
VCB,20180426,60.0,61.3,58.0,58.2,4669710
VCB,20180424,59.0,60.7,58.0,60.0,4451970
VCB,20180423,64.5,64.8,59.6,59.6,2876760
VCB,20180420,61.2,64.0,60.7,64.0,2996320
VCB,20180419,64.4,64.5,61.0,61.0,4909820
VCB,20180418,67.8,67.8,64.8,64.8,2005410
VCB,20180417,66.0,67.0,65.5,67.0,2104840
VCB,20180416,67.2,67.6,65.1,65.9,3992890
VCB,20180413,71.3,71.4,67.5,67.9,5148440
VCB,20180412,70.9,71.5,70.0,70.9,3262970
VCB,20180411,74.7,74.8,70.0,71.2,3911130
VCB,20180410,74.5,75.3,73.6,74.5,5026810
VCB,20180409,73.5,74.3,73.5,73.8,2693260
VCB,20180406,73.6,74.8,73.4,73.5,2346040
VCB,20180405,73.8,74.0,72.6,73.5,1763710
VCB,20180404,74.5,74.8,73.5,73.5,2089100
VCB,20180403,74.0,75.3,73.5,74.3,3500060
VCB,20180402,71.0,74.0,70.8,74.0,3055600
VCB,20180330,71.0,71.4,70.2,70.5,1280140
VCB,20180329,70.8,71.6,70.1,71.0,1457380
VCB,20180328,69.9,71.3,69.8,70.5,1643300
VCB,20180327,72.8,72.9,70.6,71.0,2322350
VCB,20180326,70.0,71.9,69.6,71.9,1821910
VCB,20180323,68.5,70.7,68.5,69.9,4563730
VCB,20180322,74.0,74.0,72.0,72.0,3871380
VCB,20180321,74.5,75.2,73.5,73.5,2952180
VCB,20180320,73.3,74.9,73.3,74.0,1836040
VCB,20180319,75.6,76.5,73.0,74.3,2803610
VCB,20180316,74.5,75.3,74.1,74.7,5327050
VCB,20180315,73.0,74.5,72.8,73.8,2111990
VCB,20180314,72.6,74.3,72.6,73.8,4053460
VCB,20180313,72.0,72.6,70.6,72.0,2146470
VCB,20180312,72.0,73.4,71.5,72.0,2899140
VCB,20180309,70.5,71.5,69.6,71.0,3236520
VCB,20180308,69.6,70.4,68.8,69.5,1554260
VCB,20180307,71.5,71.9,68.5,69.6,2277620
VCB,20180306,69.0,71.5,67.7,71.2,3103920
VCB,20180305,72.0,72.5,68.0,68.0,2914810
VCB,20180302,70.0,72.0,70.0,71.8,2525210
VCB,20180301,72.6,74.6,71.0,71.5,3615670
VCB,20180228,72.1,75.0,72.0,73.8,3475320
VCB,20180227,72.9,73.5,71.7,73.2,2249770
VCB,20180226,74.3,74.3,71.4,71.9,3453290
VCB,20180223,67.0,71.4,66.7,71.4,4825770
VCB,20180222,65.6,67.4,65.4,66.8,2352100
VCB,20180221,65.0,67.9,64.5,66.2,2132410
VCB,20180213,64.3,64.9,63.6,64.0,1527780
VCB,20180212,62.0,63.5,60.7,63.5,1847850
VCB,20180209,58.5,62.3,58.5,60.9,2408810
VCB,20180208,62.6,63.5,61.5,62.9,855160
VCB,20180207,65.0,65.2,62.8,63.5,1635780
VCB,20180206,58.4,63.0,58.4,62.0,6724710
VCB,20180205,66.0,67.0,62.7,62.7,2687810
VCB,20180202,67.5,67.5,66.6,67.4,1652660
VCB,20180201,66.4,67.8,65.8,66.6,2166810
VCB,20180131,67.0,68.9,66.2,66.6,1936300
VCB,20180130,66.5,67.8,66.2,67.0,2818520
VCB,20180129,70.0,71.5,67.8,68.0,2281360
VCB,20180126,69.4,70.0,66.5,69.1,2617800
VCB,20180125,65.5,67.7,63.8,67.7,4788340
VCB,20180122,62.0,63.4,61.7,63.3,2300660
VCB,20180119,58.6,61.4,58.3,61.0,2998270
VCB,20180118,56.0,58.5,55.9,58.5,2845720
VCB,20180117,59.8,59.9,56.2,56.2,2077670
VCB,20180116,59.3,60.3,58.8,60.0,2218380
VCB,20180115,58.0,60.0,57.0,60.0,2061850
VCB,20180112,58.8,59.4,58.0,58.0,2525840
VCB,20180111,57.5,58.8,57.2,58.8,1766240
VCB,20180110,58.3,59.2,57.3,58.0,2842830
VCB,20180109,56.0,58.5,54.5,58.5,2853160
VCB,20180108,54.0,55.5,53.0,55.4,2071140
VCB,20180105,55.1,55.1,53.9,54.0,2045200
VCB,20180104,54.6,55.4,54.3,55.4,1990040
VCB,20180103,55.5,55.7,54.5,54.9,1843870
VCB,20180102,54.0,55.4,53.6,55.0,2801720
VCB,20171229,54.0,55.0,53.9,54.3,2753570
VCB,20171228,52.5,54.9,52.5,54.1,2321870
VCB,20171227,51.4,52.8,51.1,52.5,2214360
VCB,20171226,51.5,51.7,50.5,51.4,1701570
VCB,20171225,51.0,51.7,50.8,51.4,1491740
VCB,20171222,48.2,50.8,48.05,50.8,4459390
VCB,20171221,49.0,49.2,48.5,48.5,1547200
VCB,20171220,47.75,49.35,47.4,49.0,2587600
VCB,20171219,47.9,48.45,47.35,47.75,1958480
VCB,20171218,47.0,48.2,46.6,47.8,2349430
VCB,20171215,45.3,46.5,45.2,46.0,2574240
VCB,20171214,44.0,45.5,43.9,45.3,2166840
VCB,20171213,45.0,45.1,43.7,44.0,1177420
VCB,20171212,45.3,45.4,41.6,44.7,2440280
VCB,20171211,46.0,46.9,44.6,44.6,1447900
VCB,20171208,47.6,47.6,46.5,47.05,1517040
VCB,20171207,48.0,48.0,46.7,47.6,2737090
VCB,20171206,48.0,48.3,47.1,48.0,2102030
VCB,20171205,49.0,50.0,48.1,48.1,1975550
VCB,20171204,48.5,49.4,48.3,49.4,1939700
VCB,20171201,48.6,48.9,48.0,48.3,2085760
VCB,20171130,48.8,50.0,48.5,48.5,1997210
VCB,20171129,48.0,49.0,48.0,49.0,1440140
VCB,20171128,48.1,48.4,47.5,48.2,1712500
VCB,20171127,47.5,48.2,46.8,47.9,2242960
VCB,20171124,47.5,47.7,47.0,47.4,1363450
VCB,20171123,48.7,48.9,46.85,47.9,2666680
VCB,20171122,46.7,48.1,46.7,48.0,3116060
VCB,20171121,45.3,47.7,45.2,46.7,3799100
VCB,20171120,44.4,45.0,44.35,45.0,1783000
VCB,20171117,44.8,45.15,44.35,44.4,2063770
VCB,20171116,43.75,44.85,43.6,44.7,2077060
VCB,20171115,43.8,44.2,43.6,43.6,1304050
VCB,20171114,43.5,44.4,43.35,43.8,3008230
VCB,20171113,43.5,43.7,43.0,43.4,2104320
VCB,20171110,43.0,43.65,42.8,43.1,2187370
