<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCG,20180713,15.0,15.1,14.7,15.1,249300
VCG,20180712,14.8,15.1,14.5,14.9,168200
VCG,20180711,15.3,15.5,14.1,14.9,455711
VCG,20180710,15.7,15.9,15.5,15.6,180983
VCG,20180709,15.8,16.0,15.5,15.6,175589
VCG,20180706,15.31,15.69,15.01,15.7,404750
VCG,20180705,15.4,15.69,15.31,15.5,1043211
VCG,20180704,15.41,15.51,15.02,15.5,229409
VCG,20180703,15.5,15.8,15.11,15.41,1399310
VCG,20180702,16.09,16.09,14.82,15.6,533789
VCG,20180629,16.28,16.28,15.6,16.09,409790
VCG,20180628,16.18,16.38,15.89,16.28,472450
VCG,20180627,16.38,16.68,16.29,16.38,414330
VCG,20180626,16.57,16.57,16.28,16.58,330900
VCG,20180625,16.48,16.77,16.48,16.67,409105
VCG,20180622,16.09,16.38,15.99,16.38,536520
VCG,20180621,16.87,16.87,16.09,16.09,506372
VCG,20180620,16.09,16.87,16.09,16.87,1023414
VCG,20180619,16.87,16.87,15.7,16.09,848200
VCG,20180618,16.77,17.06,16.57,16.77,539494
VCG,20180615,16.77,17.16,16.77,16.77,1521635
VCG,20180614,16.97,17.07,16.77,16.77,469855
VCG,20180613,17.17,17.17,16.97,16.97,206380
VCG,20180612,17.45,17.45,16.87,16.97,819100
VCG,20180611,18.14,18.14,17.46,17.45,1047829
VCG,20180608,17.94,18.14,17.94,18.14,581119
VCG,20180607,18.52,18.52,17.94,18.04,648918
VCG,20180606,17.94,18.52,17.84,18.33,944270
VCG,20180605,17.06,18.52,17.06,17.94,729141
VCG,20180604,17.65,18.04,17.55,17.84,603770
VCG,20180601,17.36,17.95,17.36,17.55,595449
VCG,20180531,17.06,17.36,16.96,17.36,375611
VCG,20180530,17.36,17.36,16.97,17.16,496486
VCG,20180529,16.58,17.56,16.48,17.36,776975
VCG,20180528,16.77,16.87,16.38,16.58,1391644
VCG,20180525,17.16,17.16,16.77,16.87,677205
VCG,20180524,17.06,17.26,16.87,17.06,643023
VCG,20180523,16.38,17.16,16.38,17.16,818221
VCG,20180522,17.06,17.26,16.28,16.38,681640
VCG,20180521,17.55,17.55,17.06,17.16,430055
VCG,20180518,18.14,18.14,17.17,17.55,780231
VCG,20180517,18.14,18.43,18.04,18.24,312080
VCG,20180516,18.53,18.73,18.24,18.33,306756
VCG,20180515,17.74,18.81,17.74,18.53,1125230
VCG,20180514,17.84,18.03,17.74,17.84,310993
VCG,20180511,17.65,17.85,17.55,17.84,305686
VCG,20180510,17.55,17.94,17.55,17.75,1818490
VCG,20180509,17.75,17.85,17.46,17.55,537635
VCG,20180508,17.94,18.04,17.55,17.75,1623927
VCG,20180507,17.06,17.94,17.06,17.94,554451
VCG,20180504,14.92,17.26,14.92,17.06,1260130
VCG,20180503,15.5,17.06,15.5,16.48,1463714
VCG,20180502,18.03,18.13,16.77,17.16,1100738
VCG,20180427,18.04,18.43,17.36,17.84,2169045
VCG,20180426,19.5,19.79,18.04,18.04,623172
VCG,20180424,19.11,19.79,19.11,19.5,1663855
VCG,20180423,20.48,20.77,19.11,19.11,1117420
VCG,20180420,20.09,20.48,19.89,20.28,365047
VCG,20180419,20.18,20.38,19.79,19.99,700405
VCG,20180418,20.78,21.07,20.38,20.38,828295
VCG,20180417,20.48,20.57,20.09,20.58,1067691
VCG,20180416,20.97,20.97,20.18,20.28,903451
VCG,20180413,21.26,21.55,20.77,20.77,626460
VCG,20180412,20.97,21.65,20.77,21.26,1321876
VCG,20180411,22.33,22.92,20.96,20.97,2612445
VCG,20180410,22.92,22.92,22.14,22.33,1718918
VCG,20180409,23.89,23.89,22.52,22.92,2937332
VCG,20180406,23.9,24.09,23.6,23.89,1644714
VCG,20180405,23.99,24.09,23.6,23.7,511139
VCG,20180404,23.5,24.28,23.4,23.89,2357656
VCG,20180403,22.72,23.4,22.52,23.4,963940
VCG,20180402,22.92,23.11,22.62,22.72,642061
VCG,20180330,22.63,22.82,22.33,22.82,674000
VCG,20180329,22.82,22.82,22.43,22.43,452152
VCG,20180328,23.11,23.2,22.62,22.62,832625
VCG,20180327,23.31,23.6,23.01,23.4,1379906
VCG,20180326,22.43,23.21,22.24,23.21,1044175
VCG,20180323,23.02,23.02,21.07,22.53,2209709
VCG,20180322,23.99,23.99,23.21,23.31,1089971
VCG,20180321,24.09,24.18,23.21,23.89,1941018
VCG,20180320,24.18,24.38,23.89,23.89,1040877
VCG,20180319,24.38,24.77,24.09,24.38,2215856
VCG,20180316,24.18,24.67,23.98,24.38,2037994
VCG,20180315,23.4,24.38,23.4,24.18,1314460
VCG,20180314,23.89,23.99,23.4,23.79,848026
VCG,20180313,23.01,23.89,23.01,23.89,988122
VCG,20180312,23.5,23.69,23.01,23.01,1357814
VCG,20180309,23.7,23.99,23.21,23.4,1128347
VCG,20180308,23.7,23.9,23.31,23.7,1107180
VCG,20180307,25.06,25.06,23.11,23.7,2296217
VCG,20180306,24.38,24.86,23.89,24.77,4144798
VCG,20180305,25.55,25.55,24.57,24.57,4111311
VCG,20180302,24.28,25.55,23.99,25.55,5129185
VCG,20180301,22.82,24.38,22.72,24.38,4800872
VCG,20180228,22.92,23.12,22.53,22.92,1737168
VCG,20180227,22.82,23.21,22.33,22.92,1824538
VCG,20180226,23.21,23.5,22.72,22.82,2052656
VCG,20180223,23.21,23.41,22.92,23.11,1927600
VCG,20180222,23.3,23.4,22.91,23.21,2197825
VCG,20180221,22.82,23.7,22.53,23.4,2748055
VCG,20180213,22.24,22.72,22.24,22.53,1170044
VCG,20180212,21.55,22.04,21.16,22.04,1085447
VCG,20180209,20.48,21.16,19.31,21.06,2544222
VCG,20180208,21.45,22.53,20.77,21.16,915285
VCG,20180207,22.43,23.4,22.23,22.43,1126660
VCG,20180206,22.33,22.33,20.48,21.94,4035468
VCG,20180205,24.38,24.38,22.33,22.62,4495686
VCG,20180202,23.89,24.38,23.69,24.38,2099818
VCG,20180201,24.87,25.16,23.89,23.89,2251286
VCG,20180131,26.14,26.82,24.77,24.77,4070296
VCG,20180130,24.28,25.93,24.18,25.94,8939114
VCG,20180129,23.8,24.28,23.6,23.79,2069690
VCG,20180126,23.79,24.18,23.59,23.6,2044557
VCG,20180125,24.19,24.58,23.6,23.79,3264002
VCG,20180122,23.31,24.19,23.31,23.79,3350658
VCG,20180119,22.72,23.89,22.72,23.21,6828085
VCG,20180118,22.63,22.92,22.33,22.72,1752115
VCG,20180117,22.43,23.4,22.33,22.43,2758265
VCG,20180116,22.33,22.53,22.04,22.33,1326900
VCG,20180115,22.43,22.72,20.48,22.33,1610932
VCG,20180112,23.11,23.11,22.23,22.23,2540008
VCG,20180111,23.21,23.41,22.92,23.01,1903988
VCG,20180110,22.92,23.7,22.82,23.21,2738666
VCG,20180109,23.02,23.31,22.63,22.92,2558630
VCG,20180108,21.94,22.92,21.75,22.92,2635333
VCG,20180105,22.43,22.63,21.94,22.04,2004231
VCG,20180104,22.92,23.11,22.52,22.53,1945458
VCG,20180103,21.75,22.82,21.75,22.72,4618645
VCG,20180102,21.46,21.65,21.26,21.55,2107577
VCG,20171229,20.97,21.65,20.97,21.26,1551913
VCG,20171228,20.87,21.07,20.58,20.87,1093535
VCG,20171227,20.96,20.96,20.48,20.87,965331
VCG,20171226,19.72,20.75,19.72,20.28,2844380
VCG,20171225,20.66,20.66,19.91,20.19,1612305
VCG,20171222,21.5,21.5,20.66,20.66,1863624
VCG,20171221,22.06,22.16,21.41,21.41,1559289
VCG,20171220,21.6,22.07,21.51,21.97,1337568
VCG,20171219,21.59,21.88,21.59,21.6,1443284
VCG,20171218,22.07,22.16,21.41,21.5,2806386
VCG,20171215,21.87,22.25,21.87,21.88,3117032
VCG,20171214,21.97,22.06,21.5,21.78,1050299
VCG,20171213,18.87,21.97,18.87,21.97,2554614
VCG,20171212,19.24,21.87,19.24,20.94,4259532
VCG,20171211,21.04,21.98,21.04,21.31,6353353
VCG,20171208,23.28,23.85,23.28,23.29,3017010
VCG,20171207,26.48,26.95,25.35,25.82,2700440
VCG,20171206,26.01,26.48,25.45,26.29,2235498
VCG,20171205,26.95,27.23,26.01,26.01,2936950
VCG,20171204,26.95,27.6,26.76,26.95,2155003
VCG,20171201,26.85,27.04,26.01,27.04,3015581
VCG,20171130,27.04,27.23,26.38,26.76,1903710
VCG,20171129,24.88,26.76,24.88,26.76,4128642
VCG,20171128,25.35,25.35,24.51,24.79,5629965
VCG,20171127,24.98,25.54,24.88,25.26,2476728
VCG,20171124,24.97,25.26,24.6,25.07,2022694
VCG,20171123,23.95,25.26,23.95,24.88,5121285
VCG,20171122,23.66,24.22,23.66,24.23,2992962
VCG,20171121,23.56,24.31,23.56,23.66,3879908
VCG,20171120,23.66,23.94,23.28,23.47,2850037
VCG,20171117,24.42,24.89,23.57,23.66,4724955
VCG,20171116,23.29,24.89,23.2,24.04,5128006
VCG,20171115,23.38,23.57,22.91,23.29,2683000
VCG,20171114,23.19,23.85,22.91,23.29,4074897
VCG,20171113,21.5,23.48,21.41,23.19,8458488
VCG,20171110,23.01,23.01,21.32,21.41,2204204
VCG,20171109,20.65,22.06,20.65,21.6,4454172
VCG,20171108,20.09,20.84,20.09,20.56,2049095
VCG,20171107,20.28,20.37,20.19,20.28,925410
VCG,20171106,20.28,20.37,20.09,20.28,1167916
VCG,20171103,19.91,20.19,19.34,20.09,2921720
VCG,20171102,20.28,20.37,20.0,20.19,3259464
VCG,20171101,20.18,20.47,20.09,20.28,1514348
VCG,20171031,20.19,20.28,20.1,20.09,1258510
VCG,20171030,20.38,20.66,20.19,20.19,2664576
VCG,20171027,20.19,20.38,20.0,20.19,1665124
VCG,20171026,20.19,20.56,20.09,20.19,2805070
VCG,20171025,20.0,20.19,20.0,20.0,892751
VCG,20171024,19.9,20.0,19.72,20.0,2501957
VCG,20171023,21.5,21.59,19.81,19.81,4723591
VCG,20171020,21.12,21.5,20.94,21.03,1463807
VCG,20171019,20.94,21.22,20.85,21.03,1239014
VCG,20171018,21.22,21.41,20.94,20.94,2443810
VCG,20171017,21.22,21.4,21.12,21.22,1488740
VCG,20171016,21.13,21.51,20.94,21.31,2017842
VCG,20171013,20.09,21.22,20.09,21.13,4445854
VCG,20171012,20.0,20.09,19.91,20.09,1166930
VCG,20171011,20.09,20.37,19.9,20.0,2043812
VCG,20171010,19.81,20.09,19.81,20.09,1402185
VCG,20171009,19.53,20.09,19.53,19.81,2278079
VCG,20171006,19.06,19.53,19.06,19.53,1518890
VCG,20171005,19.25,19.35,19.07,19.06,867820
VCG,20171004,18.87,19.16,18.87,19.16,900609
VCG,20171003,19.25,19.34,18.69,18.78,1998272
VCG,20171002,19.44,19.44,19.16,19.25,707470
VCG,20170929,19.44,19.53,19.35,19.44,686795
VCG,20170928,19.72,19.72,19.25,19.44,1059980
VCG,20170927,19.16,19.91,19.16,19.72,2043790
VCG,20170926,19.06,19.25,19.06,19.16,1003780
VCG,20170925,19.25,19.34,18.97,18.97,1176373
VCG,20170922,19.53,19.53,19.25,19.25,1041482
VCG,20170921,19.71,19.81,19.43,19.44,1029838
VCG,20170920,19.72,19.72,19.44,19.62,856815
VCG,20170919,19.62,20.0,19.53,19.53,1498016
VCG,20170918,19.63,19.91,19.35,19.62,1990413
VCG,20170915,19.44,19.72,19.35,19.44,1231950
VCG,20170914,19.62,19.71,19.43,19.44,1640057
VCG,20170913,19.91,20.0,19.53,19.62,1280646
VCG,20170912,19.43,19.72,19.25,19.72,1269470
VCG,20170911,19.44,19.63,19.25,19.34,1024955
VCG,20170908,19.63,19.63,19.44,19.44,1002953
VCG,20170907,19.72,19.91,19.44,19.44,1649058
VCG,20170906,22.16,22.16,19.72,19.72,3803915
VCG,20170905,21.13,21.13,20.19,20.19,2256181
VCG,20170901,22.35,22.35,20.1,20.47,1390090
VCG,20170831,22.06,22.06,20.0,20.38,3652897
VCG,20170830,20.57,20.57,19.91,20.09,1742460
VCG,20170829,18.41,20.47,18.41,19.91,1843224
VCG,20170828,21.69,21.69,19.63,20.38,2971791
VCG,20170825,18.69,19.72,18.69,19.72,3421506
VCG,20170824,18.87,18.87,18.69,18.69,767150
VCG,20170823,18.59,18.78,18.4,18.78,766553
VCG,20170822,18.69,18.88,18.5,18.59,473452
VCG,20170821,18.78,19.35,18.69,18.69,1705166
VCG,20170818,18.69,18.87,18.31,18.69,2172123
VCG,20170817,18.97,19.06,18.78,18.78,996740
VCG,20170816,19.06,19.15,18.78,19.06,1050552
VCG,20170815,19.25,19.25,18.97,19.06,660873
VCG,20170814,19.06,19.25,18.88,19.25,769494
VCG,20170811,19.06,19.15,18.68,18.97,783448
VCG,20170810,18.78,19.06,18.68,18.87,1936930
VCG,20170809,19.53,19.72,18.78,19.06,2640490
VCG,20170808,20.09,20.09,19.53,19.72,1280380
VCG,20170807,19.43,20.28,19.43,20.0,2743328
VCG,20170804,18.87,19.53,18.87,19.34,2161367
VCG,20170803,18.88,19.16,18.78,18.87,769393
VCG,20170802,19.07,19.25,18.69,18.97,1482547
VCG,20170801,19.16,19.34,18.87,19.16,1488164
