<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCI,20180713,52.0,53.2,52.0,52.6,40380
VCI,20180712,53.1,55.0,52.5,53.1,4800
VCI,20180711,56.0,56.0,52.3,55.0,98900
VCI,20180710,58.0,58.0,55.0,56.0,256320
VCI,20180709,55.26,57.75,54.82,55.56,196590
VCI,20180706,55.99,55.99,54.31,55.26,121660
VCI,20180705,53.07,56.0,53.07,55.99,113150
VCI,20180704,52.27,54.76,51.9,54.46,181040
VCI,20180703,56.29,56.43,52.27,52.27,237600
VCI,20180702,60.31,60.31,56.14,56.14,75060
VCI,20180629,59.94,62.57,59.65,60.31,11440
VCI,20180628,60.31,61.4,59.43,59.94,72530
VCI,20180627,62.64,62.86,61.77,61.77,50420
VCI,20180626,62.14,62.87,61.41,62.79,48740
VCI,20180625,62.72,62.87,61.4,62.87,100900
VCI,20180622,60.67,62.72,60.3,62.72,32680
VCI,20180621,59.35,60.67,59.35,60.67,29610
VCI,20180620,61.41,61.41,58.48,60.96,182660
VCI,20180619,62.14,64.18,60.53,60.53,370130
VCI,20180618,67.98,67.98,65.06,65.06,40190
VCI,20180615,70.18,70.18,68.35,68.71,51510
VCI,20180614,67.18,68.35,66.52,68.35,140000
VCI,20180613,65.79,66.81,65.42,66.81,12410
VCI,20180612,66.96,67.25,64.69,65.79,52130
VCI,20180611,65.86,68.34,65.86,68.13,100570
VCI,20180608,66.52,67.47,66.15,67.32,40030
VCI,20180607,67.91,67.98,67.25,67.32,75700
VCI,20180606,67.4,68.28,67.4,67.4,29630
VCI,20180605,67.25,67.62,66.52,67.4,43740
VCI,20180604,66.52,67.98,66.45,67.25,75600
VCI,20180601,62.94,66.52,62.94,66.52,120080
VCI,20180531,62.58,65.06,62.14,65.06,42390
VCI,20180530,62.28,64.33,59.21,64.33,60970
VCI,20180529,60.74,64.98,57.97,62.28,287680
VCI,20180528,65.06,66.16,62.28,62.28,155580
VCI,20180525,66.15,67.98,65.2,66.96,35780
VCI,20180524,68.28,68.28,65.79,67.98,11260
VCI,20180523,65.87,67.99,65.06,65.79,65300
VCI,20180522,71.63,71.63,67.47,67.62,114020
VCI,20180521,73.17,73.17,72.37,72.51,13050
VCI,20180518,69.59,73.1,69.59,73.1,65020
VCI,20180517,72.0,73.17,71.27,71.27,78360
VCI,20180516,74.56,74.56,73.17,73.17,35420
VCI,20180515,74.05,75.15,73.1,74.56,55090
VCI,20180514,76.02,76.02,73.1,74.2,24920
VCI,20180511,74.56,74.56,70.17,74.56,155050
VCI,20180510,75.29,75.29,73.24,74.56,120280
VCI,20180509,71.63,76.53,71.63,75.29,137090
VCI,20180508,69.08,73.98,69.08,73.17,153750
VCI,20180507,69.0,70.17,67.98,70.18,63890
VCI,20180504,68.71,68.71,66.37,68.27,250050
VCI,20180503,66.52,67.98,62.87,67.25,303310
VCI,20180502,67.98,67.98,66.52,66.52,55060
VCI,20180427,64.77,67.99,64.62,67.98,146570
VCI,20180426,69.44,70.17,64.76,64.77,87340
VCI,20180424,71.64,71.64,67.98,69.44,218100
VCI,20180423,76.98,76.98,71.49,71.64,220600
VCI,20180420,76.91,77.49,76.1,76.83,260920
VCI,20180419,79.17,79.17,76.47,77.49,203350
VCI,20180418,79.67,80.4,78.94,79.17,181010
VCI,20180417,78.8,81.14,78.8,79.82,216970
VCI,20180416,80.19,80.77,78.8,78.8,130290
VCI,20180413,81.14,83.33,78.22,79.02,150660
VCI,20180412,79.68,81.87,79.31,81.87,103180
VCI,20180411,84.06,85.89,81.43,81.87,40190
VCI,20180410,84.14,85.53,84.07,84.06,143720
VCI,20180409,84.94,87.36,84.8,84.8,52410
VCI,20180406,84.8,87.65,84.8,86.26,37510
VCI,20180405,86.99,86.99,85.23,85.53,60750
VCI,20180404,87.72,87.72,85.16,85.45,77130
VCI,20180403,87.72,87.72,84.8,85.53,119770
VCI,20180402,78.95,84.43,78.95,84.43,388350
VCI,20180330,78.94,79.02,78.21,78.95,311980
VCI,20180329,78.95,78.95,78.22,78.87,51330
VCI,20180328,76.97,78.94,76.97,78.95,28650
VCI,20180327,78.95,78.95,76.75,76.75,51350
VCI,20180326,78.14,79.68,78.14,78.58,17860
VCI,20180323,73.17,78.58,73.17,78.14,178710
VCI,20180322,78.21,78.21,76.02,77.85,195930
VCI,20180321,73.83,78.22,73.54,76.02,104940
VCI,20180320,70.91,74.2,70.91,73.54,86090
VCI,20180319,70.17,73.61,70.17,73.54,163160
VCI,20180316,65.13,69.66,65.06,69.66,228710
VCI,20180315,64.91,65.79,64.91,65.13,144490
VCI,20180314,66.15,66.15,64.83,65.13,180520
VCI,20180313,65.79,66.15,64.33,66.15,21580
VCI,20180312,65.94,67.26,65.79,66.08,45540
VCI,20180309,66.6,67.99,65.94,65.94,57200
VCI,20180308,65.86,69.44,64.69,66.67,86650
VCI,20180307,66.52,66.52,65.79,65.86,51100
VCI,20180306,64.4,65.94,64.4,65.86,91200
VCI,20180305,65.79,67.25,65.06,66.23,263310
VCI,20180302,63.6,66.52,62.14,65.79,170260
VCI,20180301,64.62,64.62,62.86,63.6,55220
VCI,20180228,59.28,63.59,59.28,63.01,243680
VCI,20180227,60.67,60.67,60.09,60.67,38930
VCI,20180226,59.94,62.06,59.43,60.67,119440
VCI,20180223,61.4,63.59,59.94,59.94,5810
VCI,20180222,59.94,61.4,59.72,59.94,52890
VCI,20180221,58.12,62.14,57.02,59.21,165030
VCI,20180213,58.48,58.63,58.11,58.19,61490
VCI,20180212,59.58,59.58,57.75,58.48,142090
VCI,20180209,54.46,58.48,54.46,58.48,117500
VCI,20180208,58.48,58.85,57.75,58.48,47560
VCI,20180207,57.02,59.57,57.02,58.48,257290
VCI,20180206,55.85,57.75,55.77,55.92,272110
VCI,20180205,63.74,63.74,59.94,59.94,168970
VCI,20180202,63.6,64.33,62.87,63.74,50580
VCI,20180201,65.72,65.72,63.6,63.6,45110
VCI,20180131,65.72,66.52,63.01,65.79,88890
VCI,20180130,64.77,65.79,64.55,65.79,141700
VCI,20180129,65.42,65.86,64.33,64.77,117340
VCI,20180126,62.86,65.06,62.13,63.67,145910
VCI,20180125,62.14,62.87,61.77,62.79,236670
VCI,20180122,59.35,61.03,59.28,60.53,139000
VCI,20180119,60.23,60.67,57.75,59.28,119870
VCI,20180118,57.38,58.48,57.38,58.48,57370
VCI,20180117,58.19,60.31,58.19,58.33,7450
VCI,20180116,59.21,59.94,58.56,59.94,7170
VCI,20180115,57.75,60.31,57.02,60.31,37820
VCI,20180112,58.48,59.94,57.75,57.75,23320
VCI,20180111,59.21,59.58,58.34,58.77,44770
VCI,20180110,60.01,60.67,58.48,59.58,37420
VCI,20180109,61.99,61.99,60.67,60.67,62300
VCI,20180108,60.75,62.14,59.94,61.77,70280
VCI,20180105,61.4,61.4,60.67,60.82,18410
VCI,20180104,60.67,62.13,60.67,62.06,89260
VCI,20180103,60.67,60.82,59.21,60.67,90850
VCI,20180102,57.02,59.94,57.02,58.92,68220
VCI,20171229,54.46,57.02,54.17,57.02,130800
VCI,20171228,54.1,54.46,53.73,54.17,42870
VCI,20171227,53.07,53.87,53.07,53.44,52490
VCI,20171226,53.0,53.66,53.0,53.07,8990
VCI,20171225,54.83,54.83,52.71,53.0,4060
VCI,20171222,53.51,53.51,52.63,53.29,78640
VCI,20171221,53.44,54.39,53.44,53.51,275070
VCI,20171220,54.75,54.75,53.36,53.44,49470
VCI,20171219,53.29,54.75,53.29,54.75,125620
VCI,20171218,53.36,53.36,52.63,53.0,40080
VCI,20171215,52.56,52.63,51.98,52.63,52930
VCI,20171214,52.63,53.65,52.56,52.56,17620
VCI,20171213,54.1,54.1,51.9,52.63,32510
VCI,20171212,51.9,52.27,51.54,52.27,17170
