<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCM,20180713,,,,16.2,0
VCM,20180712,,,,16.2,0
VCM,20180711,,,,16.2,0
VCM,20180710,,,,16.2,0
VCM,20180709,,,,16.2,0
VCM,20180706,,,,16.2,0
VCM,20180705,16.2,16.2,16.2,16.2,60
VCM,20180704,,,,16.2,0
VCM,20180703,,,,16.2,0
VCM,20180702,,,,16.2,0
VCM,20180629,16.2,16.2,16.2,16.2,3100
VCM,20180628,,,,15.7,0
VCM,20180627,,,,15.7,0
VCM,20180626,15.7,15.7,15.7,15.7,100
VCM,20180625,,,,14.3,0
VCM,20180622,,,,14.3,0
VCM,20180621,,,,14.3,0
VCM,20180620,,,,14.3,0
VCM,20180619,,,,14.3,0
VCM,20180618,,,,14.3,0
VCM,20180615,,,,14.3,0
VCM,20180614,,,,14.3,0
VCM,20180613,,,,14.3,0
VCM,20180612,14.3,14.3,14.3,14.3,100
VCM,20180611,15.22,15.22,15.22,15.22,122
VCM,20180608,,,,15.97,0
VCM,20180607,,,,15.97,0
VCM,20180606,15.97,15.97,15.97,15.97,100
VCM,20180605,15.22,15.22,15.22,15.22,50
VCM,20180604,15.22,15.22,15.22,15.22,100
VCM,20180601,,,,14.89,0
VCM,20180531,,,,14.89,0
VCM,20180530,,,,14.89,0
VCM,20180529,14.89,14.89,14.89,14.89,2400
VCM,20180528,13.55,13.55,13.55,13.55,100
VCM,20180525,,,,14.72,0
VCM,20180524,,,,14.72,0
VCM,20180523,14.72,14.72,14.72,14.72,100
VCM,20180522,,,,13.38,0
VCM,20180521,,,,13.38,0
VCM,20180518,13.38,13.38,13.38,13.38,1000
VCM,20180517,,,,12.21,0
VCM,20180516,,,,12.21,0
VCM,20180515,,,,12.21,0
VCM,20180514,,,,12.21,0
VCM,20180511,,,,12.21,0
VCM,20180510,,,,12.21,0
VCM,20180509,,,,12.21,0
VCM,20180508,,,,12.21,0
VCM,20180507,,,,12.21,0
VCM,20180504,,,,12.21,0
VCM,20180503,,,,12.21,0
VCM,20180502,,,,12.21,0
VCM,20180427,,,,12.21,0
VCM,20180426,12.21,12.21,12.21,12.21,100
VCM,20180424,,,,13.05,0
VCM,20180423,,,,13.05,0
VCM,20180420,13.05,13.05,13.05,13.05,100
VCM,20180419,14.46,14.46,14.46,14.47,252
VCM,20180418,13.21,13.21,13.21,13.21,200
VCM,20180417,,,,12.04,0
VCM,20180416,,,,12.04,0
VCM,20180413,,,,12.04,0
VCM,20180412,,,,12.04,0
VCM,20180411,,,,12.04,0
VCM,20180410,13.21,13.21,12.04,12.04,4638
VCM,20180409,,,,12.04,0
VCM,20180406,,,,12.04,0
VCM,20180405,,,,12.04,0
VCM,20180404,,,,12.04,0
VCM,20180403,,,,12.04,0
VCM,20180402,,,,12.04,0
VCM,20180330,,,,12.04,0
VCM,20180329,12.05,12.05,12.05,12.04,400
VCM,20180328,,,,13.3,0
VCM,20180327,,,,13.3,0
VCM,20180326,,,,13.3,0
VCM,20180323,,,,13.3,0
VCM,20180322,,,,13.3,0
VCM,20180321,13.3,13.3,13.3,13.3,3400
VCM,20180320,,,,12.13,0
VCM,20180319,,,,12.13,0
VCM,20180316,,,,12.13,0
VCM,20180315,,,,12.13,0
VCM,20180314,,,,12.13,0
VCM,20180313,12.12,12.12,12.12,12.13,100
VCM,20180312,,,,13.46,0
VCM,20180309,,,,13.46,0
VCM,20180308,,,,13.46,0
VCM,20180307,,,,13.46,0
VCM,20180306,,,,13.46,0
VCM,20180305,,,,13.46,0
VCM,20180302,,,,13.46,0
VCM,20180301,,,,13.46,0
VCM,20180228,,,,13.46,0
VCM,20180227,,,,13.46,0
VCM,20180226,13.46,13.46,13.46,13.46,20
VCM,20180223,,,,13.46,0
VCM,20180222,,,,13.46,0
VCM,20180221,13.47,13.47,13.47,13.46,100
VCM,20180213,14.47,14.47,14.47,14.47,200
VCM,20180212,,,,16.06,0
VCM,20180209,15.81,19.15,15.81,16.06,4600
VCM,20180208,17.48,17.48,17.48,17.48,1400
VCM,20180207,15.89,15.89,15.89,15.89,1012
VCM,20180206,14.47,17.65,14.47,17.65,400
VCM,20180205,,,,16.06,0
VCM,20180202,,,,16.06,0
VCM,20180201,16.05,16.05,16.05,16.06,100
VCM,20180131,,,,14.63,0
VCM,20180130,,,,14.63,0
VCM,20180129,,,,14.63,0
VCM,20180126,14.63,14.63,14.63,14.63,3212
VCM,20180125,,,,14.38,0
VCM,20180122,,,,14.38,0
VCM,20180119,,,,14.38,0
VCM,20180118,14.38,14.38,14.38,14.38,100
VCM,20180117,15.89,17.48,15.89,15.97,2000
VCM,20180116,15.89,15.89,15.89,15.89,30
VCM,20180115,15.88,15.88,15.88,15.89,500
VCM,20180112,,,,14.63,0
VCM,20180111,,,,14.63,0
VCM,20180110,,,,14.63,0
VCM,20180109,,,,14.63,0
VCM,20180108,14.64,14.64,14.64,14.63,300
VCM,20180105,,,,14.05,0
VCM,20180104,15.22,15.22,14.05,14.05,700
VCM,20180103,,,,15.22,0
VCM,20180102,,,,15.22,0
VCM,20171229,,,,15.22,0
VCM,20171228,,,,15.22,0
VCM,20171227,15.22,15.22,15.22,15.22,100
VCM,20171226,,,,15.14,0
VCM,20171225,16.55,16.55,15.13,15.14,700
VCM,20171222,,,,15.05,0
VCM,20171221,15.05,15.05,15.05,15.05,500
VCM,20171220,15.05,15.05,15.05,15.05,500
VCM,20171219,,,,14.63,0
VCM,20171218,,,,14.63,0
VCM,20171215,,,,14.63,0
VCM,20171214,,,,14.63,0
VCM,20171213,14.63,14.63,14.63,14.63,100
VCM,20171212,,,,14.63,0
VCM,20171211,14.63,14.63,14.63,14.63,3200
VCM,20171208,14.3,14.3,14.3,14.3,20
VCM,20171207,14.64,14.64,14.3,14.3,1000
VCM,20171206,15.05,15.05,14.22,14.22,4100
VCM,20171205,,,,14.3,0
VCM,20171204,15.39,15.39,14.05,14.3,7300
VCM,20171201,,,,14.05,0
VCM,20171130,14.89,14.89,14.05,14.05,3100
VCM,20171129,,,,13.55,0
VCM,20171128,15.56,15.56,13.55,13.55,5900
VCM,20171127,14.21,14.21,14.21,14.22,6000
VCM,20171124,,,,12.96,0
VCM,20171123,,,,12.96,0
VCM,20171122,13.54,13.54,12.96,12.96,3900
VCM,20171121,12.79,12.79,12.79,12.79,100
VCM,20171120,12.79,12.79,12.79,12.79,1002
VCM,20171117,13.38,13.38,12.55,12.54,1000
VCM,20171116,,,,13.55,0
VCM,20171115,,,,13.55,0
VCM,20171114,,,,13.55,0
VCM,20171113,12.21,13.55,12.21,13.55,700
VCM,20171110,,,,13.55,0
VCM,20171109,,,,13.55,0
VCM,20171108,,,,13.55,0
VCM,20171107,,,,13.55,0
VCM,20171106,,,,13.55,0
VCM,20171103,,,,13.55,0
VCM,20171102,,,,13.55,0
VCM,20171101,,,,13.55,0
VCM,20171031,,,,13.55,0
VCM,20171030,,,,13.55,0
VCM,20171027,,,,13.55,0
VCM,20171026,,,,13.55,0
VCM,20171025,,,,13.55,0
VCM,20171024,13.55,13.55,13.55,13.55,200
VCM,20171023,,,,14.3,0
VCM,20171020,,,,14.3,0
VCM,20171019,,,,14.3,0
VCM,20171018,,,,14.3,0
VCM,20171017,,,,14.3,0
VCM,20171016,,,,14.3,0
VCM,20171013,16.31,16.31,14.3,14.3,400
VCM,20171012,14.89,14.89,14.89,14.89,110
VCM,20171011,,,,13.55,0
VCM,20171010,,,,13.55,0
VCM,20171009,13.55,13.55,13.55,13.55,72
VCM,20171006,,,,13.55,0
VCM,20171005,13.55,13.55,13.55,13.55,100
VCM,20171004,,,,14.3,0
VCM,20171003,14.3,14.3,14.3,14.3,40
VCM,20171002,14.3,14.3,14.3,14.3,200
VCM,20170929,,,,15.39,0
VCM,20170928,,,,15.39,0
VCM,20170927,15.39,15.39,15.39,15.39,100
VCM,20170926,,,,14.05,0
VCM,20170925,,,,14.05,0
VCM,20170922,,,,14.05,0
VCM,20170921,,,,14.05,0
VCM,20170920,,,,14.05,0
VCM,20170919,,,,14.05,0
VCM,20170918,,,,14.05,0
VCM,20170915,,,,14.05,0
VCM,20170914,,,,14.05,0
VCM,20170913,,,,14.05,0
VCM,20170912,,,,14.05,0
VCM,20170911,14.05,14.05,14.05,14.05,100
VCM,20170908,,,,15.47,0
VCM,20170907,,,,15.47,0
VCM,20170906,15.47,15.47,15.47,15.47,20
VCM,20170905,,,,15.47,0
VCM,20170901,15.47,15.47,15.47,15.47,400
VCM,20170831,14.13,14.13,14.13,14.13,700
VCM,20170830,,,,13.88,0
VCM,20170829,13.88,13.88,13.88,13.88,100
VCM,20170828,,,,12.63,0
VCM,20170825,,,,12.63,0
VCM,20170824,12.63,12.63,12.63,12.63,190
VCM,20170823,,,,13.55,0
VCM,20170822,,,,13.55,0
VCM,20170821,13.55,13.55,13.55,13.55,50
VCM,20170818,16.06,16.06,13.55,13.55,700
VCM,20170817,14.63,14.72,14.63,14.72,200
VCM,20170816,,,,13.38,0
VCM,20170815,,,,13.38,0
VCM,20170814,,,,13.38,0
VCM,20170811,13.38,13.38,13.38,13.38,120
VCM,20170810,14.46,14.46,14.46,14.47,100
VCM,20170809,13.55,13.55,13.22,13.21,500
VCM,20170808,13.55,13.55,13.55,13.55,100
VCM,20170807,,,,14.47,0
VCM,20170804,13.55,15.72,13.55,14.47,900
VCM,20170803,14.3,14.3,14.3,14.3,100
VCM,20170802,15.06,15.89,13.05,15.89,600
VCM,20170801,14.72,14.72,14.47,14.47,232
VCM,20170731,13.38,13.38,13.38,13.38,248
VCM,20170728,,,,12.21,0
VCM,20170727,,,,12.21,0
