<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCR,20180713,3.6,3.6,3.5,3.6,6200
VCR,20180712,,,,3.4,0
VCR,20180711,3.4,3.4,3.4,3.4,36300
VCR,20180710,3.6,3.6,3.4,3.4,8100
VCR,20180709,,,,3.3,0
VCR,20180706,,,,3.3,0
VCR,20180705,3.5,3.6,3.3,3.3,8100
VCR,20180704,3.5,3.6,3.4,3.5,6200
VCR,20180703,3.4,3.4,3.3,3.3,1200
VCR,20180702,3.5,3.5,3.5,3.5,300
VCR,20180629,3.8,3.8,3.8,3.8,5000
VCR,20180628,3.8,3.8,3.8,3.8,10000
VCR,20180627,3.7,3.7,3.7,3.7,10000
VCR,20180626,,,,3.6,0
VCR,20180625,3.6,3.6,3.6,3.6,100
VCR,20180622,3.5,3.5,3.4,3.4,10200
VCR,20180621,3.4,3.4,3.3,3.3,15300
VCR,20180620,3.7,3.7,3.4,3.5,7109
VCR,20180619,3.7,3.7,3.4,3.4,11400
VCR,20180618,4.0,4.0,3.7,3.7,11800
VCR,20180615,4.1,4.1,4.1,4.1,3030
VCR,20180614,4.0,4.0,4.0,4.0,1020
VCR,20180613,4.2,4.2,4.0,4.0,4500
VCR,20180612,4.1,4.2,4.0,4.0,6700
VCR,20180611,4.2,4.2,4.0,4.2,12700
VCR,20180608,4.1,4.3,4.0,4.3,11300
VCR,20180607,4.0,4.2,4.0,4.2,708
VCR,20180606,4.2,4.2,4.0,4.2,18700
VCR,20180605,4.1,4.3,3.9,4.3,22400
VCR,20180604,4.2,4.5,4.2,4.3,6500
VCR,20180601,4.3,4.5,4.1,4.1,29320
VCR,20180531,4.2,4.4,4.1,4.3,16200
VCR,20180530,4.2,4.2,4.2,4.2,3000
VCR,20180529,4.0,4.3,4.0,4.3,27600
VCR,20180528,4.6,4.6,4.0,4.4,21400
VCR,20180525,4.2,4.6,4.2,4.4,81300
VCR,20180524,3.9,4.2,3.9,4.2,108110
VCR,20180523,3.6,3.9,3.6,3.9,28300
VCR,20180522,3.8,3.9,3.6,3.9,53800
VCR,20180521,3.6,3.8,3.6,3.8,38100
VCR,20180518,3.7,3.8,3.6,3.6,19200
VCR,20180517,3.7,3.9,3.6,3.8,83000
VCR,20180516,3.8,3.8,3.5,3.6,24100
VCR,20180515,3.9,3.9,3.6,3.7,78000
