<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCS,20180713,85.7,92.5,84.7,92.5,569100
VCS,20180712,83.4,86.0,83.3,84.3,103254
VCS,20180711,82.51,83.89,81.52,83.3,144380
VCS,20180710,83.99,84.98,82.71,83.0,75847
VCS,20180709,82.21,83.89,81.52,82.71,101061
VCS,20180706,82.9,83.99,80.04,82.11,120683
VCS,20180705,84.48,85.47,82.51,83.0,137703
VCS,20180704,84.98,84.98,82.12,83.99,80111
VCS,20180703,83.99,86.96,82.61,84.29,234985
VCS,20180702,85.08,85.08,80.04,83.5,359007
VCS,20180629,81.43,82.02,77.37,77.37,226800
VCS,20180628,83.99,83.99,81.03,81.03,108183
VCS,20180627,83.99,85.97,82.51,83.99,113628
VCS,20180626,86.36,86.36,81.52,83.99,217151
VCS,20180625,85.97,87.55,84.48,84.58,118557
VCS,20180622,84.0,84.98,82.02,83.99,184875
VCS,20180621,88.94,88.94,83.5,84.49,105220
VCS,20180620,85.57,88.73,85.57,86.96,88444
VCS,20180619,92.89,92.89,83.3,85.57,532655
VCS,20180618,96.84,96.84,92.49,92.49,156244
VCS,20180615,94.86,97.04,94.76,96.84,174610
VCS,20180614,96.93,98.81,95.85,96.84,106567
VCS,20180613,96.84,98.22,95.95,97.13,111500
VCS,20180612,100.79,100.89,93.68,96.84,313050
VCS,20180611,101.88,103.66,99.8,100.99,108186
VCS,20180608,99.4,104.74,98.91,103.26,191755
VCS,20180607,103.75,106.71,100.79,101.28,189830
VCS,20180606,95.85,103.76,93.97,103.75,299613
VCS,20180605,95.85,97.83,94.47,95.85,88674
VCS,20180604,91.11,95.85,91.01,95.85,203276
VCS,20180601,91.9,95.36,90.51,91.01,134860
VCS,20180531,89.03,93.28,88.93,93.28,131280
VCS,20180530,93.87,93.87,88.93,90.02,88412
VCS,20180529,83.99,92.39,77.07,92.39,340222
VCS,20180528,92.88,92.88,83.99,83.99,668652
VCS,20180525,98.02,100.2,93.28,93.28,132099
VCS,20180524,100.6,102.28,97.63,99.8,113597
VCS,20180523,98.82,98.82,93.87,98.72,188602
VCS,20180522,104.74,104.74,94.27,94.27,345384
VCS,20180521,107.21,108.69,103.75,104.74,63274
VCS,20180518,106.72,108.6,103.26,107.31,141102
VCS,20180517,107.71,110.08,106.72,106.72,67196
VCS,20180516,110.67,111.36,108.3,108.4,134890
VCS,20180515,111.66,112.85,110.87,110.87,91831
VCS,20180514,113.84,115.12,110.57,112.85,104941
VCS,20180511,111.66,113.64,104.75,112.65,250613
VCS,20180510,120.06,120.06,111.17,111.17,83285
VCS,20180509,120.65,121.34,118.38,118.38,65809
VCS,20180508,124.5,124.5,120.85,121.54,49348
VCS,20180507,115.62,125.0,115.62,123.81,88328
VCS,20180504,117.49,119.37,115.91,117.89,51830
VCS,20180503,118.88,119.57,115.42,117.49,74990
VCS,20180502,108.8,118.58,108.8,118.58,154456
VCS,20180427,103.76,111.66,103.76,108.7,66605
VCS,20180426,107.71,108.2,104.74,107.51,90610
VCS,20180424,101.78,109.69,101.78,109.19,153850
VCS,20180423,114.13,114.13,108.7,108.7,65825
VCS,20180420,112.15,114.13,111.66,114.13,63522
VCS,20180419,111.17,114.63,110.18,113.83,116856
VCS,20180418,114.63,117.59,111.17,111.17,170322
VCS,20180417,118.58,118.68,113.64,115.42,134540
VCS,20180416,122.04,122.33,118.58,118.58,62213
VCS,20180413,122.04,122.53,119.57,120.06,75200
VCS,20180412,118.68,120.95,114.63,120.06,189317
VCS,20180411,118.58,124.51,117.59,118.58,174625
VCS,20180410,126.09,126.09,118.58,118.58,305317
VCS,20180409,135.37,135.37,124.5,126.09,444139
VCS,20180406,139.13,139.13,135.87,136.36,102908
VCS,20180405,138.34,140.32,136.36,138.93,152996
VCS,20180404,134.38,141.6,134.38,138.24,526381
VCS,20180403,130.09,130.93,126.48,128.95,237092
VCS,20180402,129.45,131.42,129.1,130.09,193822
VCS,20180330,129.94,130.43,128.45,129.2,115566
VCS,20180329,127.62,131.42,127.62,129.69,160161
VCS,20180328,122.43,127.47,121.64,127.27,415476
VCS,20180327,121.54,123.52,121.54,122.43,96114
VCS,20180326,114.67,123.46,114.67,121.54,139298
VCS,20180323,105.09,116.85,105.09,114.62,57907
VCS,20180322,118.09,118.58,115.86,116.75,39216
