<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VDL,20180713,,,,29.4,0
VDL,20180712,29.4,29.4,29.4,29.4,29100
VDL,20180711,,,,29.5,0
VDL,20180710,,,,29.5,0
VDL,20180709,29.5,29.5,29.5,29.5,100
VDL,20180706,,,,27.0,0
VDL,20180705,,,,27.0,0
VDL,20180704,,,,27.0,0
VDL,20180703,,,,27.0,0
VDL,20180702,,,,27.0,0
VDL,20180629,,,,27.0,0
VDL,20180628,,,,27.0,0
VDL,20180627,,,,27.0,0
VDL,20180626,,,,27.0,0
VDL,20180625,,,,27.0,0
VDL,20180622,,,,27.0,0
VDL,20180621,,,,27.0,0
VDL,20180620,,,,27.0,0
VDL,20180619,,,,27.0,0
VDL,20180618,,,,27.0,0
VDL,20180615,,,,27.0,0
VDL,20180614,,,,27.0,0
VDL,20180613,,,,27.0,0
VDL,20180612,,,,27.0,0
VDL,20180611,,,,27.0,0
VDL,20180608,,,,27.0,0
VDL,20180607,,,,27.0,0
VDL,20180606,,,,27.0,0
VDL,20180605,,,,27.0,0
VDL,20180604,,,,27.0,0
VDL,20180601,,,,27.0,0
VDL,20180531,,,,27.0,0
VDL,20180530,,,,27.0,0
VDL,20180529,,,,27.0,0
VDL,20180528,,,,27.0,0
VDL,20180525,,,,27.0,0
VDL,20180524,,,,27.0,0
VDL,20180523,27.0,27.0,27.0,27.0,100
VDL,20180522,,,,25.3,0
VDL,20180521,,,,25.3,0
VDL,20180518,,,,25.3,0
VDL,20180517,,,,25.3,0
VDL,20180516,,,,25.3,0
VDL,20180515,25.3,25.3,25.3,25.3,100
VDL,20180514,,,,28.0,0
VDL,20180511,27.8,28.0,27.8,28.0,3400
VDL,20180510,,,,28.8,0
VDL,20180509,28.0,28.8,28.0,28.8,19500
VDL,20180508,28.0,28.0,28.0,28.0,500
VDL,20180507,23.5,28.0,23.5,28.0,998
VDL,20180504,,,,26.0,0
VDL,20180503,,,,26.0,0
VDL,20180502,,,,26.0,0
VDL,20180427,,,,26.0,0
VDL,20180426,,,,26.0,0
VDL,20180424,,,,26.0,0
VDL,20180423,,,,26.0,0
VDL,20180420,,,,26.0,0
VDL,20180419,26.0,26.0,26.0,26.0,100
VDL,20180418,,,,27.6,0
VDL,20180417,,,,27.6,0
VDL,20180416,,,,27.6,0
VDL,20180413,,,,27.6,0
VDL,20180412,,,,27.6,0
VDL,20180411,,,,27.6,0
VDL,20180410,,,,27.6,0
VDL,20180409,,,,27.6,0
VDL,20180406,,,,27.6,0
VDL,20180405,,,,27.6,0
VDL,20180404,,,,27.6,0
VDL,20180403,,,,27.6,0
VDL,20180402,,,,27.6,0
VDL,20180330,,,,27.6,0
VDL,20180329,,,,27.6,0
VDL,20180328,,,,27.6,0
VDL,20180327,,,,27.6,0
VDL,20180326,,,,27.6,0
VDL,20180323,,,,27.6,0
VDL,20180322,,,,27.6,0
VDL,20180321,,,,27.6,0
VDL,20180320,,,,27.6,0
VDL,20180319,,,,27.6,0
VDL,20180316,,,,27.6,0
VDL,20180315,,,,27.6,0
VDL,20180314,,,,27.6,0
VDL,20180313,27.6,27.6,27.6,27.6,69
VDL,20180312,,,,27.6,0
VDL,20180309,,,,27.6,0
VDL,20180308,,,,27.6,0
VDL,20180307,,,,27.6,0
VDL,20180306,27.6,27.6,27.6,27.6,200
VDL,20180305,25.1,25.1,25.1,25.1,100
VDL,20180302,,,,27.6,0
VDL,20180301,27.6,27.6,27.6,27.6,1000
VDL,20180228,,,,27.6,0
VDL,20180227,,,,27.6,0
VDL,20180226,27.6,27.6,27.6,27.6,100
VDL,20180223,27.5,30.2,27.5,30.0,19139
VDL,20180222,27.5,27.5,27.5,27.5,5500
VDL,20180221,,,,30.5,0
VDL,20180213,,,,30.5,0
VDL,20180212,,,,30.5,0
VDL,20180209,,,,30.5,0
VDL,20180208,,,,30.5,0
VDL,20180207,,,,30.5,0
VDL,20180206,,,,30.5,0
VDL,20180205,30.5,30.5,30.5,30.5,100
VDL,20180202,,,,30.7,0
VDL,20180201,,,,30.7,0
VDL,20180131,30.7,30.7,30.7,30.7,100
VDL,20180130,28.9,28.9,28.9,28.9,100
VDL,20180129,26.8,26.8,26.8,26.8,300
VDL,20180126,,,,26.0,0
VDL,20180125,,,,26.0,0
VDL,20180122,26.0,26.0,26.0,26.0,600
VDL,20180119,,,,28.0,0
VDL,20180118,,,,28.0,0
VDL,20180117,,,,28.0,0
VDL,20180116,,,,28.0,0
VDL,20180115,,,,28.0,0
VDL,20180112,,,,28.0,0
VDL,20180111,,,,28.0,0
VDL,20180110,,,,28.0,0
VDL,20180109,28.1,28.1,28.0,28.0,241
VDL,20180108,31.0,31.0,31.0,31.0,100
VDL,20180105,34.4,34.4,34.4,34.4,400
VDL,20180104,,,,31.8,0
VDL,20180103,31.8,31.8,31.8,31.8,100
VDL,20180102,,,,29.0,0
VDL,20171229,,,,29.0,0
VDL,20171228,,,,29.0,0
VDL,20171227,,,,29.0,0
VDL,20171226,,,,29.0,0
VDL,20171225,,,,29.0,0
VDL,20171222,,,,29.0,0
VDL,20171221,,,,29.0,0
VDL,20171220,,,,29.0,0
VDL,20171219,,,,29.0,0
VDL,20171218,,,,29.0,0
VDL,20171215,,,,29.0,0
VDL,20171214,,,,29.0,0
VDL,20171213,,,,29.0,0
VDL,20171212,,,,29.0,0
VDL,20171211,,,,29.0,0
VDL,20171208,,,,29.0,0
VDL,20171207,,,,29.0,0
VDL,20171206,,,,29.0,0
VDL,20171205,,,,29.0,0
VDL,20171204,,,,29.0,0
VDL,20171201,,,,29.0,0
VDL,20171130,,,,29.0,0
VDL,20171129,,,,29.0,0
VDL,20171128,,,,29.0,0
VDL,20171127,29.0,29.0,29.0,29.0,10
VDL,20171124,29.0,29.0,29.0,29.0,10
VDL,20171123,,,,29.0,0
VDL,20171122,,,,29.0,0
VDL,20171121,,,,29.0,0
VDL,20171120,30.0,30.0,29.0,29.0,17310
VDL,20171117,31.0,31.0,29.9,30.0,83000
VDL,20171116,,,,30.8,0
VDL,20171115,,,,30.8,0
VDL,20171114,,,,30.8,0
VDL,20171113,28.6,30.8,28.6,30.8,200
VDL,20171110,,,,31.7,0
VDL,20171109,,,,31.7,0
VDL,20171108,,,,31.7,0
VDL,20171107,31.7,31.7,31.7,31.7,200
VDL,20171106,,,,29.8,0
VDL,20171103,,,,29.8,0
VDL,20171102,29.8,29.8,29.8,29.8,200
VDL,20171101,30.0,30.0,30.0,30.0,60000
VDL,20171031,26.0,28.9,25.6,28.8,500
VDL,20171030,28.4,28.4,28.4,28.4,200
VDL,20171027,31.5,31.5,31.5,31.5,22800
VDL,20171026,,,,32.9,0
VDL,20171025,,,,32.9,0
VDL,20171024,28.0,32.9,28.0,32.9,400
VDL,20171023,,,,31.0,0
VDL,20171020,30.0,31.0,30.0,31.0,10700
VDL,20171019,31.0,31.0,31.0,31.0,16800
VDL,20171018,31.5,32.0,31.5,32.0,8000
VDL,20171017,31.5,33.8,31.5,33.8,10000
VDL,20171016,31.0,31.9,31.0,31.9,4900
VDL,20171013,,,,31.5,0
VDL,20171012,,,,31.5,0
VDL,20171011,,,,31.5,0
VDL,20171010,30.5,31.5,30.5,31.5,1600
VDL,20171009,,,,33.7,0
VDL,20171006,,,,33.7,0
VDL,20171005,,,,33.7,0
VDL,20171004,33.8,33.8,32.0,33.7,2400
VDL,20171003,33.8,33.8,33.8,33.8,200
VDL,20171002,30.9,33.4,30.9,33.4,2900
VDL,20170929,30.9,30.9,30.9,30.9,2000
VDL,20170928,31.1,34.3,31.1,34.3,2130
VDL,20170927,33.03,34.0,31.58,34.0,9137
VDL,20170926,33.03,34.49,33.03,34.49,4400
VDL,20170925,33.03,33.03,33.03,33.03,840
VDL,20170922,34.38,34.38,34.38,34.39,100
VDL,20170921,33.03,33.52,33.03,33.51,1200
VDL,20170920,32.54,33.41,32.54,33.42,1000
VDL,20170919,,,,32.83,0
VDL,20170918,32.54,33.03,32.54,32.83,2700
VDL,20170915,,,,33.9,0
VDL,20170914,,,,33.9,0
VDL,20170913,33.9,33.9,33.9,33.9,100
VDL,20170912,31.08,34.0,31.08,34.0,1000
VDL,20170911,32.25,33.9,32.25,33.9,900
VDL,20170908,30.69,32.25,30.69,32.25,723
VDL,20170907,,,,33.9,0
VDL,20170906,,,,33.9,0
VDL,20170905,,,,33.9,0
VDL,20170901,,,,33.9,0
VDL,20170831,,,,33.9,0
VDL,20170830,,,,33.9,0
VDL,20170829,,,,33.9,0
VDL,20170828,,,,33.9,0
VDL,20170825,,,,33.9,0
VDL,20170824,,,,33.9,0
VDL,20170823,,,,33.9,0
VDL,20170822,,,,33.9,0
VDL,20170821,33.91,33.91,33.91,33.9,200
VDL,20170818,,,,32.06,0
VDL,20170817,30.79,32.05,30.79,32.06,400
VDL,20170816,34.19,34.19,34.19,34.19,4000
VDL,20170815,33.62,33.62,33.62,33.61,200
VDL,20170814,30.69,33.8,30.69,33.81,700
VDL,20170811,31.96,33.91,31.96,33.9,300
VDL,20170810,,,,32.06,0
VDL,20170809,30.5,32.06,30.5,32.06,200
VDL,20170808,28.56,33.71,28.56,33.71,8000
VDL,20170807,30.7,30.7,30.7,30.7,100
VDL,20170804,34.0,34.0,34.0,34.0,100
VDL,20170803,33.81,33.81,33.81,33.81,600
VDL,20170802,34.0,34.0,34.0,34.0,100
VDL,20170801,,,,37.69,0
VDL,20170731,,,,37.69,0
VDL,20170728,,,,37.69,0
VDL,20170727,,,,37.69,0
VDL,20170726,,,,37.69,0
VDL,20170725,,,,37.69,0
VDL,20170724,,,,37.69,0
VDL,20170721,,,,37.69,0
VDL,20170720,,,,37.69,0
VDL,20170719,,,,37.69,0
VDL,20170718,,,,37.69,0
VDL,20170717,,,,37.69,0
VDL,20170714,,,,37.69,0
VDL,20170713,,,,37.69,0
VDL,20170712,,,,37.69,0
VDL,20170711,,,,37.69,0
VDL,20170710,,,,37.69,0
VDL,20170707,,,,37.69,0
VDL,20170706,,,,37.69,0
VDL,20170705,,,,37.69,0
VDL,20170704,,,,37.69,0
VDL,20170703,,,,37.69,0
VDL,20170630,,,,37.69,0
VDL,20170629,37.69,37.69,37.69,37.69,40
VDL,20170628,,,,37.69,0
VDL,20170627,,,,37.69,0
VDL,20170626,,,,37.69,0
VDL,20170623,,,,37.69,0
VDL,20170622,,,,37.69,0
VDL,20170621,,,,37.69,0
VDL,20170620,,,,37.69,0
VDL,20170619,,,,37.69,0
VDL,20170616,,,,37.69,0
VDL,20170615,,,,37.69,0
VDL,20170614,,,,37.69,0
VDL,20170613,,,,37.69,0
VDL,20170612,,,,37.69,0
VDL,20170609,,,,37.69,0
VDL,20170608,31.18,37.69,31.18,37.69,3000
VDL,20170607,,,,34.58,0
VDL,20170606,31.47,34.58,31.47,34.58,8800
VDL,20170605,,,,34.97,0
VDL,20170602,,,,34.97,0
VDL,20170601,,,,34.97,0
VDL,20170531,,,,34.97,0
VDL,20170530,,,,34.97,0
VDL,20170529,34.97,34.97,34.97,34.97,100
VDL,20170526,,,,34.97,0
VDL,20170525,,,,34.97,0
VDL,20170524,,,,34.97,0
VDL,20170523,34.97,34.97,34.97,34.97,50
VDL,20170522,,,,34.97,0
VDL,20170519,,,,34.97,0
VDL,20170518,,,,34.97,0
VDL,20170517,,,,34.97,0
VDL,20170516,,,,34.97,0
VDL,20170515,34.1,34.97,34.1,34.97,3300
VDL,20170512,,,,37.5,0
VDL,20170511,,,,37.5,0
VDL,20170510,,,,37.5,0
VDL,20170509,,,,37.5,0
VDL,20170508,,,,37.5,0
VDL,20170505,,,,37.5,0
VDL,20170504,,,,37.5,0
VDL,20170503,,,,37.5,0
VDL,20170428,,,,37.5,0
