<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VDS,20180713,7.9,7.9,7.73,7.88,1750
VDS,20180712,7.8,7.88,7.8,7.88,590
VDS,20180711,7.88,7.88,7.49,7.8,730
VDS,20180710,8.05,8.15,7.89,7.89,390
VDS,20180709,7.98,7.99,7.8,7.97,550
VDS,20180706,7.72,7.9,7.49,7.9,2320
VDS,20180705,8.0,8.0,7.65,7.65,2120
VDS,20180704,7.32,8.0,7.32,8.0,36800
VDS,20180703,8.1,8.2,7.8,7.8,9840
VDS,20180702,8.39,8.4,8.2,8.2,5330
VDS,20180629,8.49,8.49,8.4,8.48,10440
VDS,20180628,8.88,8.88,8.4,8.4,35580
VDS,20180627,8.8,8.97,8.79,8.97,18810
VDS,20180626,9.0,9.08,8.6,8.88,3340
VDS,20180625,9.19,9.2,9.09,9.18,5770
VDS,20180622,9.0,9.19,9.0,9.19,1850
VDS,20180621,9.0,9.0,8.9,9.0,6390
VDS,20180620,9.1,9.3,9.1,9.3,4670
VDS,20180619,9.4,9.5,8.8,9.0,55720
VDS,20180618,9.14,9.4,9.14,9.4,9440
VDS,20180615,9.27,9.27,8.91,8.91,7420
VDS,20180614,9.14,9.19,9.09,9.09,28970
VDS,20180613,9.09,9.18,9.09,9.14,7480
VDS,20180612,9.08,9.32,9.05,9.09,9680
VDS,20180611,9.18,9.32,9.14,9.18,38330
VDS,20180608,9.45,9.45,9.18,9.23,17170
VDS,20180607,9.32,9.45,9.27,9.36,24830
VDS,20180606,9.09,9.4,9.09,9.18,28330
VDS,20180605,9.36,9.36,8.73,9.05,53260
VDS,20180604,9.19,9.19,9.0,9.09,34160
VDS,20180601,9.31,9.72,9.04,9.05,12370
VDS,20180531,8.91,9.5,8.73,9.45,35340
VDS,20180530,8.45,8.91,8.45,8.92,24350
VDS,20180529,8.0,8.55,8.0,8.55,54400
VDS,20180528,8.45,8.45,7.86,8.0,105580
VDS,20180525,9.05,9.09,8.42,8.45,25260
VDS,20180524,9.27,9.27,9.05,9.05,31180
VDS,20180523,9.09,9.37,9.0,9.32,48660
VDS,20180522,10.0,10.0,9.32,9.32,50690
VDS,20180521,10.13,10.18,9.82,10.0,31300
VDS,20180518,10.32,10.32,9.96,10.18,40300
VDS,20180517,10.36,10.36,10.18,10.32,109080
VDS,20180516,10.36,10.36,10.22,10.36,113070
VDS,20180515,10.18,10.36,10.18,10.36,90710
VDS,20180514,10.14,10.28,10.0,10.18,83910
VDS,20180511,10.09,10.14,10.0,10.14,108290
VDS,20180510,10.36,10.41,10.09,10.09,104020
VDS,20180509,10.23,10.46,10.18,10.36,109310
VDS,20180508,10.18,10.27,10.0,10.23,161130
VDS,20180507,10.14,10.23,10.0,10.18,95870
VDS,20180504,10.19,10.23,9.91,10.14,114090
VDS,20180503,10.09,10.14,9.82,10.14,58550
VDS,20180502,10.14,10.14,9.91,10.09,134610
VDS,20180427,10.0,10.14,9.91,10.14,69160
VDS,20180426,10.77,10.82,10.04,10.05,124430
VDS,20180424,10.27,10.82,10.27,10.77,200020
VDS,20180423,11.55,11.55,10.78,10.77,228450
VDS,20180420,11.55,11.6,11.41,11.55,110530
VDS,20180419,11.72,11.77,11.45,11.55,147630
VDS,20180418,11.82,11.96,11.73,11.77,196980
VDS,20180417,11.86,11.86,11.63,11.82,218880
VDS,20180416,11.95,11.95,11.72,11.86,136080
VDS,20180413,12.05,12.19,11.64,11.77,231580
VDS,20180412,12.14,12.18,11.82,12.05,188770
VDS,20180411,12.28,12.55,12.09,12.23,263980
VDS,20180410,12.91,12.91,12.23,12.23,622550
VDS,20180409,13.36,13.36,12.86,12.91,511360
VDS,20180406,13.36,13.41,13.27,13.36,293150
VDS,20180405,13.54,13.54,13.36,13.41,354860
VDS,20180404,12.82,13.64,12.73,13.45,1681000
VDS,20180403,12.87,12.87,12.73,12.82,278980
VDS,20180402,12.73,13.0,12.73,12.82,384990
VDS,20180330,12.64,12.73,12.64,12.73,304890
VDS,20180329,12.69,12.78,12.59,12.64,213380
VDS,20180328,12.64,12.73,12.59,12.64,164910
VDS,20180327,12.36,12.77,12.36,12.64,207320
VDS,20180326,12.36,12.5,12.31,12.36,194160
VDS,20180323,12.36,12.4,12.18,12.36,215250
VDS,20180322,12.91,12.96,12.37,12.45,331880
VDS,20180321,12.73,12.91,12.73,12.82,243990
VDS,20180320,12.81,12.81,12.68,12.68,169860
VDS,20180319,13.0,13.05,12.82,12.86,276130
VDS,20180316,12.68,13.05,12.64,12.91,345460
VDS,20180315,12.86,12.91,12.59,12.73,348570
VDS,20180314,12.96,13.0,12.77,12.91,289710
VDS,20180313,12.96,13.05,12.86,12.91,251000
VDS,20180312,12.78,13.14,12.78,12.91,499600
VDS,20180309,12.73,12.86,12.59,12.73,478370
VDS,20180308,12.64,12.78,12.55,12.68,207050
VDS,20180307,12.73,13.09,12.59,12.64,312250
VDS,20180306,11.82,12.64,11.82,12.64,520510
VDS,20180305,11.73,12.04,11.68,11.82,304860
VDS,20180302,11.46,11.69,11.41,11.68,231780
VDS,20180301,11.41,11.63,11.27,11.64,338680
VDS,20180228,11.18,11.45,11.09,11.36,205710
VDS,20180227,11.36,11.41,11.18,11.18,140790
VDS,20180226,11.27,11.41,11.18,11.36,128670
VDS,20180223,10.91,11.32,10.91,11.32,131330
VDS,20180222,10.86,11.09,10.77,10.91,126010
VDS,20180221,10.82,10.96,10.82,10.86,126110
VDS,20180213,10.59,10.82,10.45,10.73,102440
VDS,20180212,10.64,10.82,10.55,10.68,77530
VDS,20180209,10.73,10.73,10.55,10.64,79130
VDS,20180208,10.95,11.09,10.82,10.82,103290
VDS,20180207,10.5,11.09,10.5,11.0,136130
VDS,20180206,10.77,10.77,10.32,10.45,164180
VDS,20180205,11.55,11.55,10.91,11.09,123970
VDS,20180202,11.64,11.64,11.19,11.55,114840
VDS,20180201,12.18,12.18,11.54,11.55,150830
VDS,20180131,12.28,12.37,12.0,12.18,166480
VDS,20180130,11.18,12.04,11.09,12.05,228610
VDS,20180129,11.45,11.45,11.27,11.27,171870
VDS,20180126,11.0,11.36,11.0,11.36,211390
VDS,20180125,11.14,11.28,11.09,11.18,183730
VDS,20180122,10.82,11.18,10.82,11.14,140500
VDS,20180119,10.54,11.09,10.45,10.91,160030
VDS,20180118,10.36,10.45,10.18,10.45,106520
VDS,20180117,10.64,10.64,10.41,10.45,198400
VDS,20180116,10.64,10.64,10.37,10.55,95170
VDS,20180115,10.55,10.82,10.46,10.64,90890
VDS,20180112,10.73,11.09,10.64,10.64,93260
VDS,20180111,10.72,10.72,10.27,10.73,52190
VDS,20180110,9.73,10.37,9.73,10.36,54980
VDS,20180109,9.64,9.73,9.28,9.73,36240
VDS,20180108,9.73,9.73,9.55,9.55,25080
VDS,20180105,9.45,9.54,9.36,9.55,5130
VDS,20180104,9.36,9.45,9.09,9.36,26140
VDS,20180103,9.23,9.23,9.09,9.09,14010
VDS,20180102,9.0,9.09,8.91,9.0,14910
VDS,20171229,9.1,9.1,8.91,9.09,19290
VDS,20171228,8.73,9.09,8.73,8.75,5100
VDS,20171227,,,,9.0,0
VDS,20171226,8.73,9.09,8.73,9.0,10670
VDS,20171225,9.09,9.09,9.09,9.09,6000
VDS,20171222,,,,9.18,0
VDS,20171221,9.18,9.18,9.18,9.18,8780
VDS,20171220,9.09,9.27,9.09,9.27,25930
VDS,20171219,9.09,9.23,9.09,9.09,27430
VDS,20171218,9.36,9.36,9.09,9.09,12260
VDS,20171215,9.36,9.36,9.36,9.36,5000
VDS,20171214,9.36,9.36,9.09,9.36,15220
VDS,20171213,9.09,9.09,9.09,9.09,5000
VDS,20171212,9.09,9.09,9.09,9.09,6500
VDS,20171211,9.37,9.37,9.1,9.09,17920
VDS,20171208,9.19,9.55,9.19,9.55,4000
VDS,20171207,9.54,9.54,9.54,9.55,310
VDS,20171206,9.1,9.1,8.91,9.09,11440
VDS,20171205,9.82,9.82,9.46,9.55,7100
VDS,20171204,9.28,9.64,9.1,9.64,9800
VDS,20171201,9.55,9.82,9.55,9.55,2320
VDS,20171130,9.55,9.82,9.19,9.23,8810
VDS,20171129,9.54,9.9,9.54,9.55,13010
VDS,20171128,9.82,9.82,9.45,9.45,21700
VDS,20171127,9.64,10.0,9.64,10.0,1060
VDS,20171124,10.09,10.09,9.64,9.64,1580
VDS,20171123,10.0,10.0,9.63,9.64,7040
VDS,20171122,9.91,10.28,9.91,10.27,2190
VDS,20171121,10.64,10.64,10.64,10.64,160
VDS,20171120,10.19,10.19,10.0,10.09,1110
VDS,20171117,9.55,9.96,9.1,9.55,4530
VDS,20171116,9.39,9.94,9.39,9.55,4020
VDS,20171115,9.21,9.3,9.21,9.3,15010
VDS,20171114,9.89,9.89,9.57,9.57,2520
VDS,20171113,9.48,9.94,9.3,9.57,9810
VDS,20171110,10.02,10.02,9.66,9.89,4050
VDS,20171109,10.2,10.2,9.57,9.57,19820
VDS,20171108,,,,10.2,0
VDS,20171107,,,,10.2,0
VDS,20171106,10.2,10.2,10.2,10.2,11370
VDS,20171103,9.7,10.2,9.7,10.2,5200
VDS,20171102,9.7,10.29,9.7,10.29,20500
VDS,20171101,10.83,10.83,10.38,10.38,20
VDS,20171031,10.84,10.84,10.11,10.29,2010
VDS,20171030,10.43,10.43,10.12,10.43,3530
VDS,20171027,10.84,10.84,10.84,10.84,10
VDS,20171026,,,,10.43,0
VDS,20171025,,,,10.43,0
VDS,20171024,10.43,10.43,10.43,10.43,30
VDS,20171023,,,,11.2,0
VDS,20171020,10.56,11.19,10.56,11.2,1000
VDS,20171019,10.06,10.56,10.06,10.56,190
VDS,20171018,10.79,10.79,10.29,10.29,40
VDS,20171017,9.93,10.38,9.93,10.11,3250
VDS,20171016,9.93,10.47,9.93,10.38,220
VDS,20171013,10.38,10.47,10.38,10.47,60
VDS,20171012,10.61,10.61,10.61,10.61,5000
VDS,20171011,10.65,10.65,10.38,10.38,31010
VDS,20171010,10.74,10.74,10.65,10.65,120
VDS,20171009,10.84,10.84,10.56,10.56,4960
VDS,20171006,10.61,10.61,10.61,10.61,7320
VDS,20171005,10.75,10.84,10.48,10.61,11920
VDS,20171004,,,,10.84,0
VDS,20171003,10.56,10.84,10.38,10.84,21380
VDS,20171002,10.61,10.7,10.61,10.7,18560
VDS,20170929,10.61,10.84,10.61,10.61,33950
VDS,20170928,10.11,10.61,9.93,10.61,52530
VDS,20170927,9.21,9.93,9.21,9.93,19220
VDS,20170926,9.21,9.3,9.21,9.3,19290
VDS,20170925,9.12,9.21,9.12,9.21,5320
VDS,20170922,9.07,9.12,9.03,9.12,23400
VDS,20170921,9.21,9.21,9.21,9.21,5400
VDS,20170920,9.02,9.25,9.02,9.26,3700
VDS,20170919,9.12,9.12,9.03,9.07,3380
VDS,20170918,9.21,9.21,9.21,9.21,20
VDS,20170915,9.21,9.3,9.21,9.21,8120
VDS,20170914,9.3,9.3,9.08,9.3,1700
VDS,20170913,9.21,9.35,9.21,9.35,3010
VDS,20170912,8.94,9.26,8.94,9.21,4390
VDS,20170911,9.03,9.03,8.67,8.67,2110
VDS,20170908,9.03,9.31,9.03,9.03,11100
VDS,20170907,9.3,9.3,9.25,9.26,16860
VDS,20170906,9.11,9.3,9.11,9.3,8010
VDS,20170905,9.48,9.48,9.16,9.16,3010
VDS,20170901,9.66,9.66,9.3,9.3,24400
VDS,20170831,9.12,9.12,9.12,9.12,5200
VDS,20170830,9.21,9.21,9.12,9.12,4300
VDS,20170829,9.48,9.48,9.21,9.21,4500
VDS,20170828,9.12,9.3,9.12,9.3,610
VDS,20170825,9.02,9.21,9.02,9.21,1120
VDS,20170824,9.12,9.3,9.03,9.07,21890
VDS,20170823,9.03,9.39,9.03,9.39,1200
VDS,20170822,9.48,9.48,9.3,9.3,14010
VDS,20170821,9.57,9.57,9.48,9.48,110
VDS,20170818,9.57,9.66,9.57,9.66,3400
VDS,20170817,9.66,9.66,9.66,9.66,1000
VDS,20170816,9.79,9.93,9.75,9.75,1170
VDS,20170815,9.93,10.02,9.93,10.02,36200
VDS,20170814,10.33,10.33,9.93,9.93,500
VDS,20170811,10.7,10.7,10.11,10.38,3320
VDS,20170810,10.39,10.39,10.11,10.11,8910
VDS,20170809,10.57,10.57,10.11,10.25,15550
VDS,20170808,9.84,10.52,9.84,10.16,19120
VDS,20170807,9.84,9.93,9.84,9.84,14400
VDS,20170804,10.11,10.11,9.75,9.84,17950
VDS,20170803,9.57,9.84,9.57,9.84,1620
VDS,20170802,9.93,9.93,9.48,9.57,10930
VDS,20170801,9.66,9.93,9.48,9.84,25420
VDS,20170731,9.57,9.84,9.57,9.84,17130
VDS,20170728,10.11,10.11,9.57,9.57,19460
VDS,20170727,10.11,10.11,9.57,9.57,51760
VDS,20170726,9.93,10.2,9.84,10.11,77330
VDS,20170725,9.3,9.93,9.3,9.75,49620
VDS,20170724,9.93,10.15,9.84,9.93,65070
VDS,20170721,10.75,11.2,10.57,10.56,15160
VDS,20170720,11.65,11.65,10.84,10.84,34190
VDS,20170719,12.1,12.1,11.29,11.38,418940
VDS,20170718,,,,12.01,0
VDS,20170717,,,,12.01,0
VDS,20170714,,,,12.01,0
VDS,20170713,,,,12.01,0
VDS,20170712,,,,12.01,0
VDS,20170711,,,,12.01,0
VDS,20170710,11.38,12.01,10.93,12.01,86108
VDS,20170707,11.47,11.47,10.84,10.93,48306
VDS,20170706,11.74,11.74,11.29,11.38,26430
VDS,20170705,10.83,11.1,10.83,11.11,172803
VDS,20170704,9.93,10.2,9.93,10.11,67410
VDS,20170703,9.93,9.93,9.93,9.93,16908
VDS,20170630,9.93,9.93,9.93,9.93,7000
VDS,20170629,,,,9.93,0
VDS,20170628,10.83,10.83,9.75,9.93,9100
VDS,20170627,10.47,10.47,10.38,10.38,400
VDS,20170626,9.84,9.84,9.03,9.57,45400
VDS,20170623,8.94,9.03,8.76,9.03,31410
VDS,20170622,8.76,8.76,8.76,8.76,26000
VDS,20170621,8.85,8.85,8.85,8.85,5000
VDS,20170620,8.85,8.85,8.85,8.85,15000
VDS,20170619,8.76,8.76,8.76,8.76,1172
VDS,20170616,8.58,8.94,8.58,8.94,1100
VDS,20170615,,,,8.85,0
VDS,20170614,8.85,8.85,8.85,8.85,19000
VDS,20170613,8.85,8.85,8.85,8.85,7500
VDS,20170612,9.03,9.03,9.03,9.03,1560
VDS,20170609,8.94,9.03,8.94,9.03,33000
VDS,20170608,9.03,9.03,9.03,9.03,10000
VDS,20170607,8.94,8.94,8.94,8.94,462
VDS,20170606,9.12,9.12,9.12,9.12,100
VDS,20170605,8.94,9.03,8.94,9.03,3000
VDS,20170602,8.85,8.85,8.85,8.85,100
VDS,20170601,8.94,8.94,8.76,8.76,13400
VDS,20170531,8.94,8.94,8.94,8.94,5200
VDS,20170530,8.13,8.94,8.13,8.94,28828
VDS,20170529,9.03,9.03,8.94,8.94,19400
VDS,20170526,8.94,8.94,8.94,8.94,31800
VDS,20170525,8.94,9.03,8.94,8.94,30812
VDS,20170524,8.94,9.03,8.85,9.03,40400
VDS,20170523,9.03,9.03,8.94,8.94,52420
VDS,20170522,9.03,9.03,8.94,9.03,39512
VDS,20170519,9.03,9.12,8.94,8.94,97200
VDS,20170518,9.03,9.12,8.94,8.94,103050
VDS,20170517,9.03,9.03,8.94,9.03,7100
VDS,20170516,9.03,9.03,9.03,9.03,46860
VDS,20170515,8.85,9.03,8.85,8.94,35200
VDS,20170512,8.85,8.94,8.76,8.94,41230
VDS,20170511,8.76,8.76,8.76,8.76,40500
VDS,20170510,8.49,9.03,8.49,8.76,115420
VDS,20170509,8.4,8.58,8.4,8.49,95730
VDS,20170508,8.49,8.49,8.49,8.49,54200
VDS,20170505,8.58,8.58,8.49,8.58,59340
VDS,20170504,8.67,8.67,8.58,8.67,65500
