<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VE2,20180713,,,,11.5,0
VE2,20180712,,,,11.5,0
VE2,20180711,,,,11.5,0
VE2,20180710,,,,11.5,0
VE2,20180709,,,,11.5,0
VE2,20180706,,,,11.5,0
VE2,20180705,,,,11.5,0
VE2,20180704,,,,11.5,0
VE2,20180703,,,,11.5,0
VE2,20180702,,,,11.5,0
VE2,20180629,,,,11.5,0
VE2,20180628,,,,11.5,0
VE2,20180627,,,,11.5,0
VE2,20180626,,,,11.5,0
VE2,20180625,,,,11.5,0
VE2,20180622,,,,11.5,0
VE2,20180621,,,,11.5,0
VE2,20180620,11.5,11.5,11.5,11.5,300
VE2,20180619,,,,11.5,0
VE2,20180618,,,,11.5,0
VE2,20180615,,,,11.5,0
VE2,20180614,,,,11.5,0
VE2,20180613,,,,11.5,0
VE2,20180612,,,,11.5,0
VE2,20180611,10.4,11.5,10.4,11.5,300
VE2,20180608,,,,11.5,0
VE2,20180607,,,,11.5,0
VE2,20180606,,,,11.5,0
VE2,20180605,,,,11.5,0
VE2,20180604,,,,11.5,0
VE2,20180601,,,,11.5,0
VE2,20180531,,,,11.5,0
VE2,20180530,,,,11.5,0
VE2,20180529,,,,11.5,0
VE2,20180528,,,,11.5,0
VE2,20180525,,,,11.5,0
VE2,20180524,,,,11.5,0
VE2,20180523,,,,11.5,0
VE2,20180522,,,,11.5,0
VE2,20180521,11.5,11.5,11.5,11.5,3800
VE2,20180518,,,,11.8,0
VE2,20180517,,,,11.8,0
VE2,20180516,11.8,11.8,11.8,11.8,100
VE2,20180515,11.4,11.4,11.4,11.4,1900
VE2,20180514,,,,11.3,0
VE2,20180511,,,,11.3,0
VE2,20180510,,,,11.3,0
VE2,20180509,,,,11.3,0
VE2,20180508,,,,11.3,0
VE2,20180507,11.3,11.3,11.3,11.3,80
VE2,20180504,,,,11.3,0
VE2,20180503,11.3,11.3,11.3,11.3,300
VE2,20180502,,,,11.4,0
VE2,20180427,,,,11.4,0
VE2,20180426,,,,11.4,0
VE2,20180424,,,,11.4,0
VE2,20180423,,,,11.4,0
VE2,20180420,,,,11.4,0
VE2,20180419,,,,11.4,0
VE2,20180418,,,,11.4,0
VE2,20180417,,,,11.4,0
VE2,20180416,,,,11.4,0
VE2,20180413,,,,11.4,0
VE2,20180412,,,,11.4,0
VE2,20180411,,,,11.4,0
VE2,20180410,,,,11.4,0
VE2,20180409,,,,11.4,0
VE2,20180406,,,,11.4,0
VE2,20180405,,,,11.4,0
VE2,20180404,,,,11.4,0
VE2,20180403,,,,11.4,0
VE2,20180402,,,,11.4,0
VE2,20180330,11.4,11.4,11.4,11.4,900
VE2,20180329,11.4,11.4,11.4,11.4,500
VE2,20180328,,,,11.4,0
VE2,20180327,,,,11.4,0
VE2,20180326,11.4,11.4,11.4,11.4,5600
VE2,20180323,11.4,12.5,11.4,11.4,26700
VE2,20180322,11.4,11.4,11.4,11.4,8700
VE2,20180321,11.4,11.4,11.4,11.4,6400
VE2,20180320,11.4,11.4,11.4,11.4,2400
VE2,20180319,11.4,11.4,11.4,11.4,8900
VE2,20180316,11.4,11.4,11.4,11.4,4200
VE2,20180315,11.4,11.4,11.4,11.4,3600
VE2,20180314,11.4,11.4,11.4,11.4,1700
VE2,20180313,,,,11.4,0
VE2,20180312,,,,11.4,0
VE2,20180309,,,,11.4,0
VE2,20180308,,,,11.4,0
VE2,20180307,,,,11.4,0
VE2,20180306,,,,11.4,0
VE2,20180305,,,,11.4,0
VE2,20180302,,,,11.4,0
VE2,20180301,11.4,11.4,11.4,11.4,6500
VE2,20180228,11.4,11.4,11.4,11.4,4000
VE2,20180227,,,,11.4,0
VE2,20180226,11.4,11.4,11.4,11.4,13200
VE2,20180223,11.4,11.4,11.4,11.4,500
VE2,20180222,11.4,11.4,11.4,11.4,3500
VE2,20180221,,,,11.2,0
