<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VFG,20180713,35.55,38.6,35.5,38.0,940
VFG,20180712,38.0,38.4,38.0,38.0,20
VFG,20180711,38.0,38.45,38.0,38.0,100
VFG,20180710,37.85,37.85,37.8,37.8,1630
VFG,20180709,38.2,38.3,35.5,37.5,2170
VFG,20180706,37.0,38.3,35.9,37.9,530
VFG,20180705,35.55,38.6,35.55,38.6,510
VFG,20180704,38.45,38.45,35.5,38.2,40
VFG,20180703,37.0,38.3,37.0,37.85,150
VFG,20180702,38.6,38.6,34.0,37.0,330
VFG,20180629,38.6,39.9,36.3,36.3,650
VFG,20180628,39.35,39.35,39.0,39.0,120
VFG,20180627,40.9,40.9,37.8,39.45,500
VFG,20180626,40.5,41.5,38.05,39.9,390
VFG,20180625,39.2,39.2,37.5,38.9,440
VFG,20180622,36.15,37.69,36.15,37.23,350
VFG,20180621,38.07,38.07,36.54,36.92,5120
VFG,20180620,38.08,38.08,36.54,36.92,370
VFG,20180619,38.0,38.0,37.61,37.62,1020
VFG,20180618,38.07,38.07,36.54,36.92,6240
VFG,20180615,38.04,38.04,36.84,37.69,80
VFG,20180614,37.69,37.69,36.92,36.92,2900
VFG,20180613,37.31,38.0,37.31,38.0,580
VFG,20180612,36.31,37.31,36.23,37.31,320
VFG,20180611,38.08,38.08,37.47,37.46,60
VFG,20180608,37.61,37.61,36.92,37.62,370
VFG,20180607,37.69,37.69,37.69,37.69,200
VFG,20180606,38.39,38.39,38.27,38.27,20
VFG,20180605,36.92,37.54,36.92,37.54,4470
VFG,20180604,36.92,37.54,36.31,37.54,91670
VFG,20180601,36.23,37.54,36.15,37.54,6610
VFG,20180531,35.77,37.92,35.77,37.69,70
VFG,20180530,37.7,37.93,37.7,37.92,20
VFG,20180529,37.61,37.61,36.92,37.62,96830
VFG,20180528,37.69,37.69,35.66,35.65,5210
VFG,20180525,36.92,38.31,36.92,38.31,36230
VFG,20180524,37.46,37.69,37.39,37.69,20470
VFG,20180523,37.61,37.61,36.54,37.54,33470
VFG,20180522,36.23,37.54,36.23,36.92,24190
VFG,20180521,36.54,38.08,36.16,37.69,39130
VFG,20180518,37.69,38.31,37.0,38.31,1760
VFG,20180517,37.62,38.46,36.92,38.46,65000
VFG,20180516,36.54,36.54,36.54,36.54,6000
VFG,20180515,36.54,36.91,36.17,36.54,26160
VFG,20180514,35.79,36.84,35.79,36.54,12760
VFG,20180511,36.54,36.54,36.54,36.54,60
VFG,20180510,35.79,37.28,35.79,37.21,3140
VFG,20180509,36.23,37.95,36.23,37.28,4440
VFG,20180508,36.46,36.53,35.86,36.16,3090
VFG,20180507,36.54,36.54,35.49,36.16,190200
VFG,20180504,36.53,36.53,35.79,35.79,99550
VFG,20180503,35.41,36.16,35.41,35.64,207170
VFG,20180502,36.2,36.2,35.79,36.16,178620
VFG,20180427,36.68,36.68,35.72,36.16,209010
VFG,20180426,36.76,36.76,35.42,35.79,314600
VFG,20180424,37.06,37.06,35.79,35.79,53070
VFG,20180423,36.76,37.21,36.76,36.76,15210
VFG,20180420,36.16,37.13,36.16,36.91,11100
VFG,20180419,36.77,37.14,35.8,36.16,43610
VFG,20180418,35.05,37.21,35.05,36.02,28210
VFG,20180417,37.21,37.24,35.79,36.54,30350
VFG,20180416,36.91,37.21,36.16,37.17,14430
VFG,20180413,38.03,38.03,36.54,36.76,31830
VFG,20180412,35.12,38.02,34.67,38.03,60430
VFG,20180411,36.54,37.21,35.79,36.16,26540
VFG,20180410,37.28,38.03,34.67,36.76,90090
VFG,20180409,34.31,36.77,34.23,36.76,143470
VFG,20180406,33.86,34.64,33.41,34.38,185410
VFG,20180405,30.57,32.69,30.2,32.7,103930
VFG,20180404,29.83,30.87,28.71,30.57,27920
VFG,20180403,28.41,30.58,27.97,29.83,51310
VFG,20180402,28.71,29.08,28.33,29.01,8010
VFG,20180330,28.71,29.31,28.67,29.08,16470
VFG,20180329,29.08,29.34,28.71,28.71,12720
VFG,20180328,29.38,29.38,28.63,29.08,12400
VFG,20180327,28.3,29.08,28.26,29.08,51970
VFG,20180326,28.59,28.59,27.59,27.59,13080
VFG,20180323,27.59,28.63,27.59,28.11,18780
VFG,20180322,26.92,28.67,26.92,28.67,40410
VFG,20180321,27.22,28.34,26.85,27.22,28140
VFG,20180320,27.21,27.74,26.84,27.63,2570
VFG,20180319,28.26,28.26,26.24,27.81,40310
VFG,20180316,25.87,27.66,25.87,27.66,46080
VFG,20180315,26.39,26.43,25.8,25.87,40370
VFG,20180314,23.87,25.77,23.87,25.76,51950
VFG,20180313,23.86,24.23,23.49,24.09,13440
VFG,20180312,24.83,24.83,23.49,24.01,7910
VFG,20180309,24.38,25.2,23.9,23.9,78310
VFG,20180308,24.23,25.09,24.23,24.83,560
VFG,20180307,25.13,25.13,24.42,24.83,14280
VFG,20180306,25.62,25.62,24.72,24.98,16040
VFG,20180305,24.98,25.35,24.68,25.28,4830
VFG,20180302,24.31,25.36,24.27,25.35,1030
VFG,20180301,25.73,25.73,25.58,25.58,3260
VFG,20180228,25.54,25.72,24.76,25.73,3600
VFG,20180227,26.47,26.47,24.64,25.65,12520
VFG,20180226,27.18,27.18,26.24,26.47,4730
VFG,20180223,26.77,27.22,25.95,26.84,5470
VFG,20180222,26.1,27.22,25.73,26.25,3430
VFG,20180221,26.84,27.51,26.09,26.1,880
VFG,20180213,26.48,26.48,24.61,26.02,8580
VFG,20180212,26.1,26.1,24.61,25.73,2870
VFG,20180209,24.61,25.73,24.61,25.73,1180
VFG,20180208,26.02,26.1,26.02,26.1,50
VFG,20180207,24.01,25.73,24.01,25.35,11470
VFG,20180206,25.35,25.35,24.27,24.31,19160
VFG,20180205,25.39,26.1,24.95,26.06,6540
VFG,20180202,26.29,26.81,25.73,25.73,3480
VFG,20180201,26.06,26.85,26.03,26.81,2150
VFG,20180131,26.7,27.44,26.1,27.37,28770
VFG,20180130,26.77,26.84,26.1,26.1,23520
VFG,20180129,26.02,26.77,25.72,26.77,13910
VFG,20180126,26.84,26.84,25.73,26.06,15090
VFG,20180125,25.91,27.03,25.8,25.8,97300
VFG,20180122,26.84,27.59,26.09,26.1,22580
VFG,20180119,26.69,26.84,25.72,26.84,12300
VFG,20180118,25.8,27.15,25.47,26.69,22120
VFG,20180117,26.73,27.81,26.28,27.37,49790
VFG,20180116,26.92,28.11,26.85,27.96,18350
VFG,20180115,26.62,28.49,26.62,28.15,2670
VFG,20180112,28.11,28.63,27.51,27.93,23390
VFG,20180111,28.33,28.33,27.59,28.11,3110
VFG,20180110,27.89,27.89,26.84,26.99,25960
VFG,20180109,28.71,28.71,27.96,27.96,5250
VFG,20180108,29.38,29.38,27.59,27.96,10960
VFG,20180105,28.78,29.75,27.81,29.45,21730
VFG,20180104,30.13,30.13,28.41,29.75,11680
VFG,20180103,26.62,28.45,26.62,28.41,138310
VFG,20180102,24.98,26.62,24.98,26.62,20670
VFG,20171229,25.13,25.35,24.61,24.98,8840
VFG,20171228,25.36,25.65,24.61,24.98,14950
VFG,20171227,25.35,25.35,24.46,24.61,16360
VFG,20171226,25.21,25.21,24.69,24.68,16940
VFG,20171225,25.73,25.73,24.76,24.76,33440
VFG,20171222,27.67,27.67,25.43,25.43,13120
VFG,20171221,28.33,28.33,27.21,27.22,6520
VFG,20171220,28.71,28.71,27.81,27.81,30610
VFG,20171219,28.11,29.08,28.11,29.08,1670
VFG,20171218,29.83,29.83,27.67,29.3,730
VFG,20171215,29.46,29.46,28.41,28.71,1490
VFG,20171214,29.45,29.45,28.34,28.71,7970
VFG,20171213,30.57,30.57,28.41,28.41,9540
VFG,20171212,29.82,29.82,29.0,29.38,7560
VFG,20171211,30.5,30.5,30.2,30.42,470
VFG,20171208,30.2,31.31,29.08,30.2,1330
VFG,20171207,29.16,31.69,28.71,29.45,16330
VFG,20171206,30.09,30.09,29.46,29.83,15760
VFG,20171205,30.06,30.54,30.06,30.09,15790
VFG,20171204,30.87,30.87,29.98,30.54,27820
VFG,20171201,30.87,30.87,30.12,30.87,12360
VFG,20171130,30.72,30.94,30.2,30.42,22820
VFG,20171129,31.24,31.24,30.57,30.72,4520
VFG,20171128,32.81,32.81,31.17,31.17,16010
VFG,20171127,30.72,33.18,30.72,32.81,11730
VFG,20171124,31.24,31.24,30.68,31.24,3210
VFG,20171123,30.65,31.25,30.35,31.24,11310
VFG,20171122,31.32,31.32,30.95,30.95,5980
VFG,20171121,31.32,31.54,31.25,31.32,7660
VFG,20171120,31.47,31.92,30.58,31.32,17480
VFG,20171117,32.06,32.36,31.47,31.47,7560
VFG,20171116,33.56,33.56,31.21,31.69,87480
VFG,20171115,35.8,35.8,33.11,33.56,21520
VFG,20171114,34.3,34.3,33.41,34.23,19060
VFG,20171113,34.15,35.0,33.55,34.3,13300
VFG,20171110,34.3,36.31,33.93,35.34,129770
VFG,20171109,38.33,38.78,35.79,35.79,4270
VFG,20171108,36.09,37.51,34.67,37.21,2090
VFG,20171107,36.61,38.55,36.09,36.09,31310
VFG,20171106,38.77,38.77,38.77,38.77,360
VFG,20171103,38.77,38.77,38.77,38.77,20
VFG,20171102,37.95,37.95,37.95,37.95,10
VFG,20171101,38.03,38.03,35.79,35.79,13470
VFG,20171031,39.52,39.52,36.91,36.91,26930
VFG,20171030,39.82,39.82,38.77,38.77,105780
VFG,20171027,40.2,40.2,40.05,40.04,70010
VFG,20171026,,,,40.27,0
VFG,20171025,39.52,40.49,38.77,40.27,87760
VFG,20171024,40.49,40.49,40.27,40.49,60900
VFG,20171023,40.26,40.56,39.52,40.49,40580
VFG,20171020,39.52,40.56,38.02,40.56,75130
VFG,20171019,40.56,40.56,40.56,40.56,500
VFG,20171018,41.16,41.16,39.52,40.56,2040
VFG,20171017,39.52,40.57,39.52,40.56,4080
VFG,20171016,39.89,40.64,39.89,40.64,1010
VFG,20171013,40.86,40.86,40.86,40.86,30
VFG,20171012,,,,41.01,0
VFG,20171011,40.72,41.01,40.64,41.01,25000
VFG,20171010,,,,40.79,0
VFG,20171009,,,,40.79,0
VFG,20171006,39.52,40.79,39.52,40.79,26350
VFG,20171005,39.37,40.79,39.37,40.79,30
VFG,20171004,39.97,40.86,39.89,40.79,890
VFG,20171003,39.52,41.31,39.52,41.01,1480
VFG,20171002,41.61,41.61,41.61,41.61,10
VFG,20170929,40.64,42.13,39.15,41.61,26770
VFG,20170928,40.12,40.12,40.12,40.12,1510
VFG,20170927,40.27,40.27,39.52,40.12,6140
VFG,20170926,39.97,41.31,39.9,39.97,2300
VFG,20170925,39.9,41.76,39.15,41.76,19290
VFG,20170922,40.27,40.94,39.97,39.97,10520
VFG,20170921,41.01,41.01,40.26,40.94,6940
VFG,20170920,41.76,41.76,40.34,41.01,21530
VFG,20170919,41.69,41.69,39.9,41.01,3300
VFG,20170918,40.64,41.46,40.42,40.42,2140
VFG,20170915,41.09,42.06,41.01,41.76,8890
VFG,20170914,42.73,42.73,42.73,42.73,20
VFG,20170913,,,,42.13,0
VFG,20170912,43.1,43.1,42.13,42.13,990
VFG,20170911,42.28,42.28,41.46,41.68,1390
VFG,20170908,41.75,42.35,41.75,42.35,650
VFG,20170907,43.25,43.25,41.76,42.35,1500
VFG,20170906,42.8,43.84,41.76,42.43,470
VFG,20170905,42.81,42.81,42.81,42.8,200
VFG,20170901,,,,42.88,0
VFG,20170831,43.63,43.63,42.88,42.88,70
VFG,20170830,42.88,42.88,41.76,42.88,10400
VFG,20170829,43.17,43.17,41.75,42.88,11690
VFG,20170828,43.18,43.18,41.01,43.17,2240
VFG,20170825,43.25,43.25,42.87,43.25,9620
VFG,20170824,44.0,45.12,43.25,43.62,8030
VFG,20170823,43.92,43.92,43.24,43.7,5610
VFG,20170822,44.66,44.66,43.25,43.99,4520
VFG,20170821,42.65,44.97,42.65,42.8,230
VFG,20170818,45.04,45.04,45.04,45.04,80
VFG,20170817,45.49,45.49,44.74,45.49,9190
VFG,20170816,44.66,45.48,44.22,45.49,30200
VFG,20170815,44.14,44.29,41.01,44.29,56790
VFG,20170814,44.51,44.51,41.45,41.46,140
VFG,20170811,43.92,43.99,43.92,43.99,10550
VFG,20170810,43.62,43.99,43.62,43.99,6250
VFG,20170809,44.74,44.74,42.5,43.99,3680
VFG,20170808,43.99,45.03,43.62,44.74,28580
VFG,20170807,42.81,44.0,42.81,43.99,7440
VFG,20170804,41.46,43.02,41.46,43.03,3750
VFG,20170803,43.24,43.99,41.75,43.47,4360
VFG,20170802,40.53,42.73,40.53,42.72,29130
VFG,20170801,42.5,42.5,40.52,40.53,18720
VFG,20170731,42.51,43.24,41.04,42.5,97780
VFG,20170728,39.13,41.04,39.13,41.04,28930
VFG,20170727,38.47,40.3,37.37,39.94,24280
VFG,20170726,37.67,38.84,36.64,38.47,56600
VFG,20170725,38.62,38.62,36.57,37.3,20510
VFG,20170724,37.44,39.2,36.86,36.86,56720
VFG,20170721,37.59,39.57,37.59,39.57,22170
VFG,20170720,40.08,43.16,39.94,39.94,40680
VFG,20170719,46.17,46.17,42.95,42.94,135090
VFG,20170718,46.17,47.79,45.29,46.17,26840
VFG,20170717,43.61,45.22,43.24,45.22,11860
VFG,20170714,39.57,42.28,38.18,42.29,19360
VFG,20170713,38.11,39.72,38.11,39.57,15580
VFG,20170712,38.1,38.84,37.37,38.84,14790
VFG,20170711,38.55,38.84,37.74,38.69,2430
VFG,20170710,39.35,39.57,38.1,38.84,860
VFG,20170707,39.57,39.57,38.18,39.35,17360
VFG,20170706,39.57,40.6,38.84,38.84,2820
VFG,20170705,39.28,39.28,38.84,38.84,620
VFG,20170704,39.42,39.42,38.18,39.28,1300
VFG,20170703,38.11,39.57,38.11,39.57,740
VFG,20170630,39.43,40.16,39.43,40.16,250
VFG,20170629,38.03,38.84,38.03,38.11,1340
VFG,20170628,37.38,38.33,36.79,38.03,4870
VFG,20170627,38.55,38.55,38.11,38.11,30
VFG,20170626,39.21,39.21,37.6,38.55,3420
VFG,20170623,39.43,39.5,37.38,38.77,4620
VFG,20170622,37.23,39.57,37.23,38.77,5300
VFG,20170621,38.77,39.28,37.38,38.18,1680
VFG,20170620,37.59,39.13,37.59,38.77,8290
VFG,20170619,38.32,39.94,38.25,39.35,13290
VFG,20170616,38.11,40.67,38.11,40.01,2740
VFG,20170615,42.45,42.45,37.39,40.16,1930
VFG,20170614,39.86,40.14,39.46,39.74,9100
VFG,20170613,40.02,40.02,39.18,39.97,20020
VFG,20170612,40.59,40.59,39.46,40.25,5450
VFG,20170609,40.59,40.59,39.46,39.46,12820
VFG,20170608,39.85,40.86,39.57,40.59,7500
VFG,20170607,41.15,41.15,40.02,41.09,3520
VFG,20170606,40.59,41.55,39.74,41.43,6890
VFG,20170605,41.94,41.94,39.97,41.66,1870
VFG,20170602,41.99,41.99,39.74,41.94,2070
VFG,20170601,40.02,42.22,40.02,42.22,9090
VFG,20170531,40.81,40.87,39.46,40.02,2040
VFG,20170530,40.36,40.36,39.46,39.46,12790
VFG,20170529,40.25,42.84,40.25,40.64,3490
VFG,20170526,40.02,40.08,39.46,40.08,14800
VFG,20170525,40.13,40.13,36.98,40.08,14740
VFG,20170524,39.97,39.97,38.61,39.74,7460
VFG,20170523,39.91,39.91,38.89,39.46,1560
VFG,20170522,40.07,40.07,39.45,39.74,1420
VFG,20170519,40.02,40.02,38.05,39.68,3330
VFG,20170518,39.74,40.02,38.61,38.61,7380
VFG,20170517,39.52,40.02,39.52,40.02,2380
VFG,20170516,40.3,40.58,40.02,40.08,13930
VFG,20170515,40.58,41.31,40.3,41.26,1990
VFG,20170512,41.49,41.49,40.59,41.37,1270
VFG,20170511,41.15,41.48,40.86,41.49,6720
VFG,20170510,41.15,41.71,41.15,41.71,5120
VFG,20170509,41.71,41.71,41.15,41.71,20510
VFG,20170508,41.15,43.23,41.15,41.71,14190
VFG,20170505,41.94,42.28,41.15,42.22,27680
VFG,20170504,42.28,42.28,41.72,42.28,6460
VFG,20170503,43.63,43.63,42.27,42.73,1350
VFG,20170428,43.11,43.11,41.45,42.5,6320
VFG,20170427,41.45,42.5,41.34,41.45,16550
VFG,20170426,41.17,41.34,41.01,41.34,4370
VFG,20170425,40.9,41.12,40.62,40.95,13920
VFG,20170424,40.62,40.9,40.62,40.9,2490
VFG,20170421,41.17,41.17,40.34,41.12,15020
VFG,20170420,41.39,41.45,40.79,41.17,2840
VFG,20170419,41.45,41.45,40.9,41.45,5380
VFG,20170418,40.96,42.45,40.96,41.45,6470
VFG,20170417,42.56,43.61,42.45,42.45,9130
VFG,20170414,42.22,43.66,42.22,43.28,3150
VFG,20170413,42.72,44.16,42.72,43.66,1480
VFG,20170412,44.77,44.77,42.56,43.66,4180
VFG,20170411,42.28,42.94,42.28,42.56,9190
VFG,20170410,43.66,43.66,41.72,42.28,18470
VFG,20170407,42.99,43.05,41.5,42.94,11190
VFG,20170405,42.55,44.21,42.0,43.05,13310
VFG,20170404,41.18,42.23,40.9,42.0,7860
VFG,20170403,41.18,42.45,40.9,42.34,2050
VFG,20170331,42.66,42.66,40.95,42.45,1090
VFG,20170330,41.56,42.28,41.23,42.0,15810
VFG,20170329,42.51,42.56,41.46,42.28,990
VFG,20170328,42.0,42.5,41.45,42.45,11850
VFG,20170327,41.45,42.0,41.34,42.0,2730
VFG,20170324,42.44,42.44,41.45,41.45,2110
VFG,20170323,41.45,42.56,41.45,42.5,2120
VFG,20170322,43.05,43.05,41.45,42.56,4360
VFG,20170321,43.11,43.11,41.73,42.0,6250
VFG,20170320,43.11,43.11,41.89,42.28,7010
VFG,20170317,42.56,44.21,41.84,41.95,11440
VFG,20170316,43.11,43.11,42.01,42.5,8540
VFG,20170315,43.11,43.28,42.39,42.56,11320
VFG,20170314,43.66,43.66,42.55,43.11,25750
VFG,20170313,45.15,45.15,43.39,43.66,2620
VFG,20170310,43.39,43.67,43.22,43.22,2410
VFG,20170309,42.56,44.77,42.56,43.39,80750
VFG,20170308,42.0,42.0,41.94,41.95,2000
VFG,20170307,42.0,42.0,42.0,42.0,30
VFG,20170306,42.0,42.28,41.45,42.0,14670
VFG,20170303,42.22,42.28,41.5,42.0,5570
VFG,20170302,41.45,42.0,41.17,41.67,6070
VFG,20170301,40.89,41.94,40.89,41.89,4770
VFG,20170228,42.01,42.01,42.01,42.0,30
VFG,20170227,42.28,42.28,40.9,40.9,10740
VFG,20170224,42.55,42.55,42.55,42.56,60
VFG,20170223,42.28,42.45,41.45,41.78,11030
VFG,20170222,41.5,42.33,40.89,42.28,6790
VFG,20170221,42.06,42.5,42.0,42.0,2600
VFG,20170220,42.51,42.56,42.01,42.5,8730
VFG,20170217,42.0,42.33,42.0,42.34,8820
VFG,20170216,42.77,42.77,41.72,42.72,21440
VFG,20170215,42.06,42.83,42.0,42.83,11130
VFG,20170214,42.89,43.11,42.12,42.83,22160
VFG,20170213,42.83,42.83,42.0,42.67,8070
VFG,20170210,43.5,43.5,42.01,43.05,18660
VFG,20170209,42.01,43.06,42.01,42.89,11160
VFG,20170208,43.0,43.11,42.12,43.0,530
VFG,20170207,43.39,43.39,42.0,42.56,10350
VFG,20170206,43.33,43.33,42.01,43.11,19160
VFG,20170203,43.5,43.66,42.28,42.34,810
VFG,20170202,43.66,43.66,42.17,42.17,420
VFG,20170125,43.11,43.55,43.11,43.55,360
VFG,20170124,43.11,43.55,43.11,43.55,2110
VFG,20170123,43.55,43.55,42.0,43.05,2470
VFG,20170120,42.56,43.49,42.0,43.11,2940
VFG,20170119,43.94,43.94,42.01,43.55,16860
VFG,20170118,43.66,43.66,43.11,43.61,500
VFG,20170117,44.16,44.16,42.94,43.99,500
VFG,20170116,42.55,43.66,42.55,43.66,680
VFG,20170113,42.56,43.89,42.56,43.88,230
VFG,20170112,44.05,44.22,42.0,43.83,6670
VFG,20170111,43.38,44.21,43.38,44.16,16780
VFG,20170110,43.11,44.21,43.11,43.55,1720
VFG,20170109,42.0,45.32,42.0,43.66,1540
VFG,20170106,41.84,43.06,40.9,42.5,220
VFG,20170105,41.34,41.73,40.9,41.73,17570
VFG,20170104,41.45,41.45,40.62,41.34,5100
VFG,20170103,43.6,43.66,40.62,42.0,19290
VFG,20161230,42.56,43.11,40.9,42.0,1150
VFG,20161229,43.61,43.61,42.5,42.5,40
VFG,20161228,41.45,42.5,41.45,42.5,3020
VFG,20161227,41.51,43.0,40.9,42.56,10090
VFG,20161226,44.16,44.99,41.45,43.11,3580
VFG,20161223,42.28,42.56,41.01,42.28,2540
VFG,20161222,43.93,43.93,41.45,43.5,2970
VFG,20161221,41.84,41.95,40.9,41.89,3110
VFG,20161220,42.34,42.56,40.4,41.78,1140
VFG,20161219,41.06,42.33,39.74,41.84,27310
VFG,20161216,42.5,42.56,40.62,42.39,1130
VFG,20161215,40.9,43.0,40.63,41.01,5210
VFG,20161214,43.6,43.6,41.45,41.51,3170
VFG,20161213,43.61,43.61,41.45,43.05,350
VFG,20161212,41.46,43.39,41.46,43.33,2040
VFG,20161209,43.38,43.66,42.55,43.39,6520
VFG,20161208,43.11,43.11,41.61,43.05,1060
VFG,20161207,42.0,43.11,41.45,43.05,24160
VFG,20161206,43.66,43.66,42.28,42.28,13970
VFG,20161205,43.66,44.16,43.11,43.66,23310
VFG,20161202,43.66,43.66,43.66,43.66,50
VFG,20161201,43.66,44.1,43.11,43.66,1140
VFG,20161130,42.61,44.16,42.56,44.16,1600
VFG,20161129,44.16,44.16,44.16,44.16,30
VFG,20161128,44.76,44.76,43.38,43.66,3080
VFG,20161125,45.2,45.2,43.66,44.21,1140
VFG,20161124,44.76,44.76,44.21,44.21,100
VFG,20161123,45.2,45.2,43.22,44.21,7830
VFG,20161122,45.27,45.27,44.22,44.21,1510
VFG,20161121,44.76,45.32,44.21,44.77,11640
VFG,20161118,43.83,45.26,43.83,45.26,2040
VFG,20161117,46.42,46.42,45.87,45.87,260
VFG,20161116,46.43,46.43,44.77,46.31,2560
VFG,20161115,46.98,46.98,46.43,46.43,1940
VFG,20161114,45.21,46.92,44.77,46.43,25420
VFG,20161111,44.22,45.32,42.61,44.49,9900
VFG,20161110,44.71,44.71,42.61,44.16,4580
VFG,20161109,43.06,44.16,43.06,44.16,13500
VFG,20161108,40.68,44.16,40.68,43.5,30430
VFG,20161107,42.06,43.49,40.9,43.11,22130
VFG,20161104,44.21,45.32,42.11,43.66,5630
VFG,20161103,44.21,44.21,41.39,44.21,5770
VFG,20161102,44.22,44.27,43.66,44.21,41540
VFG,20161101,45.27,45.32,44.22,44.77,20420
VFG,20161031,46.98,46.98,44.21,44.77,21980
VFG,20161028,44.21,45.81,44.21,44.71,68300
VFG,20161027,44.21,44.76,44.15,44.21,17880
VFG,20161026,44.21,44.76,44.21,44.21,56040
VFG,20161025,44.21,44.49,44.21,44.21,46400
VFG,20161024,45.26,45.26,42.83,44.21,53530
VFG,20161021,44.77,44.77,43.39,44.21,59050
VFG,20161020,45.87,46.97,44.76,44.77,41600
VFG,20161019,48.08,48.08,48.08,48.08,30
VFG,20161018,46.14,47.42,46.14,47.42,1530
VFG,20161017,47.53,47.53,45.87,47.36,2930
VFG,20161014,47.26,47.53,46.43,46.98,5580
VFG,20161013,46.42,46.98,46.42,46.98,4190
VFG,20161012,46.97,47.53,46.42,47.53,1620
VFG,20161011,46.65,48.08,46.48,48.08,970
VFG,20161010,49.13,49.13,47.03,48.69,3690
VFG,20161007,47.59,49.13,46.98,49.13,5010
VFG,20161006,47.59,49.19,46.98,49.19,7030
VFG,20161005,47.26,49.74,46.98,49.19,17970
VFG,20161004,47.53,49.19,47.53,49.19,16200
VFG,20161003,49.74,49.74,48.08,48.08,3040
VFG,20160930,48.64,49.19,47.15,48.91,9210
VFG,20160929,49.19,49.19,49.19,49.19,5070
VFG,20160928,49.74,49.74,49.13,49.74,1500
VFG,20160927,48.91,49.74,48.91,49.19,3210
VFG,20160926,49.63,49.74,48.69,49.19,6400
VFG,20160923,50.57,50.57,48.64,48.69,3790
