<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VHG,20180713,1.12,1.12,1.1,1.11,85790
VHG,20180712,1.11,1.12,1.06,1.11,76420
VHG,20180711,1.11,1.12,1.09,1.11,82810
VHG,20180710,1.14,1.14,1.11,1.12,59410
VHG,20180709,1.11,1.18,1.11,1.15,106630
VHG,20180706,1.13,1.18,1.06,1.15,722700
VHG,20180705,1.2,1.2,1.13,1.13,375310
VHG,20180704,1.19,1.19,1.13,1.18,144620
VHG,20180703,1.21,1.23,1.17,1.19,207730
VHG,20180702,1.27,1.27,1.19,1.23,239560
VHG,20180629,1.26,1.28,1.21,1.26,224610
VHG,20180628,1.29,1.29,1.22,1.26,253950
VHG,20180627,1.3,1.34,1.29,1.29,144040
VHG,20180626,1.3,1.33,1.28,1.3,226210
VHG,20180625,1.35,1.4,1.3,1.34,485490
VHG,20180622,1.32,1.35,1.29,1.35,95600
VHG,20180621,1.32,1.33,1.27,1.33,526700
VHG,20180620,1.34,1.36,1.29,1.32,266270
VHG,20180619,1.32,1.4,1.29,1.33,714180
VHG,20180618,1.35,1.37,1.32,1.32,585640
VHG,20180615,1.33,1.34,1.3,1.34,180650
VHG,20180614,1.3,1.35,1.23,1.33,291300
VHG,20180613,1.27,1.3,1.25,1.27,301160
VHG,20180612,1.38,1.38,1.28,1.28,604410
VHG,20180611,1.35,1.37,1.29,1.31,368130
VHG,20180608,1.33,1.4,1.33,1.37,101240
VHG,20180607,1.43,1.43,1.36,1.37,155720
VHG,20180606,1.31,1.4,1.31,1.4,1323550
VHG,20180605,1.36,1.36,1.29,1.31,188080
VHG,20180604,1.35,1.36,1.31,1.33,225800
VHG,20180601,1.37,1.38,1.32,1.35,206800
VHG,20180531,1.46,1.46,1.33,1.35,294950
VHG,20180530,1.39,1.41,1.32,1.41,3392880
VHG,20180529,1.29,1.32,1.26,1.32,1198960
VHG,20180528,1.22,1.24,1.21,1.24,1126280
VHG,20180525,1.2,1.23,1.16,1.16,369890
VHG,20180524,1.26,1.27,1.18,1.24,256580
VHG,20180523,1.22,1.26,1.2,1.26,69100
VHG,20180522,1.3,1.3,1.2,1.26,855900
VHG,20180521,1.3,1.34,1.28,1.28,77670
VHG,20180518,1.35,1.35,1.29,1.32,126110
VHG,20180517,1.39,1.39,1.32,1.35,169440
VHG,20180516,1.37,1.37,1.27,1.36,350500
VHG,20180515,1.41,1.42,1.32,1.32,1048690
VHG,20180514,1.44,1.45,1.37,1.41,488510
VHG,20180511,1.38,1.4,1.33,1.4,218030
VHG,20180510,1.3,1.35,1.3,1.35,1217430
VHG,20180509,1.29,1.43,1.27,1.27,3091660
VHG,20180508,1.3,1.34,1.27,1.34,1517890
VHG,20180507,1.18,1.26,1.18,1.26,833630
VHG,20180504,1.15,1.18,1.14,1.18,105940
VHG,20180503,1.1,1.21,1.09,1.14,905500
VHG,20180502,1.07,1.14,1.02,1.14,474220
VHG,20180427,1.0,1.07,1.0,1.07,289270
VHG,20180426,1.1,1.1,0.99,1.0,427430
VHG,20180424,1.05,1.08,1.04,1.06,127120
VHG,20180423,1.07,1.14,1.05,1.05,402390
VHG,20180420,1.02,1.13,1.02,1.09,739040
VHG,20180419,1.17,1.17,1.09,1.09,1312340
VHG,20180418,1.22,1.24,1.14,1.17,994190
VHG,20180417,1.19,1.25,1.18,1.19,2130720
VHG,20180416,1.25,1.27,1.25,1.25,3269580
VHG,20180413,1.4,1.4,1.34,1.34,613240
VHG,20180412,1.45,1.48,1.34,1.37,1799440
VHG,20180411,1.35,1.4,1.32,1.4,5247710
VHG,20180410,1.29,1.35,1.27,1.31,2878980
VHG,20180409,1.12,1.27,1.12,1.27,2270080
VHG,20180406,1.23,1.3,1.19,1.19,2367940
VHG,20180405,1.26,1.26,1.18,1.22,702980
VHG,20180404,1.27,1.28,1.22,1.26,470540
VHG,20180403,1.26,1.27,1.2,1.26,821790
VHG,20180402,1.32,1.32,1.24,1.28,3003890
VHG,20180330,1.24,1.24,1.23,1.24,1033000
VHG,20180329,1.07,1.16,1.07,1.16,2105040
VHG,20180328,1.18,1.18,1.09,1.09,870700
VHG,20180327,1.07,1.14,1.07,1.14,2030970
VHG,20180326,1.01,1.1,1.01,1.07,2361660
VHG,20180323,1.02,1.04,1.02,1.03,655330
VHG,20180322,1.07,1.11,1.04,1.04,1020250
VHG,20180321,1.13,1.13,1.07,1.08,312230
VHG,20180320,1.08,1.09,1.05,1.09,1885470
VHG,20180319,1.02,1.09,1.01,1.02,3727930
VHG,20180316,1.03,1.05,1.01,1.02,741420
VHG,20180315,0.99,1.05,0.98,1.04,2039690
VHG,20180314,1.03,1.03,0.99,0.99,972960
VHG,20180313,1.03,1.03,1.0,1.02,260010
VHG,20180312,1.09,1.09,1.01,1.02,1330870
VHG,20180309,1.03,1.09,1.0,1.08,3049820
VHG,20180308,0.97,1.04,0.97,1.02,435250
VHG,20180307,1.06,1.06,1.01,1.01,2335320
