<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VHL,20180713,36.1,36.2,36.1,36.2,1300
VHL,20180712,38.1,38.1,38.1,38.1,2000
VHL,20180711,38.1,38.1,38.1,38.1,124
VHL,20180710,38.1,38.1,38.1,38.1,100
VHL,20180709,38.0,38.0,38.0,38.0,20
VHL,20180706,38.0,38.0,38.0,38.0,500
VHL,20180705,,,,38.7,0
VHL,20180704,38.7,38.7,38.7,38.7,201
VHL,20180703,,,,41.8,0
VHL,20180702,,,,41.8,0
VHL,20180629,38.3,41.8,38.3,41.8,605
VHL,20180628,,,,40.1,0
VHL,20180627,,,,40.1,0
VHL,20180626,40.1,40.2,40.1,40.1,8900
VHL,20180625,44.5,44.5,44.5,44.5,100
VHL,20180622,40.5,40.5,40.5,40.5,1080
VHL,20180621,39.2,39.3,39.2,39.3,1100
VHL,20180620,,,,42.2,0
VHL,20180619,,,,42.2,0
VHL,20180618,,,,42.2,0
VHL,20180615,,,,42.2,0
VHL,20180614,43.0,43.0,42.2,42.2,800
VHL,20180613,,,,43.4,0
VHL,20180612,,,,43.4,0
VHL,20180611,43.4,43.4,43.4,43.4,100
VHL,20180608,,,,42.55,0
VHL,20180607,42.55,42.55,42.55,42.55,260
VHL,20180606,,,,44.35,0
VHL,20180605,,,,44.35,0
VHL,20180604,43.02,44.34,41.6,44.35,300
VHL,20180601,43.4,43.4,43.02,43.02,200
VHL,20180531,44.25,44.25,44.25,44.25,100
VHL,20180530,,,,41.51,0
VHL,20180529,40.66,41.51,40.66,41.51,311
VHL,20180528,40.75,40.75,40.75,40.75,469
VHL,20180525,,,,44.91,0
VHL,20180524,,,,44.91,0
VHL,20180523,,,,44.91,0
VHL,20180522,,,,44.91,0
VHL,20180521,,,,44.91,0
VHL,20180518,,,,44.91,0
VHL,20180517,44.91,44.91,44.91,44.91,10
VHL,20180516,,,,44.91,0
VHL,20180515,,,,44.91,0
VHL,20180514,42.55,44.91,42.55,44.91,2700
VHL,20180511,,,,44.91,0
VHL,20180510,,,,44.91,0
VHL,20180509,,,,44.91,0
VHL,20180508,45.38,45.38,44.91,44.91,200
VHL,20180507,45.95,45.95,45.95,45.95,100
VHL,20180504,44.44,44.44,44.44,44.44,200
VHL,20180503,47.18,47.18,47.18,47.18,100
VHL,20180502,44.44,44.44,44.44,44.44,1400
VHL,20180427,44.44,44.44,44.44,44.44,1915
VHL,20180426,47.08,47.08,47.08,47.09,100
VHL,20180424,44.72,44.72,44.72,44.72,900
VHL,20180423,44.81,44.91,44.72,44.72,10700
VHL,20180420,44.34,44.91,44.25,44.72,6900
VHL,20180419,,,,44.25,0
VHL,20180418,44.25,44.44,44.25,44.25,1000
VHL,20180417,44.25,44.25,44.25,44.25,200
VHL,20180416,,,,44.25,0
VHL,20180413,44.25,44.25,44.25,44.25,20
VHL,20180412,,,,44.25,0
VHL,20180411,,,,44.25,0
