<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VHM,20180713,107.3,111.0,107.3,109.3,57420
VHM,20180712,110.0,110.8,108.0,110.0,113470
VHM,20180711,110.0,111.0,108.0,109.7,86370
VHM,20180710,112.7,112.8,108.5,111.0,298180
VHM,20180709,112.5,113.4,112.5,112.8,134390
VHM,20180706,111.5,113.9,111.5,112.5,497040
VHM,20180705,110.8,115.0,110.8,114.0,1208630
VHM,20180704,102.1,110.8,102.1,110.8,1358170
VHM,20180703,111.3,111.3,103.6,103.6,165430
VHM,20180702,112.5,112.5,110.0,111.3,456190
VHM,20180629,113.0,113.0,108.5,112.4,321730
VHM,20180628,110.0,113.0,108.0,110.0,185920
VHM,20180627,112.5,114.1,110.0,110.0,305740
VHM,20180626,115.5,115.5,114.1,115.0,112440
VHM,20180625,114.2,115.9,114.2,115.5,214260
VHM,20180622,115.0,115.0,114.0,114.2,83230
VHM,20180621,115.0,115.1,114.0,115.0,117280
VHM,20180620,107.1,116.0,107.1,115.0,613980
VHM,20180619,116.5,116.5,114.7,115.0,770730
VHM,20180618,116.5,118.0,116.0,116.5,626280
VHM,20180615,117.7,117.7,116.5,116.5,213150
VHM,20180614,118.0,118.5,116.3,117.0,624230
VHM,20180613,118.0,118.4,117.6,118.0,289590
VHM,20180612,120.0,120.0,117.0,118.0,816310
VHM,20180611,120.8,120.8,119.0,120.0,425790
VHM,20180608,120.0,120.9,117.5,120.0,462940
VHM,20180607,122.0,122.0,111.6,120.0,1167210
VHM,20180606,117.5,120.9,117.0,120.0,712230
VHM,20180605,117.9,119.0,117.0,118.0,1229890
VHM,20180604,116.0,117.9,115.5,117.9,1762630
VHM,20180601,115.1,117.5,114.5,116.5,814870
VHM,20180531,117.0,117.5,115.1,115.1,1178690
VHM,20180530,116.0,117.0,113.0,117.0,2448260
VHM,20180529,117.0,117.2,113.1,116.0,884320
VHM,20180528,111.0,118.0,111.0,117.0,2944740
VHM,20180525,114.8,119.9,114.5,117.5,1749720
VHM,20180524,110.8,114.8,110.1,114.5,1937240
VHM,20180523,114.5,114.5,110.0,110.3,4839580
VHM,20180522,118.2,118.2,118.2,118.2,20
VHM,20180521,,,,110.5,0
VHM,20180518,,,,110.5,0
VHM,20180517,110.5,110.5,110.5,110.5,18000
