<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VIX,20180713,5.7,5.8,5.6,5.8,101900
VIX,20180712,5.7,5.7,5.7,5.7,25000
VIX,20180711,5.8,5.8,5.6,5.8,45700
VIX,20180710,5.8,5.8,5.7,5.8,31336
VIX,20180709,5.8,5.9,5.7,5.8,94200
VIX,20180706,5.8,5.8,5.7,5.8,116719
VIX,20180705,5.9,5.9,5.7,5.8,169649
VIX,20180704,5.6,6.0,5.5,5.8,208500
VIX,20180703,5.9,5.9,5.6,5.6,166800
VIX,20180702,5.9,6.0,5.8,5.9,43700
VIX,20180629,6.0,6.1,6.0,6.0,74800
VIX,20180628,6.0,6.1,6.0,6.1,92100
VIX,20180627,6.1,6.1,6.1,6.1,26850
VIX,20180626,6.1,6.1,6.0,6.0,69800
VIX,20180625,6.1,6.2,6.1,6.2,34800
VIX,20180622,6.0,6.2,6.0,6.2,19100
VIX,20180621,6.2,6.2,6.0,6.1,25100
VIX,20180620,6.0,6.2,6.0,6.1,77894
VIX,20180619,6.1,6.1,5.8,5.9,135955
VIX,20180618,6.3,6.3,6.1,6.2,102800
VIX,20180615,6.3,6.3,6.2,6.3,42620
VIX,20180614,6.3,6.3,6.2,6.3,65004
VIX,20180613,6.4,6.4,6.3,6.3,35025
VIX,20180612,6.3,6.5,6.2,6.4,276951
VIX,20180611,6.3,6.4,6.2,6.3,73730
VIX,20180608,6.3,6.4,6.3,6.4,142898
VIX,20180607,6.3,6.4,6.2,6.2,200600
VIX,20180606,6.2,6.4,6.2,6.4,166990
VIX,20180605,6.4,6.4,6.3,6.4,99835
VIX,20180604,6.5,6.5,6.4,6.5,116610
VIX,20180601,6.1,6.4,6.1,6.4,199170
VIX,20180531,5.8,6.1,5.8,6.0,84335
VIX,20180530,5.9,6.0,5.8,5.8,31486
VIX,20180529,5.5,6.1,5.5,5.9,205810
VIX,20180528,6.1,6.1,5.6,5.7,311041
VIX,20180525,6.3,6.5,5.8,6.2,132317
