<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VLA,20180713,,,,13.4,0
VLA,20180712,,,,13.4,0
VLA,20180711,,,,13.4,0
VLA,20180710,,,,13.4,0
VLA,20180709,,,,13.4,0
VLA,20180706,,,,13.4,0
VLA,20180705,,,,13.4,0
VLA,20180704,,,,13.4,0
VLA,20180703,,,,13.4,0
VLA,20180702,,,,13.4,0
VLA,20180629,,,,13.4,0
VLA,20180628,,,,13.4,0
VLA,20180627,,,,13.4,0
VLA,20180626,,,,13.4,0
VLA,20180625,,,,13.4,0
VLA,20180622,13.4,13.4,13.4,13.4,100
VLA,20180621,,,,13.0,0
VLA,20180620,,,,13.0,0
VLA,20180619,,,,13.0,0
VLA,20180618,,,,13.0,0
VLA,20180615,,,,13.0,0
VLA,20180614,,,,13.0,0
VLA,20180613,,,,13.0,0
VLA,20180612,,,,13.0,0
VLA,20180611,,,,13.0,0
VLA,20180608,,,,13.0,0
VLA,20180607,,,,13.0,0
VLA,20180606,,,,13.0,0
VLA,20180605,,,,13.0,0
VLA,20180604,,,,13.0,0
VLA,20180601,,,,13.0,0
VLA,20180531,,,,13.0,0
VLA,20180530,,,,13.0,0
VLA,20180529,,,,13.0,0
VLA,20180528,,,,13.0,0
VLA,20180525,,,,13.0,0
VLA,20180524,,,,13.0,0
VLA,20180523,,,,13.0,0
VLA,20180522,,,,13.0,0
VLA,20180521,,,,13.0,0
VLA,20180518,,,,13.0,0
VLA,20180517,,,,13.0,0
VLA,20180516,,,,13.0,0
VLA,20180515,,,,13.0,0
VLA,20180514,,,,13.0,0
VLA,20180511,,,,13.0,0
VLA,20180510,,,,13.0,0
VLA,20180509,,,,13.0,0
VLA,20180508,,,,13.0,0
VLA,20180507,,,,13.0,0
VLA,20180504,,,,13.0,0
VLA,20180503,,,,13.0,0
VLA,20180502,13.0,13.0,13.0,13.0,100
VLA,20180427,,,,12.8,0
VLA,20180426,,,,12.8,0
VLA,20180424,,,,12.8,0
VLA,20180423,,,,12.8,0
VLA,20180420,,,,12.8,0
VLA,20180419,,,,12.8,0
VLA,20180418,,,,12.8,0
VLA,20180417,12.8,12.8,12.8,12.8,100
VLA,20180416,,,,12.0,0
VLA,20180413,,,,12.0,0
VLA,20180412,,,,12.0,0
VLA,20180411,,,,12.0,0
VLA,20180410,,,,12.0,0
VLA,20180409,12.0,12.0,12.0,12.0,200
VLA,20180406,,,,12.8,0
VLA,20180405,,,,12.8,0
VLA,20180404,12.8,12.8,12.8,12.8,200
VLA,20180403,,,,11.7,0
VLA,20180402,,,,11.7,0
VLA,20180330,,,,11.7,0
VLA,20180329,,,,11.7,0
VLA,20180328,,,,11.7,0
VLA,20180327,,,,11.7,0
VLA,20180326,,,,11.7,0
VLA,20180323,,,,11.7,0
VLA,20180322,,,,11.7,0
VLA,20180321,,,,11.7,0
VLA,20180320,,,,11.7,0
VLA,20180319,,,,11.7,0
VLA,20180316,11.7,11.7,11.7,11.7,100
VLA,20180315,,,,10.7,0
VLA,20180314,,,,10.7,0
VLA,20180313,,,,10.7,0
VLA,20180312,,,,10.7,0
VLA,20180309,,,,10.7,0
VLA,20180308,,,,10.7,0
VLA,20180307,10.7,10.7,10.7,10.7,500
VLA,20180306,,,,10.7,0
VLA,20180305,10.7,10.7,10.7,10.7,200
VLA,20180302,,,,10.7,0
VLA,20180301,10.7,10.7,10.7,10.7,200
VLA,20180228,,,,10.3,0
VLA,20180227,,,,10.3,0
VLA,20180226,,,,10.3,0
VLA,20180223,,,,10.3,0
VLA,20180222,,,,10.3,0
VLA,20180221,,,,10.3,0
VLA,20180213,,,,10.3,0
VLA,20180212,,,,10.3,0
VLA,20180209,,,,10.3,0
VLA,20180208,10.3,10.3,10.3,10.3,200
VLA,20180207,10.3,10.3,10.3,10.3,100
VLA,20180206,9.3,11.0,9.3,10.2,500
VLA,20180205,12.4,12.4,10.3,10.3,300
VLA,20180202,12.9,12.9,11.3,11.3,900
VLA,20180201,11.8,11.8,11.8,11.8,200
VLA,20180131,10.8,10.8,10.8,10.8,300
VLA,20180130,,,,10.7,0
VLA,20180129,,,,10.7,0
VLA,20180126,12.4,12.4,10.7,10.7,200
VLA,20180125,11.3,11.3,11.3,11.3,100
VLA,20180122,12.5,12.5,12.5,12.5,200
VLA,20180119,11.4,11.4,11.4,11.4,100
VLA,20180118,,,,12.6,0
VLA,20180117,14.0,14.0,12.6,12.6,14600
VLA,20180116,,,,14.0,0
VLA,20180115,,,,14.0,0
VLA,20180112,,,,14.0,0
VLA,20180111,14.4,14.4,14.0,14.0,4500
VLA,20180110,,,,15.5,0
VLA,20180109,,,,15.5,0
VLA,20180108,,,,15.5,0
VLA,20180105,15.5,15.5,15.5,15.5,1000
VLA,20180104,15.5,15.5,15.5,15.5,200
VLA,20180103,,,,16.0,0
VLA,20180102,,,,16.0,0
VLA,20171229,16.0,16.0,16.0,16.0,1200
VLA,20171228,,,,14.8,0
VLA,20171227,14.8,14.8,14.8,14.8,100
VLA,20171226,13.6,13.6,13.6,13.6,100
VLA,20171225,15.0,15.0,15.0,15.0,100
VLA,20171222,13.8,13.8,13.8,13.8,200
VLA,20171221,12.7,12.7,12.7,12.7,200
VLA,20171220,13.6,13.6,13.6,13.6,300
VLA,20171219,13.8,13.8,12.6,12.6,200
VLA,20171218,12.7,12.7,12.7,12.7,100
VLA,20171215,14.1,14.1,13.0,14.1,400
VLA,20171214,13.0,13.0,13.0,13.0,2100
VLA,20171213,12.5,12.5,12.5,12.5,100
VLA,20171212,,,,13.7,0
VLA,20171211,13.0,13.7,13.0,13.7,300
VLA,20171208,,,,13.8,0
VLA,20171207,13.8,13.8,13.8,13.8,1100
VLA,20171206,12.7,12.7,12.7,12.7,100
VLA,20171205,12.7,12.7,11.6,11.6,200
VLA,20171204,12.7,12.7,12.7,12.7,1400
VLA,20171201,,,,12.7,0
VLA,20171130,,,,12.7,0
VLA,20171129,,,,12.7,0
VLA,20171128,12.5,12.7,12.5,12.7,5100
VLA,20171127,12.7,12.7,11.8,11.8,1200
VLA,20171124,12.0,12.0,12.0,12.0,500
VLA,20171123,,,,12.7,0
VLA,20171122,12.5,12.7,12.5,12.7,9300
VLA,20171121,12.6,12.7,12.6,12.7,31100
VLA,20171120,,,,12.7,0
VLA,20171117,,,,12.7,0
VLA,20171116,,,,12.7,0
VLA,20171115,12.5,12.7,12.5,12.7,17100
VLA,20171114,,,,12.5,0
VLA,20171113,12.5,12.5,12.5,12.5,600
VLA,20171110,,,,12.6,0
VLA,20171109,,,,12.6,0
VLA,20171108,12.6,12.6,12.6,12.6,19800
VLA,20171107,12.6,12.6,12.6,12.6,23700
VLA,20171106,,,,12.5,0
VLA,20171103,12.5,12.5,12.5,12.5,6000
VLA,20171102,12.6,12.6,12.6,12.6,100
VLA,20171101,12.6,12.6,12.6,12.6,8100
VLA,20171031,12.5,12.6,12.5,12.6,61700
VLA,20171030,12.6,12.6,12.6,12.6,6000
VLA,20171027,,,,12.6,0
VLA,20171026,12.6,12.6,12.6,12.6,10500
VLA,20171025,12.2,12.6,12.2,12.6,31700
VLA,20171024,,,,12.5,0
VLA,20171023,,,,12.5,0
VLA,20171020,12.5,12.5,12.5,12.5,4500
VLA,20171019,12.5,12.5,12.5,12.5,27500
VLA,20171018,12.5,12.5,12.5,12.5,10000
VLA,20171017,12.6,12.6,12.2,12.2,20300
VLA,20171016,12.4,12.4,12.4,12.4,23100
VLA,20171013,12.5,12.5,12.5,12.5,100
VLA,20171012,12.0,12.0,12.0,12.0,2000
VLA,20171011,11.9,12.6,11.9,12.6,23100
VLA,20171010,12.5,13.2,11.5,13.2,18500
VLA,20171009,11.5,12.4,11.4,12.4,4400
VLA,20171006,11.8,12.6,11.5,12.6,6500
VLA,20171005,,,,12.7,0
VLA,20171004,12.5,13.8,12.5,12.7,3500
VLA,20171003,11.4,12.7,11.4,12.7,18200
VLA,20171002,,,,11.7,0
VLA,20170929,11.5,11.7,11.4,11.7,300
VLA,20170928,12.7,12.7,11.3,11.9,1800
