<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VMC,20180713,35.2,36.0,35.1,35.2,2700
VMC,20180712,35.9,36.0,35.0,35.1,19300
VMC,20180711,34.6,34.6,34.6,34.6,800
VMC,20180710,34.6,34.6,34.6,34.6,500
VMC,20180709,35.4,35.4,35.2,35.2,6100
VMC,20180706,35.0,36.0,35.0,35.3,15510
VMC,20180705,35.0,35.1,35.0,35.0,14000
VMC,20180704,35.0,35.0,34.5,34.5,9500
VMC,20180703,35.0,35.0,34.5,34.5,7013
VMC,20180702,34.0,35.0,33.5,35.0,16500
VMC,20180629,34.0,34.0,34.0,34.0,400
VMC,20180628,34.7,35.2,34.7,35.0,7780
VMC,20180627,34.7,34.7,34.7,34.7,200
VMC,20180626,34.6,35.0,34.5,35.0,6100
VMC,20180625,35.0,35.0,35.0,35.0,1193
VMC,20180622,35.0,35.0,34.3,35.0,1220
VMC,20180621,35.0,35.0,33.7,33.7,2400
VMC,20180620,33.7,33.7,33.7,33.7,200
VMC,20180619,35.5,36.0,32.4,33.3,27010
VMC,20180618,36.1,36.1,36.0,36.0,500
VMC,20180615,36.2,36.3,36.1,36.1,3220
VMC,20180614,36.0,38.0,36.0,36.1,58000
VMC,20180613,36.1,36.1,36.0,36.1,4620
VMC,20180612,36.0,36.5,36.0,36.5,19800
VMC,20180611,36.8,37.0,36.2,36.2,8200
VMC,20180608,36.0,37.0,36.0,36.1,10901
VMC,20180607,36.0,36.5,36.0,36.1,11820
VMC,20180606,34.7,37.0,34.5,36.1,54905
VMC,20180605,35.5,35.5,34.6,34.6,12300
VMC,20180604,35.0,35.5,35.0,35.1,15386
VMC,20180601,35.5,35.5,34.8,35.0,39800
VMC,20180531,36.8,36.8,35.4,35.5,3005
VMC,20180530,36.0,36.5,35.5,36.0,21110
VMC,20180529,35.0,37.0,35.0,35.5,26400
VMC,20180528,36.0,36.0,34.0,35.2,27020
VMC,20180525,35.0,36.0,34.8,36.0,15227
VMC,20180524,34.8,34.8,34.0,34.3,1610
VMC,20180523,33.3,33.6,33.3,33.6,37910
VMC,20180522,37.0,37.0,33.3,33.3,45186
VMC,20180521,37.6,39.6,37.0,37.0,16031
VMC,20180518,41.4,41.8,37.7,39.9,33200
VMC,20180517,42.37,42.37,41.48,41.8,38869
VMC,20180516,41.56,42.77,41.4,42.29,74820
VMC,20180515,41.56,41.56,41.08,41.4,45654
VMC,20180514,41.15,41.56,40.59,41.16,11600
VMC,20180511,41.24,41.32,40.84,40.83,17433
VMC,20180510,41.32,41.56,40.84,41.16,18900
VMC,20180509,40.35,41.8,40.35,41.16,45210
VMC,20180508,41.16,41.16,39.55,40.35,41011
VMC,20180507,41.96,41.96,41.15,41.16,12284
VMC,20180504,41.96,42.36,41.56,41.8,24031
VMC,20180503,43.58,44.38,41.15,41.8,47400
VMC,20180502,42.36,42.76,41.07,41.8,116511
VMC,20180427,39.22,41.08,39.14,41.07,7800
VMC,20180426,41.88,41.96,39.95,40.19,7951
VMC,20180424,38.81,41.47,38.81,41.48,11100
VMC,20180423,40.76,40.76,38.74,38.73,6261
VMC,20180420,40.43,42.37,40.35,42.37,35350
VMC,20180419,40.43,41.56,40.35,41.56,15071
VMC,20180418,41.56,43.82,41.56,42.37,6920
VMC,20180417,41.4,41.56,40.43,40.51,23410
VMC,20180416,41.07,41.96,40.83,41.16,13000
VMC,20180413,40.43,41.08,40.35,41.07,3544
VMC,20180412,41.16,41.4,40.35,41.16,3961
VMC,20180411,40.75,41.8,40.51,41.4,2300
VMC,20180410,40.51,42.6,40.51,41.8,4174
VMC,20180409,40.75,42.12,40.75,42.04,68390
VMC,20180406,40.27,40.75,40.27,40.75,14070
VMC,20180405,40.35,40.35,39.54,40.35,9050
VMC,20180404,40.35,41.07,40.35,40.35,17148
VMC,20180403,40.35,41.56,39.3,40.75,12660
VMC,20180402,40.84,41.16,40.35,41.16,47937
VMC,20180330,41.88,41.88,40.99,41.16,6200
VMC,20180329,41.72,41.96,41.64,41.8,3220
VMC,20180328,42.69,42.77,41.64,41.64,20110
VMC,20180327,42.77,42.77,41.97,42.04,14450
VMC,20180326,41.16,43.98,40.67,42.45,38300
VMC,20180323,41.97,41.97,40.84,41.32,41030
VMC,20180322,43.49,43.49,42.2,42.37,36440
VMC,20180321,42.36,43.57,41.15,41.96,92767
VMC,20180320,44.38,44.38,40.83,41.07,82373
VMC,20180319,40.43,40.75,40.35,40.35,12340
VMC,20180316,41.56,41.56,40.35,40.35,17850
VMC,20180315,39.54,41.96,39.54,41.96,75100
VMC,20180314,39.3,39.3,38.74,39.14,11160
VMC,20180313,39.14,39.54,39.14,39.3,34740
VMC,20180312,38.74,39.55,38.42,39.14,20170
VMC,20180309,37.28,39.54,37.2,38.9,29530
VMC,20180308,37.12,37.44,36.64,37.2,21600
VMC,20180307,37.93,37.93,36.64,37.12,36262
VMC,20180306,37.28,37.36,36.31,37.12,56394
VMC,20180305,38.33,38.33,37.28,37.36,12800
VMC,20180302,37.93,38.74,37.61,38.33,24544
VMC,20180301,40.51,40.51,37.93,37.93,40314
VMC,20180228,42.77,42.77,40.51,40.51,26300
