<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VMI,20180713,2.5,2.5,2.5,2.5,100
VMI,20180712,2.4,2.5,2.4,2.5,1100
VMI,20180711,2.6,2.6,2.4,2.4,19100
VMI,20180710,2.4,2.5,2.4,2.4,8800
VMI,20180709,2.6,2.6,2.3,2.3,5515
VMI,20180706,2.6,2.6,2.4,2.4,5900
VMI,20180705,2.6,2.6,2.5,2.6,8400
VMI,20180704,2.6,2.6,2.6,2.6,2700
VMI,20180703,2.6,2.6,2.5,2.6,12700
VMI,20180702,2.6,2.6,2.5,2.6,10500
VMI,20180629,2.6,2.7,2.6,2.7,1600
VMI,20180628,2.6,2.7,2.6,2.7,10100
VMI,20180627,2.7,2.7,2.6,2.7,3201
VMI,20180626,2.6,2.6,2.6,2.6,21500
VMI,20180625,2.8,2.8,2.6,2.8,70100
VMI,20180622,3.0,3.0,2.7,2.8,12200
VMI,20180621,2.7,2.8,2.6,2.8,31900
VMI,20180620,2.8,2.8,2.7,2.8,13400
VMI,20180619,2.8,2.8,2.7,2.8,14010
VMI,20180618,2.7,2.9,2.7,2.8,46500
VMI,20180615,2.8,2.8,2.7,2.8,86600
VMI,20180614,2.7,2.8,2.7,2.7,279810
VMI,20180613,2.7,2.7,2.7,2.7,1000
VMI,20180612,2.6,2.9,2.6,2.7,52100
VMI,20180611,2.6,2.7,2.6,2.7,54500
VMI,20180608,2.6,2.7,2.6,2.7,37500
VMI,20180607,2.6,2.7,2.6,2.6,26627
VMI,20180606,2.6,2.7,2.5,2.7,288100
VMI,20180605,2.6,2.8,2.6,2.7,50100
VMI,20180604,2.5,2.6,2.5,2.6,86700
VMI,20180601,2.5,2.6,2.5,2.6,330700
VMI,20180531,2.3,2.4,2.3,2.4,26300
VMI,20180530,2.5,2.5,2.2,2.2,9300
VMI,20180529,2.4,2.4,2.3,2.3,46400
VMI,20180528,2.4,2.5,2.3,2.4,67900
VMI,20180525,2.4,2.4,2.4,2.4,63200
VMI,20180524,2.6,2.6,2.6,2.6,100
VMI,20180523,2.5,2.5,2.5,2.5,10000
VMI,20180522,2.5,2.6,2.5,2.5,35200
VMI,20180521,2.5,2.7,2.5,2.7,33800
VMI,20180518,2.6,2.7,2.6,2.7,300
VMI,20180517,2.5,2.5,2.5,2.5,600
VMI,20180516,2.6,2.6,2.6,2.6,30500
VMI,20180515,2.6,2.6,2.6,2.6,5100
VMI,20180514,2.6,2.7,2.6,2.7,10400
VMI,20180511,2.5,2.6,2.5,2.6,6300
VMI,20180510,,,,2.7,0
VMI,20180509,2.5,2.7,2.5,2.7,9300
VMI,20180508,2.6,2.7,2.5,2.6,12500
VMI,20180507,2.7,2.7,2.6,2.6,600
VMI,20180504,2.7,2.7,2.4,2.7,2900
VMI,20180503,2.7,2.7,2.5,2.6,2900
VMI,20180502,2.9,2.9,2.7,2.7,82700
VMI,20180427,2.8,2.9,2.8,2.9,10200
VMI,20180426,2.9,2.9,2.7,2.9,88000
VMI,20180424,2.8,2.8,2.7,2.8,47310
VMI,20180423,2.9,2.9,2.8,2.9,54900
VMI,20180420,2.8,2.9,2.8,2.9,36500
VMI,20180419,2.9,3.0,2.8,2.9,23500
VMI,20180418,2.9,2.9,2.8,2.9,37400
VMI,20180417,2.8,2.9,2.8,2.9,40000
VMI,20180416,2.8,2.9,2.8,2.9,600
VMI,20180413,,,,2.9,0
VMI,20180412,2.8,2.9,2.8,2.9,50100
VMI,20180411,2.8,3.0,2.8,3.0,33100
VMI,20180410,2.9,3.0,2.8,2.9,44976
VMI,20180409,2.8,3.0,2.8,3.0,17600
VMI,20180406,2.8,2.9,2.8,2.9,10114
VMI,20180405,2.7,2.9,2.7,2.7,12400
VMI,20180404,2.8,2.9,2.7,2.8,3700
VMI,20180403,2.9,3.0,2.8,3.0,7290
VMI,20180402,2.8,2.9,2.7,2.9,18900
VMI,20180330,2.9,2.9,2.9,2.9,2900
VMI,20180329,2.9,2.9,2.9,2.9,16400
VMI,20180328,2.9,3.0,2.8,3.0,29900
VMI,20180327,2.9,3.0,2.7,2.9,17800
VMI,20180326,,,,3.0,0
VMI,20180323,,,,3.0,0
VMI,20180322,2.9,3.0,2.9,3.0,24200
VMI,20180321,3.0,3.0,2.9,3.0,8712
VMI,20180320,3.0,3.1,2.9,3.1,68300
VMI,20180319,2.9,3.0,2.8,3.0,6400
VMI,20180316,2.9,2.9,2.9,2.9,5100
VMI,20180315,2.9,2.9,2.9,2.9,22200
VMI,20180314,3.0,3.0,2.9,3.0,16800
VMI,20180313,3.0,3.0,3.0,3.0,5100
VMI,20180312,3.0,3.1,2.8,2.9,84900
VMI,20180309,3.0,3.1,3.0,3.1,19200
VMI,20180308,3.2,3.3,3.1,3.1,23800
VMI,20180307,3.1,3.1,3.0,3.1,5200
VMI,20180306,3.0,3.1,3.0,3.0,48686
VMI,20180305,3.0,3.0,2.9,3.0,17600
VMI,20180302,3.0,3.0,3.0,3.0,5000
VMI,20180301,3.0,3.1,3.0,3.1,12800
