<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VMS,20180713,,,,10.6,0
VMS,20180712,,,,10.6,0
VMS,20180711,10.6,10.6,10.6,10.6,100
VMS,20180710,,,,9.7,0
VMS,20180709,,,,9.7,0
VMS,20180706,9.7,9.7,9.7,9.7,100
VMS,20180705,,,,10.7,0
VMS,20180704,,,,10.7,0
VMS,20180703,,,,10.7,0
VMS,20180702,,,,10.7,0
VMS,20180629,10.7,10.7,10.7,10.7,100
VMS,20180628,,,,9.8,0
VMS,20180627,,,,9.8,0
VMS,20180626,,,,9.8,0
VMS,20180625,9.8,9.8,9.8,9.8,3000
VMS,20180622,,,,10.8,0
VMS,20180621,,,,10.8,0
VMS,20180620,10.8,10.8,10.8,10.8,100
VMS,20180619,,,,9.9,0
VMS,20180618,9.9,9.9,9.9,9.9,2000
VMS,20180615,11.0,11.0,10.6,11.0,11400
VMS,20180614,11.7,11.7,11.7,11.7,10
VMS,20180613,,,,11.7,0
VMS,20180612,11.7,11.7,11.7,11.7,100
VMS,20180611,,,,13.0,0
VMS,20180608,13.0,13.0,13.0,13.0,5
VMS,20180607,13.0,13.0,13.0,13.0,100
VMS,20180606,,,,14.4,0
VMS,20180605,,,,14.4,0
VMS,20180604,,,,14.4,0
VMS,20180601,,,,14.4,0
VMS,20180531,,,,14.4,0
VMS,20180530,,,,14.4,0
VMS,20180529,,,,14.4,0
VMS,20180528,,,,14.4,0
VMS,20180525,,,,14.4,0
VMS,20180524,,,,14.4,0
VMS,20180523,,,,14.4,0
VMS,20180522,,,,14.4,0
VMS,20180521,,,,14.4,0
VMS,20180518,14.4,14.4,14.4,14.4,100
VMS,20180517,13.1,13.1,13.1,13.1,100
VMS,20180516,,,,12.0,0
VMS,20180515,12.0,12.0,12.0,12.0,100
VMS,20180514,,,,12.5,0
VMS,20180511,,,,12.5,0
VMS,20180510,,,,12.5,0
VMS,20180509,,,,12.5,0
VMS,20180508,,,,12.5,0
