<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,20180713,16.8,16.85,16.2,16.65,532350
VND,20180712,16.4,16.5,15.65,16.4,734800
VND,20180711,16.4,16.6,15.9,16.0,939850
VND,20180710,16.5,17.45,16.5,17.0,1135130
VND,20180709,17.3,17.6,16.5,16.85,1784260
VND,20180706,15.7,17.1,15.7,17.1,1745570
VND,20180705,15.85,16.1,15.5,16.0,1545630
VND,20180704,15.4,16.25,14.9,16.05,2299690
VND,20180703,16.5,16.65,15.4,15.4,1601900
VND,20180702,16.8,17.3,16.15,16.5,1111930
VND,20180629,17.45,17.65,16.8,17.35,1124810
VND,20180628,17.6,18.0,17.0,17.1,1665820
VND,20180627,18.9,18.9,18.0,18.0,1093980
VND,20180626,18.8,18.9,18.4,18.8,848500
VND,20180625,19.45,19.45,19.05,19.2,665760
VND,20180622,18.85,19.05,18.45,18.9,1479070
VND,20180621,19.1,19.5,18.9,19.0,859260
VND,20180620,19.0,19.4,18.55,19.2,5598550
VND,20180619,18.9,19.4,18.05,18.6,3472140
VND,20180618,20.7,20.8,19.2,19.4,1134910
VND,20180615,20.1,20.5,19.6,20.5,1227460
VND,20180614,21.4,21.95,20.2,20.2,1761560
VND,20180613,21.0,21.45,21.0,21.45,715880
VND,20180612,21.55,21.7,20.8,21.0,2306160
VND,20180611,21.5,22.6,21.1,22.0,1120760
VND,20180608,21.05,22.0,21.0,22.0,1509800
VND,20180607,22.45,22.45,21.35,21.35,2389120
VND,20180606,21.6,22.45,21.5,22.45,3191750
VND,20180605,19.8,21.0,19.65,21.0,3842550
VND,20180604,19.1,19.9,18.8,19.65,2725630
VND,20180601,19.2,19.7,18.95,19.1,1563030
VND,20180531,17.9,19.35,17.9,19.2,2775970
VND,20180530,19.0,19.2,18.4,18.55,759820
VND,20180529,17.6,19.15,17.6,19.15,1535350
VND,20180528,18.1,19.1,17.9,17.9,2010290
VND,20180525,20.1,20.45,19.1,19.2,1395460
VND,20180524,21.0,21.4,20.1,20.5,1553540
VND,20180523,20.0,21.4,19.0,21.4,2054330
VND,20180522,21.0,21.4,20.0,20.0,2487610
VND,20180521,22.5,22.5,21.5,21.5,862490
VND,20180518,22.5,22.8,21.65,22.25,1261480
VND,20180517,23.0,23.2,22.8,22.9,1451740
VND,20180516,22.0,22.8,21.0,22.55,1672930
VND,20180515,23.1,23.35,22.1,22.1,3451020
VND,20180514,24.0,24.9,23.55,23.55,2430770
VND,20180511,22.0,25.3,22.0,25.3,2888280
VND,20180510,23.65,25.0,23.65,23.65,7057690
VND,20180509,27.5,27.5,25.4,25.4,3388590
VND,20180508,27.45,27.69,26.82,27.3,1088440
VND,20180507,26.14,27.44,25.17,27.45,1104670
VND,20180504,26.53,26.72,25.75,25.85,1005460
VND,20180503,25.08,26.19,24.4,26.14,1389550
VND,20180502,26.53,26.92,24.89,25.27,1232670
VND,20180427,23.63,26.24,23.63,26.24,1812650
VND,20180426,26.04,26.14,24.55,24.55,2334780
VND,20180424,27.25,27.93,26.38,26.38,2445240
VND,20180423,30.38,30.38,28.36,28.36,2464590
VND,20180420,30.09,30.77,29.52,30.48,887180
VND,20180419,30.97,31.16,29.42,30.48,2133990
VND,20180418,31.93,32.46,31.16,31.16,1603560
VND,20180417,31.83,32.31,31.44,31.93,1307860
VND,20180416,31.64,32.32,30.87,31.83,942970
VND,20180413,32.75,33.0,31.55,32.03,1210560
VND,20180412,31.35,32.32,30.48,32.32,1522570
VND,20180411,32.51,32.89,31.25,31.64,2303750
VND,20180410,33.19,33.19,32.37,32.46,2593060
VND,20180409,31.83,32.8,31.35,32.8,2422270
VND,20180406,30.1,31.6,29.91,31.4,2301660
VND,20180405,29.81,30.1,29.33,30.1,2145760
VND,20180404,30.67,30.87,29.47,29.81,2649810
VND,20180403,28.51,30.44,28.51,30.19,2845070
VND,20180402,28.07,28.74,28.07,28.51,2141980
VND,20180330,27.98,28.46,27.74,28.02,1688000
VND,20180329,27.5,27.98,27.25,27.98,1294580
VND,20180328,26.77,27.64,26.62,27.64,1429910
VND,20180327,27.54,27.54,26.77,27.01,2589800
VND,20180326,25.95,27.49,25.85,27.49,1481870
VND,20180323,25.38,26.24,25.38,25.95,2287250
VND,20180322,27.79,27.79,25.86,26.63,5618480
VND,20180321,28.12,28.36,27.59,27.69,1491440
VND,20180320,27.98,28.65,27.98,28.02,1360430
VND,20180319,28.65,28.84,28.12,28.46,1526710
VND,20180316,28.17,28.46,27.88,28.12,2808720
VND,20180315,27.35,28.17,27.21,28.17,1905300
VND,20180314,26.91,27.59,26.91,27.35,2095390
VND,20180313,26.34,26.48,25.95,26.43,850470
VND,20180312,26.82,26.82,25.95,26.05,948240
VND,20180309,27.01,27.3,26.43,26.53,1459510
VND,20180308,26.53,26.92,26.14,26.48,830950
VND,20180307,25.95,27.16,25.85,26.53,3765060
VND,20180306,24.41,25.42,23.83,25.42,1450870
VND,20180305,25.85,25.95,23.78,23.78,2011650
VND,20180302,25.08,25.81,25.08,25.56,1360260
VND,20180301,25.66,26.43,25.08,25.76,1876060
VND,20180228,24.69,26.72,24.4,26.24,1646510
VND,20180227,24.6,25.08,24.07,25.08,3592350
VND,20180226,22.62,23.78,22.62,23.44,3895800
VND,20180223,22.18,22.33,21.59,22.29,1553330
VND,20180222,22.33,22.59,21.73,21.96,1245400
VND,20180221,22.33,22.81,22.22,22.66,1377960
