<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VNR,20180713,23.0,23.2,23.0,23.2,1300
VNR,20180712,22.6,23.4,22.6,23.4,300
VNR,20180711,22.6,22.6,22.6,22.6,1300
VNR,20180710,22.7,22.7,22.7,22.7,70
VNR,20180709,23.4,23.4,22.7,22.7,300
VNR,20180706,,,,22.8,0
VNR,20180705,22.0,22.8,22.0,22.8,4000
VNR,20180704,22.2,22.2,22.2,22.2,500
VNR,20180703,23.0,23.0,22.9,23.0,5800
VNR,20180702,25.3,25.3,23.2,23.2,4000
VNR,20180629,23.2,25.5,23.1,25.5,30475
VNR,20180628,25.0,25.0,25.0,25.0,12200
VNR,20180627,22.8,23.0,22.8,23.0,14200
VNR,20180626,22.7,22.9,22.7,22.9,800
VNR,20180625,22.9,22.9,22.9,22.9,3000
VNR,20180622,22.9,23.0,22.9,23.0,2500
VNR,20180621,22.1,23.0,22.0,23.0,7900
VNR,20180620,21.6,23.8,21.6,23.8,7805
VNR,20180619,23.0,23.0,22.2,22.2,10100
VNR,20180618,,,,23.4,0
VNR,20180615,23.0,23.4,23.0,23.4,7300
VNR,20180614,23.0,23.1,23.0,23.1,5500
VNR,20180613,23.0,23.0,23.0,23.0,16000
VNR,20180612,23.0,23.5,23.0,23.5,1200
VNR,20180611,,,,23.7,0
VNR,20180608,23.7,23.7,23.7,23.7,30
VNR,20180607,23.7,23.7,23.7,23.7,190
VNR,20180606,23.1,23.1,23.0,23.0,4103
VNR,20180605,23.1,23.1,23.1,23.1,100
VNR,20180604,24.0,24.0,24.0,24.0,100
VNR,20180601,24.9,25.0,24.0,24.0,5900
VNR,20180531,22.82,24.8,22.82,24.8,226000
VNR,20180530,22.82,22.92,22.82,22.82,91000
VNR,20180529,22.82,22.92,22.82,22.82,133000
VNR,20180528,22.82,22.82,22.82,22.82,52000
VNR,20180525,22.81,22.81,22.81,22.82,6000
VNR,20180524,23.02,23.02,22.82,23.01,19000
VNR,20180523,23.01,23.01,22.81,22.82,602
VNR,20180522,22.92,23.12,21.83,23.11,60200
VNR,20180521,22.91,22.91,22.82,22.82,23230
VNR,20180518,22.82,23.51,22.82,23.51,26100
VNR,20180517,,,,23.51,0
VNR,20180516,23.51,23.51,23.51,23.51,10100
VNR,20180515,22.81,23.51,22.81,23.51,12100
VNR,20180514,22.82,23.12,22.82,23.11,10100
VNR,20180511,22.82,22.82,22.42,22.82,44000
VNR,20180510,22.81,22.81,22.81,22.82,10000
VNR,20180509,22.12,23.21,22.12,23.21,200
VNR,20180508,,,,23.31,0
VNR,20180507,22.72,23.31,22.62,23.31,5500
VNR,20180504,22.72,22.72,21.92,22.62,2900
VNR,20180503,21.82,22.52,21.82,22.52,5600
VNR,20180502,23.81,23.81,22.32,22.32,57703
