<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VNT,20180713,,,,27.3,0
VNT,20180712,27.3,32.8,27.3,27.3,300
VNT,20180711,,,,29.9,0
VNT,20180710,29.9,29.9,29.9,29.9,100
VNT,20180709,32.5,32.5,27.2,27.2,2600
VNT,20180706,29.8,29.8,29.8,29.8,100
VNT,20180705,27.1,27.1,27.1,27.1,50
VNT,20180704,,,,27.1,0
VNT,20180703,27.1,27.1,27.1,27.1,100
VNT,20180702,32.5,32.5,30.1,30.1,3110
VNT,20180629,31.5,32.6,30.1,31.5,9300
VNT,20180628,32.5,32.5,29.7,29.7,800
VNT,20180627,32.5,32.5,32.5,32.5,159500
VNT,20180626,32.5,32.5,29.6,29.6,300
VNT,20180625,32.5,32.5,29.6,29.6,32200
VNT,20180622,31.4,31.9,29.5,29.6,32800
VNT,20180621,29.0,29.0,29.0,29.0,200
VNT,20180620,27.7,27.7,27.7,27.7,100
VNT,20180619,30.0,30.0,27.8,29.0,7600
VNT,20180618,33.0,33.0,27.6,27.6,5400
VNT,20180615,30.1,30.1,30.1,30.1,100
VNT,20180614,30.0,30.0,27.5,27.5,500
VNT,20180613,30.5,30.5,30.5,30.5,100
VNT,20180612,27.9,31.0,27.9,27.9,7200
VNT,20180611,30.9,30.9,30.9,30.9,4700
VNT,20180608,30.8,30.8,30.8,30.8,100
VNT,20180607,32.6,32.6,28.1,28.1,200
VNT,20180606,29.8,29.8,29.8,29.8,18000
VNT,20180605,32.4,32.4,27.1,27.1,52110
VNT,20180604,29.5,29.5,29.5,29.5,100
VNT,20180601,29.9,29.9,29.9,29.9,500
VNT,20180531,27.2,27.2,27.2,27.2,50
VNT,20180530,27.2,27.2,27.2,27.2,100
VNT,20180529,29.1,33.0,29.1,30.2,31900
VNT,20180528,30.0,30.0,30.0,30.0,7600
VNT,20180525,29.7,29.7,29.7,29.7,100
VNT,20180524,33.0,33.0,30.1,33.0,18210
VNT,20180523,30.0,30.0,30.0,30.0,3300
VNT,20180522,33.0,33.3,27.3,27.3,4200
VNT,20180521,30.3,30.3,30.3,30.3,300
VNT,20180518,32.6,32.6,27.6,27.6,1100
VNT,20180517,29.7,29.7,29.7,29.7,100
VNT,20180516,,,,27.0,0
VNT,20180515,,,,27.0,0
VNT,20180514,32.8,32.8,27.0,27.0,2100
VNT,20180511,29.9,29.9,29.9,29.9,200
VNT,20180510,33.2,33.2,27.2,27.2,5200
VNT,20180509,30.2,30.2,24.8,30.2,2800
VNT,20180508,27.5,27.5,27.5,27.5,500
VNT,20180507,,,,25.0,0
VNT,20180504,,,,25.0,0
VNT,20180503,,,,25.0,0
VNT,20180502,,,,25.0,0
VNT,20180427,,,,25.0,0
VNT,20180426,,,,25.0,0
VNT,20180424,,,,25.0,0
VNT,20180423,25.0,25.0,25.0,25.0,100
VNT,20180420,,,,22.8,0
VNT,20180419,24.9,24.9,22.8,22.8,200
VNT,20180418,,,,22.7,0
VNT,20180417,,,,22.7,0
VNT,20180416,22.7,22.7,20.1,22.7,1600
VNT,20180413,,,,20.7,0
VNT,20180412,25.3,25.3,20.7,20.7,1100
VNT,20180411,23.0,23.0,23.0,23.0,1000
VNT,20180410,22.2,22.2,22.2,22.2,50
VNT,20180409,22.2,22.2,22.2,22.2,1000
VNT,20180406,,,,20.2,0
VNT,20180405,,,,20.2,0
VNT,20180404,23.8,23.8,20.2,20.2,200
VNT,20180403,,,,21.7,0
VNT,20180402,,,,21.7,0
VNT,20180330,,,,21.7,0
VNT,20180329,,,,21.7,0
VNT,20180328,,,,21.7,0
VNT,20180327,,,,21.7,0
VNT,20180326,,,,21.7,0
VNT,20180323,,,,21.7,0
VNT,20180322,,,,21.7,0
VNT,20180321,25.26,25.26,21.7,21.7,2100
VNT,20180320,23.76,23.76,23.76,23.76,100
VNT,20180319,,,,21.61,0
VNT,20180316,,,,21.61,0
VNT,20180315,,,,21.61,0
VNT,20180314,,,,21.61,0
VNT,20180313,,,,21.61,0
VNT,20180312,,,,21.61,0
VNT,20180309,,,,21.61,0
VNT,20180308,,,,21.61,0
VNT,20180307,,,,21.61,0
VNT,20180306,24.79,24.79,21.61,21.61,10100
VNT,20180305,,,,23.95,0
VNT,20180302,,,,23.95,0
VNT,20180301,23.94,23.94,23.94,23.95,100
VNT,20180228,,,,26.56,0
VNT,20180227,,,,26.56,0
VNT,20180226,,,,26.56,0
VNT,20180223,26.56,26.56,26.56,26.56,500
VNT,20180222,,,,26.56,0
VNT,20180221,,,,26.56,0
VNT,20180213,,,,26.56,0
VNT,20180212,,,,26.56,0
VNT,20180209,,,,26.56,0
VNT,20180208,26.56,26.56,26.56,26.56,100
VNT,20180207,,,,24.32,0
VNT,20180206,,,,24.32,0
VNT,20180205,,,,24.32,0
VNT,20180202,24.32,24.32,24.32,24.32,1000
VNT,20180201,,,,26.1,0
VNT,20180131,26.1,26.1,26.1,26.1,200
VNT,20180130,,,,23.76,0
VNT,20180129,,,,23.76,0
VNT,20180126,23.76,23.76,23.76,23.76,200
VNT,20180125,,,,26.38,0
VNT,20180122,,,,26.38,0
VNT,20180119,,,,26.38,0
VNT,20180118,26.38,26.38,26.38,26.38,8000
VNT,20180117,26.38,26.38,26.38,26.38,6000
VNT,20180116,,,,24.04,0
VNT,20180115,,,,24.04,0
VNT,20180112,,,,24.04,0
VNT,20180111,,,,24.04,0
VNT,20180110,,,,24.04,0
VNT,20180109,,,,24.04,0
VNT,20180108,,,,24.04,0
VNT,20180105,,,,24.04,0
VNT,20180104,,,,24.04,0
VNT,20180103,,,,24.04,0
VNT,20180102,,,,24.04,0
VNT,20171229,,,,24.04,0
VNT,20171228,,,,24.04,0
VNT,20171227,,,,24.04,0
VNT,20171226,,,,24.04,0
VNT,20171225,,,,24.04,0
VNT,20171222,,,,24.04,0
VNT,20171221,,,,24.04,0
VNT,20171220,,,,24.04,0
VNT,20171219,,,,24.04,0
VNT,20171218,,,,24.04,0
VNT,20171215,,,,24.04,0
VNT,20171214,,,,24.04,0
VNT,20171213,,,,24.04,0
VNT,20171212,,,,24.04,0
VNT,20171211,,,,24.04,0
VNT,20171208,,,,24.04,0
VNT,20171207,27.59,27.59,24.04,24.04,300
VNT,20171206,,,,25.16,0
VNT,20171205,27.5,27.5,25.16,25.16,300
VNT,20171204,,,,25.07,0
VNT,20171201,,,,25.07,0
VNT,20171130,,,,25.07,0
VNT,20171129,27.22,27.22,25.07,25.07,300
VNT,20171128,29.84,29.84,24.6,24.79,40800
VNT,20171127,,,,27.13,0
VNT,20171124,,,,27.13,0
VNT,20171123,,,,27.13,0
VNT,20171122,,,,27.13,0
VNT,20171121,,,,27.13,0
VNT,20171120,,,,27.13,0
VNT,20171117,,,,27.13,0
VNT,20171116,,,,27.13,0
VNT,20171115,24.6,29.0,24.6,27.13,20200
