<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VRE,20180713,36.5,36.7,36.35,36.5,614740
VRE,20180712,36.5,36.8,35.7,36.5,870620
VRE,20180711,35.85,36.2,35.0,35.7,1002400
VRE,20180710,36.9,37.45,36.3,36.3,572200
VRE,20180709,36.5,37.95,36.5,36.9,666540
VRE,20180706,36.4,37.8,36.05,36.5,1038790
VRE,20180705,38.0,38.5,36.3,37.65,640760
VRE,20180704,37.9,38.8,37.0,38.6,928320
VRE,20180703,38.25,38.7,37.1,38.3,1347510
VRE,20180702,39.0,39.0,37.4,38.7,1154150
VRE,20180629,38.5,39.05,37.8,38.8,1982580
VRE,20180628,39.4,39.5,38.1,38.1,750120
VRE,20180627,40.7,40.7,39.7,39.7,445810
VRE,20180626,40.0,40.7,39.7,40.7,833120
VRE,20180625,42.0,42.0,40.8,40.8,725800
VRE,20180622,38.0,40.0,38.0,40.0,2029080
VRE,20180621,40.6,40.6,38.5,38.5,1564770
VRE,20180620,41.0,41.0,39.9,40.6,1244080
VRE,20180619,41.0,42.0,39.55,39.9,2291390
VRE,20180618,44.6,44.9,42.0,42.0,653810
VRE,20180615,44.0,45.0,43.9,45.0,3948110
VRE,20180614,45.4,45.4,44.5,44.5,658980
VRE,20180613,44.5,45.0,44.2,45.0,703960
VRE,20180612,44.6,45.15,44.0,44.5,1835490
VRE,20180611,44.5,46.0,44.5,45.1,1700470
VRE,20180608,44.9,45.2,44.2,44.5,1029530
VRE,20180607,45.5,46.5,45.0,45.0,1577590
VRE,20180606,45.6,45.8,44.85,45.3,862170
VRE,20180605,45.6,46.25,45.1,45.3,770010
VRE,20180604,45.5,45.8,44.7,45.6,1301620
VRE,20180601,43.7,45.45,43.15,45.45,2668090
VRE,20180531,41.3,43.4,41.3,43.0,1631960
VRE,20180530,42.8,43.0,41.6,42.0,1113380
VRE,20180529,39.2,43.1,39.2,43.0,1616060
VRE,20180528,39.4,40.3,38.1,40.3,4710840
VRE,20180525,43.8,43.9,40.55,40.9,2872130
VRE,20180524,43.9,44.5,43.4,43.6,2242270
VRE,20180523,43.0,43.5,41.5,43.5,2004030
VRE,20180522,44.3,45.0,42.4,43.0,2855940
VRE,20180521,46.7,47.0,44.6,44.6,2166530
VRE,20180518,46.9,46.9,45.5,46.7,1740510
VRE,20180517,46.0,47.0,45.8,46.0,1723590
VRE,20180516,47.9,47.9,46.0,46.0,1437910
VRE,20180515,49.0,49.1,47.8,47.9,2182670
VRE,20180514,46.1,48.85,45.8,48.85,2378110
VRE,20180511,44.5,45.9,44.5,45.7,858310
VRE,20180510,45.1,45.2,44.3,45.1,1532550
VRE,20180509,46.0,46.0,45.1,45.1,801110
VRE,20180508,46.8,46.9,45.8,45.8,993570
