<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VSC,20180713,32.2,32.3,31.05,32.3,19210
VSC,20180712,31.3,32.5,31.2,31.3,113850
VSC,20180711,32.0,33.0,31.0,31.8,125750
VSC,20180710,32.5,33.5,32.0,32.45,122830
VSC,20180709,33.5,33.7,32.5,32.5,47100
VSC,20180706,32.5,33.1,31.8,33.0,35000
VSC,20180705,33.7,33.7,32.0,32.0,31230
VSC,20180704,33.0,34.0,32.9,32.9,128410
VSC,20180703,33.9,34.5,32.8,33.0,127600
VSC,20180702,34.5,34.5,32.6,33.6,67250
VSC,20180629,33.75,35.5,33.75,34.85,185870
VSC,20180628,35.0,35.5,34.0,34.5,82040
VSC,20180627,35.5,36.2,34.6,35.5,316730
VSC,20180626,34.45,35.8,34.45,35.5,114940
VSC,20180625,35.6,36.0,35.0,35.0,44290
VSC,20180622,33.7,35.4,33.7,35.3,161190
VSC,20180621,34.0,34.8,33.7,34.15,88070
VSC,20180620,33.0,34.45,33.0,34.0,83630
VSC,20180619,34.1,34.3,32.65,33.0,376500
VSC,20180618,35.7,36.2,34.25,35.0,97870
VSC,20180615,37.0,37.4,35.8,36.3,161970
VSC,20180614,36.7,37.4,36.55,37.2,256860
VSC,20180613,35.0,36.6,35.0,36.55,184250
VSC,20180612,35.4,36.5,34.55,35.55,236810
VSC,20180611,34.6,36.8,34.0,36.5,347640
VSC,20180608,34.8,35.3,34.2,35.3,231130
VSC,20180607,34.5,35.0,33.65,34.8,164640
VSC,20180606,32.6,34.6,31.8,34.6,312770
VSC,20180605,32.9,33.0,32.0,32.6,92650
VSC,20180604,30.9,32.7,30.9,32.6,153190
VSC,20180601,31.75,31.75,30.6,30.9,61830
VSC,20180531,30.0,31.8,29.6,31.2,204290
VSC,20180530,30.1,30.3,29.4,30.0,32370
VSC,20180529,29.0,30.3,28.8,30.0,65590
VSC,20180528,28.5,29.7,28.5,28.6,228210
VSC,20180525,30.6,30.8,29.0,29.0,148520
VSC,20180524,30.8,30.8,30.1,30.1,65270
VSC,20180523,29.5,30.9,29.2,30.9,163680
VSC,20180522,31.9,31.9,30.0,30.0,328370
