<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VTB,20180713,15.65,15.65,14.35,15.5,110
VTB,20180712,14.65,16.25,14.65,14.65,60
VTB,20180711,,,,15.65,0
VTB,20180710,,,,15.65,0
VTB,20180709,15.65,15.65,15.65,15.65,10
VTB,20180706,16.8,16.8,15.7,16.8,1080
VTB,20180705,16.85,16.85,15.8,15.8,80
VTB,20180704,16.15,16.15,16.15,16.15,60
VTB,20180703,17.3,17.3,17.3,17.3,10
VTB,20180702,18.55,18.55,18.55,18.55,210
VTB,20180629,17.0,17.55,16.35,17.4,3670
VTB,20180628,16.9,17.55,16.9,17.55,420
VTB,20180627,16.45,16.45,16.45,16.45,100
VTB,20180626,16.9,16.9,16.0,16.05,490
VTB,20180625,16.0,16.9,16.0,16.05,470
VTB,20180622,17.0,17.5,15.8,16.9,350
VTB,20180621,16.9,16.9,16.9,16.9,20
VTB,20180620,16.9,16.9,16.0,16.9,900
VTB,20180619,17.5,17.5,16.0,16.0,80
VTB,20180618,16.3,17.4,16.3,16.9,230
VTB,20180615,15.8,17.5,15.65,17.5,600
VTB,20180614,16.8,16.8,16.8,16.8,60
VTB,20180613,16.0,16.2,16.0,16.2,20
VTB,20180612,15.4,15.4,15.4,15.4,150
VTB,20180611,16.45,16.45,16.45,16.45,50
VTB,20180608,15.45,16.45,15.45,16.45,70
VTB,20180607,15.45,16.45,15.45,16.45,580
VTB,20180606,16.3,16.45,16.3,16.45,170
VTB,20180605,15.7,15.7,15.7,15.7,60
VTB,20180604,16.55,17.8,16.55,16.55,1330
VTB,20180601,16.79,17.75,16.79,17.75,6010
VTB,20180531,16.55,17.75,16.55,17.75,400
VTB,20180530,14.77,16.69,14.77,16.69,2040
VTB,20180529,15.79,15.79,15.79,15.78,210
VTB,20180528,16.93,16.93,14.77,14.78,410
VTB,20180525,17.89,17.89,15.83,15.83,210
VTB,20180524,16.98,16.98,16.98,16.98,50
VTB,20180523,16.98,16.98,16.98,16.98,60
VTB,20180522,17.07,17.07,16.98,16.98,260
VTB,20180521,16.46,16.46,15.35,16.21,3760
VTB,20180518,16.07,17.13,15.4,15.4,150
VTB,20180517,17.27,18.13,16.31,16.31,100
VTB,20180516,17.22,17.22,17.22,17.22,250
VTB,20180515,18.08,18.23,16.4,17.22,1060
VTB,20180514,17.56,17.94,16.31,17.22,40
VTB,20180511,16.79,19.19,16.79,16.79,1250
VTB,20180510,18.04,18.04,18.04,18.04,10
VTB,20180509,16.98,17.46,16.98,16.98,230
VTB,20180508,17.08,18.23,17.08,18.23,30
VTB,20180507,17.13,17.13,17.13,17.13,150
VTB,20180504,17.13,17.13,17.13,17.13,110
VTB,20180503,16.31,16.31,16.31,16.31,60
VTB,20180502,17.27,17.27,17.27,17.27,150
VTB,20180427,17.03,17.46,17.03,17.27,2230
VTB,20180426,16.36,16.36,16.36,16.36,150
VTB,20180424,17.55,17.55,17.55,17.56,20
VTB,20180423,16.64,18.85,16.64,18.85,680
VTB,20180420,16.98,18.18,16.98,17.89,910
VTB,20180419,16.41,18.23,16.41,18.23,1290
VTB,20180418,16.6,17.6,16.5,17.61,1190
VTB,20180417,17.7,17.7,17.7,17.7,1050
VTB,20180416,19.14,19.14,16.98,19.0,2760
VTB,20180413,18.23,19.14,16.98,18.23,2070
VTB,20180412,18.23,19.19,16.98,18.23,1330
VTB,20180411,16.79,19.19,16.74,18.23,1870
VTB,20180410,17.99,17.99,17.99,17.99,700
VTB,20180409,17.23,18.23,16.07,17.99,920
VTB,20180406,17.13,17.13,17.13,17.13,460
VTB,20180405,17.08,17.08,15.93,16.79,310
VTB,20180404,16.5,17.27,16.5,16.55,1140
VTB,20180403,15.83,16.55,15.78,16.55,110
VTB,20180402,16.7,16.7,16.03,16.6,10820
VTB,20180330,16.6,17.18,16.6,17.13,2620
VTB,20180329,16.31,16.79,15.78,16.6,470
VTB,20180328,15.73,15.73,15.73,15.73,120
VTB,20180327,15.68,16.45,15.68,16.21,190
VTB,20180326,16.22,16.51,16.22,16.5,130
VTB,20180323,17.27,17.27,15.63,15.69,260
VTB,20180322,15.64,16.6,15.64,16.45,540
VTB,20180321,15.73,16.88,15.73,15.88,1700
VTB,20180320,16.98,17.27,16.02,16.02,270
VTB,20180319,16.12,17.08,16.12,17.08,70
VTB,20180316,16.41,18.76,16.36,17.08,4340
VTB,20180315,16.4,17.56,15.54,17.56,2210
VTB,20180314,15.54,16.55,15.49,16.5,2420
VTB,20180313,16.6,16.6,15.59,16.55,350
VTB,20180312,15.45,16.31,15.45,16.31,1430
VTB,20180309,15.4,16.07,15.4,15.45,300
VTB,20180308,16.07,16.07,16.07,16.07,30
VTB,20180307,16.31,16.74,15.59,16.02,190
VTB,20180306,16.6,16.6,15.64,16.26,140
VTB,20180305,16.26,16.26,16.02,16.26,1140
VTB,20180302,16.31,16.31,15.74,16.26,610
VTB,20180301,15.64,16.69,15.59,15.64,830
VTB,20180228,17.12,17.12,15.11,16.74,160
VTB,20180227,16.02,16.98,16.02,16.02,1070
VTB,20180226,16.89,17.17,16.89,17.17,300
VTB,20180223,16.07,17.27,16.07,17.27,500
VTB,20180222,16.6,17.27,15.4,17.27,450
VTB,20180221,16.12,16.79,16.12,16.31,1060
VTB,20180213,16.17,17.27,16.17,17.27,9130
VTB,20180212,15.35,16.21,15.35,16.17,160
VTB,20180209,14.49,15.35,14.01,15.35,4580
VTB,20180208,16.31,16.31,14.39,14.39,1430
VTB,20180207,14.96,15.73,14.96,15.35,100
VTB,20180206,15.21,16.21,15.21,16.02,800
VTB,20180205,16.31,16.31,15.83,16.31,10030
VTB,20180202,15.49,16.31,15.49,16.31,18190
VTB,20180201,16.31,16.6,15.74,16.5,6810
VTB,20180131,16.31,16.6,16.31,16.6,1090
VTB,20180130,16.31,16.79,15.74,16.6,41170
VTB,20180129,17.08,17.08,16.31,16.89,7740
VTB,20180126,16.79,17.27,16.79,17.27,300
VTB,20180125,15.83,16.22,15.59,16.21,42030
VTB,20180122,15.83,16.41,15.64,16.41,40
VTB,20180119,16.65,16.65,15.98,16.31,1230
VTB,20180118,16.7,17.13,15.35,15.93,440
VTB,20180117,16.6,16.98,16.07,16.12,2130
VTB,20180116,16.31,16.79,15.87,15.88,1350
VTB,20180115,17.22,17.22,15.83,16.45,520
VTB,20180112,17.08,17.08,16.31,16.45,1670
VTB,20180111,17.27,17.27,16.31,17.08,4720
VTB,20180110,16.12,16.93,16.12,16.31,350
VTB,20180109,17.27,17.95,16.31,17.27,1210
VTB,20180108,16.89,16.89,15.93,16.89,5180
VTB,20180105,16.31,16.93,16.31,16.31,710
VTB,20180104,16.31,17.08,16.31,16.98,2010
VTB,20180103,17.41,17.41,16.4,17.08,17320
VTB,20180102,17.47,18.04,16.17,17.41,1890
VTB,20171229,16.98,18.13,15.88,17.37,6220
VTB,20171228,16.98,17.27,15.83,17.03,6340
VTB,20171227,16.12,17.18,16.12,16.98,3450
VTB,20171226,15.45,17.41,15.45,17.32,14920
VTB,20171225,15.64,16.31,15.64,16.31,3720
VTB,20171222,16.03,17.03,14.83,16.74,1080
VTB,20171221,15.93,15.93,15.93,15.93,10
VTB,20171220,16.17,16.17,15.35,15.35,9500
VTB,20171219,15.35,16.07,15.35,15.35,390
VTB,20171218,16.12,17.08,15.35,16.02,380
VTB,20171215,16.11,16.11,16.11,16.12,1410
VTB,20171214,14.43,16.31,14.39,16.21,39910
VTB,20171213,15.35,15.35,14.01,15.25,130
VTB,20171212,14.62,14.66,14.3,14.49,3380
VTB,20171211,15.03,15.03,14.67,14.71,3770
VTB,20171208,14.99,15.03,14.94,15.03,5210
VTB,20171207,15.12,15.12,14.94,14.94,2290
VTB,20171206,15.49,15.49,14.63,15.12,780
VTB,20171205,15.31,15.31,14.58,14.58,4540
VTB,20171204,15.58,15.58,14.95,15.4,2630
VTB,20171201,15.22,15.49,15.13,15.31,21170
VTB,20171130,15.58,15.67,15.22,15.22,4220
VTB,20171129,16.04,16.04,14.99,14.99,3280
VTB,20171128,14.63,16.04,14.58,16.04,4400
VTB,20171127,15.36,15.36,14.54,15.31,2430
VTB,20171124,15.49,15.49,14.49,14.49,60
VTB,20171123,15.4,15.4,14.35,15.22,14420
VTB,20171122,14.85,16.4,14.67,15.35,18520
VTB,20171121,15.26,16.22,15.21,15.76,1050
VTB,20171120,14.12,15.26,14.07,15.26,570
VTB,20171117,15.12,15.12,15.12,15.12,110
VTB,20171116,14.58,15.12,14.21,15.12,110
VTB,20171115,14.58,15.31,14.58,15.26,390
VTB,20171114,15.3,15.3,14.57,15.26,590
VTB,20171113,14.57,16.08,14.57,14.62,710
VTB,20171110,14.76,15.49,14.76,15.03,810
VTB,20171109,15.39,16.31,14.67,15.85,450
VTB,20171108,15.54,15.58,14.58,15.44,2490
VTB,20171107,15.63,15.63,15.63,15.63,430
VTB,20171106,,,,15.4,0
VTB,20171103,14.57,15.39,14.48,15.4,1130
VTB,20171102,14.58,16.04,14.49,15.44,32100
VTB,20171101,14.81,15.58,14.81,15.49,420
VTB,20171031,15.9,15.9,14.22,15.9,7180
VTB,20171030,14.12,15.31,13.85,15.22,4080
VTB,20171027,14.35,14.57,14.3,14.58,470
VTB,20171026,14.58,15.4,14.26,14.3,490
VTB,20171025,15.22,15.22,14.45,14.53,370
VTB,20171024,15.12,15.21,15.12,15.22,1030
VTB,20171023,15.26,15.26,15.26,15.26,60
VTB,20171020,14.58,15.4,14.58,15.26,1960
VTB,20171019,14.72,15.26,14.67,15.26,1980
VTB,20171018,15.95,15.95,14.67,14.67,290
VTB,20171017,16.03,16.03,15.21,15.49,620
VTB,20171016,15.4,16.04,14.67,15.67,360
VTB,20171013,14.67,15.67,14.67,15.4,250
VTB,20171012,15.03,16.04,14.58,15.67,6690
VTB,20171011,14.49,15.17,14.44,15.08,150
VTB,20171010,16.31,16.31,15.17,15.17,1300
VTB,20171009,15.49,16.31,15.49,16.31,180
VTB,20171006,16.31,16.31,14.57,15.4,90
VTB,20171005,14.57,15.44,14.57,15.44,1420
VTB,20171004,16.26,16.26,15.44,15.44,30
VTB,20171003,15.45,15.49,15.45,15.49,400
VTB,20171002,15.72,15.72,14.58,14.58,80
VTB,20170929,15.53,15.53,14.76,14.76,500
VTB,20170928,15.12,15.12,14.62,14.62,1160
VTB,20170927,15.12,15.12,15.12,15.12,1200
VTB,20170926,15.26,15.26,15.13,15.12,1020
VTB,20170925,15.9,15.9,15.44,15.49,400
VTB,20170922,15.26,15.99,15.26,15.49,2840
VTB,20170921,15.26,15.26,15.26,15.26,480
VTB,20170920,15.22,15.26,14.58,15.26,1270
VTB,20170919,15.21,15.26,14.49,14.49,1630
VTB,20170918,14.58,15.26,14.58,15.26,13080
VTB,20170915,14.22,14.58,14.22,14.58,200
VTB,20170914,14.58,14.58,14.58,14.58,170
VTB,20170913,15.04,15.31,14.49,14.58,1640
VTB,20170912,14.26,15.12,14.26,14.4,270
VTB,20170911,14.58,15.26,14.58,15.26,2060
VTB,20170908,16.31,16.31,14.53,14.58,700
VTB,20170907,15.04,15.4,14.63,15.4,18970
VTB,20170906,15.12,15.8,14.85,15.72,1040
VTB,20170905,15.95,15.95,15.86,15.85,40
VTB,20170901,15.63,16.81,15.63,16.22,160
VTB,20170831,17.26,17.26,15.62,16.54,2470
VTB,20170830,15.67,17.31,15.58,16.67,2710
VTB,20170829,16.81,16.81,15.3,16.67,2960
VTB,20170828,16.85,16.85,16.03,16.26,370
VTB,20170825,16.13,17.27,16.13,17.17,950
VTB,20170824,15.63,17.31,15.63,17.22,1350
