<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VTH,20180713,,,,10.3,0
VTH,20180712,,,,10.3,0
VTH,20180711,,,,10.3,0
VTH,20180710,,,,10.3,0
VTH,20180709,,,,10.3,0
VTH,20180706,,,,10.3,0
VTH,20180705,,,,10.3,0
VTH,20180704,,,,10.3,0
VTH,20180703,,,,10.3,0
VTH,20180702,10.3,10.3,10.3,10.3,100
VTH,20180629,,,,10.2,0
VTH,20180628,,,,10.2,0
VTH,20180627,,,,10.2,0
VTH,20180626,10.2,10.2,10.2,10.2,200
VTH,20180625,,,,10.2,0
VTH,20180622,10.2,10.2,10.2,10.2,200
VTH,20180621,,,,10.2,0
VTH,20180620,,,,10.2,0
VTH,20180619,10.2,10.2,10.2,10.2,100
VTH,20180618,10.1,10.1,10.1,10.1,1000
VTH,20180615,,,,10.9,0
VTH,20180614,,,,10.9,0
VTH,20180613,,,,10.9,0
VTH,20180612,,,,10.9,0
VTH,20180611,,,,10.9,0
VTH,20180608,10.9,10.9,10.9,10.9,100
VTH,20180607,11.9,11.9,11.9,11.9,100
VTH,20180606,,,,11.8,0
VTH,20180605,,,,11.8,0
VTH,20180604,11.8,11.8,11.8,11.8,100
VTH,20180601,,,,11.0,0
VTH,20180531,,,,11.0,0
VTH,20180530,,,,11.0,0
VTH,20180529,,,,11.0,0
VTH,20180528,,,,11.0,0
VTH,20180525,,,,11.0,0
VTH,20180524,,,,11.0,0
VTH,20180523,11.0,11.0,11.0,11.0,2700
VTH,20180522,,,,11.3,0
VTH,20180521,,,,11.3,0
VTH,20180518,11.3,11.3,11.3,11.3,100
VTH,20180517,,,,12.4,0
VTH,20180516,,,,12.4,0
VTH,20180515,,,,12.4,0
VTH,20180514,,,,12.4,0
VTH,20180511,,,,12.4,0
VTH,20180510,,,,12.4,0
VTH,20180509,12.4,12.4,12.4,12.4,1
VTH,20180508,,,,12.4,0
VTH,20180507,12.4,12.4,12.4,12.4,600
VTH,20180504,12.5,12.5,12.5,12.5,10
VTH,20180503,,,,12.5,0
VTH,20180502,,,,12.5,0
VTH,20180427,,,,12.5,0
VTH,20180426,,,,12.5,0
VTH,20180424,,,,12.5,0
VTH,20180423,,,,12.5,0
VTH,20180420,12.5,12.5,12.5,12.5,70000
VTH,20180419,12.5,13.75,12.5,12.5,23000
VTH,20180418,12.49,12.49,12.49,12.5,4940
VTH,20180417,12.59,12.59,12.59,12.59,14000
VTH,20180416,12.6,12.6,12.6,12.59,10800
VTH,20180413,,,,12.5,0
VTH,20180412,,,,12.5,0
VTH,20180411,,,,12.5,0
VTH,20180410,12.5,12.5,12.5,12.5,1000
VTH,20180409,,,,12.5,0
VTH,20180406,12.5,13.56,12.5,12.5,3900
VTH,20180405,12.5,12.5,12.5,12.5,1000
VTH,20180404,,,,12.5,0
VTH,20180403,12.5,12.5,12.5,12.5,500
VTH,20180402,,,,12.5,0
VTH,20180330,,,,12.5,0
VTH,20180329,,,,12.5,0
VTH,20180328,,,,12.5,0
VTH,20180327,,,,12.5,0
VTH,20180326,12.5,12.5,12.5,12.5,14
VTH,20180323,,,,12.5,0
VTH,20180322,12.5,12.5,12.5,12.5,2000
VTH,20180321,,,,12.69,0
VTH,20180320,12.69,12.69,12.69,12.69,14
VTH,20180319,,,,12.69,0
VTH,20180316,,,,12.69,0
VTH,20180315,,,,12.69,0
VTH,20180314,12.69,12.69,12.69,12.69,28100
VTH,20180313,,,,12.5,0
VTH,20180312,,,,12.5,0
VTH,20180309,14.42,14.9,12.5,12.5,4100
VTH,20180308,13.75,13.75,13.75,13.75,2300
VTH,20180307,12.5,12.5,12.5,12.5,100
VTH,20180306,,,,12.4,0
VTH,20180305,,,,12.4,0
VTH,20180302,13.75,13.75,12.4,12.4,4000
VTH,20180301,,,,13.75,0
VTH,20180228,13.65,13.75,13.65,13.75,1400
VTH,20180227,12.5,12.5,12.5,12.5,800
VTH,20180226,12.5,12.5,12.5,12.5,9000
VTH,20180223,12.5,12.5,12.5,12.5,5000
VTH,20180222,12.02,12.02,12.02,12.02,1500
VTH,20180221,,,,11.44,0
VTH,20180213,,,,11.44,0
VTH,20180212,,,,11.44,0
VTH,20180209,11.44,11.44,11.44,11.44,200
VTH,20180208,,,,12.69,0
VTH,20180207,,,,12.69,0
VTH,20180206,,,,12.69,0
VTH,20180205,12.69,12.69,12.69,12.69,100
VTH,20180202,,,,13.84,0
VTH,20180201,14.42,14.42,13.84,13.84,4300
VTH,20180131,,,,15.28,0
VTH,20180130,15.28,15.28,15.28,15.28,300
VTH,20180129,,,,15.28,0
VTH,20180126,,,,15.28,0
VTH,20180125,,,,15.28,0
VTH,20180122,,,,15.28,0
VTH,20180119,,,,15.28,0
VTH,20180118,,,,15.28,0
VTH,20180117,15.29,15.29,15.29,15.28,2000
VTH,20180116,,,,13.94,0
VTH,20180115,,,,13.94,0
VTH,20180112,,,,13.94,0
VTH,20180111,,,,13.94,0
VTH,20180110,,,,13.94,0
VTH,20180109,14.9,16.35,13.94,13.94,23100
VTH,20180108,,,,15.0,0
VTH,20180105,,,,15.0,0
VTH,20180104,,,,15.0,0
VTH,20180103,13.46,15.0,13.46,15.0,32500
VTH,20180102,13.46,14.9,13.46,14.9,50400
VTH,20171229,,,,13.94,0
VTH,20171228,,,,13.94,0
VTH,20171227,13.94,13.94,13.94,13.94,27000
VTH,20171226,,,,14.9,0
VTH,20171225,,,,14.9,0
VTH,20171222,14.42,15.29,14.42,14.9,20500
VTH,20171221,,,,13.94,0
VTH,20171220,12.31,13.94,12.31,13.94,14500
VTH,20171219,11.73,12.69,11.73,12.69,300
VTH,20171218,,,,11.54,0
VTH,20171215,,,,11.54,0
VTH,20171214,11.54,11.54,11.54,11.54,4800
VTH,20171213,,,,11.54,0
VTH,20171212,11.53,11.53,11.53,11.54,5000
VTH,20171211,11.15,11.15,11.15,11.15,31400
VTH,20171208,,,,11.15,0
VTH,20171207,11.15,11.15,11.15,11.15,600
VTH,20171206,,,,10.19,0
VTH,20171205,,,,10.19,0
VTH,20171204,,,,10.19,0
VTH,20171201,11.05,11.05,10.19,10.19,15600
VTH,20171130,10.77,10.86,9.9,10.09,2800
VTH,20171129,10.57,10.76,9.9,9.9,5400
VTH,20171128,10.57,10.76,9.8,9.8,800
VTH,20171127,9.9,10.76,9.8,9.8,17500
VTH,20171124,11.06,11.15,9.81,9.8,4000
VTH,20171123,10.19,10.19,9.8,10.19,30300
VTH,20171122,,,,10.09,0
VTH,20171121,11.34,11.34,10.0,10.09,22100
VTH,20171120,10.38,10.38,10.38,10.38,100
VTH,20171117,,,,10.38,0
VTH,20171116,10.38,10.38,10.38,10.38,20
VTH,20171115,,,,10.38,0
VTH,20171114,,,,10.38,0
