<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VTL,20180713,,,,22.5,0
VTL,20180712,,,,22.5,0
VTL,20180711,,,,22.5,0
VTL,20180710,,,,22.5,0
VTL,20180709,,,,22.5,0
VTL,20180706,,,,22.5,0
VTL,20180705,,,,22.5,0
VTL,20180704,,,,22.5,0
VTL,20180703,,,,22.5,0
VTL,20180702,,,,22.5,0
VTL,20180629,,,,22.5,0
VTL,20180628,,,,22.5,0
VTL,20180627,,,,22.5,0
VTL,20180626,,,,22.5,0
VTL,20180625,,,,22.5,0
VTL,20180622,,,,22.5,0
VTL,20180621,,,,22.5,0
VTL,20180620,,,,22.5,0
VTL,20180619,,,,22.5,0
VTL,20180618,,,,22.5,0
VTL,20180615,,,,22.5,0
VTL,20180614,,,,22.5,0
VTL,20180613,,,,22.5,0
VTL,20180612,22.4,22.5,22.4,22.5,5000
VTL,20180611,,,,22.5,0
VTL,20180608,,,,22.5,0
VTL,20180607,22.4,22.5,22.4,22.5,3300
VTL,20180606,,,,22.5,0
VTL,20180605,,,,22.5,0
VTL,20180604,22.5,22.5,22.5,22.5,3800
VTL,20180601,25.0,25.0,25.0,25.0,100
VTL,20180531,,,,27.5,0
VTL,20180530,,,,27.5,0
VTL,20180529,27.5,27.5,27.5,27.5,100
VTL,20180528,,,,30.3,0
VTL,20180525,,,,30.3,0
VTL,20180524,,,,30.3,0
VTL,20180523,,,,30.3,0
VTL,20180522,30.3,30.3,30.3,30.3,6100
VTL,20180521,,,,30.3,0
VTL,20180518,,,,30.3,0
VTL,20180517,,,,30.3,0
VTL,20180516,,,,30.3,0
VTL,20180515,,,,30.3,0
VTL,20180514,,,,30.3,0
VTL,20180511,,,,30.3,0
VTL,20180510,,,,30.3,0
VTL,20180509,,,,30.3,0
VTL,20180508,,,,30.3,0
VTL,20180507,,,,30.3,0
VTL,20180504,,,,30.3,0
VTL,20180503,,,,30.3,0
VTL,20180502,,,,30.3,0
VTL,20180427,,,,30.3,0
VTL,20180426,,,,30.3,0
VTL,20180424,,,,30.3,0
VTL,20180423,,,,30.3,0
VTL,20180420,,,,30.3,0
VTL,20180419,,,,30.3,0
VTL,20180418,,,,30.3,0
VTL,20180417,,,,30.3,0
VTL,20180416,,,,30.3,0
VTL,20180413,,,,30.3,0
VTL,20180412,,,,30.3,0
VTL,20180411,,,,30.3,0
VTL,20180410,,,,30.3,0
VTL,20180409,,,,30.3,0
VTL,20180406,,,,30.3,0
VTL,20180405,,,,30.3,0
VTL,20180404,,,,30.3,0
VTL,20180403,,,,30.3,0
VTL,20180402,,,,30.3,0
VTL,20180330,,,,30.3,0
VTL,20180329,,,,30.3,0
VTL,20180328,,,,30.3,0
VTL,20180327,,,,30.3,0
VTL,20180326,,,,30.3,0
VTL,20180323,,,,30.3,0
VTL,20180322,,,,30.3,0
VTL,20180321,,,,30.3,0
VTL,20180320,,,,30.3,0
VTL,20180319,,,,30.3,0
VTL,20180316,,,,30.3,0
VTL,20180315,,,,30.3,0
VTL,20180314,,,,30.3,0
VTL,20180313,,,,30.3,0
VTL,20180312,,,,30.3,0
VTL,20180309,,,,30.3,0
VTL,20180308,,,,30.3,0
VTL,20180307,,,,30.3,0
VTL,20180306,,,,30.3,0
VTL,20180305,,,,30.3,0
VTL,20180302,,,,30.3,0
VTL,20180301,,,,30.3,0
VTL,20180228,,,,30.3,0
VTL,20180227,,,,30.3,0
VTL,20180226,,,,30.3,0
VTL,20180223,,,,30.3,0
VTL,20180222,,,,30.3,0
VTL,20180221,,,,30.3,0
VTL,20180213,,,,30.3,0
VTL,20180212,,,,30.3,0
VTL,20180209,,,,30.3,0
VTL,20180208,,,,30.3,0
VTL,20180207,,,,30.3,0
VTL,20180206,,,,30.3,0
VTL,20180205,,,,30.3,0
VTL,20180202,,,,30.3,0
VTL,20180201,,,,30.3,0
VTL,20180131,,,,30.3,0
VTL,20180130,,,,30.3,0
VTL,20180129,,,,30.3,0
VTL,20180126,,,,30.3,0
VTL,20180125,,,,30.3,0
VTL,20180122,,,,30.3,0
VTL,20180119,,,,30.3,0
VTL,20180118,,,,30.3,0
VTL,20180117,,,,30.3,0
VTL,20180116,,,,30.3,0
VTL,20180115,,,,30.3,0
VTL,20180112,,,,30.3,0
VTL,20180111,,,,30.3,0
VTL,20180110,,,,30.3,0
VTL,20180109,,,,30.3,0
VTL,20180108,,,,30.3,0
VTL,20180105,,,,30.3,0
VTL,20180104,,,,30.3,0
VTL,20180103,,,,30.3,0
VTL,20180102,30.3,30.3,30.3,30.3,100
VTL,20171229,,,,27.6,0
VTL,20171228,27.6,27.6,27.6,27.6,100
VTL,20171227,,,,25.1,0
VTL,20171226,,,,25.1,0
VTL,20171225,,,,25.1,0
VTL,20171222,,,,25.1,0
VTL,20171221,,,,25.1,0
VTL,20171220,,,,25.1,0
VTL,20171219,,,,25.1,0
VTL,20171218,,,,25.1,0
VTL,20171215,,,,25.1,0
VTL,20171214,25.1,25.1,25.1,25.1,100
VTL,20171213,,,,22.9,0
VTL,20171212,22.9,22.9,22.9,22.9,1100
VTL,20171211,,,,20.9,0
VTL,20171208,,,,20.9,0
VTL,20171207,20.9,20.9,20.9,20.9,400
VTL,20171206,,,,19.0,0
VTL,20171205,,,,19.0,0
VTL,20171204,19.0,19.0,19.0,19.0,100
VTL,20171201,18.0,18.0,18.0,18.0,500
VTL,20171130,16.5,16.5,16.5,16.5,1000
VTL,20171129,,,,15.0,0
VTL,20171128,,,,15.0,0
VTL,20171127,,,,15.0,0
VTL,20171124,,,,15.0,0
VTL,20171123,,,,15.0,0
VTL,20171122,,,,15.0,0
VTL,20171121,,,,15.0,0
VTL,20171120,,,,15.0,0
VTL,20171117,,,,15.0,0
VTL,20171116,,,,15.0,0
VTL,20171115,,,,15.0,0
VTL,20171114,,,,15.0,0
VTL,20171113,,,,15.0,0
VTL,20171110,,,,15.0,0
VTL,20171109,,,,15.0,0
VTL,20171108,,,,15.0,0
VTL,20171107,,,,15.0,0
VTL,20171106,15.0,15.0,15.0,15.0,900
VTL,20171103,,,,16.0,0
VTL,20171102,,,,16.0,0
VTL,20171101,,,,16.0,0
VTL,20171031,,,,16.0,0
VTL,20171030,,,,16.0,0
VTL,20171027,,,,16.0,0
VTL,20171026,,,,16.0,0
VTL,20171025,,,,16.0,0
VTL,20171024,,,,16.0,0
VTL,20171023,,,,16.0,0
VTL,20171020,,,,16.0,0
VTL,20171019,,,,16.0,0
VTL,20171018,,,,16.0,0
VTL,20171017,,,,16.0,0
VTL,20171016,,,,16.0,0
VTL,20171013,,,,16.0,0
VTL,20171012,,,,16.0,0
VTL,20171011,,,,16.0,0
VTL,20171010,,,,16.0,0
VTL,20171009,,,,16.0,0
VTL,20171006,,,,16.0,0
VTL,20171005,,,,16.0,0
VTL,20171004,,,,16.0,0
VTL,20171003,,,,16.0,0
VTL,20171002,,,,16.0,0
VTL,20170929,,,,16.0,0
VTL,20170928,,,,16.0,0
VTL,20170927,,,,16.0,0
VTL,20170926,,,,16.0,0
VTL,20170925,16.0,16.0,16.0,16.0,1000
VTL,20170922,16.0,16.0,16.0,16.0,3000
VTL,20170921,15.2,15.2,15.2,15.2,4600
VTL,20170920,,,,13.9,0
VTL,20170919,13.9,13.9,13.9,13.9,100
VTL,20170918,12.7,12.7,12.7,12.7,100
VTL,20170915,,,,11.6,0
VTL,20170914,,,,11.6,0
VTL,20170913,11.6,11.6,11.6,11.6,400
VTL,20170912,,,,10.6,0
VTL,20170911,,,,10.6,0
VTL,20170908,,,,10.6,0
VTL,20170907,,,,10.6,0
VTL,20170906,,,,10.6,0
VTL,20170905,,,,10.6,0
VTL,20170901,,,,10.6,0
VTL,20170831,,,,10.6,0
VTL,20170830,,,,10.6,0
VTL,20170829,,,,10.6,0
VTL,20170828,,,,10.6,0
VTL,20170825,,,,10.6,0
VTL,20170824,,,,10.6,0
VTL,20170823,,,,10.6,0
VTL,20170822,,,,10.6,0
VTL,20170821,,,,10.6,0
VTL,20170818,,,,10.6,0
VTL,20170817,,,,10.6,0
VTL,20170816,,,,10.6,0
VTL,20170815,,,,10.6,0
VTL,20170814,,,,10.6,0
VTL,20170811,,,,10.6,0
VTL,20170810,,,,10.6,0
VTL,20170809,,,,10.6,0
VTL,20170808,,,,10.6,0
VTL,20170807,10.6,10.6,10.6,10.6,2300
VTL,20170804,,,,11.74,0
VTL,20170803,,,,11.74,0
VTL,20170802,,,,11.74,0
VTL,20170801,,,,11.74,0
VTL,20170731,,,,11.74,0
VTL,20170728,,,,11.74,0
VTL,20170727,,,,11.74,0
VTL,20170726,,,,11.74,0
VTL,20170725,,,,11.74,0
VTL,20170724,,,,11.74,0
VTL,20170721,,,,11.74,0
VTL,20170720,,,,11.74,0
VTL,20170719,,,,11.74,0
VTL,20170718,,,,11.74,0
VTL,20170717,,,,11.74,0
VTL,20170714,,,,11.74,0
VTL,20170713,,,,11.74,0
VTL,20170712,,,,11.74,0
VTL,20170711,,,,11.74,0
VTL,20170710,,,,11.74,0
VTL,20170707,,,,11.74,0
VTL,20170706,,,,11.74,0
VTL,20170705,,,,11.74,0
VTL,20170704,,,,11.74,0
VTL,20170703,,,,11.74,0
VTL,20170630,,,,11.74,0
VTL,20170629,,,,11.74,0
VTL,20170628,,,,11.74,0
VTL,20170627,,,,11.74,0
VTL,20170626,,,,11.74,0
VTL,20170623,,,,11.74,0
VTL,20170622,,,,11.74,0
VTL,20170621,,,,11.74,0
VTL,20170620,,,,11.74,0
VTL,20170619,,,,11.74,0
VTL,20170616,,,,11.74,0
VTL,20170615,,,,11.74,0
VTL,20170614,,,,11.74,0
VTL,20170613,,,,11.74,0
VTL,20170612,,,,11.74,0
VTL,20170609,,,,11.74,0
VTL,20170608,,,,11.74,0
VTL,20170607,,,,11.74,0
VTL,20170606,,,,11.74,0
VTL,20170605,,,,11.74,0
VTL,20170602,,,,11.74,0
VTL,20170601,,,,11.74,0
VTL,20170531,,,,11.74,0
VTL,20170530,,,,11.74,0
VTL,20170529,,,,11.74,0
VTL,20170526,,,,11.74,0
VTL,20170525,,,,11.74,0
VTL,20170524,,,,11.74,0
VTL,20170523,,,,11.74,0
VTL,20170522,,,,11.74,0
VTL,20170519,,,,11.74,0
VTL,20170518,,,,11.74,0
VTL,20170517,,,,11.74,0
VTL,20170516,,,,11.74,0
VTL,20170515,,,,11.74,0
VTL,20170512,,,,11.74,0
VTL,20170511,,,,11.74,0
VTL,20170510,,,,11.74,0
VTL,20170509,,,,11.74,0
VTL,20170508,,,,11.74,0
VTL,20170505,,,,11.74,0
VTL,20170504,,,,11.74,0
VTL,20170503,,,,11.74,0
VTL,20170428,,,,11.74,0
VTL,20170427,,,,11.74,0
VTL,20170426,,,,11.74,0
VTL,20170425,,,,11.74,0
VTL,20170424,,,,11.74,0
VTL,20170421,,,,11.74,0
VTL,20170420,,,,11.74,0
VTL,20170419,11.73,11.73,11.73,11.74,100
VTL,20170418,,,,10.69,0
VTL,20170417,,,,10.69,0
VTL,20170414,,,,10.69,0
VTL,20170413,,,,10.69,0
VTL,20170412,,,,10.69,0
VTL,20170411,,,,10.69,0
VTL,20170410,,,,10.69,0
VTL,20170407,,,,10.69,0
VTL,20170405,,,,10.69,0
VTL,20170404,9.65,10.69,9.65,10.69,1630
VTL,20170403,,,,10.69,0
VTL,20170331,,,,10.69,0
VTL,20170330,,,,10.69,0
VTL,20170329,10.69,10.69,10.69,10.69,200
VTL,20170328,,,,11.83,0
VTL,20170327,11.83,11.83,11.83,11.83,2200
VTL,20170324,,,,12.18,0
VTL,20170323,,,,12.18,0
VTL,20170322,,,,12.18,0
VTL,20170321,,,,12.18,0
VTL,20170320,,,,12.18,0
VTL,20170317,,,,12.18,0
VTL,20170316,,,,12.18,0
VTL,20170315,,,,12.18,0
VTL,20170314,,,,12.18,0
VTL,20170313,,,,12.18,0
VTL,20170310,,,,12.18,0
VTL,20170309,,,,12.18,0
VTL,20170308,,,,12.18,0
VTL,20170307,,,,12.18,0
VTL,20170306,,,,12.18,0
VTL,20170303,,,,12.18,0
VTL,20170302,12.17,12.17,12.17,12.18,100
VTL,20170301,,,,13.45,0
VTL,20170228,,,,13.45,0
VTL,20170227,,,,13.45,0
VTL,20170224,,,,13.45,0
VTL,20170223,,,,13.45,0
VTL,20170222,,,,13.45,0
VTL,20170221,,,,13.45,0
VTL,20170220,,,,13.45,0
VTL,20170217,,,,13.45,0
VTL,20170216,,,,13.45,0
VTL,20170215,,,,13.45,0
VTL,20170214,,,,13.45,0
VTL,20170213,,,,13.45,0
VTL,20170210,,,,13.45,0
VTL,20170209,,,,13.45,0
VTL,20170208,,,,13.45,0
VTL,20170207,,,,13.45,0
VTL,20170206,,,,13.45,0
VTL,20170203,,,,13.45,0
VTL,20170202,,,,13.45,0
VTL,20170125,,,,13.45,0
VTL,20170124,,,,13.45,0
VTL,20170123,,,,13.45,0
VTL,20170120,,,,13.45,0
VTL,20170119,,,,13.45,0
VTL,20170118,,,,13.45,0
VTL,20170117,,,,13.45,0
VTL,20170116,,,,13.45,0
VTL,20170113,,,,13.45,0
VTL,20170112,,,,13.45,0
VTL,20170111,,,,13.45,0
VTL,20170110,,,,13.45,0
VTL,20170109,,,,13.45,0
VTL,20170106,,,,13.45,0
VTL,20170105,,,,13.45,0
VTL,20170104,,,,13.45,0
VTL,20170103,,,,13.45,0
VTL,20161230,,,,13.45,0
VTL,20161229,,,,13.45,0
VTL,20161228,,,,13.45,0
VTL,20161227,,,,13.45,0
VTL,20161226,,,,13.45,0
VTL,20161223,,,,13.45,0
VTL,20161222,,,,13.45,0
VTL,20161221,,,,13.45,0
VTL,20161220,,,,13.45,0
VTL,20161219,,,,13.45,0
VTL,20161216,,,,13.45,0
VTL,20161215,,,,13.45,0
VTL,20161214,,,,13.45,0
VTL,20161213,,,,13.45,0
VTL,20161212,,,,13.45,0
VTL,20161209,,,,13.45,0
VTL,20161208,,,,13.45,0
VTL,20161207,,,,13.45,0
VTL,20161206,,,,13.45,0
VTL,20161205,,,,13.45,0
VTL,20161202,,,,13.45,0
VTL,20161201,,,,13.45,0
VTL,20161130,,,,13.45,0
VTL,20161129,,,,13.45,0
VTL,20161128,,,,13.45,0
VTL,20161125,,,,13.45,0
VTL,20161124,,,,13.45,0
VTL,20161123,,,,13.45,0
VTL,20161122,,,,13.45,0
VTL,20161121,,,,13.45,0
VTL,20161118,,,,13.45,0
VTL,20161117,,,,13.45,0
VTL,20161116,,,,13.45,0
VTL,20161115,,,,13.45,0
VTL,20161114,,,,13.45,0
VTL,20161111,,,,13.45,0
VTL,20161110,,,,13.45,0
VTL,20161109,,,,13.45,0
VTL,20161108,,,,13.45,0
VTL,20161107,,,,13.45,0
VTL,20161104,,,,13.45,0
VTL,20161103,,,,13.45,0
VTL,20161102,,,,13.45,0
VTL,20161101,,,,13.45,0
VTL,20161031,,,,13.45,0
VTL,20161028,,,,13.45,0
VTL,20161027,,,,13.45,0
VTL,20161026,,,,13.45,0
VTL,20161025,,,,13.45,0
VTL,20161024,,,,13.45,0
VTL,20161021,,,,13.45,0
VTL,20161020,,,,13.45,0
VTL,20161019,,,,13.45,0
VTL,20161018,,,,13.45,0
VTL,20161017,,,,13.45,0
VTL,20161014,,,,13.45,0
VTL,20161013,,,,13.45,0
VTL,20161012,,,,13.45,0
VTL,20161011,,,,13.45,0
VTL,20161010,,,,13.45,0
VTL,20161007,,,,13.45,0
VTL,20161006,,,,13.45,0
VTL,20161005,,,,13.45,0
